300001 特锐德 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.02	10.28	9.95	10.16	621127	19532796.000
10/11/2010	10.16	10.19	10.00	10.08	853313	26656600.000
10/12/2010	10.08	10.33	10.08	10.18	733675	23294486.000
10/13/2010	10.18	10.33	10.04	10.31	788638	24845870.000
10/14/2010	10.33	10.54	10.22	10.24	1127982	36264172.000
10/15/2010	10.03	10.41	10.02	10.14	795653	25043186.000
10/18/2010	10.20	10.71	10.02	10.60	1733621	56185656.000
10/19/2010	10.58	11.58	10.48	11.21	3191349	109834792.000
10/20/2010	10.88	11.51	10.84	11.05	2717886	93350568.000
10/21/2010	10.95	11.16	10.54	10.81	1989570	65649856.000
10/22/2010	10.74	11.15	10.65	10.93	1343594	45357896.000
10/25/2010	11.01	11.24	10.86	11.01	1432247	48973036.000
10/26/2010	11.32	11.35	10.87	11.04	1412734	48381992.000
10/27/2010	11.06	11.31	10.98	11.08	1470526	50767704.000
10/28/2010	11.09	11.39	11.01	11.39	1764153	61386632.000
10/29/2010	11.39	11.80	11.35	11.64	2369158	84945656.000
11/01/2010	11.94	12.29	11.91	12.01	2806715	104277680.000
11/02/2010	11.88	11.89	11.55	11.56	2365215	85384904.000
11/03/2010	11.54	11.55	11.05	11.09	1879381	65518388.000
11/04/2010	11.18	11.30	11.11	11.21	1005062	34743388.000
11/05/2010	11.34	11.48	11.16	11.37	1089217	38034620.000
11/08/2010	11.35	11.83	11.35	11.82	1464315	52766324.000
11/09/2010	11.82	11.98	11.52	11.94	1343599	48777436.000
11/10/2010	11.86	12.14	11.79	11.85	1431116	52849072.000
11/11/2010	11.78	12.06	11.35	11.55	1488458	54401296.000
11/12/2010	11.53	11.67	10.98	11.02	1707464	59242128.000
11/15/2010	11.16	12.04	11.08	12.04	2149214	77085936.000
11/16/2010	12.03	12.51	11.34	12.01	2903817	108364672.000
11/17/2010	11.86	12.33	11.63	11.64	1721014	63636136.000
11/18/2010	11.68	11.95	11.56	11.83	966787	35076328.000
11/19/2010	11.88	12.41	11.78	12.40	2343441	87576336.000
11/22/2010	12.34	12.61	12.13	12.34	2660861	101379832.000
11/23/2010	12.29	12.39	12.11	12.34	1534041	57872912.000
11/24/2010	12.27	12.67	12.27	12.63	1862969	71794864.000
11/25/2010	12.61	12.64	12.19	12.28	1632751	62348912.000
11/26/2010	12.19	12.41	12.08	12.26	955183	36041636.000
11/29/2010	12.26	12.59	12.18	12.46	1249403	47695916.000
11/30/2010	12.44	12.51	11.54	11.86	2284047	83808824.000
12/01/2010	11.76	11.91	11.74	11.76	764194	27789138.000
