300002 神州泰岳 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.47	13.82	13.42	13.63	1818864	97977312.000
10/11/2010	13.64	13.67	13.17	13.37	4019649	213147824.000
10/12/2010	13.25	13.78	13.25	13.61	2018520	108738328.000
10/13/2010	13.68	13.77	13.38	13.77	2241734	120631944.000
10/14/2010	13.64	14.75	13.55	14.41	3735997	211809136.000
10/15/2010	14.43	14.43	13.88	14.06	2231423	123991576.000
10/18/2010	13.90	14.06	12.86	13.25	3589114	187979776.000
10/19/2010	13.12	14.60	13.01	14.11	6307418	351364320.000
10/20/2010	13.97	14.71	13.90	14.40	5931141	336747040.000
10/21/2010	14.43	14.46	13.85	13.95	2888018	160487184.000
10/22/2010	13.95	15.07	13.95	14.64	4623102	267737184.000
10/25/2010	15.08	15.78	14.82	14.92	3835943	230646288.000
10/26/2010	14.70	15.16	14.42	15.09	3145211	182113104.000
10/27/2010	14.93	15.49	14.81	14.81	3092196	185150096.000
10/28/2010	14.63	14.92	14.42	14.68	2251364	129781744.000
10/29/2010	14.68	15.33	14.66	15.05	3542989	211662352.000
11/01/2010	15.46	15.78	15.07	15.67	4653240	286195200.000
11/02/2010	15.70	15.71	14.82	14.88	3832125	229366624.000
11/03/2010	14.79	14.79	14.16	14.27	2838632	161262416.000
11/04/2010	14.68	15.03	14.41	14.82	3677171	212863728.000
11/05/2010	14.89	15.02	14.43	14.79	3615304	210541248.000
11/08/2010	15.07	15.59	15.07	15.23	3072169	184974384.000
11/09/2010	15.26	15.55	15.03	15.45	3246049	196538224.000
11/10/2010	15.46	16.94	15.35	16.49	5929702	384057952.000
11/11/2010	16.19	17.55	16.12	17.00	5570359	372509088.000
11/12/2010	16.87	18.07	16.52	17.36	7632387	523368512.000
11/15/2010	17.36	19.14	17.00	19.13	6961936	500124512.000
11/16/2010	19.14	19.49	17.45	17.78	6568733	477525120.000
11/17/2010	17.26	17.68	15.98	16.12	5100840	338208480.000
11/18/2010	16.34	16.50	15.70	16.30	3061921	193753696.000
11/19/2010	16.32	17.38	15.98	17.29	3695951	245984768.000
11/22/2010	17.31	18.46	17.31	17.54	4423841	308139776.000
11/23/2010	17.55	17.67	16.37	16.99	3699713	244231328.000
11/24/2010	16.77	17.43	16.58	17.38	2149033	145212704.000
11/25/2010	17.51	17.95	16.78	16.97	3090761	209579184.000
11/26/2010	16.99	17.16	16.51	16.53	2661968	175136384.000
11/29/2010	16.54	17.15	16.16	17.05	2818448	185576368.000
11/30/2010	16.98	16.99	15.72	16.16	2702715	172517184.000
12/01/2010	15.99	16.57	15.88	16.22	1308453	83508656.000
12/02/2010	16.38	16.79	16.22	16.43	1773443	115391688.000
12/03/2010	16.43	16.57	15.83	16.04	1340487	84725184.000
12/06/2010	16.01	16.11	15.67	16.03	1075507	67524600.000
12/07/2010	16.03	16.30	15.60	16.23	1608085	101136536.000
12/08/2010	16.09	16.51	15.94	15.97	1046376	66819092.000
12/09/2010	15.83	16.13	15.72	15.73	853901	53424468.000
12/10/2010	15.73	16.09	15.70	15.97	904658	56869204.000
12/13/2010	16.25	16.58	16.09	16.54	1961109	127064216.000
12/14/2010	16.71	16.74	16.43	16.62	1704635	111470624.000
12/15/2010	16.48	16.77	16.48	16.57	1410235	92177400.000
12/16/2010	16.52	17.23	16.46	16.95	2269568	151576176.000
12/17/2010	16.95	17.41	16.54	16.57	2289492	152449840.000
12/20/2010	16.69	16.71	15.60	16.08	1976030	125474952.000
12/21/2010	16.05	16.24	15.89	16.02	1434621	90571320.000
12/22/2010	16.02	16.09	15.80	15.82	1254113	78513256.000
12/23/2010	15.82	15.98	15.72	15.84	979619	61125532.000
12/24/2010	15.75	15.83	14.97	15.05	1869959	112476800.000
12/27/2010	15.05	15.31	14.29	14.32	1709704	100299560.000
12/28/2010	14.29	14.29	13.41	13.51	2223257	120115824.000
12/29/2010	13.54	13.77	13.46	13.73	1575104	84854448.000
12/30/2010	13.88	13.88	13.60	13.73	1102709	59920236.000
12/31/2010	13.79	14.16	13.73	14.13	1174834	65042004.000
01/04/2011	14.19	14.66	13.90	14.42	2394857	134547760.000
01/05/2011	14.40	14.67	14.20	14.31	1181949	67446296.000
01/06/2011	14.42	14.42	13.86	13.92	1599500	88895016.000
01/07/2011	13.90	14.07	13.43	14.07	2235933	121138224.000
01/10/2011	13.78	14.08	13.56	13.58	1102627	60185400.000
01/11/2011	13.58	13.58	13.11	13.34	1297678	68402544.000
