300003 乐普医疗 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	24.54	25.24	23.89	24.82	3044898	77287816.000
10/11/2010	24.85	24.85	24.27	24.58	3533327	88966696.000
10/12/2010	24.66	25.36	24.49	24.87	3477900	89496368.000
10/13/2010	24.93	25.54	24.56	25.52	3277262	84713952.000
10/14/2010	25.53	26.22	25.00	25.56	4605834	121546840.000
10/15/2010	25.46	25.46	24.16	24.74	5061431	128738856.000
10/18/2010	24.46	24.46	23.46	23.76	3542911	86780720.000
10/19/2010	23.76	26.21	23.76	25.81	6147968	161681504.000
10/20/2010	25.24	27.40	25.09	26.26	8204509	223317616.000
10/21/2010	26.27	26.31	25.46	25.98	3078595	81997184.000
10/22/2010	25.99	27.18	25.62	26.56	4122007	113238872.000
10/25/2010	26.62	27.81	26.62	27.01	4650656	130240216.000
10/26/2010	27.26	27.56	25.71	26.26	6570977	176859296.000
10/27/2010	26.29	27.05	25.62	25.65	5270202	141632752.000
10/28/2010	25.70	26.22	25.34	26.08	2885879	76669832.000
10/29/2010	26.17	26.96	26.17	26.56	6120177	167938448.000
11/01/2010	27.27	28.55	26.96	27.44	8380289	237593280.000
11/02/2010	27.31	27.31	26.51	26.77	4470723	123344448.000
11/03/2010	26.75	26.75	25.68	25.95	2805338	75093600.000
11/04/2010	26.01	26.18	25.67	26.16	2841494	75904168.000
11/05/2010	26.23	27.11	26.07	27.06	3970722	109186336.000
11/08/2010	27.15	28.22	27.10	27.45	5166216	146826768.000
11/09/2010	27.40	28.16	26.89	28.16	5294673	149886544.000
11/10/2010	28.47	30.27	28.47	30.15	9662299	293755328.000
11/11/2010	30.04	30.60	29.24	29.26	7056812	216978240.000
11/12/2010	29.37	30.26	26.96	27.61	7528388	221858736.000
11/15/2010	27.96	29.80	27.71	29.72	6898929	204022784.000
11/16/2010	29.72	31.26	28.85	30.26	10030136	311272928.000
11/17/2010	30.13	30.16	27.54	27.78	5893345	174744992.000
11/18/2010	27.88	28.86	27.27	28.49	3550839	102263696.000
11/19/2010	28.77	29.77	28.55	29.77	4110199	123322744.000
11/22/2010	29.78	31.21	29.77	30.48	6182885	194422768.000
11/23/2010	31.28	32.26	30.61	31.94	9769663	315429248.000
11/24/2010	31.34	33.24	31.26	32.84	7518494	250087296.000
11/25/2010	33.32	33.50	31.36	31.84	7882227	258937056.000
11/26/2010	31.71	32.45	31.22	31.88	5151010	167536688.000
11/29/2010	31.96	32.26	31.37	32.09	3765878	123430272.000
11/30/2010	32.11	32.11	29.31	30.65	5889083	184900976.000
12/01/2010	30.27	30.55	29.81	30.05	2245276	69303288.000
12/02/2010	30.56	30.84	30.03	30.44	2509926	77805464.000
12/03/2010	30.26	30.41	29.11	29.50	3499099	106235704.000
12/06/2010	29.51	29.76	28.91	29.11	2798886	83620888.000
12/08/2010	29.50	30.26	29.50	29.60	3083020	94432976.000
12/09/2010	29.74	30.06	29.10	29.91	2459380	74624480.000
12/10/2010	29.66	30.31	29.41	30.28	2307264	70848368.000
12/13/2010	30.25	31.15	30.16	30.87	3347795	105623048.000
12/14/2010	31.04	32.04	30.52	31.46	3966506	127397168.000
12/15/2010	31.36	31.86	30.71	30.77	2867085	91414552.000
12/16/2010	30.79	31.36	30.79	31.06	1815946	57903556.000
12/17/2010	30.86	31.55	30.81	31.53	2129513	68126064.000
12/20/2010	31.16	32.11	30.39	30.91	3333184	106859304.000
12/21/2010	30.92	31.21	30.32	30.63	2149772	67546496.000
12/22/2010	30.51	30.62	29.21	29.47	4160077	127028632.000
12/23/2010	29.27	29.77	29.16	29.21	1888832	57001580.000
12/24/2010	29.22	29.24	28.26	28.36	2222566	65266288.000
12/28/2010	27.46	27.46	25.45	26.01	4896699	132736696.000
12/29/2010	25.86	26.46	25.84	26.15	2460788	66227748.000
12/30/2010	26.15	26.42	25.65	26.21	2352657	63001364.000
12/31/2010	26.31	26.75	26.23	26.65	1614041	44026676.000
01/04/2011	26.94	27.11	26.63	26.91	1833902	50726372.000
01/05/2011	26.71	26.89	26.59	26.66	3068759	84124576.000
01/06/2011	26.56	26.74	26.33	26.41	1343596	36563160.000
01/07/2011	26.40	26.69	25.92	26.04	2045268	55350404.000
01/10/2011	25.91	25.91	24.77	25.06	2082850	54477436.000
01/11/2011	25.04	25.56	24.76	25.48	1648236	42491468.000
01/12/2011	25.62	25.71	24.96	25.48	1009025	26431544.000
01/13/2011	25.49	25.83	25.28	25.57	1006972	26431984.000
01/14/2011	25.57	25.57	25.02	25.11	1005957	26103926.000
01/17/2011	25.12	25.26	23.94	24.08	1428498	36004616.000
