300004 南风股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	21.94	22.60	21.94	22.38	855007	38752968.000
10/11/2010	22.30	22.34	21.22	21.47	903536	39597176.000
10/12/2010	21.50	21.85	21.35	21.39	500771	21935902.000
10/13/2010	21.35	23.48	21.24	23.20	1848620	83814040.000
10/14/2010	23.59	23.74	22.45	22.90	2318450	108846240.000
10/15/2010	23.20	24.64	22.96	23.97	2707449	131496824.000
10/18/2010	24.49	25.53	23.98	24.45	2318243	115574752.000
10/19/2010	24.61	26.45	23.80	25.71	2646380	135644560.000
10/20/2010	25.21	26.38	24.78	25.32	1802224	93010168.000
10/21/2010	25.68	25.68	23.85	24.20	1159805	57210208.000
10/22/2010	24.16	25.15	23.90	24.43	925830	45757184.000
10/25/2010	24.45	25.95	24.45	25.40	1400811	72186776.000
10/26/2010	25.10	26.80	24.96	25.98	1550466	82067496.000
10/27/2010	25.90	26.45	25.05	25.09	932330	48163324.000
10/28/2010	25.27	25.88	25.20	25.40	730656	37676696.000
10/29/2010	25.70	27.97	25.55	27.36	2561627	140891968.000
11/01/2010	28.20	30.12	28.20	29.79	2991730	177561408.000
11/02/2010	29.20	30.70	28.20	28.80	2644578	157274208.000
11/03/2010	28.36	29.62	27.71	27.77	1713268	99221032.000
11/04/2010	28.00	28.65	27.60	28.53	1135204	64457164.000
11/05/2010	28.87	29.03	28.14	28.64	879207	50656464.000
11/08/2010	28.70	30.83	28.70	30.03	1532146	92441208.000
11/09/2010	29.65	29.68	27.84	28.70	3958750	226006208.000
11/10/2010	28.20	28.63	28.00	28.19	1722874	98722816.000
11/11/2010	27.90	28.90	27.90	27.95	1511478	87015312.000
11/12/2010	27.95	28.30	25.55	26.20	1826138	98943752.000
11/15/2010	26.63	27.60	26.26	27.60	1300195	71189608.000
11/16/2010	27.70	28.60	26.36	27.43	1482850	83517040.000
11/17/2010	26.98	28.19	26.25	27.32	1526010	84770152.000
11/18/2010	27.53	27.89	26.64	27.20	717545	39208316.000
11/19/2010	27.29	28.13	27.05	28.05	1210520	67767592.000
11/22/2010	28.00	28.89	27.90	28.20	1491433	85793272.000
11/23/2010	28.19	28.19	26.91	27.80	844964	46900556.000
11/24/2010	27.59	28.11	27.59	27.80	2203253	123826936.000
11/25/2010	28.00	28.79	27.47	27.65	1610006	91327192.000
11/26/2010	27.70	27.95	26.71	27.08	1180391	65111020.000
11/29/2010	27.07	27.28	26.65	26.70	1577236	85874888.000
11/30/2010	26.69	27.05	24.74	25.35	1802442	93453624.000
12/01/2010	25.70	25.83	25.21	25.65	921915	47620912.000
12/02/2010	25.91	26.08	25.47	25.55	829688	43231836.000
12/03/2010	25.50	25.50	24.91	25.21	1141233	57926496.000
12/06/2010	25.39	25.55	25.03	25.44	788849	40241768.000
12/07/2010	25.39	25.98	25.22	25.81	812844	42186064.000
12/08/2010	25.83	25.97	25.20	25.20	949815	49327920.000
12/09/2010	25.20	25.44	25.00	25.03	647996	33143134.000
12/10/2010	24.70	25.85	24.63	25.75	555690	28486712.000
12/13/2010	25.88	26.92	25.86	26.77	1473731	79371392.000
12/14/2010	26.94	26.94	26.60	26.69	753748	40746116.000
12/15/2010	26.69	27.75	26.61	27.70	1917549	105992976.000
12/16/2010	27.64	28.15	27.36	27.54	1132181	63564536.000
12/17/2010	27.37	27.95	27.37	27.64	740428	41494320.000
12/20/2010	27.90	27.92	25.76	27.55	1271559	69579696.000
12/21/2010	27.45	27.55	26.95	27.17	646931	35572036.000
12/22/2010	26.97	27.07	26.45	26.59	960090	51750696.000
12/23/2010	26.55	26.65	25.62	25.70	1460767	77012384.000
12/24/2010	25.45	25.45	24.95	25.40	929163	47254108.000
12/27/2010	25.46	25.87	24.60	24.71	820377	42146636.000
12/28/2010	24.65	25.10	24.49	24.76	483404	24231410.000
12/29/2010	24.65	25.64	24.65	25.51	503844	25821654.000
12/30/2010	25.60	25.88	25.31	25.88	685076	35632624.000
12/31/2010	25.95	26.68	25.71	26.20	743570	39549184.000
01/04/2011	26.45	26.94	26.20	26.26	816007	43631680.000
01/05/2011	26.20	27.40	26.05	27.27	1250874	68193512.000
01/06/2011	27.10	27.15	26.57	26.67	731159	39546588.000
01/07/2011	26.75	27.30	25.91	26.30	642284	34610300.000
01/10/2011	26.30	26.95	26.01	26.30	798435	42939144.000
01/11/2011	26.11	26.11	25.30	26.01	724702	37805704.000
01/12/2011	26.01	26.50	25.05	25.59	1010010	52202732.000
01/13/2011	25.60	25.76	25.11	25.63	421983	21754626.000
01/14/2011	25.66	25.66	24.71	25.05	480676	24518872.000
01/17/2011	24.92	25.28	24.45	24.60	495158	24814386.000
01/18/2011	24.45	24.95	24.45	24.95	230342	11547288.000
01/19/2011	24.82	25.79	24.81	25.57	354163	18148014.000
01/20/2011	25.31	25.63	24.25	24.37	701214	35494384.000
01/21/2011	24.20	25.10	23.95	24.53	822205	41131484.000
01/24/2011	24.70	25.20	24.23	24.70	613374	30749022.000
01/25/2011	24.71	25.14	23.36	23.60	571173	27710624.000
01/26/2011	23.65	23.83	23.60	23.78	267831	12855602.000
01/27/2011	23.25	24.45	23.24	24.10	526389	25469186.000
01/28/2011	24.20	24.29	23.61	23.95	367018	17759528.000
01/31/2011	23.70	24.20	23.70	24.08	412322	20102332.000
02/01/2011	24.20	24.56	24.08	24.56	467404	23053394.000
02/09/2011	24.48	25.20	24.26	24.95	484854	24488804.000
02/10/2011	24.75	25.55	24.33	25.53	613623	31150646.000
02/11/2011	25.35	25.52	25.20	25.40	342733	17593678.000
02/14/2011	25.40	25.90	25.05	25.68	700639	36242920.000
02/15/2011	25.63	25.88	25.33	25.36	637306	32887566.000
02/16/2011	25.28	25.81	25.28	25.70	594561	30769062.000
02/17/2011	25.71	26.49	25.46	26.49	908266	48063976.000
02/18/2011	26.70	26.70	25.95	26.35	646820	34499280.000
02/21/2011	26.20	27.30	26.08	27.01	866808	47136536.000
02/22/2011	27.17	27.24	26.53	26.79	1094995	59450148.000
02/23/2011	26.71	27.95	26.70	27.63	979749	54343932.000
02/24/2011	27.15	27.65	26.66	27.35	1811898	99127744.000
02/25/2011	27.15	27.45	26.37	26.50	1271383	69088304.000
03/01/2011	27.70	28.60	27.55	27.71	2188597	124340576.000
03/02/2011	27.70	28.70	27.45	28.15	1019311	58314880.000
03/03/2011	27.96	28.60	27.49	27.71	717622	40476480.000
03/04/2011	27.71	28.15	27.63	28.10	400547	22640492.000
03/07/2011	28.14	28.20	27.76	28.10	433517	24597944.000
03/08/2011	28.10	28.50	27.89	28.10	309053	17585142.000
03/09/2011	28.10	28.30	27.60	27.86	637945	35843448.000
03/10/2011	27.68	28.12	27.68	27.78	379382	21400996.000
03/11/2011	27.78	29.05	27.46	28.82	874366	50366612.000
03/14/2011	28.04	28.25	27.14	27.78	1892168	105731632.000
03/16/2011	26.95	27.20	26.20	26.70	2083840	112076200.000
03/17/2011	24.68	24.70	24.00	24.00	3604464	176576144.000
03/18/2011	24.00	24.20	23.49	24.04	1518499	73569320.000
03/21/2011	24.21	24.84	23.96	24.07	2036115	100084000.000
03/22/2011	24.14	24.25	23.52	24.25	997937	48343168.000
03/23/2011	24.13	24.42	24.06	24.15	767819	37729896.000
03/24/2011	24.05	24.30	23.85	23.94	856840	41620076.000
03/25/2011	23.95	23.95	23.38	23.58	1276869	61056628.000
03/28/2011	23.55	23.55	22.52	23.14	1302694	60234256.000
03/29/2011	22.94	22.95	21.95	22.52	866096	39527012.000
03/30/2011	22.24	22.45	21.75	22.39	951284	42494040.000
03/31/2011	22.20	22.55	22.14	22.17	764385	34623632.000
04/01/2011	22.26	22.71	22.00	22.70	634841	28867030.000
04/06/2011	22.58	22.79	22.48	22.70	390829	17920776.000
04/07/2011	22.55	23.00	22.39	22.88	368441	17058592.000
04/08/2011	22.88	22.95	22.62	22.95	329696	15225646.000
04/11/2011	22.95	23.09	22.73	22.91	248848	11502681.000
04/12/2011	22.77	23.04	22.76	22.91	261600	12138073.000
04/13/2011	22.76	23.23	22.70	23.10	334744	15669916.000
04/14/2011	23.03	23.56	23.03	23.34	367150	17392016.000
04/18/2011	23.30	23.59	22.85	23.51	319173	15133948.000
04/19/2011	23.39	23.54	23.15	23.53	328459	15479170.000
04/20/2011	23.65	23.70	23.35	23.59	245969	11697051.000
04/21/2011	23.50	23.50	23.17	23.33	265186	12489514.000
04/22/2011	23.33	23.60	22.93	23.50	498589	23524900.000
04/25/2011	23.50	23.50	22.95	23.00	236745	11103982.000
04/26/2011	23.00	23.30	22.95	23.15	325730	15254426.000
04/27/2011	23.15	23.47	23.01	23.19	350033	16552047.000
04/28/2011	23.19	23.50	22.01	22.71	614584	28713568.000
04/29/2011	22.65	23.45	22.65	23.40	265837	12480403.000
05/03/2011	23.45	24.15	23.25	23.75	629620	30213716.000
05/04/2011	23.74	23.80	23.32	23.37	425251	20226858.000
05/05/2011	23.37	23.70	23.11	23.62	250205	11930191.000
05/06/2011	23.61	23.67	23.25	23.49	180267	8579210.000
05/09/2011	23.70	24.35	23.70	23.90	492546	23955062.000
05/10/2011	24.10	24.10	23.73	23.95	353089	17088098.000
05/11/2011	23.95	24.13	23.86	23.93	205071	9967686.000
