300005 探路者 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.32	7.49	7.17	7.36	1160317	33487102.000
10/11/2010	7.36	7.43	7.01	7.05	1443133	40592636.000
10/12/2010	6.98	7.18	6.80	6.96	1005787	27790984.000
10/13/2010	6.93	7.43	6.83	7.39	1298474	36308004.000
10/14/2010	7.37	7.97	7.22	7.44	2137133	64373336.000
10/15/2010	7.43	8.22	7.22	8.22	2603106	80587040.000
10/18/2010	8.21	9.02	7.79	8.40	3146777	101456192.000
10/19/2010	8.22	9.27	8.02	9.27	3216357	112420456.000
10/20/2010	9.06	10.16	9.04	9.62	3495849	130352952.000
10/21/2010	9.43	9.48	8.62	8.62	5272743	181663232.000
10/22/2010	8.29	8.88	8.24	8.37	3142882	105216480.000
10/25/2010	8.30	8.52	8.21	8.42	2425193	79684672.000
10/26/2010	8.40	8.58	7.95	8.53	2963368	95964944.000
10/27/2010	8.34	8.64	8.16	8.20	1363522	44897692.000
10/28/2010	8.19	8.46	8.16	8.24	984967	31881598.000
10/29/2010	8.29	8.69	8.29	8.52	3117190	104357720.000
11/01/2010	8.57	9.17	8.57	8.74	4380054	151492448.000
11/02/2010	8.82	8.82	8.29	8.32	2398196	79086016.000
11/03/2010	8.27	8.27	7.95	8.06	1416259	44828788.000
11/04/2010	8.06	8.28	7.79	8.25	2546889	79258672.000
11/05/2010	8.18	8.32	8.05	8.20	1831290	58786988.000
11/09/2010	8.40	8.66	8.40	8.63	2677908	89520232.000
11/10/2010	8.65	8.85	8.45	8.64	1986554	67707240.000
11/11/2010	8.53	9.03	8.53	8.76	2336611	80357272.000
11/12/2010	8.71	9.14	8.42	8.45	2770565	95093672.000
11/15/2010	8.43	9.25	8.34	9.25	3084298	106567848.000
11/16/2010	9.19	9.81	8.77	9.47	3789357	138991840.000
11/17/2010	9.49	9.49	8.48	8.64	2189358	76176880.000
11/18/2010	8.63	9.00	8.22	8.84	1750564	59078216.000
11/19/2010	8.88	9.12	8.72	9.12	1549305	54361660.000
11/22/2010	9.10	9.42	8.90	9.32	2009927	72427728.000
11/23/2010	9.18	9.52	8.90	9.41	1365177	49014004.000
11/24/2010	9.40	10.05	9.25	10.02	2614375	98997296.000
11/25/2010	9.86	10.21	9.46	9.76	1958989	74155704.000
11/26/2010	9.81	9.89	9.45	9.55	989947	37237768.000
11/29/2010	9.49	9.73	9.49	9.59	1272315	47615292.000
11/30/2010	9.64	9.64	9.00	9.34	1621931	58562488.000
12/01/2010	9.33	9.49	9.12	9.43	616947	22605064.000
12/02/2010	9.54	9.57	9.30	9.46	636075	23388216.000
12/03/2010	9.46	9.46	9.06	9.14	796023	28485648.000
12/06/2010	9.09	9.26	8.90	9.23	819894	28903346.000
12/07/2010	9.23	9.39	9.08	9.39	432800	15667583.000
12/08/2010	9.36	9.62	9.28	9.28	562413	20737652.000
12/09/2010	9.21	9.33	8.80	9.19	881806	30991910.000
12/10/2010	9.11	9.35	9.00	9.08	687968	24502962.000
12/13/2010	9.11	9.59	9.02	9.49	1205475	44141060.000
12/14/2010	9.44	9.65	9.44	9.54	1179052	43855316.000
12/16/2010	9.54	9.62	9.12	9.30	1087679	39783188.000
12/17/2010	9.30	9.30	9.11	9.19	661904	23729910.000
12/20/2010	9.17	9.22	8.64	8.99	972344	34124136.000
12/21/2010	8.99	9.09	8.68	8.77	942779	32564542.000
12/22/2010	8.76	9.36	8.69	9.33	1263820	44883108.000
12/23/2010	9.32	9.33	9.04	9.11	638514	22877044.000
12/24/2010	8.96	9.01	8.74	8.78	693350	23943656.000
12/27/2010	8.72	8.92	8.44	8.68	784524	26519414.000
12/28/2010	8.69	8.69	8.16	8.34	704453	23125714.000
12/29/2010	8.40	8.56	8.24	8.52	750221	24785788.000
12/30/2010	8.52	8.86	8.50	8.80	1043486	35626144.000
12/31/2010	8.77	9.06	8.66	8.76	892277	30675500.000
01/04/2011	8.77	8.82	8.70	8.73	352512	12091025.000
01/05/2011	8.72	8.78	8.42	8.65	843166	28375960.000
01/06/2011	8.52	9.22	8.52	9.11	1430893	49267640.000
01/07/2011	9.06	9.22	8.89	8.96	798030	28163320.000
01/10/2011	8.96	9.08	8.50	8.56	1226075	42066652.000
01/11/2011	8.60	8.68	8.29	8.36	435338	14361137.000
01/12/2011	8.55	8.55	7.88	8.05	1024195	32436502.000
01/13/2011	7.94	8.24	7.94	8.01	485101	15439794.000
01/14/2011	8.01	8.18	7.70	8.13	721160	22598774.000
01/17/2011	8.10	8.12	7.41	7.62	756237	22773240.000
01/18/2011	7.61	7.73	7.43	7.62	368022	11046766.000
01/19/2011	7.59	8.05	7.59	7.98	898526	28005152.000
01/20/2011	7.94	8.03	7.64	7.71	514677	15797687.000
01/21/2011	8.07	8.40	7.99	8.02	453750	14431353.000
01/24/2011	7.81	8.06	7.54	7.73	525382	16070825.000
01/25/2011	7.88	7.94	7.59	7.94	544225	16618892.000
01/26/2011	7.91	8.24	7.78	8.24	390162	12398833.000
01/27/2011	8.22	8.65	8.10	8.56	1265986	41693304.000
01/28/2011	8.43	8.53	8.02	8.14	2026067	64746652.000
01/31/2011	8.12	8.14	7.99	8.05	1052475	33157128.000
02/01/2011	8.10	8.22	7.79	7.88	593132	18506338.000
02/09/2011	7.83	7.95	7.64	7.91	226917	6955661.500
02/10/2011	7.93	8.08	7.81	8.07	686081	21542952.000
02/11/2011	8.07	8.42	8.03	8.26	922397	29911222.000
02/14/2011	8.29	8.41	8.16	8.41	1024787	33348762.000
02/15/2011	8.42	8.61	8.33	8.61	1270312	42100300.000
02/16/2011	8.53	8.53	8.08	8.37	3342880	107573224.000
02/17/2011	8.26	8.26	8.08	8.13	2112028	67138792.000
02/18/2011	8.14	8.14	7.91	8.07	1151712	36246624.000
02/21/2011	7.97	8.17	7.97	8.13	1196122	38163080.000
02/22/2011	8.12	8.20	7.73	7.83	975357	30561086.000
02/23/2011	7.70	8.02	7.70	7.89	589275	18244480.000
02/24/2011	7.89	8.02	7.75	7.79	953954	29623810.000
02/25/2011	7.79	7.96	7.79	7.91	432946	13445179.000
02/28/2011	7.89	8.01	7.62	7.86	770382	23524394.000
03/01/2011	7.87	7.92	7.81	7.86	559647	17291962.000
03/02/2011	7.85	7.91	7.78	7.86	509881	15725891.000
03/03/2011	7.86	8.05	7.84	7.85	1086609	33850384.000
03/04/2011	7.88	7.89	7.51	7.54	2222744	66670568.000
03/07/2011	7.54	7.62	7.41	7.43	1996749	59035800.000
03/08/2011	7.45	7.49	7.25	7.39	1893514	54719228.000
03/09/2011	7.39	7.67	7.35	7.65	1546739	46030768.000
03/10/2011	7.65	7.70	7.61	7.62	1130723	34016312.000
03/11/2011	7.61	7.73	7.57	7.67	805113	24225536.000
03/14/2011	7.71	8.26	7.68	8.21	2952413	93217120.000
03/15/2011	8.22	8.45	8.04	8.17	2404935	77084912.000
03/16/2011	8.19	8.42	8.10	8.12	1084530	35081036.000
03/17/2011	8.18	8.21	7.89	8.01	1077108	34167640.000
03/18/2011	8.14	8.21	7.57	7.67	3146756	95098184.000
03/21/2011	7.67	7.67	7.54	7.58	936208	27968980.000
03/22/2011	7.61	7.67	7.50	7.51	1060958	31592222.000
03/23/2011	7.51	7.62	7.46	7.54	818822	24344572.000
03/24/2011	7.54	7.58	7.47	7.51	720280	21349374.000
03/25/2011	7.57	7.57	7.42	7.43	912700	26923678.000
03/28/2011	7.45	7.70	7.24	7.62	2210849	64312652.000
03/29/2011	7.49	7.64	7.20	7.25	1345401	39241764.000
03/30/2011	7.09	7.21	6.88	6.98	1844565	50913268.000
03/31/2011	7.01	7.07	6.95	6.97	464088	12825631.000
04/01/2011	7.03	7.10	6.95	7.02	562340	15567824.000
04/06/2011	7.02	7.02	6.96	6.99	731709	20223716.000
04/07/2011	6.97	7.01	6.95	6.98	561529	15494802.000
04/08/2011	7.05	7.22	7.00	7.09	1006126	28308158.000
04/11/2011	7.11	7.15	6.95	6.98	817340	22688470.000
04/12/2011	6.98	7.03	6.82	6.85	893097	24522084.000
04/13/2011	6.87	7.04	6.84	7.03	805489	22196578.000
04/14/2011	7.05	7.07	6.95	6.98	448799	12398989.000
04/15/2011	6.96	7.21	6.82	7.16	747125	20881138.000
04/19/2011	7.20	7.72	7.06	7.50	2130460	62301300.000
04/20/2011	7.51	7.58	7.36	7.41	792279	23313928.000
04/21/2011	7.45	7.64	7.37	7.64	1703647	50680628.000
04/22/2011	7.73	7.75	7.54	7.63	922228	27663610.000
04/25/2011	7.68	7.69	7.43	7.47	714312	21262960.000
04/26/2011	7.47	7.62	7.41	7.41	688471	20411840.000
04/27/2011	7.47	7.47	7.01	7.20	1189090	33909852.000
04/28/2011	7.16	7.43	7.09	7.11	1337500	19034428.000
04/29/2011	7.11	7.33	7.05	7.20	795537	11295825.000
05/03/2011	7.28	7.29	7.11	7.15	1776042	25055892.000
05/04/2011	7.10	7.23	7.01	7.05	1219424	17068206.000
05/05/2011	7.02	7.39	7.00	7.38	1817501	26017784.000
05/06/2011	7.31	7.57	7.25	7.37	1636426	23892296.000
05/09/2011	7.33	7.54	7.31	7.39	1344592	19598348.000
05/11/2011	7.48	7.53	7.33	7.38	1436090	20944072.000
05/12/2011	7.33	7.40	7.12	7.12	1045369	15010736.000
05/13/2011	7.19	7.23	7.09	7.11	1406679	19752902.000
05/16/2011	7.11	7.19	7.01	7.11	803656	11248856.000
