300006 莱美药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.42	12.60	12.41	12.47	702138	18026268.000
10/11/2010	12.47	12.69	12.33	12.65	1006917	25866740.000
10/12/2010	12.70	12.78	12.53	12.64	768880	20002578.000
10/13/2010	12.63	12.70	12.45	12.70	924958	23955578.000
10/14/2010	12.70	12.75	12.42	12.49	801305	20726292.000
10/15/2010	12.40	12.59	12.24	12.30	942126	23960004.000
10/18/2010	12.25	12.28	11.74	12.13	925052	22840902.000
10/19/2010	12.13	13.37	12.07	13.17	2067083	55167188.000
10/20/2010	13.05	13.58	12.86	13.18	1975983	53972240.000
10/21/2010	13.19	13.37	12.84	13.21	1180657	31785608.000
10/22/2010	13.21	13.60	13.15	13.38	1403374	38503768.000
10/25/2010	13.38	13.86	13.28	13.66	2191589	61095644.000
10/26/2010	13.65	13.66	13.29	13.61	1279821	35252156.000
10/27/2010	14.51	14.96	13.59	13.80	3325139	97730592.000
10/28/2010	13.65	14.45	13.35	14.30	3128823	90533480.000
10/29/2010	14.30	15.08	14.30	14.61	3017198	90922784.000
11/01/2010	14.51	14.89	14.21	14.70	2391446	71539856.000
11/02/2010	14.53	14.57	14.05	14.36	1870234	54669108.000
11/03/2010	14.35	14.36	13.60	13.70	1039115	29995446.000
11/04/2010	13.65	14.28	13.45	14.10	990846	28221456.000
11/05/2010	14.15	14.90	14.15	14.71	1806837	54144460.000
11/08/2010	14.74	15.04	14.55	14.55	1697930	51298764.000
11/09/2010	14.65	15.55	14.65	15.50	2464082	76975912.000
11/10/2010	15.22	16.24	15.05	16.00	2168740	70522256.000
11/11/2010	15.80	16.30	15.50	15.52	1804659	59214588.000
11/12/2010	15.58	16.00	14.70	14.73	1465766	45515888.000
11/15/2010	14.78	15.49	14.73	15.36	2426592	75392792.000
11/16/2010	15.28	15.84	14.55	14.72	1864745	58463416.000
11/17/2010	14.72	14.89	14.35	14.37	1035526	31061768.000
11/18/2010	14.41	14.91	14.41	14.90	712413	21520160.000
11/19/2010	14.90	15.78	14.82	15.74	1879444	59309888.000
11/22/2010	15.74	16.75	15.70	16.65	2381222	80435416.000
11/24/2010	16.65	17.28	16.15	17.13	2427035	83315032.000
11/25/2010	16.95	17.34	16.43	16.65	1052234	36060332.000
11/26/2010	16.67	17.40	16.45	17.07	1022455	35634748.000
11/29/2010	17.36	17.45	16.66	17.26	1046744	36895988.000
11/30/2010	17.15	17.65	16.26	17.48	1350797	46731836.000
12/01/2010	17.15	17.64	16.91	17.34	737519	26103002.000
12/02/2010	17.31	17.40	16.75	16.76	965572	33672924.000
12/03/2010	16.76	16.78	16.11	16.33	1001601	33569212.000
12/06/2010	16.33	16.93	16.20	16.89	1038067	35368200.000
12/07/2010	16.90	16.95	16.51	16.75	1681948	57583296.000
12/09/2010	17.15	17.38	16.60	16.84	955828	33057806.000
12/10/2010	16.90	17.98	16.65	17.65	1339222	47792656.000
12/13/2010	17.91	18.90	17.91	18.58	1010453	38333416.000
12/14/2010	18.44	19.39	18.44	19.18	1008564	38835668.000
12/15/2010	19.03	19.64	18.76	18.95	1016199	39905896.000
12/16/2010	18.75	19.62	18.75	19.25	892198	35193892.000
12/17/2010	19.11	19.43	18.90	19.24	426495	16632995.000
12/20/2010	19.15	19.39	18.25	19.34	748073	28646010.000
12/21/2010	19.24	19.55	18.95	19.26	442355	17274756.000
12/22/2010	19.16	19.40	18.91	19.13	478969	18641926.000
12/23/2010	19.18	19.25	18.60	18.61	360175	13886357.000
12/24/2010	18.65	19.14	18.26	18.45	537204	20422920.000
12/27/2010	18.38	18.85	17.38	17.75	515211	19091044.000
12/28/2010	17.66	17.78	16.66	17.21	478984	16950624.000
12/29/2010	17.20	17.55	17.20	17.50	460652	16397156.000
12/30/2010	17.50	18.37	17.25	17.96	930167	34021616.000
12/31/2010	17.96	18.33	17.65	17.99	552759	20097810.000
01/04/2011	18.30	18.30	17.65	18.00	588844	21468410.000
01/05/2011	17.95	18.40	17.71	17.71	713891	26305726.000
01/06/2011	17.71	17.96	17.35	17.37	662201	23776894.000
01/07/2011	17.24	18.25	17.15	17.89	732251	26568710.000
01/10/2011	17.84	18.15	16.34	16.93	666191	23633208.000
01/11/2011	16.85	16.88	16.42	16.51	388225	13195525.000
01/12/2011	16.71	16.88	15.98	16.29	632285	20988850.000
01/13/2011	16.30	17.03	16.30	16.96	774962	26531092.000
01/14/2011	16.96	17.16	16.33	16.64	864592	29793608.000
01/17/2011	16.49	16.49	14.94	15.18	1294497	41716188.000
01/18/2011	15.15	15.59	15.05	15.13	271726	8464783.000
01/19/2011	15.29	15.58	15.05	15.38	342341	10732392.000
01/20/2011	15.45	15.46	14.60	14.70	319794	9761779.000
01/21/2011	14.50	14.79	14.13	14.33	270783	7989007.500
01/24/2011	14.33	14.59	13.97	14.45	884491	25860950.000
01/25/2011	14.45	15.08	14.05	14.99	1804051	53387276.000
01/26/2011	14.99	16.05	14.68	15.55	1664236	51855276.000
01/27/2011	15.65	15.80	15.25	15.41	1136404	36001828.000
