300007 汉威电子 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	17.87	18.69	17.87	18.48	1492418	27733438.000
10/11/2010	18.49	18.70	18.08	18.30	1650314	30786196.000
10/12/2010	18.32	20.16	18.32	20.16	2469645	48921760.000
10/13/2010	20.94	22.21	20.10	22.05	4840325	103941440.000
10/14/2010	21.80	23.58	21.20	21.59	3928031	89075992.000
10/15/2010	21.04	21.29	20.20	20.60	2530201	53172820.000
10/18/2010	20.58	20.58	18.98	19.14	2006529	39853776.000
10/19/2010	18.77	21.08	18.45	21.08	2494423	51866696.000
10/20/2010	21.70	23.09	21.70	22.15	5765492	130291232.000
10/21/2010	20.93	21.67	20.87	21.16	3200960	68594648.000
10/22/2010	21.18	22.70	21.16	21.61	3099813	69095936.000
10/25/2010	21.88	22.33	21.40	21.88	2789266	61977748.000
10/26/2010	22.60	23.06	21.41	23.05	4365627	98698000.000
10/27/2010	23.00	23.88	22.21	22.24	3778482	88438040.000
10/28/2010	21.81	22.20	21.34	21.58	2441626	53825248.000
10/29/2010	21.92	23.20	21.72	22.09	3180549	72570480.000
11/01/2010	22.39	23.46	22.10	23.35	5143892	119598256.000
11/02/2010	23.36	23.45	22.21	22.35	3709160	84831496.000
11/03/2010	22.02	22.15	20.91	20.95	2566017	55684732.000
11/04/2010	20.70	21.66	20.70	21.46	1575214	33824476.000
11/05/2010	21.74	21.89	21.10	21.54	1262120	27390044.000
11/08/2010	21.67	22.64	21.60	22.44	2384720	53618072.000
11/09/2010	22.40	22.50	22.00	22.24	1614319	36292268.000
11/10/2010	22.25	22.84	22.24	22.60	2867600	65839624.000
11/11/2010	22.69	22.82	22.22	22.25	2763442	62952656.000
11/12/2010	21.80	22.16	20.40	20.42	3112338	66603468.000
11/15/2010	20.43	21.31	20.43	21.26	2008080	42775060.000
11/16/2010	21.32	23.22	21.32	22.18	5209064	118446800.000
11/17/2010	21.90	22.58	20.38	21.12	2534405	55454520.000
11/18/2010	21.43	21.57	20.70	21.29	1586358	33952892.000
11/19/2010	21.36	23.18	21.06	23.08	6254729	142650224.000
11/22/2010	22.86	25.42	22.72	24.70	11127539	277013920.000
11/23/2010	24.30	24.35	23.01	23.68	5226205	125013496.000
11/24/2010	23.68	24.38	23.35	24.06	3862851	93517304.000
11/25/2010	24.07	24.20	23.03	23.29	3670943	87046792.000
11/26/2010	23.19	23.60	22.70	23.40	2444457	57581180.000
11/29/2010	23.35	23.89	23.20	23.66	2714270	64749708.000
11/30/2010	23.56	23.87	21.50	22.13	3490032	79288872.000
12/01/2010	22.00	22.13	21.68	21.95	1262578	27981668.000
12/02/2010	22.21	22.46	22.00	22.25	1626163	36709980.000
12/03/2010	22.28	22.35	21.21	21.71	1422604	31221492.000
12/06/2010	21.75	21.75	20.90	21.03	1266819	27078142.000
12/07/2010	21.03	21.50	20.71	21.45	984012	21279918.000
12/08/2010	21.27	21.61	21.05	21.20	892605	19321636.000
12/09/2010	21.05	21.48	20.72	21.25	935058	20053426.000
12/10/2010	20.90	21.58	20.88	21.40	723560	15668675.000
12/13/2010	21.50	22.13	21.45	22.04	1598218	35520124.000
12/14/2010	22.11	22.53	21.81	22.13	1577453	35564104.000
12/15/2010	22.21	22.65	21.58	21.70	1341443	30170808.000
12/16/2010	21.70	22.90	21.55	22.43	2802185	63637836.000
12/17/2010	22.24	22.90	22.23	22.47	1612954	36869820.000
12/20/2010	22.46	22.70	21.00	21.55	2244226	49503088.000
12/21/2010	21.61	21.88	21.25	21.70	1292834	28302816.000
12/22/2010	21.79	21.79	21.27	21.39	1104049	23973244.000
12/23/2010	21.39	21.39	20.70	20.86	1275143	27100344.000
12/24/2010	20.69	20.85	19.72	20.01	1369406	27974934.000
12/27/2010	19.95	20.20	19.43	19.57	1215740	24520768.000
12/28/2010	19.55	19.55	18.70	18.82	1168742	22555808.000
12/29/2010	18.76	19.20	18.76	19.12	900972	17398496.000
12/30/2010	19.34	19.34	18.92	19.11	733879	14266888.000
12/31/2010	19.09	19.58	18.95	19.56	593628	11713520.000
01/04/2011	19.71	19.82	19.50	19.70	849291	16935376.000
01/05/2011	19.80	19.86	19.47	19.70	675650	13510359.000
01/06/2011	19.70	19.96	19.50	19.86	579322	11582616.000
01/07/2011	19.77	19.84	19.53	19.61	687498	13709879.000
01/10/2011	19.60	19.60	18.83	18.87	584263	11367925.000
01/11/2011	18.71	18.85	18.30	18.37	831589	15561123.000
01/12/2011	18.59	18.89	18.31	18.80	709794	13421596.000
01/13/2011	18.66	18.99	18.60	18.65	425682	8094260.500
01/14/2011	18.67	18.82	17.94	17.99	580146	10737095.000
01/18/2011	17.16	17.39	16.90	17.18	1522740	26483206.000
01/19/2011	17.19	17.50	17.19	17.46	668686	11806124.000
01/20/2011	17.49	17.50	16.73	16.73	880603	15230438.000
01/21/2011	16.52	16.89	16.52	16.75	462620	7887994.000
01/24/2011	16.77	16.88	16.55	16.56	472134	7994601.000
01/25/2011	16.66	16.93	15.87	16.00	577514	9491453.000
01/26/2011	16.00	16.53	16.00	16.45	554247	9217820.000
01/27/2011	16.44	16.80	16.22	16.72	528256	8925555.000
01/28/2011	16.72	17.38	16.63	17.06	684376	11910289.000
01/31/2011	17.00	17.22	16.92	17.06	532723	9260814.000
02/01/2011	17.21	17.21	16.96	17.10	322535	5602342.000
02/09/2011	17.10	17.11	16.72	16.80	413472	7132210.500
02/10/2011	16.92	18.51	16.73	18.51	1906986	35119316.000
02/11/2011	18.87	18.88	18.00	18.29	1979178	36883156.000
02/14/2011	18.29	19.16	18.01	19.16	2003201	37766088.000
02/15/2011	19.55	20.20	19.42	19.56	2859128	57550180.000
02/16/2011	19.56	20.92	19.40	20.76	2712463	55985800.000
02/17/2011	20.76	21.40	20.26	21.30	2948690	62224152.000
02/18/2011	21.13	21.25	20.53	20.70	1515109	32226330.000
02/21/2011	20.70	21.40	20.31	21.05	1108373	23622222.000
02/22/2011	21.05	21.24	20.21	20.40	1092165	22785054.000
02/23/2011	20.36	20.58	20.20	20.41	707732	14659465.000
02/24/2011	20.41	20.60	19.95	20.08	857864	17560514.000
02/25/2011	19.90	20.50	19.61	20.17	628490	12746030.000
02/28/2011	20.19	20.70	20.02	20.52	657960	13652222.000
03/01/2011	20.65	20.65	20.17	20.35	491306	10190004.000
03/02/2011	20.30	20.49	19.88	19.90	462020	9400990.000
03/03/2011	19.91	20.60	19.91	19.98	708151	14602088.000
03/04/2011	19.82	20.29	19.82	20.19	388999	7918077.500
03/07/2011	20.03	21.10	20.03	21.09	1358673	28421542.000
03/08/2011	21.08	21.46	20.70	20.88	998094	21303500.000
03/09/2011	20.93	21.09	20.76	21.06	480523	10201952.000
03/10/2011	21.01	21.70	21.01	21.49	1654285	36066204.000
03/11/2011	21.30	22.05	21.30	22.04	1708381	37850660.000
03/14/2011	22.70	23.67	22.04	22.45	3291340	75902928.000
03/15/2011	22.81	24.65	22.27	24.37	8808103	212824864.000
03/16/2011	23.60	23.98	23.11	23.45	4698082	112140600.000
03/17/2011	23.24	23.24	21.20	21.35	3799757	85238880.000
03/18/2011	21.33	22.21	21.33	21.60	1384061	30567144.000
