300008 上海佳豪 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.89	11.04	10.45	11.00	1984494	56503352.000
10/11/2010	10.84	10.90	10.62	10.74	1856586	52526700.000
10/12/2010	10.73	11.13	10.51	11.05	2078209	59657576.000
10/13/2010	10.99	11.48	10.86	11.48	2257297	66106464.000
10/14/2010	11.56	12.06	11.33	11.36	2278249	69989080.000
10/15/2010	11.24	11.75	10.82	11.01	1868404	54683040.000
10/18/2010	10.93	10.93	10.40	10.51	1375592	38455520.000
10/19/2010	10.52	11.60	10.40	11.60	2837147	84714928.000
10/20/2010	11.40	12.18	11.25	11.42	3246296	100104816.000
10/21/2010	11.41	11.41	11.11	11.33	1426311	42095720.000
10/22/2010	11.40	11.95	11.33	11.58	1692479	52033076.000
10/25/2010	11.82	12.77	11.82	12.77	3374809	111314064.000
10/26/2010	12.85	12.96	12.19	12.62	2903431	95732080.000
10/27/2010	12.57	13.16	12.31	12.54	2215156	74183608.000
10/28/2010	12.46	12.58	11.94	12.25	1621356	51993344.000
10/29/2010	12.27	13.12	12.26	12.60	2887858	96765336.000
11/01/2010	13.01	13.89	13.01	13.89	2239926	79746304.000
11/02/2010	14.54	14.65	13.17	13.67	3852116	141011056.000
11/03/2010	13.24	13.40	12.74	12.78	2307505	78838640.000
11/04/2010	12.78	12.98	12.45	12.96	1654001	55218128.000
11/05/2010	13.13	13.15	12.74	12.97	1370976	46531968.000
11/08/2010	13.17	13.76	13.17	13.51	2004719	70687824.000
11/09/2010	13.56	13.68	13.15	13.35	1430409	49989516.000
11/10/2010	13.36	13.74	13.23	13.63	1989498	70790704.000
11/11/2010	13.76	13.91	13.34	13.34	1951076	69609728.000
11/12/2010	13.17	13.34	12.15	12.17	2213245	73367408.000
11/15/2010	12.19	12.78	12.10	12.74	1431816	46773860.000
11/16/2010	12.66	13.44	12.23	12.72	2498994	84954896.000
11/17/2010	12.58	12.85	12.19	12.20	1070966	35071704.000
11/18/2010	12.26	12.44	11.80	12.20	1173775	37249008.000
11/19/2010	12.27	12.78	12.11	12.76	1787655	58444328.000
11/22/2010	12.74	13.24	12.58	13.07	2249111	76414760.000
11/23/2010	13.07	13.51	12.79	13.47	3102857	106930592.000
11/24/2010	13.45	14.09	13.29	14.06	3425590	123156304.000
11/25/2010	14.14	14.20	13.47	13.83	3012765	108812784.000
11/26/2010	13.83	13.92	13.40	13.64	1716044	61302884.000
11/29/2010	14.19	14.64	13.87	14.00	4013084	148233728.000
11/30/2010	14.04	14.26	12.97	13.56	2515490	88886144.000
12/01/2010	13.55	13.56	13.29	13.31	1401987	49186716.000
12/02/2010	13.74	14.15	13.60	13.61	2536784	91936608.000
12/03/2010	13.44	13.66	13.30	13.44	1502136	52868464.000
12/06/2010	13.36	13.46	12.65	12.98	1418891	48171408.000
12/07/2010	12.93	13.25	12.71	13.17	819690	28162998.000
12/08/2010	13.10	13.27	12.86	12.89	860820	29447194.000
12/09/2010	12.88	13.06	12.67	12.91	652290	22051666.000
12/10/2010	12.78	13.37	12.78	13.32	1039843	35914768.000
12/13/2010	13.23	13.95	13.23	13.76	1710932	61378300.000
12/14/2010	13.82	13.87	13.56	13.64	1065212	38163112.000
12/15/2010	13.64	13.95	13.57	13.90	1515354	54804412.000
12/16/2010	13.87	13.98	13.68	13.74	1207134	43675744.000
12/17/2010	13.80	13.80	13.57	13.66	717451	25697996.000
12/20/2010	13.69	13.87	12.97	13.38	1530586	53847204.000
12/21/2010	13.28	13.70	13.23	13.55	1158843	40708772.000
12/22/2010	13.40	13.54	13.29	13.30	839827	29397826.000
12/23/2010	13.19	13.42	12.97	12.98	763045	26247616.000
12/24/2010	12.96	12.96	12.57	12.63	829141	27624900.000
12/27/2010	12.63	12.89	12.15	12.16	837782	27691924.000
12/28/2010	12.16	12.19	11.80	12.04	672733	21191238.000
12/29/2010	12.04	12.38	11.92	12.31	873045	27807224.000
12/30/2010	12.31	12.32	11.76	11.79	2115486	66685740.000
12/31/2010	11.78	12.06	11.45	11.94	1932439	59920860.000
01/04/2011	12.35	12.85	12.20	12.63	2321438	75992584.000
01/05/2011	12.61	12.96	12.35	12.82	2177325	72533136.000
01/06/2011	12.79	12.79	12.47	12.54	1417364	46788288.000
01/07/2011	12.54	12.99	12.51	12.71	1588633	53327212.000
01/10/2011	12.66	12.85	12.03	12.16	1703602	55861860.000
01/11/2011	12.00	12.42	11.81	12.25	670493	21331768.000
01/12/2011	12.34	12.52	12.09	12.37	690184	22306980.000
01/13/2011	12.38	12.46	12.20	12.27	579679	18765500.000
01/14/2011	12.25	12.25	11.80	11.86	731332	22886008.000
01/17/2011	11.85	12.09	11.09	11.09	1048829	31987114.000
01/18/2011	11.10	11.36	10.92	11.18	650359	19144152.000
01/19/2011	11.24	11.71	11.10	11.48	878736	26432532.000
01/20/2011	11.52	11.76	11.19	11.24	859790	25917896.000
01/21/2011	10.98	11.62	10.98	11.19	1093207	32688754.000
01/24/2011	11.24	11.82	11.24	11.44	1213535	36837432.000
01/25/2011	11.21	11.38	10.64	10.84	888491	25414132.000
01/26/2011	10.93	11.34	10.74	11.34	847862	24747554.000
01/27/2011	11.27	11.63	11.12	11.52	977256	29354014.000
01/28/2011	11.55	11.98	11.48	11.89	1506280	46555528.000
02/01/2011	12.31	12.98	12.23	12.71	3331463	110673864.000
02/09/2011	12.51	13.14	12.51	12.91	2425766	81967880.000
02/10/2011	12.89	13.29	12.71	13.23	2178704	74594392.000
02/11/2011	13.22	13.40	13.04	13.22	2315604	80209872.000
02/14/2011	13.17	13.54	13.05	13.36	2242256	78008160.000
02/15/2011	13.36	13.38	13.08	13.08	1624768	56406628.000
02/16/2011	13.02	13.71	12.98	13.55	2363023	83253376.000
02/17/2011	13.78	14.03	13.56	13.79	2382990	86006504.000
02/18/2011	13.76	13.99	13.40	13.68	1836429	66093140.000
02/21/2011	13.60	14.25	13.54	14.20	2277509	83496608.000
02/23/2011	13.76	15.01	13.76	14.89	3364500	127155112.000
02/24/2011	14.69	14.69	14.22	14.52	2682393	101588256.000
02/25/2011	14.58	14.66	14.19	14.48	1608988	60695348.000
02/28/2011	14.46	14.56	14.30	14.43	1422461	53730852.000
03/01/2011	14.44	14.53	13.84	13.89	2154154	79627864.000
03/02/2011	13.72	13.90	13.49	13.84	1189024	42608920.000
03/03/2011	13.84	14.03	13.60	13.76	949641	34230764.000
03/04/2011	13.86	13.88	13.29	13.72	1332168	47406268.000
03/07/2011	13.76	14.08	13.56	13.82	2282574	48289156.000
03/08/2011	14.09	14.98	13.88	14.42	7120122	157342544.000
03/09/2011	14.52	15.89	14.48	15.89	9992945	231728304.000
03/10/2011	15.79	15.86	15.28	15.55	7040189	166225056.000
03/11/2011	15.37	15.54	15.08	15.09	5042615	117157576.000
03/14/2011	14.86	15.02	14.51	14.66	3694242	82675680.000
03/15/2011	14.66	15.14	14.51	15.14	4204664	95091472.000
03/16/2011	15.06	15.06	14.68	14.84	2590064	58555580.000
03/18/2011	14.85	14.94	14.54	14.63	2034790	45440056.000
03/21/2011	14.50	14.76	14.10	14.23	2235389	48629648.000
03/22/2011	14.30	14.41	13.83	14.32	1552174	33298808.000
03/23/2011	14.29	14.52	14.08	14.49	2100376	45966704.000
03/24/2011	14.54	14.55	14.20	14.22	1501238	32774010.000
03/25/2011	14.13	14.26	13.97	14.23	1533862	33012594.000
03/28/2011	14.30	14.36	13.97	14.02	1707910	36734628.000
03/29/2011	14.04	14.04	13.46	13.49	2531586	52811800.000
03/30/2011	13.48	13.62	13.09	13.52	1759057	35943696.000
03/31/2011	13.59	13.87	13.55	13.73	1777393	37252236.000
04/01/2011	13.88	13.88	13.56	13.66	955189	19913118.000
04/06/2011	13.66	13.66	13.18	13.28	1622743	33023978.000
04/07/2011	13.33	13.57	13.29	13.57	1194569	24504474.000
04/08/2011	13.66	13.79	13.53	13.78	1455282	30332092.000
04/11/2011	13.78	13.88	13.58	13.58	1330444	27698966.000
04/12/2011	13.58	13.88	13.56	13.81	1656963	34787904.000
04/13/2011	13.78	14.23	13.63	14.20	2253577	48436024.000
04/14/2011	14.16	14.18	13.79	13.90	2049978	43627212.000
04/15/2011	13.83	13.95	13.55	13.59	1254112	26164186.000
04/18/2011	13.56	13.72	13.45	13.54	1133400	23598868.000
04/19/2011	13.49	13.80	13.28	13.62	1349745	27787348.000
04/20/2011	13.62	14.07	13.48	13.94	1275107	26890024.000
04/21/2011	13.95	14.36	13.66	14.29	2569719	55491952.000
04/22/2011	14.29	14.36	13.94	14.19	1245128	26850626.000
04/25/2011	14.16	14.16	13.43	13.43	1273526	26610484.000
04/26/2011	13.36	13.75	13.33	13.42	765402	15735973.000
04/27/2011	13.49	13.68	13.34	13.46	1060016	21826020.000
04/28/2011	13.53	13.55	12.09	12.12	3540898	67615928.000
04/29/2011	12.10	12.40	12.10	12.22	973845	18252678.000
05/03/2011	12.33	12.49	12.22	12.44	804883	15196132.000
05/04/2011	12.44	12.48	12.12	12.12	709600	13263691.000
05/05/2011	12.12	12.30	12.03	12.16	639206	11921810.000
05/06/2011	12.08	12.26	12.04	12.21	588870	10965383.000
