300009 安科生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.20	11.33	11.10	11.24	1881018	41552024.000
10/11/2010	11.20	11.65	10.90	11.53	3393873	74476144.000
10/12/2010	11.44	11.50	11.29	11.33	1906939	42578872.000
10/13/2010	11.33	11.45	11.03	11.35	2099823	46309228.000
10/14/2010	11.35	11.44	10.81	10.81	1972912	43010496.000
10/15/2010	10.76	10.91	10.44	10.56	2191344	45843296.000
10/18/2010	10.56	10.56	9.85	10.19	2422786	48138460.000
10/19/2010	10.19	11.26	10.16	11.26	4374273	95171264.000
10/20/2010	11.26	11.95	11.09	11.58	5328137	121299008.000
10/21/2010	11.49	11.85	11.09	11.63	3053215	68663584.000
10/22/2010	11.55	12.09	11.54	11.71	3525009	81836960.000
10/25/2010	11.58	12.00	11.52	11.85	3203268	74408920.000
10/26/2010	11.89	11.96	11.41	11.75	3676352	84088616.000
10/27/2010	12.62	12.90	11.84	11.91	6875648	167037760.000
10/28/2010	11.73	12.06	11.40	12.00	3710095	84998056.000
10/29/2010	11.94	12.35	11.57	11.83	3630716	85452936.000
11/01/2010	11.50	12.18	11.46	12.07	6196763	144604304.000
11/02/2010	12.00	12.00	11.52	11.59	4821703	110633320.000
11/03/2010	11.46	11.46	10.92	10.92	3646856	79598576.000
11/04/2010	10.80	11.16	10.80	11.12	2260994	48909468.000
11/05/2010	11.25	11.29	10.99	11.20	2703865	59230404.000
11/08/2010	11.25	11.61	11.17	11.52	3143204	70553712.000
11/09/2010	11.54	11.93	11.53	11.85	4480447	103487200.000
11/10/2010	11.86	12.53	11.86	12.17	7555099	181314352.000
11/11/2010	12.02	12.54	11.80	12.19	7692814	183945632.000
11/12/2010	12.14	12.72	11.44	11.58	8044781	192331424.000
11/15/2010	11.72	12.79	11.68	12.79	9028230	220291056.000
11/16/2010	13.34	14.11	12.81	13.55	20218901	529826912.000
11/17/2010	12.96	13.29	12.14	12.16	10097665	248512816.000
11/18/2010	12.14	12.72	11.95	12.50	6038815	146080400.000
11/19/2010	12.50	13.12	12.32	13.12	7704559	191723696.000
11/22/2010	13.18	13.53	12.95	13.34	8731832	225252160.000
11/23/2010	13.16	13.23	12.43	12.92	5326118	133303392.000
11/24/2010	12.74	13.67	12.67	13.64	7118487	185024896.000
11/25/2010	13.60	13.92	13.14	13.31	7023517	185242080.000
11/26/2010	13.24	13.61	12.81	13.29	4816266	124703528.000
11/29/2010	13.32	14.13	13.26	13.99	8302098	223285872.000
11/30/2010	14.03	14.03	12.67	13.16	7160721	185384432.000
12/01/2010	13.06	13.15	12.65	12.83	3100551	77820344.000
12/02/2010	12.99	13.07	12.75	12.80	2726395	68562864.000
12/03/2010	12.84	12.84	12.20	12.40	3347493	81230144.000
12/06/2010	12.40	12.40	11.99	12.05	2257083	53500436.000
12/07/2010	12.06	12.52	12.06	12.42	2582924	62387644.000
12/08/2010	12.43	12.56	12.21	12.23	1622687	39281344.000
12/09/2010	12.26	12.40	11.92	11.92	1894984	44904464.000
12/10/2010	11.81	12.13	11.67	12.08	1761926	41197404.000
12/13/2010	12.14	12.56	12.12	12.47	2661622	64815076.000
12/14/2010	12.47	12.64	12.35	12.49	2564626	62564784.000
12/15/2010	12.48	12.48	12.28	12.36	1889319	45706684.000
12/16/2010	12.36	12.69	12.28	12.54	2436378	59775100.000
12/17/2010	12.54	12.55	12.35	12.37	2030946	49348172.000
12/20/2010	12.37	12.46	11.57	11.90	3527320	82675176.000
12/21/2010	11.89	12.07	11.68	11.97	1858616	43382896.000
12/22/2010	12.00	12.08	11.73	11.80	1711816	39648444.000
12/23/2010	11.74	11.83	11.52	11.53	1422402	32519194.000
12/24/2010	11.50	11.50	10.97	11.25	1754318	38635904.000
12/27/2010	11.20	11.46	10.66	10.81	1702066	37200708.000
12/28/2010	10.81	10.90	10.53	10.60	1435817	30193718.000
12/29/2010	10.66	10.91	10.61	10.91	1023630	21757166.000
12/30/2010	10.85	11.12	10.78	10.96	1071917	23080206.000
12/31/2010	10.91	11.11	10.91	11.10	1068121	23160318.000
01/04/2011	11.14	11.28	11.01	11.22	1275335	27911850.000
01/05/2011	11.20	11.54	11.09	11.27	1588748	35427592.000
01/06/2011	11.26	11.28	10.66	10.87	1457338	31544924.000
01/07/2011	10.90	11.30	10.90	11.06	1288208	28151906.000
01/10/2011	11.00	11.05	10.29	10.72	1033126	22014668.000
01/11/2011	10.44	10.73	10.35	10.63	1187968	24650728.000
01/12/2011	10.57	10.71	10.30	10.57	1127891	23295398.000
01/13/2011	10.71	10.71	10.33	10.40	1087444	22380910.000
01/14/2011	10.45	10.80	10.36	10.51	2949352	61370620.000
01/17/2011	10.44	10.44	9.59	9.62	2058702	40409136.000
01/18/2011	9.67	9.72	9.52	9.61	818654	15603690.000
01/19/2011	9.64	9.85	9.56	9.85	1121151	21609192.000
