300010 立思辰 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/08/2010	13.21	13.21	13.21	13.21	93652	1906754.750
11/09/2010	14.57	14.57	14.57	14.57	115898	2596115.250
11/10/2010	16.06	16.06	15.10	16.06	10641769	255411856.000
11/11/2010	16.10	17.63	15.64	16.20	8041123	205631440.000
11/12/2010	15.87	16.75	14.84	15.04	5808898	139149040.000
11/15/2010	15.14	15.65	14.81	15.61	3482459	82373944.000
11/16/2010	15.64	15.64	14.22	14.31	3584032	81834968.000
11/17/2010	14.10	14.60	13.70	13.84	2179864	47573788.000
11/18/2010	13.94	14.62	13.94	14.40	2415184	53317812.000
11/19/2010	14.57	15.41	14.37	15.18	3331494	76728264.000
11/22/2010	14.98	16.00	14.71	15.68	3827550	91791096.000
11/23/2010	15.64	16.29	15.22	15.85	3278521	79114720.000
11/24/2010	15.70	15.92	15.50	15.70	2298300	55397940.000
11/25/2010	15.90	16.10	15.24	15.44	1999143	47802064.000
11/26/2010	15.30	15.78	15.23	15.70	1635718	39074136.000
11/29/2010	15.64	15.65	15.17	15.41	2067884	49027184.000
11/30/2010	15.48	16.76	15.34	16.66	5463778	134018608.000
12/01/2010	16.30	16.48	15.84	16.13	2447846	60521776.000
12/02/2010	15.98	16.30	15.87	15.87	2545409	62834852.000
12/03/2010	15.84	15.98	15.47	15.57	1972523	47154768.000
12/06/2010	15.40	15.84	14.89	15.37	2040114	47358780.000
12/07/2010	14.96	15.62	14.80	15.57	823788	19306616.000
12/08/2010	15.60	15.75	15.17	15.21	517585	12233006.000
12/09/2010	15.21	15.37	14.50	14.50	1064106	24386102.000
12/10/2010	14.42	14.82	14.30	14.63	585410	13166054.000
12/13/2010	14.69	16.13	14.69	15.95	2703829	65759952.000
12/14/2010	15.90	16.96	15.66	16.77	4540346	115145640.000
12/15/2010	16.90	16.97	16.28	16.81	2659973	68012448.000
12/16/2010	16.94	17.77	16.54	17.50	2639433	70084544.000
12/17/2010	17.50	17.95	17.00	17.50	1395724	37416900.000
12/20/2010	17.68	17.77	15.97	17.06	2005819	52112796.000
12/21/2010	17.07	17.76	16.90	16.90	1626593	43425436.000
12/22/2010	17.16	17.39	16.30	17.30	1380629	36293552.000
12/23/2010	17.17	17.44	16.76	16.92	631084	16418261.000
12/24/2010	16.82	16.92	15.64	16.00	1825487	45697980.000
12/27/2010	16.02	16.38	15.64	16.10	1836402	45497508.000
12/28/2010	15.79	16.42	15.71	16.30	820249	20121936.000
12/29/2010	16.30	16.78	16.10	16.78	609291	15429415.000
12/30/2010	16.58	17.29	16.22	16.96	2131931	54995012.000
12/31/2010	16.52	17.34	16.52	17.17	1847050	48140012.000
01/04/2011	17.01	17.17	16.80	16.84	1528130	39620376.000
01/05/2011	16.80	17.60	16.47	17.54	2601908	68087208.000
01/06/2011	17.56	17.76	17.07	17.34	1380583	36861568.000
01/07/2011	17.30	17.56	16.98	17.15	765393	20060640.000
01/10/2011	16.91	17.28	15.86	16.60	1497521	37548936.000
01/11/2011	16.04	16.36	15.64	16.30	654773	16115315.000
01/12/2011	16.30	16.40	15.95	16.36	371034	9217440.000
01/13/2011	16.53	16.76	16.23	16.36	721059	18281896.000
01/14/2011	16.36	16.36	15.64	15.64	601013	14641304.000
01/17/2011	15.57	15.84	14.04	14.65	1199710	27192262.000
01/18/2011	14.37	14.84	14.37	14.78	201001	4536937.500
01/19/2011	14.78	15.22	14.32	15.04	870558	19816050.000
01/20/2011	15.10	15.10	14.15	14.30	554495	12362691.000
01/21/2011	14.17	14.43	13.64	13.98	992807	21543896.000
01/24/2011	14.04	14.40	13.97	13.97	567430	12355897.000
01/25/2011	13.97	14.16	13.60	13.75	687083	14594166.000
01/26/2011	13.65	14.37	13.40	14.10	364654	7913372.000
01/27/2011	14.00	14.82	14.00	14.71	459539	10283434.000
01/28/2011	14.64	15.24	14.49	15.16	233574	5395145.500
01/31/2011	15.22	15.22	14.64	14.94	291779	6667557.500
02/01/2011	15.07	15.27	14.78	14.97	159445	3649367.250
02/09/2011	14.67	15.14	14.67	14.96	253000	5822428.000
02/10/2011	15.09	15.50	14.99	15.48	272561	6433365.500
02/11/2011	15.48	15.62	15.17	15.24	377863	8868644.000
02/14/2011	15.23	15.43	15.23	15.42	522207	12307130.000
02/15/2011	15.43	15.61	15.36	15.38	546211	12951364.000
02/16/2011	15.50	15.50	15.01	15.30	785220	18291164.000
02/17/2011	15.23	15.54	15.17	15.50	743116	17560530.000
02/18/2011	15.50	16.00	15.37	15.44	875491	21164984.000
02/21/2011	15.24	15.90	15.22	15.90	685728	16491255.000
02/22/2011	16.14	16.27	15.04	15.64	692123	16626116.000
02/23/2011	15.57	15.63	15.18	15.30	446496	10561208.000
02/24/2011	15.30	15.62	15.30	15.34	324537	7700169.500
02/25/2011	15.34	16.58	15.24	16.34	1611021	39243624.000
02/28/2011	16.31	16.40	15.97	16.31	1055748	26226336.000
03/01/2011	16.12	17.04	16.10	16.84	1472038	37880032.000
03/03/2011	16.84	17.00	16.32	16.32	778963	19828148.000
03/04/2011	16.32	16.62	16.30	16.57	316805	7981256.500
03/07/2011	16.57	16.82	16.50	16.77	890703	22734568.000
03/08/2011	16.62	16.76	16.37	16.40	438600	11101940.000
03/09/2011	16.32	16.38	15.92	16.17	358547	8867376.000
03/10/2011	16.16	16.36	16.04	16.24	312504	7768036.500
03/11/2011	16.10	16.44	15.91	16.31	421195	10462992.000
03/14/2011	16.00	16.60	16.00	16.52	417853	10490943.000
03/15/2011	16.87	17.67	16.70	16.96	1855987	48672752.000
03/16/2011	17.01	17.63	17.01	17.14	1196300	31800482.000
03/17/2011	17.29	17.30	15.99	16.17	1513505	38219428.000
03/21/2011	16.26	16.67	16.07	16.18	505895	12653099.000
03/22/2011	16.10	16.91	16.00	16.91	620294	15501817.000
03/23/2011	16.64	16.64	16.00	16.17	1667451	41368520.000
03/24/2011	16.10	16.10	15.74	15.75	907113	22036494.000
03/25/2011	15.77	15.84	15.63	15.77	514445	12432853.000
03/28/2011	15.78	15.82	15.29	15.37	1026685	24469038.000
03/29/2011	15.41	15.41	14.58	14.60	1440126	32955716.000
03/30/2011	14.61	14.77	14.11	14.28	905687	19971722.000
03/31/2011	14.29	14.62	14.28	14.47	554565	12368987.000
04/01/2011	14.63	14.63	14.33	14.56	277881	6192338.000
04/06/2011	14.50	14.69	14.43	14.60	416358	9302085.000
04/07/2011	14.67	15.05	14.67	15.02	964587	22070774.000
04/11/2011	15.02	15.40	14.57	14.61	801659	18378512.000
04/12/2011	14.61	14.90	14.44	14.45	389120	8752228.000
04/13/2011	14.40	14.70	14.40	14.60	335376	7520510.000
04/14/2011	14.64	14.78	14.51	14.74	334136	7552865.500
04/15/2011	14.82	14.82	14.39	14.41	447644	9965627.000
04/18/2011	14.40	14.94	14.40	14.92	513194	11616282.000
04/19/2011	14.90	14.90	14.63	14.72	369286	8356931.000
04/20/2011	14.52	14.98	14.52	14.98	329629	7522663.500
04/21/2011	15.00	15.10	14.82	14.89	490537	11277953.000
04/22/2011	15.00	15.00	14.64	14.70	284879	6459526.000
04/25/2011	14.70	14.70	14.40	14.42	247252	5494324.500
04/26/2011	14.37	14.39	13.74	13.84	401963	8672884.000
04/27/2011	14.12	14.12	13.60	13.60	260700	5529128.500
04/28/2011	13.60	13.97	13.02	13.04	307056	6289088.500
04/29/2011	12.98	13.36	12.98	13.36	167322	3397011.500
05/03/2011	13.44	13.53	13.14	13.38	186138	3834958.500
05/04/2011	13.31	13.47	13.11	13.20	237120	4830764.000
05/05/2011	13.02	13.51	13.02	13.34	265104	5449490.500
05/06/2011	13.24	14.00	13.20	13.97	576310	12152497.000
05/09/2011	13.84	14.27	13.84	14.24	387936	8419401.000
05/10/2011	14.40	14.40	14.02	14.26	171920	3738541.250
05/12/2011	14.44	14.44	14.04	14.09	259396	5682309.500
05/13/2011	14.10	14.37	13.75	14.32	485456	6954299.000
05/16/2011	14.15	14.60	14.15	14.47	470577	6926000.500
05/17/2011	14.57	14.65	14.37	14.38	306120	4503677.500
05/18/2011	14.47	14.48	14.27	14.31	186685	2719604.000
05/19/2011	14.47	14.47	14.25	14.27	181719	2640396.500
05/20/2011	14.27	14.43	14.19	14.30	219906	3196789.750
