300011 鼎汉技术 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.11	8.23	8.01	8.14	372177	12427706.000
10/11/2010	8.19	8.21	7.74	7.82	679537	22310036.000
10/12/2010	7.82	7.98	7.76	7.76	587129	18916324.000
10/13/2010	7.76	7.94	7.56	7.91	941278	29785098.000
10/14/2010	7.89	8.14	7.80	7.98	848733	27929896.000
10/15/2010	7.99	8.00	7.72	7.77	596511	19155516.000
10/18/2010	7.74	7.74	7.43	7.64	876074	27094646.000
10/19/2010	7.64	8.42	7.57	8.42	1898919	64823804.000
10/20/2010	8.37	8.88	8.27	8.51	2453199	87212392.000
10/21/2010	8.52	8.55	8.06	8.32	1040938	35370800.000
10/22/2010	8.27	8.82	8.27	8.56	864953	30623624.000
10/25/2010	8.57	8.92	8.51	8.74	1076848	38659448.000
10/26/2010	8.73	8.95	8.56	8.78	902966	32344714.000
10/27/2010	8.63	8.76	8.46	8.46	1181413	41746844.000
10/28/2010	8.41	8.88	8.28	8.87	1409727	50335132.000
10/29/2010	9.00	9.36	8.89	9.15	2152918	81113640.000
11/01/2010	9.25	10.08	9.25	9.91	3856998	153919136.000
11/02/2010	9.91	9.92	9.25	9.27	2103305	82304456.000
11/03/2010	9.21	9.21	8.73	8.78	1479840	54045736.000
11/04/2010	8.76	8.96	8.63	8.78	1205552	43613884.000
11/05/2010	8.89	9.25	8.65	9.22	1776819	65292668.000
11/08/2010	9.13	9.47	9.04	9.46	4086116	154892912.000
11/09/2010	9.28	9.45	9.19	9.39	1520581	58044232.000
11/10/2010	9.31	9.78	9.26	9.65	1927225	76055032.000
11/11/2010	9.65	9.87	9.45	9.45	2334666	92670008.000
11/12/2010	9.40	9.87	9.00	9.10	3053003	118587368.000
11/15/2010	9.26	9.80	9.17	9.79	2067062	81531144.000
11/16/2010	9.84	10.20	9.38	9.72	2612319	106266712.000
11/17/2010	9.57	10.03	9.48	9.55	1395229	55713492.000
11/18/2010	9.55	9.69	9.18	9.55	1321301	50914136.000
11/19/2010	9.53	9.89	9.40	9.89	1682085	67020612.000
11/22/2010	9.85	10.17	9.50	9.69	2727776	110612296.000
11/23/2010	9.69	9.69	9.25	9.50	1491917	57700100.000
11/24/2010	9.40	9.65	9.33	9.53	2378141	92654440.000
11/25/2010	9.54	9.61	9.18	9.22	2149262	82261408.000
11/26/2010	9.20	9.35	9.20	9.35	1347659	51254340.000
11/29/2010	9.34	9.49	9.20	9.42	1434751	55180156.000
11/30/2010	9.38	9.51	8.51	8.76	2032198	74588624.000
12/01/2010	8.76	8.83	8.41	8.55	1040928	36747680.000
12/02/2010	8.65	8.84	8.55	8.60	1350353	48178552.000
12/03/2010	8.66	8.75	8.30	8.36	1452648	50437680.000
12/06/2010	8.36	8.36	7.96	8.10	1360137	45428136.000
12/07/2010	8.14	8.29	8.04	8.21	1096298	37075524.000
12/08/2010	8.28	9.00	8.28	8.74	3320362	118056776.000
12/09/2010	8.76	9.25	8.66	8.94	4036437	149979280.000
12/10/2010	8.83	9.52	8.76	9.29	2963354	111846704.000
12/13/2010	9.34	9.75	9.20	9.54	4009554	156616000.000
12/14/2010	9.43	9.62	9.25	9.45	2353851	91216688.000
12/15/2010	9.42	9.47	9.25	9.29	1520929	58244692.000
12/16/2010	9.25	9.71	9.21	9.52	2279434	89231368.000
12/17/2010	9.45	10.03	9.45	10.03	3337360	134773648.000
12/20/2010	10.14	10.24	9.44	10.16	4474605	182351376.000
12/21/2010	10.16	10.74	10.01	10.53	3294983	141091376.000
12/22/2010	10.48	10.87	10.39	10.49	2693451	117362520.000
12/23/2010	10.53	10.58	9.90	9.96	2168228	90663888.000
12/24/2010	9.85	10.18	9.65	9.75	1629087	66452620.000
12/27/2010	9.75	9.99	9.26	9.37	1991322	79078104.000
12/28/2010	9.22	9.74	9.18	9.57	1262435	48791056.000
12/29/2010	9.50	9.86	9.50	9.75	1223785	48882820.000
12/30/2010	9.72	9.87	9.53	9.67	1118705	44591292.000
12/31/2010	9.60	9.91	9.60	9.79	1154750	46355644.000
01/04/2011	9.79	10.63	9.79	10.62	2337661	99371888.000
01/05/2011	10.62	11.23	10.39	10.74	3582944	160097552.000
01/06/2011	10.75	10.86	10.41	10.84	1772428	77401520.000
01/07/2011	10.86	11.22	10.51	10.72	2257508	100599784.000
01/10/2011	10.72	10.72	9.77	9.92	2344741	98238016.000
01/11/2011	9.75	9.75	9.38	9.51	1793542	70148672.000
01/12/2011	9.51	9.80	9.50	9.80	1128970	44652588.000
01/13/2011	9.87	9.90	9.62	9.75	978049	39322152.000
01/14/2011	9.75	10.07	9.44	9.90	1398671	56346644.000
01/17/2011	9.75	9.99	9.44	9.51	1150228	45675160.000
01/18/2011	9.46	9.46	9.13	9.24	879497	33386316.000
01/19/2011	9.24	9.99	9.24	9.94	1435850	57345936.000
01/20/2011	9.88	10.04	9.45	9.47	1724436	68888304.000
01/21/2011	9.44	10.04	9.28	9.95	1695574	68259880.000
01/24/2011	9.73	10.07	9.62	9.70	1221868	49411988.000
01/25/2011	9.70	9.70	8.71	8.91	1940488	71718440.000
01/26/2011	8.81	9.18	8.65	9.13	1137313	42064208.000
01/28/2011	9.32	9.40	9.12	9.18	911331	34623960.000
01/31/2011	9.18	9.79	9.18	9.71	1123584	44356300.000
02/01/2011	9.71	9.84	9.47	9.60	763649	30110870.000
02/09/2011	9.54	9.84	9.42	9.75	992069	39435912.000
02/10/2011	9.75	9.99	9.53	9.95	1064096	42748016.000
02/11/2011	9.98	9.98	9.79	9.81	938258	37970944.000
02/14/2011	9.77	9.77	9.39	9.59	2464782	96853488.000
02/15/2011	9.60	9.99	9.45	9.94	3337686	133736528.000
02/16/2011	9.94	10.30	9.84	10.22	3243140	134768464.000
02/17/2011	10.17	10.40	10.02	10.30	2197558	92062816.000
02/18/2011	10.24	10.24	9.63	9.74	2535077	103102712.000
02/21/2011	9.78	10.27	9.77	10.26	2508595	103995920.000
02/22/2011	10.27	10.27	9.74	9.80	2321828	94902608.000
02/23/2011	9.70	10.01	9.69	9.83	1389624	56327028.000
02/24/2011	9.82	9.83	9.50	9.64	1636112	64398748.000
02/25/2011	9.26	9.44	9.02	9.29	2190521	83063880.000
02/28/2011	9.29	9.40	9.17	9.23	1093366	41739204.000
03/01/2011	9.24	9.34	9.06	9.13	2170924	81593416.000
03/02/2011	9.17	9.52	9.09	9.45	2186000	83212904.000
03/03/2011	9.41	9.41	9.12	9.13	1332466	50559860.000
03/04/2011	9.13	9.21	8.91	9.08	1208280	44899868.000
03/07/2011	9.09	9.19	8.96	9.18	1649506	61403616.000
03/08/2011	9.18	9.24	9.05	9.12	933213	34971772.000
03/09/2011	9.17	9.36	9.10	9.28	1428976	54277684.000
03/10/2011	9.25	9.45	9.22	9.24	1520903	58248272.000
03/11/2011	9.22	9.22	9.03	9.05	1293019	48318200.000
03/14/2011	9.05	9.05	8.80	8.93	1371400	50096620.000
03/15/2011	8.94	8.98	8.69	8.81	815666	29496018.000
03/16/2011	8.76	8.88	8.72	8.87	725674	26368474.000
03/17/2011	8.87	8.87	8.63	8.63	1140736	40882476.000
03/18/2011	8.70	8.75	8.60	8.66	1749210	62190348.000
03/21/2011	8.68	8.70	8.51	8.57	750204	26427058.000
03/22/2011	8.62	8.71	8.57	8.71	779178	27681922.000
03/24/2011	8.74	8.82	8.63	8.63	820275	29376612.000
03/25/2011	8.64	8.79	8.63	8.65	712506	25464174.000
03/28/2011	8.71	8.76	8.61	8.68	664047	23676080.000
03/29/2011	8.71	8.71	8.06	8.11	1749194	59789176.000
03/30/2011	8.09	8.13	7.77	7.84	1327749	43160532.000
03/31/2011	7.84	8.05	7.84	7.99	778975	25540932.000
04/06/2011	7.91	8.10	7.91	7.95	524618	17256794.000
04/07/2011	7.96	8.09	7.96	8.07	510609	16931102.000
04/08/2011	8.16	8.16	8.07	8.08	551537	18286626.000
04/11/2011	8.08	8.15	7.88	7.94	757668	24752512.000
04/12/2011	7.94	7.97	7.81	7.82	613664	19723748.000
04/13/2011	7.82	8.05	7.82	8.04	627447	20493070.000
04/14/2011	8.00	8.04	7.92	7.92	494929	16131040.000
04/15/2011	7.93	7.97	7.74	7.77	693998	22239618.000
04/18/2011	7.77	7.77	7.54	7.63	743343	23241116.000
04/19/2011	7.64	7.75	7.55	7.71	486601	15208279.000
04/20/2011	7.71	7.83	7.61	7.79	469258	14896230.000
04/21/2011	7.85	7.86	7.72	7.77	407526	12986940.000
04/22/2011	7.76	7.76	7.67	7.68	351924	11116601.000
04/25/2011	7.75	7.75	7.47	7.47	455706	14103204.000
04/26/2011	7.40	7.49	7.32	7.33	484524	14660709.000
04/27/2011	7.34	7.44	6.80	6.84	1147583	33035626.000
04/28/2011	6.80	6.87	6.45	6.48	735667	19848740.000
04/29/2011	6.49	6.65	6.33	6.65	490530	13057494.000
05/03/2011	6.60	6.74	6.48	6.67	372772	10154809.000
05/04/2011	6.64	6.65	6.40	6.43	316212	8467314.000
05/05/2011	6.29	6.54	6.24	6.43	347699	9199363.000
05/06/2011	6.35	6.48	6.33	6.45	285032	7532305.000
05/09/2011	6.47	6.79	6.47	6.65	612064	16786438.000
05/10/2011	6.67	6.71	6.58	6.65	283167	7700155.500
05/11/2011	6.64	6.69	6.60	6.61	304243	8294415.500
05/12/2011	6.62	6.62	6.34	6.34	377855	10011411.000
05/13/2011	6.34	6.39	6.27	6.35	382446	9940723.000
05/16/2011	6.31	6.38	6.29	6.30	269858	7032406.000
05/17/2011	6.30	6.35	6.11	6.30	296309	7604854.000
05/18/2011	6.26	6.32	6.24	6.27	271610	7007093.500
05/19/2011	6.28	6.40	6.27	6.30	260928	6789955.000
05/20/2011	6.31	6.32	6.25	6.25	349449	9006083.000
05/23/2011	6.26	6.26	5.83	5.84	559736	13808120.000
05/24/2011	5.83	6.05	5.46	6.02	1092108	25986912.000
05/25/2011	6.02	6.14	5.84	5.90	642209	15745380.000
05/26/2011	5.92	5.98	5.71	5.71	436213	10436359.000
05/27/2011	5.64	5.83	5.61	5.68	509400	12025952.000
05/30/2011	5.69	6.25	5.61	6.07	1441010	35416664.000
05/31/2011	6.00	6.32	5.98	6.30	1139034	28946464.000
06/01/2011	6.25	6.29	6.18	6.24	707884	18105120.000
06/02/2011	6.14	6.26	6.08	6.17	586457	14836064.000
06/03/2011	6.20	6.39	6.18	6.36	846082	21976780.000
06/07/2011	6.36	6.48	6.30	6.36	742537	19512960.000
06/08/2011	6.35	6.35	6.23	6.32	396056	10228940.000
06/09/2011	6.30	6.30	6.10	6.10	333491	8498253.000
06/13/2011	5.95	6.15	5.91	6.02	269746	6681024.500
06/14/2011	6.10	6.13	5.97	6.09	259801	6487798.500
06/15/2011	6.05	6.20	5.97	5.97	135258	3353801.000
06/16/2011	5.95	5.95	5.65	5.76	277368	6602658.000
06/17/2011	5.76	5.90	5.66	5.90	226304	5384010.000
06/20/2011	5.83	5.97	5.83	5.93	273072	6620220.500
06/21/2011	5.93	6.10	5.93	6.07	439071	10880357.000
06/22/2011	6.07	6.10	5.96	6.07	349071	8654172.000
06/23/2011	6.08	6.32	5.99	6.26	750271	19197098.000
06/24/2011	6.26	6.39	6.19	6.37	768709	19940966.000
06/27/2011	6.37	6.45	6.28	6.33	703420	18381994.000
06/28/2011	6.33	6.36	6.24	6.33	484876	12582525.000
06/29/2011	6.33	6.35	6.21	6.22	451115	11619949.000
06/30/2011	6.22	6.38	6.22	6.37	466640	12070404.000
07/01/2011	6.37	6.44	6.34	6.36	601940	15788049.000
07/04/2011	6.33	6.52	6.28	6.51	747236	19811012.000
07/05/2011	6.48	6.60	6.48	6.56	618851	16688379.000
07/06/2011	6.55	6.62	6.49	6.62	447987	12064350.000
07/07/2011	6.61	6.68	6.52	6.53	526026	14230744.000
07/08/2011	6.55	6.55	6.30	6.35	542812	14296011.000
07/11/2011	6.37	6.69	6.37	6.69	1131210	30494276.000
07/12/2011	6.65	6.68	6.55	6.56	629719	17077128.000
07/13/2011	6.56	6.67	6.49	6.61	527645	14330189.000
07/14/2011	6.61	6.90	6.61	6.81	850371	23584364.000
07/15/2011	6.82	6.94	6.71	6.84	826124	23264042.000
07/18/2011	6.80	6.94	6.77	6.79	946663	26698090.000
07/19/2011	6.72	6.77	6.52	6.56	631633	17115592.000
07/20/2011	6.57	6.65	6.45	6.52	359080	9657934.000
07/21/2011	6.47	6.56	6.42	6.42	452048	11999918.000
07/22/2011	6.45	6.50	6.38	6.42	326589	8652301.000
07/25/2011	6.03	6.15	5.77	5.77	3555907	85287464.000
07/26/2011	5.64	5.67	5.49	5.60	1284634	29581088.000
07/27/2011	5.55	5.72	5.53	5.70	1004954	23492802.000
07/28/2011	5.58	5.82	5.54	5.79	930776	22054046.000
07/29/2011	5.74	5.79	5.64	5.66	583566	13689713.000
08/01/2011	5.66	5.66	5.51	5.65	592564	13649096.000
08/02/2011	5.61	5.72	5.53	5.72	742158	17120914.000
08/03/2011	5.68	5.91	5.61	5.89	1461937	35162204.000
08/04/2011	5.89	6.04	5.85	5.88	997733	24353656.000
08/05/2011	5.66	5.78	5.59	5.71	724208	16984004.000
08/08/2011	5.59	5.65	5.22	5.31	800992	17909854.000
08/09/2011	5.16	5.26	4.96	5.23	676991	14273984.000
08/10/2011	5.26	5.41	5.26	5.28	542561	11942411.000
08/11/2011	5.09	5.32	5.02	5.31	555426	11967776.000
08/12/2011	5.38	5.54	5.32	5.45	627945	14126907.000
08/15/2011	5.45	5.56	5.45	5.56	599424	13642874.000
08/16/2011	5.55	5.56	5.48	5.50	828647	18798058.000
08/17/2011	5.46	5.50	5.39	5.41	595621	13340497.000
08/18/2011	5.41	5.44	5.24	5.24	614020	13584596.000
08/19/2011	5.13	5.21	5.06	5.20	711850	15039161.000
08/22/2011	5.20	5.46	5.20	5.39	833094	18357820.000
08/23/2011	5.46	5.50	5.35	5.48	930731	20854338.000
08/24/2011	5.52	5.67	5.47	5.47	1386894	31808514.000
08/25/2011	5.52	5.60	5.44	5.58	1006464	22981918.000
08/26/2011	5.54	5.73	5.54	5.71	1126588	26384154.000
08/29/2011	5.66	5.73	5.60	5.60	690491	16096021.000
08/30/2011	5.63	5.68	5.49	5.50	564691	12956216.000
08/31/2011	5.46	5.55	5.36	5.39	496794	11088419.000
09/01/2011	5.48	5.51	5.39	5.43	457345	10289956.000
09/05/2011	5.40	5.40	5.24	5.26	372609	8102082.500
09/06/2011	5.25	5.31	5.21	5.26	236336	5114241.000
09/07/2011	5.33	5.48	5.28	5.48	417498	9244116.000
09/08/2011	5.51	5.51	5.40	5.41	325332	7327762.000
09/09/2011	5.38	5.48	5.38	5.39	223600	4985617.500
09/13/2011	5.32	5.32	5.25	5.29	284675	6192190.500
09/14/2011	5.29	5.34	5.21	5.33	224552	4885725.500
09/15/2011	5.33	5.40	5.30	5.31	301378	6629448.500
09/16/2011	5.31	5.33	5.19	5.20	288913	6270975.500
09/19/2011	5.18	5.20	5.02	5.02	245557	5146818.000
09/20/2011	5.02	5.07	4.95	5.02	231926	4782656.500
09/21/2011	5.02	5.29	5.01	5.28	520271	11168702.000
09/22/2011	5.21	5.26	5.03	5.03	363181	7703597.000
09/23/2011	4.92	5.02	4.87	4.98	337801	6905575.000
09/26/2011	4.98	5.06	4.85	4.90	297427	6083403.000
09/27/2011	4.94	4.98	4.89	4.94	183079	3735812.500
09/28/2011	4.94	5.03	4.82	4.84	279192	5637934.000
09/29/2011	4.77	4.81	4.60	4.60	396673	7671037.000
09/30/2011	4.59	4.71	4.48	4.57	228779	4321357.000
10/10/2011	4.66	4.66	4.53	4.56	159686	3022337.000
10/11/2011	4.62	4.74	4.54	4.56	171164	3300637.750
10/12/2011	4.50	4.74	4.50	4.71	365705	7057359.500
10/13/2011	4.70	4.83	4.70	4.80	390719	7728341.000
10/14/2011	4.80	4.86	4.75	4.78	304536	6038395.000
10/17/2011	4.82	4.87	4.78	4.84	304399	6081082.500
10/18/2011	4.82	4.84	4.66	4.66	299474	5882578.000
10/19/2011	4.69	5.01	4.61	4.79	602539	12008279.000
10/20/2011	4.72	4.78	4.57	4.60	336111	6447474.500
10/21/2011	4.56	4.68	4.56	4.57	209963	4007618.500
10/24/2011	4.57	4.64	4.44	4.64	396851	7465698.500
10/25/2011	4.65	4.86	4.59	4.84	658564	12971030.000
10/26/2011	4.87	5.21	4.87	5.00	1377758	28878896.000
10/27/2011	5.00	5.13	4.98	5.00	749666	15630653.000
10/28/2011	5.04	5.14	5.02	5.12	697019	14592555.000
10/31/2011	5.14	5.31	5.10	5.29	980561	21073836.000
11/01/2011	5.24	5.32	5.17	5.24	733025	15845029.000
11/02/2011	5.19	5.66	5.14	5.52	2112520	47636636.000
11/03/2011	5.62	5.63	5.46	5.50	1833412	41913884.000
11/04/2011	5.48	5.62	5.48	5.54	924264	21114096.000
11/07/2011	5.47	5.59	5.47	5.49	627889	14313183.000
11/08/2011	5.48	5.56	5.21	5.24	1015523	22456588.000
11/09/2011	5.29	5.38	5.21	5.38	604439	13183366.000
11/10/2011	5.25	5.56	5.25	5.40	1335560	29873014.000
11/11/2011	5.40	5.54	5.36	5.42	623689	14020879.000
11/14/2011	5.48	5.62	5.48	5.58	999668	22903936.000
