300012 华测检测 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.43	8.73	8.43	8.61	811856	22132050.000
10/11/2010	8.70	8.88	8.56	8.69	1271567	35237040.000
10/12/2010	8.69	8.69	8.35	8.38	1071364	28824300.000
10/13/2010	8.36	8.68	8.12	8.68	1434210	37909704.000
10/14/2010	8.62	9.07	8.62	8.75	1255830	35002464.000
10/15/2010	8.82	8.82	8.35	8.40	1012543	27412240.000
10/18/2010	8.40	8.44	7.98	8.18	1145550	29459546.000
10/19/2010	8.21	9.02	8.12	8.93	2525641	70047016.000
10/20/2010	8.81	9.44	8.65	9.18	2616723	75390696.000
10/21/2010	9.18	9.41	8.89	9.28	1590240	46220000.000
10/22/2010	9.42	9.88	9.32	9.55	1859319	56110836.000
10/25/2010	9.45	10.38	9.45	10.23	2193900	69396088.000
10/26/2010	10.69	10.69	9.95	10.01	1661003	52810064.000
10/27/2010	9.95	10.25	9.82	10.02	1287013	40529504.000
10/28/2010	9.95	10.72	9.95	10.57	1182523	38493272.000
10/29/2010	10.48	11.18	10.42	10.64	1765142	60246240.000
11/01/2010	10.65	11.32	10.65	11.29	2182439	75736160.000
11/02/2010	11.19	11.19	10.67	10.67	1370455	46825396.000
11/03/2010	10.68	10.74	10.25	10.25	1361862	44555960.000
11/04/2010	10.21	10.35	9.91	10.22	1366536	43317424.000
11/05/2010	10.55	10.55	9.97	10.50	1013895	32443026.000
11/08/2010	10.48	11.02	10.35	10.97	891226	29836636.000
11/09/2010	10.88	11.21	10.73	10.82	934520	31825272.000
11/10/2010	10.83	11.37	10.76	11.27	1210737	42094376.000
11/11/2010	11.21	11.88	11.08	11.28	1262936	45708072.000
11/12/2010	11.33	11.35	10.27	10.51	1128449	38063460.000
11/15/2010	10.61	10.98	10.32	10.88	887017	29921448.000
11/16/2010	10.90	11.30	10.51	10.71	1808555	61873956.000
11/17/2010	10.64	10.77	9.90	10.41	2026417	66668112.000
11/18/2010	10.33	10.65	10.22	10.33	751012	24413296.000
11/19/2010	10.48	10.87	10.22	10.87	821741	27195558.000
11/22/2010	10.82	11.38	10.82	11.38	1333613	46660940.000
11/23/2010	11.48	11.48	11.08	11.15	980884	34327836.000
11/24/2010	11.27	11.48	11.17	11.34	905881	31997672.000
11/25/2010	11.34	11.76	10.95	11.17	1082284	38473408.000
11/26/2010	11.14	12.15	11.04	11.97	1425111	51513752.000
11/29/2010	11.82	12.78	11.82	12.78	2543032	98419184.000
11/30/2010	12.55	13.51	11.89	12.65	3179370	123419032.000
12/01/2010	12.72	12.92	12.32	12.75	1227941	48159980.000
12/02/2010	12.89	13.20	12.65	12.68	1070662	42881136.000
12/03/2010	12.55	12.64	12.12	12.22	978181	37324212.000
12/06/2010	12.18	12.30	11.88	12.24	753530	28278848.000
12/07/2010	12.18	12.38	12.08	12.34	483635	18417868.000
12/08/2010	12.41	12.60	12.25	12.45	682468	26340610.000
12/09/2010	12.45	12.45	11.98	12.02	645706	24571122.000
12/10/2010	12.01	12.38	11.83	12.33	515609	19487732.000
12/13/2010	12.51	12.53	11.99	12.48	1192192	45883084.000
12/14/2010	12.42	12.42	12.16	12.26	1165447	44411256.000
12/16/2010	12.23	12.63	12.12	12.36	828616	32074054.000
12/17/2010	12.22	12.52	12.22	12.36	426974	16368585.000
12/20/2010	12.53	12.58	12.11	12.45	1348409	51890976.000
12/21/2010	12.48	12.50	12.30	12.37	770426	29705404.000
12/22/2010	12.38	12.85	12.30	12.55	1086011	42454048.000
12/23/2010	12.48	12.55	12.15	12.28	799729	30475906.000
