300013 新宁物流 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.14	7.40	7.14	7.33	568078	8366892.000
10/11/2010	7.43	7.43	7.26	7.33	967564	14267909.000
10/12/2010	7.35	7.50	7.30	7.46	1005528	15049306.000
10/13/2010	7.46	7.50	7.27	7.48	939096	13980075.000
10/14/2010	7.48	7.58	7.21	7.32	1064251	15885255.000
10/15/2010	7.30	7.37	7.21	7.27	882916	12942707.000
10/18/2010	7.25	7.45	7.00	7.45	1249210	18108000.000
10/19/2010	7.36	8.18	7.33	8.15	3613386	57746040.000
10/20/2010	7.85	8.68	7.85	8.21	3760751	62835688.000
10/21/2010	8.05	8.16	7.74	7.90	1740352	27654906.000
10/22/2010	7.89	8.43	7.84	8.08	1975933	32399110.000
10/25/2010	8.08	8.28	8.03	8.19	2145328	35168940.000
10/26/2010	8.20	8.25	7.88	8.05	1726416	27772058.000
10/27/2010	8.01	8.13	7.88	7.92	1303774	20986860.000
10/28/2010	7.83	7.98	7.80	7.98	805626	12804877.000
10/29/2010	7.98	8.20	7.92	8.05	1889910	30780000.000
11/01/2010	7.99	8.37	7.97	8.35	4112897	67979472.000
11/02/2010	8.28	8.35	8.04	8.04	2477658	40695736.000
11/03/2010	7.96	7.97	7.73	7.74	1625092	25624484.000
11/04/2010	7.63	7.81	7.61	7.77	973655	15123981.000
11/05/2010	7.79	7.89	7.68	7.85	1569789	24548042.000
11/08/2010	7.87	8.08	7.86	8.08	1485073	23882466.000
11/09/2010	8.09	8.18	8.01	8.17	1981767	32355122.000
11/10/2010	8.11	8.44	8.11	8.38	2882483	48345980.000
11/11/2010	8.33	8.41	8.16	8.16	3501616	58396280.000
11/12/2010	8.15	8.16	7.64	7.65	2024613	32289826.000
11/15/2010	7.65	8.00	7.63	7.96	1952991	30884554.000
11/16/2010	7.96	8.24	7.78	8.13	2825694	45874620.000
11/17/2010	8.05	8.69	8.01	8.67	8790672	150238608.000
11/18/2010	8.45	8.89	8.41	8.55	5393320	93168168.000
11/19/2010	8.45	9.39	8.29	9.38	8726998	155038752.000
11/22/2010	9.12	9.70	9.00	9.26	6848103	128832920.000
11/23/2010	9.23	9.70	9.04	9.52	4641629	87834728.000
11/24/2010	9.45	9.58	9.20	9.40	3990511	74976496.000
11/25/2010	9.43	9.43	8.95	9.05	4362280	79960856.000
