300014 亿纬锂能 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.27	9.54	9.27	9.45	2122085	61088468.000
10/11/2010	9.46	9.47	9.22	9.29	2642938	75013968.000
10/12/2010	9.28	9.44	9.13	9.27	2359915	67110936.000
10/13/2010	9.21	9.58	8.81	9.53	4398401	123817720.000
10/14/2010	9.53	9.58	9.12	9.16	2812595	80166536.000
10/15/2010	9.08	9.72	8.88	9.49	4699944	136138992.000
10/18/2010	9.52	9.53	8.82	8.98	2838539	78481648.000
10/20/2010	9.52	9.89	9.50	9.89	6063818	180673088.000
10/21/2010	9.98	9.99	9.51	9.65	5956227	176087872.000
10/22/2010	9.61	10.26	9.53	9.93	4866941	148029040.000
10/25/2010	9.97	10.32	9.72	10.12	4548346	140001568.000
10/26/2010	10.10	10.68	9.85	10.64	7352271	233371856.000
10/27/2010	10.52	10.54	10.10	10.21	4317967	136136416.000
10/28/2010	10.18	10.31	9.85	9.99	2571565	78532376.000
10/29/2010	10.07	10.52	9.99	10.08	3311785	103261512.000
11/01/2010	10.22	10.51	10.09	10.50	5237705	165562432.000
11/02/2010	10.50	10.57	10.18	10.20	3814254	119975704.000
11/03/2010	10.12	10.14	9.68	9.68	3151084	94325808.000
11/04/2010	9.53	9.84	9.48	9.74	2305357	67947752.000
11/05/2010	9.82	9.94	9.66	9.72	2279591	67865120.000
11/08/2010	9.76	9.94	9.63	9.94	2485743	74708464.000
11/09/2010	9.94	10.06	9.85	10.00	2285546	69182168.000
11/10/2010	9.95	10.33	9.95	10.23	3450078	107110472.000
11/11/2010	10.15	10.34	10.02	10.02	3530115	109616616.000
11/12/2010	10.00	10.00	9.02	9.12	3506942	101638944.000
11/15/2010	9.15	9.45	9.04	9.41	2307479	65573020.000
11/16/2010	9.55	9.77	8.98	9.15	2643007	75920792.000
11/17/2010	9.08	9.21	8.82	8.83	1662921	45679192.000
11/18/2010	9.05	9.05	8.82	8.97	1297425	35331864.000
11/19/2010	8.97	9.29	8.97	9.29	2148465	59924548.000
11/22/2010	9.18	9.64	9.18	9.42	2323290	66998452.000
11/23/2010	9.48	9.52	9.11	9.29	1789174	50877620.000
11/24/2010	9.28	9.54	9.18	9.52	1919345	55151508.000
11/25/2010	9.58	9.60	9.34	9.43	2087916	60025828.000
11/26/2010	9.46	9.57	9.35	9.42	1683896	48592580.000
11/29/2010	9.37	9.61	9.35	9.53	1718974	49799800.000
11/30/2010	9.53	9.53	8.83	9.08	2212458	61480060.000
12/01/2010	9.05	9.05	8.86	8.97	966930	26435208.000
12/02/2010	9.07	9.16	8.95	9.00	1036561	28587150.000
12/03/2010	9.00	9.08	8.86	8.95	822857	22458796.000
12/06/2010	8.95	9.05	8.88	9.05	1143860	31359650.000
12/07/2010	9.05	9.05	8.82	9.04	897121	24515368.000
12/08/2010	9.03	9.14	8.93	9.04	1034349	28533126.000
12/09/2010	9.15	9.70	9.15	9.38	4169158	120741232.000
12/10/2010	9.22	9.38	9.12	9.31	1893937	53320440.000
12/13/2010	9.33	9.53	9.29	9.48	2579309	74237048.000
12/14/2010	9.51	9.58	9.38	9.50	1793203	51818532.000
12/15/2010	9.50	9.83	9.46	9.63	4054047	119670576.000
12/16/2010	9.58	9.62	9.29	9.48	2103863	60946616.000
12/17/2010	9.52	9.61	9.44	9.48	1344212	38982936.000
12/20/2010	9.49	9.58	8.95	9.15	2561470	72007760.000
12/21/2010	9.19	9.27	9.04	9.22	1490776	41709988.000
12/22/2010	9.19	9.28	9.12	9.13	1115252	31248616.000
12/23/2010	9.13	9.18	8.91	8.93	1304438	35775560.000
12/24/2010	8.93	8.98	8.58	8.65	1544499	41045732.000
12/27/2010	8.61	8.73	8.32	8.32	1141538	29906150.000
12/28/2010	8.31	8.31	7.95	8.08	1228717	30342574.000
12/29/2010	8.10	8.25	8.10	8.24	1028756	25685256.000
12/30/2010	8.27	8.28	8.15	8.23	791907	19864680.000
12/31/2010	8.29	8.43	8.22	8.41	1276528	32507098.000
01/04/2011	8.45	8.53	8.34	8.53	1313106	33803736.000
01/05/2011	8.53	8.62	8.40	8.49	1059321	27456602.000
01/06/2011	8.49	8.52	8.32	8.32	905666	23196204.000
01/07/2011	8.25	9.07	8.22	8.67	2955224	78777784.000
01/10/2011	8.58	8.68	8.29	8.35	1167531	30257810.000
01/11/2011	8.35	8.60	8.24	8.39	921328	23684326.000
01/12/2011	8.38	8.47	8.25	8.37	712219	18159700.000
01/13/2011	8.42	8.58	8.37	8.38	756341	19533454.000
01/14/2011	8.38	8.38	8.07	8.08	915888	22772668.000
01/17/2011	8.08	8.14	7.28	7.62	1033937	24614804.000
01/18/2011	7.54	7.66	7.46	7.64	654195	15134239.000
01/19/2011	7.70	7.77	7.63	7.74	597646	14128156.000
01/20/2011	7.77	7.78	7.32	7.32	839800	19280976.000
01/21/2011	7.32	7.54	7.32	7.47	640440	14635314.000
01/24/2011	7.44	7.51	7.32	7.32	539477	12200522.000
01/25/2011	7.32	7.40	6.92	7.13	641547	13916064.000
01/26/2011	7.13	7.28	7.08	7.27	333528	7373147.000
01/27/2011	7.18	7.45	7.14	7.40	656253	14794105.000
01/28/2011	7.38	7.49	7.34	7.46	706652	16036989.000
01/31/2011	7.47	7.52	7.39	7.51	606058	13838010.000
02/01/2011	7.49	7.64	7.48	7.58	651880	15136237.000
02/09/2011	7.48	7.60	7.40	7.41	606988	13882286.000
02/10/2011	7.38	7.73	7.35	7.71	1024652	23900882.000
02/11/2011	7.71	7.88	7.68	7.81	984282	23485534.000
02/14/2011	7.85	7.95	7.75	7.93	1130979	27206236.000
02/15/2011	7.95	8.17	7.93	7.98	1562288	38328496.000
02/16/2011	7.95	8.07	7.91	8.05	1124646	27494294.000
02/17/2011	8.07	8.78	8.03	8.53	3809538	98040752.000
02/18/2011	8.43	8.53	8.24	8.26	2148702	54749492.000
02/21/2011	8.17	8.37	8.13	8.34	1348349	34093840.000
02/22/2011	8.34	8.35	7.96	7.96	1552884	38538336.000
02/23/2011	7.95	8.11	7.88	8.04	842322	20639448.000
02/24/2011	8.04	8.18	7.94	8.08	831795	20560934.000
02/25/2011	8.11	8.25	8.02	8.21	1115867	27898490.000
02/28/2011	8.18	8.28	8.08	8.26	1081427	27128148.000
03/01/2011	8.27	8.68	8.27	8.38	2231428	57754512.000
03/02/2011	8.35	8.35	8.12	8.23	1110216	27879122.000
03/03/2011	8.31	8.52	8.18	8.18	1777337	45414492.000
03/04/2011	8.15	8.24	8.02	8.22	881088	21849014.000
03/07/2011	8.26	8.45	8.24	8.42	1432061	36524096.000
03/08/2011	8.43	8.62	8.36	8.47	1755192	45499432.000
03/09/2011	8.45	8.47	8.33	8.36	1025382	26192818.000
03/10/2011	8.36	8.44	8.26	8.27	834290	21224304.000
03/11/2011	8.25	8.37	8.20	8.23	782868	19814026.000
03/14/2011	8.20	8.20	8.06	8.16	1018579	25259824.000
03/15/2011	8.18	8.18	7.82	8.02	1153056	28059400.000
03/16/2011	8.02	8.13	7.95	8.12	1067849	26376812.000
03/17/2011	8.10	8.14	7.90	7.91	951341	23212734.000
03/18/2011	7.93	8.02	7.91	7.94	535668	13027997.000
03/21/2011	7.92	8.00	7.86	7.88	565331	13641576.000
03/22/2011	7.88	7.93	7.78	7.85	492503	11796178.000
03/23/2011	7.95	7.95	7.81	7.93	476474	11517858.000
03/24/2011	7.98	7.99	7.85	7.86	669423	16209518.000
03/25/2011	7.87	7.91	7.82	7.90	826584	19883222.000
03/28/2011	8.03	8.07	7.94	7.98	1361961	33300838.000
03/29/2011	7.97	7.98	7.58	7.58	1515494	35720932.000
03/30/2011	7.55	7.56	7.38	7.43	898030	20478698.000
03/31/2011	7.42	7.70	7.42	7.60	1152271	26774102.000
04/01/2011	7.65	7.65	7.45	7.53	759646	17451866.000
04/06/2011	7.53	7.67	7.48	7.58	636667	14760684.000
04/07/2011	7.59	7.94	7.56	7.79	1233725	29210702.000
04/08/2011	7.78	7.85	7.70	7.81	954940	22787624.000
04/11/2011	7.81	7.81	7.60	7.65	802930	18929932.000
04/12/2011	7.52	7.68	7.52	7.55	544203	12645970.000
04/13/2011	7.52	7.66	7.48	7.65	679647	15813289.000
04/14/2011	7.65	7.72	7.59	7.60	552951	12951919.000
04/15/2011	7.58	7.59	7.48	7.57	578399	13321049.000
04/18/2011	7.52	7.63	7.51	7.56	439717	10163751.000
04/19/2011	7.53	7.58	7.36	7.38	795462	18113484.000
04/20/2011	7.38	7.45	7.38	7.38	631246	14329996.000
04/21/2011	7.42	7.51	7.41	7.44	556225	12696995.000
04/22/2011	7.44	7.54	7.42	7.50	562893	12888696.000
04/26/2011	7.52	8.14	7.52	7.84	3132720	75361336.000
04/27/2011	7.82	7.88	7.68	7.79	1192653	28234050.000
04/28/2011	7.87	7.87	7.18	7.20	1399463	32219792.000
04/29/2011	7.14	7.35	7.02	7.28	783624	17225696.000
05/03/2011	7.28	7.35	7.15	7.33	676506	14991717.000
05/04/2011	7.31	7.31	7.07	7.08	618651	13625786.000
05/05/2011	7.05	7.34	7.05	7.23	513836	11390712.000
05/06/2011	7.23	7.30	7.12	7.28	535953	11851578.000
05/09/2011	7.30	7.40	7.29	7.34	504506	11344726.000
05/10/2011	7.35	7.48	7.28	7.39	628373	14249367.000
05/11/2011	7.34	7.47	7.34	7.44	592012	13461290.000
05/12/2011	7.37	7.44	7.24	7.31	591182	13331203.000
05/13/2011	7.23	7.36	7.23	7.35	479568	10717100.000
05/16/2011	7.35	7.51	7.33	7.48	759964	17377866.000
05/17/2011	7.48	7.66	7.35	7.60	986028	22755802.000
05/18/2011	7.62	7.63	7.52	7.58	530233	12257353.000
05/19/2011	7.62	7.67	7.45	7.52	688345	15856447.000
05/20/2011	7.52	7.52	7.19	7.27	877219	19631524.000
05/23/2011	7.19	7.28	6.98	7.01	619288	13485787.000
05/24/2011	6.99	7.38	6.75	7.25	1091974	23820840.000
05/25/2011	7.15	7.25	7.09	7.10	418851	9153274.000
05/26/2011	7.08	7.18	6.92	6.92	389323	8399770.000
05/30/2011	6.80	6.93	6.56	6.73	651788	13498166.000
05/31/2011	6.73	6.93	6.68	6.87	444320	9224919.000
06/01/2011	6.89	7.27	6.89	7.17	1135760	24828044.000
06/02/2011	7.03	7.25	6.96	7.05	753282	16341972.000
06/03/2011	7.05	7.17	7.05	7.12	536825	11700030.000
06/07/2011	7.12	7.25	7.07	7.22	768978	16964026.000
06/08/2011	7.20	7.33	7.07	7.22	1178470	17227134.000
06/09/2011	7.22	7.22	6.88	6.90	1166853	16632940.000
06/10/2011	6.86	6.90	6.63	6.77	990100	13550424.000
06/13/2011	6.72	6.88	6.55	6.79	744747	10163820.000
06/14/2011	6.80	7.24	6.79	7.07	1775263	25324974.000
06/15/2011	7.31	7.44	7.14	7.17	3404778	50344208.000
06/16/2011	6.95	7.38	6.93	7.18	2107339	30739112.000
06/17/2011	7.18	7.28	7.08	7.12	1304942	19017064.000
06/20/2011	7.09	7.09	6.84	6.97	1033818	14590766.000
06/21/2011	6.97	7.11	6.83	6.99	1059151	14986037.000
06/22/2011	7.00	7.08	6.96	7.01	774200	11016415.000
06/23/2011	6.95	7.40	6.92	7.30	3508224	51929176.000
06/24/2011	7.23	7.52	7.21	7.38	3356185	50184984.000
06/27/2011	7.35	7.80	7.33	7.63	3851996	59480752.000
06/28/2011	7.63	7.73	7.53	7.67	1947752	30082634.000
06/29/2011	7.66	7.83	7.53	7.53	2284087	35503744.000
06/30/2011	7.54	7.88	7.54	7.72	2572279	40311384.000
07/01/2011	7.80	8.48	7.80	8.13	7079249	117167528.000
07/04/2011	8.30	8.95	8.20	8.95	12734430	227395984.000
07/05/2011	9.27	9.59	8.84	8.94	14665174	270853632.000
07/06/2011	8.75	8.88	8.60	8.77	7334824	129307472.000
07/07/2011	8.80	9.05	8.70	8.76	6030557	108111720.000
07/08/2011	8.72	8.76	8.42	8.54	4156575	71894064.000
07/11/2011	8.50	8.75	8.46	8.56	3304488	57566376.000
07/12/2011	8.43	9.43	8.39	9.10	13774780	252767040.000
07/13/2011	8.91	9.20	8.84	9.15	9085648	165990288.000
07/14/2011	9.16	9.30	8.97	9.23	7993553	147793152.000
07/15/2011	9.27	9.27	9.07	9.14	5071831	93580232.000
07/18/2011	9.11	9.46	9.00	9.03	7221314	135381024.000
07/19/2011	8.85	8.85	8.45	8.66	5206083	90870408.000
07/20/2011	8.69	8.80	8.50	8.68	2511326	43975296.000
07/21/2011	8.64	8.70	8.50	8.56	2114224	36754364.000
07/22/2011	8.57	8.64	8.44	8.53	1841275	31861040.000
07/25/2011	8.55	8.55	7.93	7.98	3138201	51768972.000
07/26/2011	8.03	8.12	7.93	8.09	1816127	29590618.000
07/27/2011	8.10	8.48	7.98	8.40	3083044	51857996.000
07/28/2011	8.29	8.57	8.18	8.55	3745643	63861520.000
07/29/2011	8.55	8.58	8.25	8.42	2288599	38993164.000
08/01/2011	8.40	8.84	8.27	8.62	2993222	52403888.000
08/02/2011	8.50	8.75	8.25	8.66	2878484	49631268.000
08/03/2011	8.53	8.90	8.40	8.80	3539892	62727224.000
08/04/2011	8.84	8.84	8.58	8.66	2173859	38201004.000
08/05/2011	8.21	8.58	8.16	8.43	2180750	37019512.000
08/08/2011	8.25	8.35	7.58	7.66	3540248	56039612.000
08/09/2011	7.38	7.74	7.06	7.58	2603786	39337532.000
08/10/2011	7.79	7.88	7.63	7.67	2033926	32061098.000
08/11/2011	7.40	7.80	7.31	7.80	2373082	36797484.000
08/12/2011	7.90	8.09	7.83	7.86	2453787	39484560.000
08/15/2011	8.05	8.66	8.05	8.66	7550962	130803848.000
08/16/2011	8.79	8.86	8.42	8.44	6883647	119493792.000
08/17/2011	8.40	9.18	8.36	8.85	7876962	140699104.000
08/18/2011	8.79	8.97	8.65	8.85	5994525	106691360.000
08/19/2011	8.55	8.88	8.47	8.74	4014078	70692944.000
08/22/2011	8.78	9.02	8.61	8.63	4017381	71660416.000
08/23/2011	8.64	9.28	8.54	9.25	8695716	157769184.000
08/24/2011	9.23	9.33	8.99	9.03	6538723	120531808.000
08/25/2011	9.01	9.14	8.71	9.00	5064505	91322064.000
08/26/2011	8.98	9.34	8.85	9.10	5847807	107812704.000
08/30/2011	9.05	9.15	8.66	8.67	4992532	90127424.000
08/31/2011	8.71	8.77	8.41	8.48	2780128	48095044.000
09/01/2011	8.52	8.65	8.34	8.38	2668147	45941364.000
09/02/2011	8.38	8.55	8.32	8.41	2680421	45718904.000
09/05/2011	8.46	8.65	8.36	8.54	4602446	79445544.000
09/06/2011	8.41	8.54	8.15	8.23	3323627	56013912.000
09/07/2011	8.36	9.04	8.34	8.81	6684918	117620024.000
09/08/2011	8.70	8.81	8.51	8.51	5322170	93241976.000
09/09/2011	8.45	8.79	8.45	8.55	3007776	52354432.000
09/13/2011	8.30	8.40	7.99	8.15	3257579	54010980.000
09/14/2011	8.16	8.39	8.08	8.37	2948907	49404620.000
09/15/2011	8.40	8.64	8.31	8.39	3373108	58069248.000
09/16/2011	8.46	8.61	8.35	8.35	2541291	43670232.000
09/19/2011	8.30	8.30	7.99	8.01	2581882	42167448.000
09/20/2011	8.10	8.29	8.06	8.15	2297321	37916532.000
09/21/2011	8.15	8.60	8.11	8.49	3959603	67215200.000
09/22/2011	8.41	8.45	8.11	8.12	3208959	53884916.000
09/23/2011	7.91	8.14	7.86	8.09	1963927	31835760.000
09/26/2011	8.05	8.21	7.94	7.98	1641060	26758514.000
09/27/2011	8.10	8.15	7.70	7.85	2504798	39983952.000
09/28/2011	7.95	8.03	7.61	7.64	1833871	29041338.000
09/29/2011	7.53	7.56	7.15	7.27	2114768	31577232.000
09/30/2011	7.35	7.58	7.25	7.40	1540978	23159644.000
10/10/2011	7.50	7.58	7.42	7.46	1360971	20682576.000
10/11/2011	7.75	7.84	7.33	7.48	1772668	27142420.000
10/12/2011	7.46	7.84	7.31	7.80	2739384	42653624.000
10/13/2011	7.80	8.19	7.76	8.02	3527176	57058260.000
10/14/2011	8.01	8.01	7.82	7.96	2488664	39898256.000
10/17/2011	8.02	8.14	7.90	8.04	3166677	51426988.000
10/18/2011	7.96	8.09	7.65	7.69	2807910	45048612.000
10/19/2011	7.72	7.87	7.66	7.74	1597965	25108558.000
10/20/2011	7.67	7.74	7.39	7.41	2245211	34050784.000
10/21/2011	7.41	7.51	7.18	7.20	1574000	23377272.000
10/24/2011	7.20	7.48	7.03	7.47	1982017	29314910.000
10/25/2011	7.39	7.68	7.37	7.65	2660221	40796192.000
10/26/2011	7.64	7.97	7.53	7.74	3423884	53902020.000
10/27/2011	7.75	7.88	7.60	7.65	2773603	43528160.000
10/28/2011	7.79	7.89	7.71	7.86	3022858	47820020.000
10/31/2011	7.87	8.60	7.87	8.33	8368617	140564512.000
11/01/2011	8.15	8.57	8.10	8.52	8572917	145862416.000
11/02/2011	8.30	8.59	8.19	8.59	6146581	104485656.000
11/03/2011	8.55	8.83	8.45	8.49	8335242	145121008.000
11/04/2011	8.50	8.57	8.35	8.47	4098620	70144360.000
11/07/2011	8.51	8.67	8.42	8.44	3706628	64068540.000
11/08/2011	8.44	8.60	8.35	8.42	4033731	69198616.000
11/09/2011	8.48	8.79	8.36	8.77	6872280	119641792.000
11/10/2011	8.66	8.82	8.46	8.48	7352753	128506416.000
11/11/2011	8.45	8.55	8.25	8.39	4125057	70048120.000
11/14/2011	8.58	9.24	8.58	9.24	13332911	246300576.000
11/15/2011	9.63	9.70	9.23	9.37	20994635	401410560.000
11/16/2011	9.21	9.38	8.75	8.90	11566608	211470368.000
11/17/2011	8.81	9.00	8.77	8.88	7011669	126103144.000
11/18/2011	8.76	8.78	8.44	8.48	5746937	99694136.000
11/21/2011	8.44	8.59	8.35	8.53	4181219	71806888.000
11/22/2011	8.41	8.53	8.25	8.52	3534645	60105024.000
11/23/2011	8.50	8.57	8.35	8.36	3145824	53804924.000
11/24/2011	8.20	8.40	8.08	8.31	3833976	63817796.000
11/25/2011	8.29	8.42	8.16	8.18	2857086	47987976.000
11/28/2011	8.22	8.41	8.19	8.27	2670652	44738664.000
11/29/2011	8.36	8.48	8.28	8.48	3842838	65179628.000
11/30/2011	8.43	8.45	7.62	7.72	6107431	98342160.000
12/01/2011	8.00	8.13	7.87	7.88	4653811	75193208.000
12/02/2011	7.82	7.85	7.56	7.63	2713054	42067484.000
12/05/2011	7.46	7.55	7.25	7.31	2419417	36380168.000
12/06/2011	7.30	7.53	7.29	7.46	2661314	40076496.000
12/07/2011	7.47	7.58	7.40	7.52	1835790	27890092.000
12/08/2011	7.49	7.70	7.33	7.60	2780553	42516596.000
12/09/2011	7.50	7.70	7.47	7.65	2568574	39676044.000
12/12/2011	7.65	7.84	7.60	7.60	2761015	43201024.000
12/13/2011	7.47	7.52	7.20	7.30	2760150	40799696.000
12/14/2011	7.18	7.40	7.18	7.27	1561740	23124986.000
12/15/2011	7.24	7.34	7.07	7.20	2280237	33337408.000
12/16/2011	7.20	7.58	7.17	7.57	2854320	42670392.000
12/19/2011	7.48	7.77	7.38	7.72	4133241	63698608.000
