300015 爱尔眼科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.14	14.36	13.99	14.28	2042138	71074904.000
10/11/2010	14.29	14.29	13.69	13.99	2850403	97363944.000
10/12/2010	13.87	14.40	13.82	14.07	2375508	82671816.000
10/13/2010	14.04	15.27	13.85	15.17	5573983	199381744.000
10/14/2010	15.17	15.80	14.90	15.15	5311745	199448032.000
10/15/2010	14.91	15.02	14.47	14.82	3488643	125860528.000
10/18/2010	14.70	15.34	13.99	15.20	3492557	126172696.000
10/19/2010	15.18	16.75	15.10	16.51	9574229	381793376.000
10/20/2010	16.16	16.99	15.96	16.07	7164391	286630784.000
10/21/2010	15.91	15.91	15.33	15.77	3490483	133646952.000
10/22/2010	15.53	16.40	15.36	15.99	3166847	124535800.000
10/25/2010	15.99	16.43	15.82	15.91	4310483	169889104.000
10/26/2010	15.86	15.93	15.41	15.93	3399059	129747448.000
10/27/2010	15.93	16.32	15.66	15.66	2666107	104173872.000
10/28/2010	15.49	17.03	15.40	16.73	6260449	249200288.000
10/29/2010	16.68	17.10	16.28	17.02	6878329	282650528.000
11/01/2010	17.20	18.74	17.20	18.05	7469192	328033312.000
11/02/2010	17.99	18.19	17.27	17.53	4766890	205959680.000
11/03/2010	16.99	17.20	16.37	16.49	3025290	124331256.000
11/04/2010	16.49	16.93	16.41	16.92	2888361	118135112.000
11/05/2010	17.12	17.12	16.47	16.76	2175297	89062840.000
11/08/2010	16.74	17.41	16.62	17.13	3251787	135847664.000
11/09/2010	17.07	17.43	16.99	17.03	1795578	75158912.000
11/10/2010	16.95	17.58	16.95	17.30	3277523	138478240.000
11/11/2010	17.29	17.38	16.96	16.96	2898045	121293536.000
11/12/2010	16.87	16.95	15.80	15.81	3973422	158692064.000
11/15/2010	15.95	16.68	15.95	16.67	2993196	120036656.000
11/16/2010	16.74	17.70	16.66	16.92	6002982	252688832.000
11/17/2010	16.84	17.53	16.16	16.20	3807845	156852512.000
11/18/2010	16.36	16.61	15.87	16.43	1875191	74400736.000
11/19/2010	16.45	17.10	16.16	17.07	2923785	119877784.000
11/22/2010	16.94	17.74	16.87	17.39	4116137	175370960.000
11/23/2010	17.21	17.63	16.97	17.59	3333908	140976096.000
11/24/2010	17.42	17.76	17.36	17.62	2550877	109506544.000
11/25/2010	17.73	17.78	17.00	17.21	2659662	112713944.000
11/26/2010	17.20	18.45	17.11	18.10	6887800	301118432.000
11/29/2010	18.03	18.36	17.80	18.28	4024139	178570000.000
12/01/2010	17.87	17.87	17.41	17.54	3432631	147712624.000
12/02/2010	17.73	18.13	17.53	17.55	1949992	84531184.000
12/03/2010	17.50	17.53	16.97	17.07	2351415	98434320.000
12/06/2010	17.35	17.88	17.15	17.49	2275398	97083776.000
12/07/2010	17.20	17.68	17.07	17.53	1572859	67267056.000
12/08/2010	17.46	17.83	17.37	17.43	1205238	51688812.000
12/09/2010	17.41	17.98	17.41	17.78	2370794	102704152.000
12/10/2010	17.80	18.31	17.79	18.08	2199556	97152832.000
12/13/2010	18.24	18.85	18.23	18.66	3613924	164123728.000
12/14/2010	18.66	19.07	18.49	18.84	2554640	117051032.000
12/15/2010	18.89	18.99	18.41	18.56	2433586	110216152.000
12/16/2010	18.47	18.66	18.33	18.40	1388068	62464584.000
12/17/2010	18.32	18.79	18.32	18.56	1082772	49043696.000
12/20/2010	18.51	19.29	17.53	19.08	3060682	137452048.000
12/21/2010	18.87	19.33	18.79	18.87	1576401	73281656.000
12/22/2010	18.87	19.62	18.75	19.60	2805307	132275552.000
12/23/2010	19.52	19.69	19.15	19.16	1826522	85914872.000
12/24/2010	19.16	19.16	18.28	18.56	1712369	77492976.000
12/27/2010	18.49	18.64	17.41	17.62	2473764	108942384.000
12/28/2010	17.41	17.83	16.93	17.73	1714554	72669512.000
12/29/2010	17.73	17.98	17.62	17.76	903551	39228048.000
12/30/2010	17.75	17.83	17.44	17.58	1230506	52950032.000
12/31/2010	17.47	18.14	17.41	18.13	1215426	52877080.000
01/04/2011	18.12	18.28	17.91	18.03	1012354	44544596.000
01/05/2011	18.08	18.42	17.90	18.26	1069374	47469832.000
01/06/2011	18.05	18.31	17.40	17.58	2057617	88582200.000
01/07/2011	17.53	17.70	17.15	17.20	1422645	60412468.000
01/10/2011	17.20	17.21	16.24	16.56	1506993	61610164.000
01/11/2011	16.37	16.49	16.05	16.20	1097108	43523020.000
01/12/2011	16.22	16.49	15.66	16.01	2284276	89644208.000
01/13/2011	16.07	16.37	15.95	16.13	1126718	44490952.000
01/14/2011	16.16	16.16	15.59	15.61	843641	32516028.000
01/17/2011	15.32	15.53	14.60	14.73	1534846	56327140.000
01/18/2011	14.65	14.93	14.28	14.56	1500869	53702132.000
01/19/2011	14.69	15.15	14.56	15.05	1670726	61212064.000
01/20/2011	15.00	15.09	14.43	14.43	1031148	37233496.000
01/21/2011	14.43	14.80	14.37	14.45	1017650	36188488.000
01/24/2011	14.57	14.93	14.30	14.30	1451664	51865572.000
01/25/2011	14.21	14.40	13.85	13.88	1544570	52931632.000
01/26/2011	13.82	14.49	13.82	14.42	1016560	35385008.000
01/27/2011	14.22	14.88	14.10	14.83	1202446	43358348.000
01/28/2011	14.90	14.90	14.59	14.82	756150	27320066.000
01/31/2011	14.78	15.06	14.65	14.96	877692	32043606.000
02/01/2011	14.83	15.22	14.78	15.15	548706	20280758.000
02/09/2011	15.03	15.53	14.78	15.41	1053212	39420592.000
02/10/2011	15.32	15.89	15.18	15.83	951201	36184668.000
02/11/2011	15.82	15.82	15.61	15.66	660990	25373426.000
02/14/2011	15.65	15.78	15.51	15.69	1216464	46619668.000
02/15/2011	15.71	16.09	15.70	15.76	1007089	39057056.000
02/16/2011	15.70	15.86	15.57	15.80	1095380	42147128.000
02/17/2011	15.81	16.07	15.73	15.90	1224979	47549780.000
02/18/2011	15.95	15.99	15.12	15.33	1942161	73452656.000
02/21/2011	15.26	15.48	15.14	15.32	1735804	64969116.000
02/22/2011	15.32	15.65	15.14	15.15	1348922	50581608.000
02/23/2011	15.05	15.25	15.05	15.18	1112766	41267560.000
02/24/2011	15.18	15.18	14.98	15.05	1183776	43656576.000
02/25/2011	15.12	15.32	14.99	15.13	1021088	37797600.000
02/28/2011	15.24	15.69	15.21	15.58	1784252	67713792.000
03/01/2011	15.53	15.73	15.45	15.55	1153390	44039172.000
03/02/2011	15.48	15.57	14.99	15.10	1495540	55570952.000
03/03/2011	15.11	15.43	14.82	14.86	1416543	52190164.000
03/04/2011	14.86	15.03	14.76	15.01	616342	22493956.000
03/07/2011	15.09	15.28	14.90	15.23	931073	34367220.000
03/08/2011	15.26	15.32	15.03	15.18	965682	35724112.000
03/09/2011	15.18	15.18	14.90	15.07	758086	27953914.000
03/10/2011	15.11	15.49	15.09	15.31	1673928	62849804.000
03/11/2011	15.31	15.39	15.07	15.24	1024255	38267280.000
03/14/2011	15.11	15.23	14.93	15.13	1152424	42376364.000
03/15/2011	15.13	15.18	14.76	14.97	935079	34040172.000
03/16/2011	14.86	15.07	14.85	14.93	667527	24370982.000
03/17/2011	14.85	14.85	14.44	14.75	1495757	53694292.000
03/18/2011	14.70	14.80	14.67	14.67	852872	30722468.000
03/21/2011	14.68	14.74	14.42	14.46	891305	31678824.000
03/22/2011	14.62	14.63	14.29	14.60	545700	19273486.000
03/23/2011	14.60	14.71	14.49	14.70	518811	18622958.000
03/24/2011	14.70	14.97	14.57	14.75	657816	23906242.000
03/25/2011	14.62	14.85	14.61	14.71	622895	22382098.000
03/28/2011	14.86	14.86	14.46	14.46	814469	29019610.000
03/29/2011	14.40	14.46	14.06	14.14	1180139	41028020.000
03/30/2011	14.00	14.19	13.95	14.02	502146	17294410.000
03/31/2011	14.12	14.38	13.97	14.20	685134	23821950.000
04/01/2011	14.29	14.37	14.22	14.30	395907	13853695.000
04/06/2011	14.29	14.32	14.07	14.15	556261	19361144.000
04/07/2011	14.06	14.34	14.06	14.23	579626	20229654.000
04/08/2011	14.23	14.78	14.19	14.67	1231218	43994824.000
04/11/2011	14.83	14.83	14.28	14.35	885272	31424164.000
04/12/2011	14.20	14.67	14.20	14.46	657723	23378394.000
04/13/2011	14.45	14.97	14.34	14.86	1477554	53478024.000
04/14/2011	14.86	15.33	14.81	15.02	1268850	46825212.000
04/15/2011	15.02	15.27	14.81	14.86	893761	32873408.000
04/18/2011	14.87	15.19	14.61	14.70	856737	30948774.000
04/19/2011	14.63	14.63	14.29	14.31	874503	30801890.000
04/20/2011	14.30	14.53	14.30	14.47	511962	18077268.000
04/21/2011	14.58	14.69	14.35	14.40	638365	22672210.000
04/22/2011	14.42	14.47	14.32	14.38	442352	15591869.000
04/25/2011	14.35	14.40	14.09	14.18	534670	18644398.000
04/26/2011	14.20	14.56	14.15	14.55	819282	28851132.000
04/27/2011	14.51	14.70	14.43	14.46	748622	26734794.000
04/28/2011	14.46	14.67	13.90	13.94	1097645	38336260.000
04/29/2011	13.94	14.13	13.90	13.99	398345	13680493.000
05/03/2011	14.00	14.32	14.00	14.32	360235	12553473.000
05/04/2011	14.32	14.42	14.08	14.17	490089	17153414.000
05/05/2011	14.02	14.44	14.02	14.38	550677	19383236.000
05/09/2011	14.50	14.88	14.49	14.73	758873	27400022.000
05/10/2011	14.85	14.85	14.60	14.77	543143	19564296.000
05/11/2011	14.74	14.82	14.61	14.76	674938	24289046.000
05/12/2011	14.67	14.68	14.45	14.67	573001	20485770.000
05/13/2011	14.54	14.70	14.53	14.69	359895	12900213.000
05/16/2011	14.74	14.79	14.62	14.77	579778	20910226.000
05/17/2011	14.76	14.84	14.67	14.80	492795	17767894.000
05/18/2011	14.76	14.83	14.67	14.68	397362	14292496.000
05/19/2011	14.67	14.76	14.24	14.34	787437	27760458.000
05/20/2011	14.17	14.33	14.17	14.26	241584	8412495.000
05/23/2011	14.26	14.34	13.84	13.93	687541	23471412.000
05/24/2011	13.93	14.42	13.85	14.26	741199	25528346.000
05/25/2011	14.27	14.32	13.85	13.88	463832	15887912.000
05/26/2011	13.89	14.01	13.35	13.36	708534	23626584.000
05/27/2011	13.37	13.58	12.93	13.21	851659	27370692.000
05/30/2011	13.21	13.54	13.04	13.42	643392	20945196.000
05/31/2011	13.40	13.40	12.96	13.29	673396	21596334.000
06/01/2011	13.30	13.38	13.17	13.31	309470	10042769.000
06/02/2011	13.25	13.25	12.83	12.92	568976	18017156.000
06/03/2011	12.96	13.09	12.86	13.07	303032	9638602.000
06/07/2011	12.96	13.16	12.93	13.14	265573	8502488.000
06/08/2011	13.13	13.19	13.04	13.16	305615	9827959.000
06/09/2011	13.16	13.16	12.88	12.88	448308	14241041.000
06/10/2011	12.88	12.88	12.46	12.55	658352	20276850.000
06/13/2011	12.33	12.80	12.33	12.78	543426	16800988.000
06/14/2011	12.63	12.87	12.63	12.77	337345	10527286.000
06/15/2011	12.77	12.85	12.65	12.67	238374	7435501.000
06/16/2011	12.61	12.61	12.42	12.42	239533	7318270.500
06/17/2011	12.50	12.57	12.09	12.11	400009	12033289.000
06/20/2011	12.16	12.29	11.97	12.00	553096	16429073.000
06/21/2011	11.96	12.19	11.96	12.01	291300	8608826.000
06/22/2011	12.11	12.20	11.93	12.01	245701	7244925.500
06/23/2011	12.01	12.50	11.96	12.48	722587	21859916.000
06/24/2011	12.45	12.87	12.44	12.84	721569	22450306.000
06/27/2011	12.83	13.12	12.78	12.95	712088	22535284.000
06/28/2011	13.08	13.29	12.96	12.96	653976	21018512.000
06/29/2011	13.05	13.17	12.81	12.82	363935	11516992.000
06/30/2011	12.86	13.09	12.80	13.07	587580	18615660.000
07/01/2011	13.09	13.21	13.03	13.10	431390	13831895.000
07/04/2011	13.08	13.42	13.08	13.38	553054	18006088.000
07/05/2011	13.38	13.63	13.31	13.42	568246	18704950.000
07/06/2011	13.42	13.42	13.26	13.36	390678	12702607.000
07/07/2011	13.30	13.55	13.30	13.42	731792	24066774.000
07/08/2011	13.46	13.48	13.30	13.33	358054	11689965.000
07/11/2011	13.30	13.72	13.13	13.62	703855	23319882.000
07/12/2011	13.53	13.97	13.46	13.74	1155208	38858896.000
07/13/2011	13.61	13.92	13.61	13.91	544536	18423582.000
07/14/2011	13.92	14.11	13.90	14.04	581652	19891392.000
07/15/2011	14.04	14.30	13.97	14.29	953943	33014796.000
07/18/2011	14.28	14.72	14.28	14.35	1676020	59293532.000
07/19/2011	14.28	14.38	13.84	13.96	1006935	34558932.000
07/20/2011	13.99	14.13	13.68	14.01	699936	23699296.000
07/21/2011	14.05	14.21	13.59	13.71	713415	24159738.000
07/22/2011	13.77	14.32	13.76	14.22	802645	27550216.000
07/25/2011	14.26	14.66	14.03	14.06	1962489	68883272.000
07/26/2011	14.13	14.76	14.02	14.67	1917911	68252816.000
07/27/2011	14.63	14.83	14.52	14.74	1134864	40746932.000
07/28/2011	14.67	14.95	14.59	14.79	995737	36019000.000
07/29/2011	14.78	14.87	14.39	14.40	836600	29769564.000
08/01/2011	14.38	14.67	14.34	14.57	603273	21314622.000
08/02/2011	14.59	14.70	14.26	14.70	555827	19601526.000
08/03/2011	14.63	15.13	14.56	15.01	1527885	55967860.000
