300016 北陆药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.81	6.01	5.81	5.95	673281	12772761.000
10/11/2010	5.95	6.06	5.85	6.00	1058470	20037564.000
10/12/2010	6.00	6.08	5.93	6.07	862385	16545682.000
10/13/2010	6.03	6.12	5.93	6.10	882244	16887780.000
10/14/2010	6.11	6.13	5.88	5.89	937959	17873966.000
10/15/2010	5.88	5.88	5.70	5.74	998533	18353978.000
10/18/2010	5.75	5.83	5.42	5.79	1582527	28124706.000
10/19/2010	5.80	6.41	5.73	6.41	3932086	78228744.000
10/20/2010	6.39	6.84	6.23	6.32	3350382	69048448.000
10/21/2010	6.31	6.31	6.07	6.20	1567179	30634202.000
10/22/2010	6.19	6.54	6.17	6.32	1784251	36107704.000
10/25/2010	6.38	6.57	6.32	6.46	1742324	35702012.000
10/26/2010	6.44	6.44	6.21	6.39	1793591	35891408.000
10/27/2010	6.43	6.67	6.40	6.43	2434836	50424180.000
10/28/2010	6.38	6.38	6.23	6.36	1188062	23732788.000
10/29/2010	6.36	6.48	6.27	6.44	1876368	38215576.000
11/01/2010	6.44	6.70	6.44	6.66	2902325	60912664.000
11/02/2010	6.68	6.77	6.52	6.54	2048795	42695244.000
11/03/2010	6.52	6.52	6.30	6.32	1691969	34281548.000
11/04/2010	6.30	6.45	6.30	6.43	1047097	21172610.000
11/05/2010	6.49	6.50	6.37	6.48	1047074	21423224.000
11/08/2010	6.49	6.65	6.47	6.65	1981429	41283072.000
11/09/2010	6.70	6.76	6.53	6.76	2615116	55140560.000
11/10/2010	6.76	7.14	6.70	6.95	4218409	93364232.000
11/11/2010	6.89	7.02	6.73	6.73	2862850	62262316.000
11/12/2010	6.69	6.69	6.20	6.20	2593360	53046080.000
11/15/2010	6.22	6.66	6.22	6.65	2585415	52870280.000
11/16/2010	6.70	6.97	6.52	6.89	4596816	98930024.000
11/17/2010	6.80	6.89	6.42	6.50	2415155	51208652.000
11/18/2010	6.51	6.77	6.40	6.77	1484297	30997256.000
11/19/2010	6.80	7.06	6.77	7.03	3729070	82022544.000
11/22/2010	7.07	7.28	6.97	7.01	3713482	83552912.000
11/23/2010	6.97	7.25	6.64	7.20	3158275	69662304.000
11/24/2010	7.07	7.38	6.97	7.35	4356134	98992664.000
11/25/2010	7.30	7.35	7.03	7.11	3184450	72008000.000
11/26/2010	6.98	7.22	6.97	7.12	1665858	37335980.000
11/29/2010	7.14	7.30	7.04	7.27	2103042	47738824.000
11/30/2010	7.27	7.27	6.51	6.78	3043249	65563524.000
12/01/2010	6.68	6.83	6.49	6.68	1233875	25978306.000
12/02/2010	6.73	6.79	6.60	6.62	1088695	22978274.000
12/03/2010	6.57	6.66	6.48	6.50	1073289	22269918.000
12/06/2010	6.52	6.53	6.27	6.29	1220207	24594244.000
12/07/2010	6.29	6.44	6.23	6.40	756186	15274217.000
12/08/2010	6.40	6.52	6.37	6.43	738730	15101551.000
12/09/2010	6.43	6.43	6.26	6.27	670197	13435654.000
12/10/2010	6.23	6.35	6.17	6.33	622732	12456379.000
12/13/2010	6.35	6.59	6.33	6.56	1240652	25610630.000
12/14/2010	6.58	6.62	6.50	6.61	774353	16083840.000
12/15/2010	6.60	6.66	6.43	6.49	990257	20600764.000
12/16/2010	6.56	6.64	6.49	6.58	878417	18323796.000
12/17/2010	6.58	6.72	6.58	6.63	1262523	26594036.000
