300017 网宿科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.14	7.47	7.14	7.42	1584213	24352554.000
10/11/2010	7.51	7.82	7.51	7.66	2568414	40936164.000
10/12/2010	7.67	7.91	7.52	7.72	2274090	36901992.000
10/13/2010	7.63	7.86	7.62	7.82	2246284	36242852.000
10/14/2010	7.85	7.89	7.69	7.78	2049707	33208544.000
10/15/2010	7.73	7.73	7.31	7.38	2366729	36892740.000
10/18/2010	7.30	7.36	6.95	7.15	2043326	30382700.000
10/19/2010	7.19	7.89	7.18	7.89	1936256	31359920.000
10/20/2010	8.72	8.72	8.72	8.72	2443535	44154676.000
10/21/2010	8.76	8.91	8.38	8.78	9319682	168308096.000
10/22/2010	8.67	9.69	8.61	9.53	11197812	219396896.000
10/25/2010	9.78	10.51	9.76	10.51	12873014	270435008.000
10/26/2010	10.67	11.31	10.19	10.40	10331108	226753568.000
10/27/2010	10.08	10.59	9.81	9.81	6381926	132609928.000
10/28/2010	9.78	9.78	9.41	9.65	4874339	96280056.000
10/29/2010	9.71	10.09	9.58	9.78	6080509	124180696.000
11/01/2010	9.59	10.10	9.58	9.88	7270294	148244112.000
11/02/2010	9.80	9.81	9.26	9.27	7005983	136204976.000
11/03/2010	9.14	9.18	8.80	8.82	4944102	91396408.000
11/04/2010	8.69	8.98	8.60	8.97	7170339	131160200.000
11/05/2010	9.17	9.17	8.88	8.98	4809589	89496488.000
11/08/2010	9.01	9.34	9.01	9.28	5946738	113639096.000
11/09/2010	9.18	9.37	9.08	9.27	5154546	98261896.000
11/10/2010	9.27	9.70	9.17	9.53	6989294	137526064.000
11/11/2010	9.43	9.61	9.28	9.30	6515611	127498944.000
11/12/2010	9.18	9.18	8.33	8.33	6418831	116932488.000
11/15/2010	8.33	8.81	8.33	8.75	4276956	76409544.000
11/16/2010	8.75	9.16	8.38	8.55	4875073	89267008.000
11/17/2010	8.45	8.76	8.35	8.47	2912431	51801400.000
11/18/2010	8.53	8.78	8.49	8.72	2509001	44936332.000
11/19/2010	8.68	9.09	8.68	9.08	5162778	95540320.000
11/22/2010	9.06	9.48	9.00	9.18	7927651	152191808.000
11/23/2010	9.08	9.18	8.68	8.93	4001396	73908664.000
11/24/2010	8.78	9.40	8.69	9.37	5119237	97696760.000
11/25/2010	9.43	9.63	9.17	9.42	5129646	98956784.000
11/26/2010	9.38	9.42	9.07	9.27	3515035	67461544.000
