300019 硅宝科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.78	10.98	10.69	10.94	748080	13729190.000
10/11/2010	10.99	11.30	10.80	11.26	1186171	22058458.000
10/12/2010	11.26	11.48	11.00	11.12	1061181	20015782.000
10/13/2010	11.12	11.36	10.87	11.34	1073691	20049224.000
10/14/2010	11.41	11.59	11.19	11.23	1583037	30329700.000
10/15/2010	11.11	11.23	10.85	10.88	1068423	19777548.000
10/18/2010	10.87	10.88	10.34	10.48	967719	17122592.000
10/19/2010	10.55	11.59	10.55	11.59	1029607	19845090.000
10/20/2010	12.81	12.81	12.60	12.81	4865674	104039792.000
10/21/2010	12.89	12.89	12.02	12.23	5348640	111581040.000
10/22/2010	12.27	13.51	12.27	13.51	3746012	82856280.000
10/25/2010	13.80	14.91	13.18	14.91	8267353	199855088.000
10/26/2010	15.68	16.41	15.05	16.03	8764143	228071152.000
10/27/2010	15.98	15.98	15.06	15.43	4570976	117572288.000
10/28/2010	15.14	15.51	14.79	14.90	3553650	88784216.000
10/29/2010	15.14	16.40	15.13	15.29	5256402	137040704.000
11/01/2010	15.97	16.31	15.50	15.93	4324191	113993632.000
11/02/2010	15.68	15.69	15.12	15.18	3992493	101553264.000
11/03/2010	14.88	15.04	13.81	14.08	3366309	80255440.000
11/04/2010	14.05	14.29	13.73	14.29	2296079	53721964.000
11/05/2010	14.66	14.79	14.11	14.35	1848609	44126756.000
11/08/2010	14.30	15.04	14.14	14.94	2612351	64168300.000
11/09/2010	14.89	14.89	14.51	14.64	1991419	48419096.000
11/10/2010	14.45	15.18	14.45	15.11	2334327	57841868.000
11/11/2010	15.01	15.40	14.54	14.59	2771429	69609400.000
11/12/2010	14.46	14.59	13.11	13.42	2436813	56256040.000
11/15/2010	13.52	14.38	13.52	14.36	2019114	46995008.000
11/16/2010	14.41	15.05	13.80	14.46	2638705	64188540.000
11/17/2010	14.18	14.74	13.55	13.71	1578979	37009396.000
11/18/2010	13.99	14.18	13.59	13.86	1071793	24817002.000
11/19/2010	14.07	15.03	13.86	14.96	2886964	69793072.000
11/22/2010	14.96	15.86	14.83	15.39	4006322	102127288.000
11/23/2010	15.36	15.36	14.56	15.06	1672371	41426872.000
11/24/2010	14.84	15.36	14.74	15.34	1528810	38430000.000
11/25/2010	15.54	15.80	14.86	15.11	1677896	42318088.000
11/26/2010	15.05	15.80	14.88	15.74	3216241	82727200.000
11/29/2010	15.69	15.79	15.06	15.36	1883275	48289776.000
11/30/2010	15.19	15.49	13.76	14.28	2718587	64998372.000
12/01/2010	14.05	14.29	13.86	14.06	780339	18312576.000
12/02/2010	14.30	14.39	14.06	14.06	845720	20022092.000
12/03/2010	13.98	14.21	13.62	13.91	698199	16085322.000
12/06/2010	13.93	14.05	13.53	13.60	660969	15141186.000
12/07/2010	13.59	13.91	13.27	13.81	816250	18649590.000
12/08/2010	13.81	13.99	13.56	13.68	901504	20634692.000
12/09/2010	13.59	13.83	13.31	13.41	751309	16987964.000
12/10/2010	13.38	13.49	13.03	13.33	1305363	28894202.000
12/13/2010	13.48	14.36	13.37	14.14	1957012	45525540.000
12/14/2010	14.12	14.13	13.88	14.06	1084975	25348840.000
12/15/2010	14.12	14.25	13.98	13.99	1193829	28102752.000
12/16/2010	13.94	14.66	13.86	14.39	2078661	49931360.000
12/17/2010	14.22	14.96	14.19	14.63	1795491	43899516.000
12/20/2010	14.49	14.69	13.56	13.94	1734730	40739284.000
12/21/2010	13.94	14.18	13.81	14.06	884928	20608240.000
12/22/2010	14.14	14.14	13.64	13.80	987817	22773876.000
12/23/2010	13.86	14.00	13.65	13.78	511128	11750651.000
12/24/2010	13.77	13.77	13.18	13.28	717964	16096490.000
12/27/2010	13.28	13.56	12.93	13.00	659564	14651433.000
12/28/2010	12.91	12.95	12.56	12.56	632612	13386745.000
12/29/2010	12.56	12.77	12.56	12.73	429364	9103437.000
12/30/2010	12.85	12.89	12.61	12.77	362871	7730778.500
12/31/2010	12.85	13.08	12.84	13.02	555814	12043502.000
01/04/2011	13.01	13.48	12.90	13.33	630415	14000567.000
01/05/2011	13.12	13.49	13.12	13.34	564980	12540992.000
01/06/2011	13.53	13.53	13.11	13.11	457952	10109332.000
01/07/2011	13.12	13.24	12.89	12.96	418656	9146845.000
01/10/2011	12.74	12.96	12.46	12.49	429345	9127184.000
01/11/2011	12.36	12.74	12.11	12.58	389467	8091427.000
01/12/2011	12.54	12.83	12.50	12.76	410699	8695470.000
01/13/2011	12.86	12.86	12.53	12.53	320734	6783486.000
01/14/2011	12.54	12.67	12.02	12.04	534365	10865912.000
01/17/2011	12.01	12.01	11.43	11.46	403993	7896905.000
01/18/2011	11.49	11.58	11.31	11.48	291386	5599480.000
01/19/2011	11.48	11.78	11.48	11.78	245792	4810315.500
01/20/2011	11.78	11.78	11.24	11.24	314059	6091621.000
01/21/2011	11.17	11.44	11.11	11.34	431236	8180285.500
01/24/2011	11.34	11.40	10.99	11.12	272827	5148272.500
01/25/2011	10.93	11.11	10.79	10.99	320862	5898414.000
01/26/2011	11.04	11.30	10.96	11.19	362280	6797504.500
01/27/2011	11.11	11.40	11.05	11.30	354643	6731788.500
01/28/2011	11.43	12.43	11.43	11.99	951185	19152428.000
01/31/2011	11.84	12.04	11.55	11.92	582464	11545860.000
02/01/2011	11.87	12.03	11.83	11.96	398903	7988053.500
02/09/2011	11.86	11.89	11.49	11.56	364414	7155330.500
02/10/2011	11.60	12.78	11.49	12.78	1276384	26722022.000
02/11/2011	13.29	13.32	12.79	12.81	1810534	39304180.000
02/14/2011	12.73	12.99	12.57	12.89	1102318	23530692.000
02/15/2011	12.83	13.02	12.71	12.88	954018	20549296.000
02/16/2011	12.83	13.00	12.73	12.96	822050	17735802.000
02/17/2011	13.04	13.10	12.68	13.03	793247	17100992.000
02/18/2011	12.87	13.00	12.63	12.68	583442	12446582.000
02/21/2011	12.68	13.05	12.56	13.03	616625	13200821.000
02/22/2011	13.04	13.28	12.48	12.48	985374	21198864.000
02/23/2011	12.31	12.73	12.29	12.66	535403	11288647.000
02/24/2011	12.66	12.74	12.36	12.52	601792	12606058.000
02/25/2011	12.49	12.69	12.49	12.53	568140	11956025.000
02/28/2011	12.63	12.73	12.43	12.66	539721	11374787.000
03/01/2011	12.73	12.93	12.61	12.80	600957	12840448.000
03/02/2011	12.71	13.56	12.68	13.43	1870378	41355120.000
03/03/2011	13.41	13.49	12.91	12.93	1097807	24106364.000
03/04/2011	12.99	13.01	12.64	12.88	546949	11664686.000
03/07/2011	12.97	13.05	12.74	13.05	701737	15131393.000
03/08/2011	13.05	13.53	13.01	13.36	1253172	27877980.000
03/09/2011	13.38	13.43	12.93	13.21	983784	21555540.000
03/10/2011	13.21	13.35	13.10	13.16	846648	18690392.000
03/11/2011	13.18	13.28	12.93	12.96	677575	14791053.000
03/14/2011	12.99	13.21	12.74	13.11	785476	17165832.000
03/15/2011	12.93	13.10	12.34	12.54	1051106	22126542.000
03/16/2011	12.54	12.64	12.43	12.58	702746	14740493.000
03/17/2011	12.49	12.50	11.99	12.03	721023	14768272.000
03/18/2011	12.04	12.24	12.04	12.14	327874	6670338.500
03/21/2011	11.99	12.31	11.99	12.18	363988	7444624.000
03/22/2011	12.18	12.28	12.01	12.28	277490	5661540.500
03/23/2011	12.28	12.48	12.16	12.48	473837	9769923.000
03/24/2011	12.48	12.48	12.26	12.28	377347	7785952.500
03/25/2011	12.30	12.43	12.16	12.34	504956	10403839.000
03/28/2011	12.34	12.48	12.24	12.38	454859	9394507.000
03/29/2011	12.32	12.33	11.71	11.76	901292	18037844.000
03/30/2011	11.68	11.89	11.53	11.74	413738	8110393.500
03/31/2011	11.83	12.11	11.57	11.68	488000	9681355.000
04/01/2011	11.68	11.78	11.40	11.63	456427	8856268.000
04/06/2011	11.67	11.71	11.51	11.68	357196	6961561.000
04/07/2011	11.71	11.85	11.58	11.85	604588	11864567.000
04/08/2011	11.85	11.98	11.74	11.96	594107	11805102.000
04/11/2011	11.94	11.94	11.56	11.61	550487	10814152.000
04/12/2011	11.56	11.68	11.46	11.48	405294	7864588.000
04/13/2011	11.53	11.69	11.46	11.67	510002	9948996.000
04/14/2011	11.68	11.68	11.49	11.56	526764	10217626.000
04/15/2011	11.54	11.58	11.25	11.39	511776	9812230.000
04/18/2011	11.39	11.39	11.23	11.23	439225	8329189.500
04/19/2011	11.25	11.36	10.99	11.19	737976	13841838.000
04/20/2011	11.23	11.49	11.14	11.47	752172	14389904.000
04/21/2011	11.37	11.53	11.37	11.40	456318	8757870.000
04/22/2011	11.40	11.55	11.31	11.45	577958	11095438.000
04/25/2011	11.44	11.44	10.90	10.96	538881	10052805.000
04/26/2011	10.99	11.07	10.62	10.68	503527	9162497.000
04/27/2011	10.74	10.83	10.34	10.39	399438	7116848.000
04/28/2011	10.38	10.55	9.97	9.99	459799	7952577.000
04/29/2011	9.99	10.32	9.99	10.28	344801	5935900.000
05/03/2011	10.28	10.46	10.28	10.42	261054	4574336.500
05/04/2011	10.40	10.40	10.05	10.11	353967	6069843.000
05/05/2011	10.03	10.61	10.03	10.43	585296	10345025.000
05/06/2011	10.33	10.53	10.21	10.47	308860	5433190.000
05/09/2011	10.54	10.68	10.43	10.49	353060	6275174.500
05/10/2011	10.59	10.59	10.29	10.43	330693	5802001.500
05/11/2011	10.52	10.52	10.34	10.39	219183	3858218.750
05/12/2011	10.31	10.36	10.09	10.12	335223	5782988.000
05/13/2011	10.12	10.21	9.90	10.08	532219	9032531.000
05/16/2011	10.09	10.19	9.98	10.04	261250	4457719.500
05/18/2011	9.99	10.13	9.74	10.09	173150	2946632.750
05/19/2011	10.08	10.13	9.88	9.92	232350	3939590.250
05/20/2011	9.92	10.08	9.86	9.97	155990	2631830.750
05/23/2011	9.89	10.02	9.56	9.60	304550	5042716.000
05/24/2011	9.54	10.31	9.31	10.15	847351	14312870.000
05/25/2011	10.05	10.14	9.79	9.81	376746	6339572.000
05/26/2011	9.83	9.99	9.67	9.67	214010	3526446.500
05/27/2011	9.64	9.89	9.49	9.60	294532	4787407.500
05/30/2011	9.59	10.14	9.46	9.84	630948	10480829.000
05/31/2011	10.07	10.08	9.52	9.93	436172	7169033.500
06/01/2011	9.94	9.99	9.84	9.95	317799	5285344.500
06/02/2011	9.86	9.86	9.58	9.71	278531	4523944.500
06/03/2011	9.65	10.73	9.65	10.39	631047	10730587.000
06/07/2011	10.30	10.39	10.12	10.26	366321	6290582.500
06/08/2011	10.16	10.26	10.06	10.21	309021	5255182.500
06/09/2011	10.21	10.33	9.91	9.91	251432	4265490.000
06/10/2011	9.92	9.93	9.53	9.77	328999	5357804.500
06/13/2011	9.77	9.96	9.59	9.79	238201	3898809.500
06/14/2011	9.79	9.99	9.76	9.89	261743	4340212.000
06/15/2011	9.89	9.93	9.65	9.67	294008	4838662.000
06/16/2011	9.67	10.66	9.67	10.01	1144701	19610372.000
06/17/2011	10.01	10.05	9.78	9.89	550969	9144573.000
06/20/2011	9.85	10.58	9.84	10.40	1325854	23038874.000
06/21/2011	10.41	10.51	10.14	10.45	953522	16485455.000
