300020 银江股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.38	15.48	15.14	15.29	1082798	25182426.000
10/11/2010	15.22	15.28	14.70	15.12	1758369	40093092.000
10/12/2010	14.99	15.24	14.86	14.93	1172156	26810168.000
10/13/2010	15.02	15.29	14.74	15.27	1653361	37705860.000
10/14/2010	15.38	16.36	15.26	15.75	3232845	78175912.000
10/15/2010	15.59	16.65	15.49	16.32	3125512	76268936.000
10/18/2010	16.32	16.45	15.03	15.34	2689330	63670060.000
10/19/2010	15.42	16.90	15.20	16.90	9457487	239437856.000
10/20/2010	16.73	17.70	16.12	16.72	11920152	308001824.000
10/21/2010	16.37	16.66	15.76	16.11	3727446	91955392.000
10/22/2010	16.12	17.02	15.93	16.38	4437271	111426632.000
10/25/2010	16.47	17.19	16.47	17.02	4850041	124623320.000
10/26/2010	17.11	17.24	16.59	16.99	3100726	79212032.000
10/27/2010	16.86	18.32	16.79	17.27	5237247	140366736.000
10/28/2010	17.42	18.24	16.84	18.11	5202145	138009648.000
10/29/2010	18.43	19.94	18.43	19.94	10901047	324802144.000
11/01/2010	19.94	21.96	19.80	21.18	10320149	332045696.000
11/02/2010	21.16	21.19	19.66	19.82	9338518	285500832.000
11/03/2010	19.12	19.37	18.24	18.26	6630583	188773664.000
11/04/2010	18.26	18.88	18.00	18.59	4550231	127762280.000
11/05/2010	18.86	19.02	18.32	18.49	3532147	99104944.000
11/08/2010	18.57	20.26	18.56	19.72	5226113	154053808.000
11/09/2010	19.79	19.96	19.24	19.58	2825967	83532664.000
11/10/2010	19.46	20.05	19.42	19.57	2766672	82590016.000
11/11/2010	19.26	19.54	18.76	18.84	4063673	118025424.000
11/12/2010	18.52	18.72	17.12	17.26	4123379	112401320.000
11/15/2010	17.79	18.44	17.54	18.32	3557245	97921808.000
11/16/2010	18.86	19.52	17.66	18.35	6229708	177318896.000
11/17/2010	18.42	19.42	18.42	18.98	5992335	173396080.000
11/18/2010	19.02	19.79	18.59	19.62	5791715	170362112.000
11/19/2010	19.98	20.08	19.30	19.93	5884917	176371680.000
11/22/2010	19.51	21.18	19.44	20.20	9700555	296118528.000
11/23/2010	19.86	19.99	18.20	19.12	6875498	198329248.000
11/24/2010	18.79	19.49	18.66	19.31	4154504	121143624.000
11/25/2010	19.31	19.44	18.40	18.92	4738136	135488240.000
11/26/2010	18.92	19.22	18.62	18.96	2853876	82043168.000
11/29/2010	18.92	19.46	18.85	19.46	3052002	89199032.000
11/30/2010	19.46	19.46	17.79	18.19	4315183	120604296.000
12/01/2010	18.13	18.37	17.83	17.92	1678771	45960868.000
12/02/2010	18.19	18.32	17.89	17.97	1783451	48819456.000
12/03/2010	17.96	17.96	17.45	17.53	2629442	70133736.000
12/06/2010	17.71	17.74	16.92	17.04	2226229	58244676.000
12/07/2010	17.28	17.94	17.14	17.88	2879459	76878176.000
12/08/2010	17.76	18.56	17.55	18.34	5248953	145781600.000
12/09/2010	18.00	18.32	17.64	17.66	2499073	67793728.000
12/10/2010	17.79	18.44	17.72	18.16	2822025	77975304.000
12/13/2010	18.22	18.90	18.16	18.79	3555942	101131904.000
12/14/2010	19.13	19.71	19.06	19.49	5041422	147884448.000
12/15/2010	19.65	19.65	18.92	18.99	2862459	83251136.000
12/16/2010	18.84	19.42	18.82	19.03	1814521	52823508.000
12/17/2010	18.80	19.20	18.80	19.16	1559702	45149080.000
12/20/2010	19.16	19.29	17.71	18.32	2723604	76296216.000
12/21/2010	18.39	18.40	17.92	18.36	1962322	54092124.000
12/22/2010	18.44	18.56	18.03	18.51	1739062	48285820.000
12/23/2010	18.58	18.58	17.86	17.98	1286737	35634280.000
12/24/2010	17.90	18.12	17.30	18.07	1538782	41454952.000
12/27/2010	17.99	18.32	17.14	17.38	1685181	45411380.000
12/28/2010	17.16	17.36	16.53	16.53	1959160	50510316.000
12/29/2010	16.66	17.44	16.53	17.38	1678926	43829368.000
12/30/2010	17.26	18.08	17.26	17.96	2941135	79675776.000
12/31/2010	17.92	18.25	17.80	18.16	1239008	33998180.000
01/04/2011	18.31	18.38	17.95	18.22	1581317	43610540.000
01/05/2011	18.18	19.12	17.99	19.03	3544974	100665136.000
01/06/2011	19.03	19.32	18.59	18.62	2159345	62047852.000
01/07/2011	18.56	18.91	18.28	18.71	1489183	42005048.000
01/10/2011	18.59	18.72	17.46	17.66	1785220	49034496.000
01/11/2011	17.46	17.72	17.39	17.52	1438570	38366420.000
01/12/2011	17.66	18.03	17.12	17.62	1313165	35059716.000
01/13/2011	17.85	18.03	17.63	17.77	1157364	31229274.000
01/14/2011	17.74	17.96	17.53	17.71	979339	26400394.000
01/17/2011	17.59	17.79	16.11	16.12	1839642	47571052.000
01/18/2011	16.12	16.19	15.68	15.92	1914764	46136592.000
01/19/2011	16.12	16.68	15.93	16.38	1315732	32867270.000
01/20/2011	16.26	16.52	16.00	16.02	1550643	38279044.000
01/21/2011	15.81	16.31	15.79	15.87	915484	22304952.000
01/24/2011	15.88	15.99	15.12	15.48	1402639	32834494.000
01/25/2011	15.59	15.66	14.86	15.66	825835	19043582.000
01/26/2011	15.48	15.92	15.42	15.82	462586	11091188.000
01/27/2011	15.82	16.10	15.52	16.01	838537	20261542.000
01/28/2011	15.92	16.25	15.80	16.08	900157	21903356.000
01/31/2011	16.06	16.06	15.64	15.77	1564369	37480808.000
02/01/2011	15.79	15.99	15.75	15.81	1045800	25196824.000
02/09/2011	15.78	15.94	15.52	15.78	791255	18973140.000
02/10/2011	16.12	16.46	16.03	16.45	1987297	49103376.000
02/11/2011	16.46	16.83	16.32	16.52	1744764	43823420.000
02/14/2011	16.52	16.78	16.33	16.72	1853085	46648436.000
02/15/2011	16.74	16.92	16.52	16.55	2286216	58007284.000
02/16/2011	16.55	16.70	16.32	16.65	1922222	48330944.000
02/17/2011	16.68	17.04	16.66	16.85	2640932	67454360.000
02/21/2011	16.44	16.62	16.34	16.62	2993751	74971040.000
02/22/2011	16.70	16.70	15.51	15.56	3098350	75476136.000
02/23/2011	15.54	15.77	15.45	15.68	1577377	37376608.000
02/24/2011	15.62	16.06	15.50	15.79	1565897	37680024.000
02/25/2011	16.05	16.12	15.74	16.03	1639206	39854176.000
02/28/2011	16.09	16.36	16.09	16.16	1663589	41001064.000
03/01/2011	16.13	16.75	16.07	16.45	3151099	78446016.000
03/02/2011	16.49	16.66	16.12	16.28	1873220	46578420.000
03/03/2011	16.28	16.46	15.59	15.65	1732054	42090060.000
03/04/2011	15.67	15.85	15.24	15.83	2630516	61845964.000
03/07/2011	15.82	15.82	15.44	15.58	2469929	58567844.000
03/08/2011	15.64	15.97	15.62	15.95	2216251	53273576.000
03/09/2011	15.92	15.98	15.66	15.74	1843243	44181012.000
03/10/2011	15.77	16.64	15.74	16.34	4106189	101890904.000
03/11/2011	16.20	16.62	16.18	16.36	2905015	72324256.000
03/14/2011	16.07	16.54	16.07	16.46	1830279	45580640.000
03/15/2011	16.46	16.59	15.79	16.18	2116793	51774260.000
03/16/2011	16.16	16.63	16.16	16.56	2289173	57237644.000
03/17/2011	16.56	16.72	16.23	16.42	2338406	58606208.000
03/18/2011	16.58	16.66	16.39	16.57	1357435	34112924.000
03/21/2011	16.52	16.64	16.12	16.12	1549534	38483572.000
03/22/2011	16.18	16.24	15.72	15.79	2464531	59390904.000
03/23/2011	15.88	15.99	15.61	15.85	2309302	55334280.000
03/24/2011	15.84	15.84	15.59	15.72	2796091	66562508.000
03/25/2011	15.69	15.86	15.52	15.83	1430448	34266768.000
03/28/2011	15.83	15.91	15.25	15.27	2757230	64804528.000
03/29/2011	15.30	15.46	14.93	15.02	2440285	56365728.000
03/30/2011	14.92	15.12	14.80	14.84	1289665	29402480.000
03/31/2011	14.99	15.11	14.53	14.85	1856495	41829508.000
04/01/2011	14.85	14.99	14.66	14.97	911638	20513272.000
04/06/2011	15.02	15.11	14.33	14.51	2102073	46696028.000
04/07/2011	14.51	14.79	14.43	14.76	880143	19550590.000
04/08/2011	14.72	15.12	14.56	14.94	1300859	29508230.000
04/11/2011	14.94	15.06	14.67	14.68	1033720	23286236.000
04/12/2011	14.78	14.98	14.67	14.79	1073987	24206614.000
04/13/2011	14.88	15.10	14.78	15.06	1604416	36546304.000
04/14/2011	15.10	15.10	14.74	14.78	1131210	25590608.000
04/15/2011	14.79	14.84	14.33	14.76	1201173	26724780.000
04/18/2011	14.72	14.74	14.52	14.66	831410	18464532.000
04/19/2011	14.59	14.59	14.20	14.28	1143687	24895002.000
04/21/2011	14.49	14.72	14.48	14.58	1330381	29507692.000
04/22/2011	14.55	14.62	14.29	14.44	1060661	23282506.000
04/25/2011	14.49	14.51	13.60	13.61	1857797	39424024.000
04/26/2011	13.62	13.67	13.12	13.13	1800000	36375940.000
04/27/2011	13.14	13.32	13.06	13.16	1188336	23825360.000
04/28/2011	13.19	13.19	12.46	12.58	1518100	29525606.000
04/29/2011	12.60	13.00	12.60	12.96	984663	19189362.000
05/03/2011	12.98	13.10	12.88	13.06	422701	8380434.500
05/04/2011	13.06	13.09	12.78	12.96	501397	9899098.000
05/05/2011	12.91	13.21	12.91	13.08	775865	15465591.000
05/06/2011	13.02	13.32	12.79	13.22	1035817	20797832.000
05/09/2011	13.23	13.56	13.13	13.23	1170429	15700379.000
05/10/2011	13.23	13.34	12.95	13.22	885308	11681615.000
05/11/2011	13.18	13.25	12.99	13.08	795815	10560515.000
05/12/2011	13.08	13.08	12.58	12.74	1944875	25021116.000
05/13/2011	12.75	13.07	12.62	13.06	1029446	13321915.000
05/17/2011	13.74	13.96	12.71	13.09	4510014	60221548.000
05/18/2011	12.76	13.18	12.76	12.91	2780903	36581788.000
05/19/2011	12.91	13.04	12.52	12.61	1847549	23841188.000
05/20/2011	12.63	12.79	12.16	12.48	1575307	19845194.000
05/23/2011	12.39	12.52	12.06	12.18	1572537	19395188.000
