300021 大禹节水 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.78	7.99	7.78	7.95	1004495	16178761.000
10/11/2010	7.97	8.45	7.82	8.16	1889463	31244218.000
10/12/2010	8.04	8.27	8.02	8.10	1552019	25603256.000
10/13/2010	8.10	8.29	8.02	8.24	1677127	27610196.000
10/14/2010	8.19	8.39	8.10	8.12	1639076	27351534.000
10/15/2010	8.10	8.10	7.84	7.94	1666936	26863826.000
10/18/2010	7.99	8.02	7.39	7.79	1740217	27073342.000
10/19/2010	7.71	8.58	7.64	8.58	4394962	74846472.000
10/20/2010	8.63	9.23	8.62	8.76	6862134	123443568.000
10/21/2010	8.69	8.69	8.21	8.44	2584839	44148516.000
10/22/2010	8.44	8.96	8.44	8.70	3367121	59801676.000
10/25/2010	8.69	9.04	8.55	8.94	3354898	60039280.000
10/26/2010	8.89	9.16	8.57	9.04	3723125	66531244.000
10/27/2010	8.91	9.24	8.68	8.68	2924909	52924464.000
10/28/2010	8.64	8.79	8.44	8.49	1777611	30764184.000
10/29/2010	8.62	8.80	8.50	8.53	1991397	34841832.000
11/01/2010	8.53	8.89	8.53	8.79	3591146	63796276.000
11/02/2010	8.80	8.80	8.41	8.55	3211723	55526488.000
11/03/2010	8.52	8.52	8.15	8.19	2482141	41643192.000
11/04/2010	8.20	8.33	8.09	8.26	1612105	26793702.000
11/05/2010	8.33	8.37	8.23	8.33	1655637	27781092.000
11/08/2010	8.33	8.61	8.33	8.61	2566680	44311712.000
11/09/2010	8.57	8.76	8.52	8.70	2809633	49191148.000
11/10/2010	8.69	9.04	8.64	8.90	4438957	79909736.000
11/11/2010	8.84	8.99	8.74	8.76	4024647	72459792.000
11/12/2010	8.69	8.99	8.27	8.27	3586785	62854696.000
11/15/2010	8.29	8.96	8.22	8.95	4265515	75429384.000
11/16/2010	8.99	9.32	8.69	9.06	8297401	152969792.000
11/17/2010	8.99	9.39	8.82	9.35	7557632	141069696.000
11/18/2010	9.52	9.53	8.95	9.24	5085744	94356984.000
11/19/2010	9.24	9.59	8.99	9.57	7268220	137568416.000
11/22/2010	9.51	9.69	9.24	9.40	6662295	127643784.000
11/23/2010	9.29	9.30	8.84	9.10	3907376	71667632.000
11/24/2010	9.05	9.24	8.98	9.22	3046603	56352844.000
11/25/2010	9.22	9.72	9.14	9.72	7099991	135259152.000
11/26/2010	10.03	10.65	9.91	10.21	11231530	231865664.000
11/29/2010	10.07	11.24	10.04	11.24	11332639	248308048.000
11/30/2010	11.54	12.33	11.42	12.02	14591699	349488160.000
12/01/2010	12.02	12.27	11.20	11.47	8181579	193140800.000
