300022 吉峰农机 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.15	13.60	13.15	13.44	1296653	35183188.000
10/11/2010	13.49	14.69	13.49	14.46	3345489	96429432.000
10/12/2010	14.50	14.50	14.10	14.19	1951165	55946840.000
10/13/2010	14.15	14.69	14.08	14.53	2491646	72472856.000
10/14/2010	14.50	15.09	14.28	14.59	2664086	78933568.000
10/15/2010	14.46	14.49	14.00	14.11	1991450	56871920.000
10/18/2010	13.66	13.97	13.10	13.24	2916589	78496056.000
10/19/2010	13.20	14.58	13.05	14.58	3763204	108076888.000
10/20/2010	14.94	15.69	14.68	15.11	7233720	221315424.000
10/21/2010	15.15	15.15	14.40	14.49	3298200	97050896.000
10/22/2010	14.53	15.40	14.53	14.95	3353024	101903256.000
10/25/2010	15.07	16.15	15.07	16.00	6474051	206545680.000
10/26/2010	16.01	17.60	15.51	17.42	6984117	230175552.000
10/27/2010	17.48	18.32	17.00	17.15	7070926	250527024.000
10/28/2010	16.91	17.40	16.45	17.14	4439362	150483648.000
10/29/2010	17.35	17.86	16.91	17.58	5262893	185608640.000
11/01/2010	17.58	18.90	17.15	18.48	8344857	304979296.000
11/02/2010	18.10	18.35	16.90	16.98	8077972	283822208.000
11/03/2010	16.66	16.66	15.85	16.05	3626407	119117160.000
11/04/2010	15.80	16.26	15.80	16.15	3214791	103761648.000
11/05/2010	16.16	16.31	15.86	16.00	3592801	115674056.000
11/08/2010	16.04	17.03	16.00	16.98	4719741	158642448.000
11/09/2010	16.98	17.68	16.79	17.59	5953096	208925040.000
11/10/2010	17.58	17.94	17.20	17.21	4765508	168958448.000
11/11/2010	17.06	17.37	16.84	16.84	3531691	121994288.000
11/12/2010	16.80	16.80	15.38	15.49	4066983	131998024.000
11/15/2010	15.77	16.60	15.65	16.40	3112924	101354840.000
11/16/2010	16.64	17.29	15.87	16.11	4786267	159562080.000
11/17/2010	15.75	16.60	15.66	16.11	2451252	80433352.000
