300023 宝德股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.44	15.70	15.30	15.67	563300	8778671.000
10/11/2010	15.67	16.00	15.65	15.73	662215	10494455.000
10/12/2010	15.77	15.97	15.56	15.75	625184	9870794.000
10/13/2010	15.69	15.85	15.41	15.80	1027466	16068886.000
10/14/2010	15.84	15.95	15.54	15.54	939838	14767796.000
10/15/2010	15.53	15.65	15.02	15.11	971309	14864501.000
10/18/2010	15.08	15.14	14.42	14.83	998088	14644319.000
10/19/2010	14.80	16.31	14.75	16.31	1938768	31093322.000
10/20/2010	16.57	17.94	16.57	17.44	5804306	101483416.000
10/21/2010	17.00	17.00	16.37	16.58	2781893	46259908.000
10/22/2010	16.59	18.10	16.59	17.48	3423490	60023616.000
10/25/2010	17.86	17.96	16.94	17.70	3160374	55752312.000
10/26/2010	17.48	17.75	17.04	17.69	1956618	33845012.000
10/27/2010	17.67	18.07	17.14	17.14	1848539	32511024.000
10/28/2010	17.02	17.22	16.70	17.00	1209634	20495926.000
10/29/2010	16.95	17.62	16.90	17.30	1918163	33180448.000
11/01/2010	17.31	18.48	17.30	18.16	3628021	64935944.000
11/02/2010	18.00	18.20	17.50	17.55	2259909	40078240.000
11/03/2010	17.27	17.55	16.80	16.97	1422357	24349228.000
11/04/2010	17.11	17.26	16.65	17.15	1114763	18982350.000
11/05/2010	17.36	17.40	16.92	17.14	1564317	26690114.000
11/08/2010	17.28	17.72	17.19	17.61	1686798	29521462.000
11/09/2010	17.62	17.99	17.45	17.95	2283125	40555628.000
11/10/2010	17.81	18.53	17.78	18.43	3192095	58486520.000
11/11/2010	18.48	18.74	18.04	18.04	2565076	47230908.000
11/12/2010	17.75	18.36	16.75	16.80	2421504	42625608.000
11/15/2010	16.79	17.80	16.75	17.80	1709483	29697018.000
11/16/2010	17.89	18.31	17.12	17.36	2454154	43841344.000
11/17/2010	16.70	18.18	16.70	18.18	2781983	49296860.000
11/18/2010	18.49	19.78	17.98	19.62	5861846	110549232.000
