300024 机器人 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.18	7.30	7.10	7.22	1009099	35908776.000
10/11/2010	7.20	7.20	7.02	7.08	1603572	55940660.000
10/12/2010	7.09	7.31	7.06	7.15	1162193	41158104.000
10/13/2010	7.18	7.41	7.15	7.38	1643835	58868240.000
10/14/2010	7.39	7.67	7.31	7.45	2168257	80168136.000
10/15/2010	7.37	7.43	7.20	7.27	1537300	55395116.000
10/18/2010	7.28	7.28	6.92	7.09	1099910	38315760.000
10/19/2010	7.09	7.81	7.00	7.81	2505282	95422024.000
10/20/2010	8.03	8.44	7.92	8.12	5292628	212289792.000
10/21/2010	8.07	8.09	7.51	7.92	2161979	84311072.000
10/22/2010	7.85	8.45	7.85	8.28	2797158	114224128.000
10/25/2010	8.36	8.63	8.34	8.45	2560425	106799864.000
10/26/2010	8.42	8.42	7.97	8.23	2416578	97353880.000
10/27/2010	8.14	8.23	7.86	7.90	1711300	67587584.000
10/28/2010	7.82	7.95	7.65	7.89	1383175	53111956.000
10/29/2010	7.84	8.14	7.78	7.97	1804786	71204080.000
11/01/2010	7.96	8.47	7.94	8.29	4290891	174196880.000
11/02/2010	8.30	8.44	8.01	8.06	2762100	111797952.000
11/03/2010	7.92	7.92	7.56	7.58	3116705	117649976.000
11/04/2010	7.58	7.63	7.45	7.54	2035914	75454552.000
11/05/2010	7.68	7.77	7.63	7.69	1672867	63289328.000
11/08/2010	7.72	7.98	7.72	7.89	1948040	75569384.000
11/09/2010	7.90	7.96	7.72	7.83	1736671	66732740.000
11/10/2010	7.79	8.19	7.74	8.14	3270101	129911296.000
11/11/2010	8.10	8.63	8.07	8.26	5838715	241139408.000
11/12/2010	8.23	8.96	8.19	8.70	7967745	335951616.000
11/15/2010	8.85	9.59	8.85	9.59	8947674	414253952.000
11/16/2010	9.57	9.81	9.16	9.40	6730556	314464512.000
11/17/2010	9.23	9.63	8.45	8.45	5975748	262662432.000
11/18/2010	8.56	8.77	8.34	8.65	3006934	127328984.000
11/19/2010	8.73	9.49	8.61	9.39	4722674	212438112.000
11/22/2010	9.45	9.99	9.11	9.41	5213682	246564432.000
11/23/2010	9.20	9.66	8.85	9.47	3469594	157535616.000
11/24/2010	9.43	9.89	9.43	9.81	3448544	164171008.000
11/25/2010	10.09	10.13	9.52	9.63	3148617	150616128.000
11/26/2010	9.59	9.76	9.51	9.64	2845859	134250480.000
11/29/2010	9.64	9.74	9.39	9.43	2414780	112778760.000
11/30/2010	9.58	9.88	8.85	9.16	3937753	180726912.000
12/01/2010	9.14	9.23	8.89	9.10	1737587	77325320.000
12/02/2010	9.17	9.37	9.11	9.13	1420304	64486300.000
12/03/2010	9.12	9.28	8.93	9.02	1221235	54372676.000
12/06/2010	9.04	9.33	8.96	9.22	1971914	88758128.000
12/07/2010	9.17	9.43	9.03	9.26	1661122	75518264.000
12/08/2010	9.37	9.47	9.17	9.20	1787582	81859488.000
12/09/2010	9.14	9.17	8.81	8.87	1705924	75359376.000
12/10/2010	8.88	9.19	8.87	9.09	1441774	64258620.000
12/13/2010	9.16	9.78	9.16	9.65	2641859	124197968.000
12/14/2010	9.66	9.85	9.56	9.77	2438520	115951088.000
12/15/2010	9.76	9.85	9.55	9.56	2540086	121151832.000
12/16/2010	9.58	10.18	9.52	10.05	3164739	153349424.000
12/17/2010	10.14	10.98	10.14	10.77	5096653	266237536.000
12/20/2010	11.00	11.06	10.41	10.70	4777554	250116912.000
12/21/2010	10.69	11.24	10.66	10.73	4274468	230484160.000
12/23/2010	10.73	11.22	10.55	11.06	3362153	180918160.000
12/24/2010	10.97	11.17	10.34	10.51	3375259	177835840.000
12/27/2010	10.51	11.13	9.88	10.28	3618079	190062976.000
12/28/2010	10.10	10.69	10.03	10.53	2849818	146694864.000
12/29/2010	10.61	11.58	10.61	11.58	4415088	243473888.000
12/30/2010	11.44	11.74	11.29	11.63	3618821	203232176.000
12/31/2010	11.60	11.85	11.46	11.80	2720451	155161088.000
01/04/2011	11.81	12.84	11.78	12.53	3159332	192025040.000
01/05/2011	12.55	13.50	12.27	13.50	3814819	243247200.000
