300025 华星创业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.10	11.36	11.10	11.32	519277	11571027.000
10/11/2010	11.34	11.34	11.16	11.25	692372	15323982.000
10/12/2010	11.30	11.75	11.30	11.60	936546	21380830.000
10/13/2010	11.56	11.76	11.11	11.69	1372014	30774202.000
10/14/2010	11.62	11.86	11.44	11.46	918635	21058798.000
10/15/2010	11.42	11.45	11.16	11.19	714500	15825970.000
10/18/2010	11.26	11.26	10.80	11.06	627764	13583106.000
10/19/2010	11.09	12.18	11.09	12.18	1797856	42488024.000
10/20/2010	12.43	12.89	12.19	12.23	3083381	75955120.000
10/21/2010	12.08	12.10	11.70	11.83	1355850	31581448.000
10/22/2010	11.83	12.60	11.83	12.24	1294000	31294190.000
10/25/2010	12.39	12.70	12.32	12.64	1713057	42312480.000
10/26/2010	12.83	12.83	12.27	12.50	1242712	30393290.000
10/27/2010	12.50	12.73	12.29	12.55	1003661	24707410.000
10/28/2010	12.42	12.63	12.29	12.41	861297	21103776.000
10/29/2010	12.49	13.14	12.41	12.80	3778815	95687680.000
11/01/2010	12.98	14.09	12.85	13.88	4073971	109213040.000
11/02/2010	13.71	13.96	13.09	13.19	2352931	62313180.000
11/03/2010	12.90	12.97	12.24	12.24	1595455	39580872.000
11/04/2010	12.19	12.56	12.09	12.54	942225	22829450.000
11/05/2010	12.57	12.80	12.34	12.72	1014115	25002320.000
11/08/2010	12.72	13.21	12.72	13.14	1231303	31534744.000
11/09/2010	13.20	13.81	12.99	13.72	2919615	77543160.000
11/10/2010	13.62	14.49	13.62	14.04	2805607	77925008.000
11/11/2010	13.98	14.20	13.70	13.82	2009088	55377372.000
11/12/2010	13.72	14.22	12.79	12.80	1432872	37719920.000
11/15/2010	13.06	13.82	12.88	13.76	1784220	47176988.000
11/16/2010	13.63	14.13	12.93	13.32	1734318	46933504.000
11/17/2010	13.14	14.49	13.10	14.03	3725178	103047536.000
11/18/2010	14.25	15.11	13.98	14.94	4467385	128129072.000
11/19/2010	14.75	15.56	14.46	15.10	3401994	100103168.000
11/22/2010	15.06	15.85	14.75	15.17	3465524	105007168.000
11/23/2010	15.16	15.76	14.78	15.59	2131457	64263880.000
11/24/2010	15.57	16.63	15.42	16.44	2345160	74486288.000
11/25/2010	16.52	17.14	16.08	16.65	2455591	80321400.000
11/26/2010	16.34	16.72	15.75	15.94	3728718	118937872.000
11/29/2010	15.71	16.03	15.57	15.72	2580187	80035368.000
11/30/2010	15.63	15.74	14.14	14.60	5010000	142282928.000
12/01/2010	14.06	15.26	14.06	15.18	2768310	81021944.000
12/02/2010	15.19	15.44	15.12	15.21	1834286	55121380.000
12/03/2010	15.47	15.57	14.91	15.26	1908132	57262496.000
12/06/2010	15.17	16.03	15.07	15.71	1885298	57537148.000
12/07/2010	15.67	16.57	15.67	16.55	2312587	73803192.000
12/08/2010	16.44	17.47	16.29	17.06	2190628	72488760.000
12/09/2010	17.06	17.06	16.35	16.44	1166341	37887340.000
12/10/2010	16.19	17.48	16.10	17.47	1542109	51898136.000
12/13/2010	17.67	18.33	17.25	18.21	1680051	58835104.000
12/14/2010	18.08	18.14	17.72	17.92	1521171	53473264.000
12/15/2010	17.82	18.16	17.74	17.88	790331	27798476.000
12/16/2010	17.87	18.08	17.52	17.60	891217	31031568.000
12/17/2010	17.60	18.66	17.45	18.66	1357978	48803260.000
12/20/2010	18.95	18.96	17.57	17.65	1811363	64770680.000
12/21/2010	17.71	18.52	17.65	17.78	1254898	44129176.000
12/22/2010	17.83	17.99	16.97	17.50	1431042	48482356.000
12/23/2010	17.50	18.41	17.11	18.19	1491983	52401468.000
12/24/2010	17.98	18.08	17.00	17.12	1169263	39609396.000
12/27/2010	17.29	17.70	16.29	16.70	808237	27076512.000
12/28/2010	16.53	16.79	15.83	16.35	1312950	41722920.000
12/29/2010	16.38	17.57	16.38	17.21	1912534	64276256.000
12/30/2010	16.96	17.40	16.37	16.80	2356480	77929160.000
12/31/2010	17.16	17.16	16.52	16.95	845397	27967738.000
01/04/2011	16.90	17.15	16.48	16.77	1462511	48141832.000
01/05/2011	16.65	17.98	16.29	17.82	1813179	62002348.000
01/06/2011	17.70	18.40	17.52	17.52	1078345	38110128.000
01/07/2011	17.52	17.81	16.75	16.83	634623	21388556.000
01/10/2011	17.03	17.05	15.67	15.77	1845543	58484916.000
01/11/2011	15.72	16.47	15.52	16.08	1220153	38881128.000
01/12/2011	16.19	16.78	15.78	16.19	765258	24507026.000
01/13/2011	16.52	16.60	16.07	16.29	706333	22723780.000
01/17/2011	15.88	15.96	14.65	15.05	1367368	40966680.000
01/18/2011	14.70	15.42	14.70	15.36	438713	13141058.000
01/19/2011	15.46	15.76	15.20	15.37	418248	12760545.000
01/20/2011	15.11	15.55	14.44	14.46	423099	12485590.000
01/21/2011	14.25	14.51	13.01	13.79	1743918	47056304.000
01/24/2011	13.67	13.67	12.71	12.76	1397057	36284472.000
01/25/2011	12.69	13.21	12.31	13.15	2784559	70490208.000
01/26/2011	12.90	13.76	12.90	13.64	1130093	30122094.000
01/27/2011	13.62	13.79	13.37	13.55	857242	22850750.000
01/28/2011	13.69	14.06	13.42	13.98	337350	9107266.000
01/31/2011	13.70	14.76	13.49	14.35	574128	16325842.000
02/01/2011	14.62	14.90	14.35	14.51	293515	8465691.000
02/09/2011	14.39	15.00	14.39	14.70	346872	10063459.000
02/10/2011	14.76	14.95	14.65	14.89	195633	5696000.000
02/11/2011	14.78	14.98	14.59	14.77	210443	6109584.500
02/14/2011	14.77	15.88	14.76	15.51	542345	16560383.000
02/15/2011	15.72	15.76	15.14	15.35	560329	17063614.000
02/16/2011	15.21	15.71	15.21	15.58	278081	8469992.000
02/17/2011	15.78	16.48	15.59	15.61	1740675	55025432.000
02/18/2011	15.63	15.78	14.88	14.96	624527	18627722.000
02/21/2011	14.76	15.50	14.76	15.37	1053916	31764612.000
02/22/2011	15.38	15.97	14.24	14.61	2133873	62671640.000
02/23/2011	14.54	15.29	14.25	14.90	1459335	43204964.000
02/24/2011	15.04	15.19	14.19	14.69	1498727	42989708.000
02/25/2011	14.64	14.73	14.34	14.51	418984	11951888.000
02/28/2011	14.69	15.33	14.50	15.22	741109	21814670.000
03/01/2011	15.22	15.39	15.02	15.27	492919	14685650.000
03/02/2011	15.11	15.25	14.79	14.95	389821	11441843.000
03/03/2011	14.82	15.01	14.32	14.47	357636	10300539.000
03/04/2011	14.57	14.57	13.78	14.39	800331	22083326.000
03/07/2011	14.49	14.75	14.24	14.72	1064752	30259832.000
03/08/2011	14.72	14.74	14.14	14.33	1225872	34956236.000
03/09/2011	14.33	14.49	14.27	14.39	444508	12559605.000
03/10/2011	14.44	14.84	14.29	14.75	1398475	40170604.000
03/11/2011	14.57	15.26	14.57	14.95	1164923	34295400.000
03/14/2011	14.78	15.29	14.78	15.16	1011279	30083752.000
03/15/2011	15.15	15.56	14.84	15.46	979966	29191074.000
03/16/2011	15.43	16.28	15.43	16.09	1528656	47898352.000
03/18/2011	16.29	16.36	15.64	16.18	796997	25181398.000
03/21/2011	16.19	16.38	15.39	15.56	732080	22756210.000
03/22/2011	15.52	16.02	15.21	15.69	488099	14865410.000
03/23/2011	15.89	16.25	15.58	16.03	431328	13521587.000
03/24/2011	16.03	16.44	16.03	16.03	718472	22906606.000
03/25/2011	16.01	16.01	15.51	15.60	813489	24997734.000
03/28/2011	15.60	15.83	14.81	15.01	879716	26098814.000
03/29/2011	14.91	15.00	14.49	14.65	412222	11959890.000
03/30/2011	14.77	15.01	14.26	14.93	1195765	34231036.000
03/31/2011	14.77	15.05	14.54	14.70	241157	7014514.500
04/01/2011	14.78	15.06	14.55	15.01	223384	6563758.000
04/06/2011	15.00	15.06	13.70	13.88	1109638	31070424.000
04/07/2011	13.90	14.11	13.61	13.72	698515	18895114.000
04/08/2011	13.65	14.21	13.65	14.03	528119	14558114.000
04/12/2011	14.01	14.17	13.29	13.56	538033	14526526.000
04/13/2011	13.57	13.77	13.38	13.73	444468	11913994.000
04/14/2011	13.73	13.92	13.57	13.90	445013	12101425.000
04/15/2011	13.88	13.93	13.63	13.84	332756	9044217.000
04/18/2011	13.84	14.08	13.64	13.65	383932	10446493.000
04/19/2011	13.67	13.76	13.21	13.52	344381	9122743.000
04/20/2011	13.42	14.07	13.37	13.89	463311	12579884.000
04/21/2011	13.93	14.24	13.84	14.15	795187	22024626.000
04/22/2011	14.16	14.16	13.68	13.93	466700	8422731.000
04/25/2011	13.88	13.92	13.10	13.17	612730	10721123.000
04/26/2011	13.01	13.29	12.61	12.70	366750	6175842.000
04/27/2011	12.87	12.87	12.47	12.55	280005	4603233.000
04/28/2011	12.75	12.77	11.47	11.98	510991	8069074.000
04/29/2011	11.98	12.31	11.78	12.24	1106740	17581504.000
05/03/2011	12.22	12.75	12.08	12.65	693162	11321531.000
05/04/2011	12.66	12.82	12.24	12.48	982125	16156327.000
05/05/2011	12.57	13.11	12.48	12.91	599878	10131008.000
05/06/2011	12.75	13.14	12.75	13.01	461066	7837324.500
05/09/2011	13.02	13.31	12.86	13.16	471543	8084566.500
05/10/2011	13.16	13.27	12.87	12.92	281179	4812031.500
05/11/2011	13.00	13.12	12.80	13.12	318929	5430277.500
05/12/2011	12.97	13.20	12.78	12.78	322847	5462042.500
05/13/2011	12.82	12.82	12.20	12.39	628303	10184589.000
05/16/2011	12.32	12.47	12.31	12.38	390597	6332025.500
05/17/2011	12.36	12.54	11.94	12.45	345993	5585735.500
05/18/2011	12.25	12.51	12.25	12.36	184554	2995337.250
05/19/2011	12.46	12.57	12.33	12.34	202960	3295873.250
05/20/2011	12.28	12.42	12.13	12.18	356749	5702805.500
05/23/2011	12.12	12.45	10.95	11.31	829524	12381610.000
05/24/2011	11.27	11.98	11.17	11.81	618792	9400470.000
05/25/2011	11.67	11.81	11.32	11.39	306417	4626535.500
05/26/2011	11.45	11.68	11.31	11.49	383385	5756821.000
05/27/2011	11.28	11.73	11.25	11.73	354410	5370793.500
05/30/2011	11.76	12.24	11.55	11.98	796820	12515180.000
05/31/2011	12.20	12.24	11.48	11.97	825179	12734751.000
06/01/2011	11.92	11.96	11.65	11.79	686902	10555038.000
06/02/2011	11.58	11.65	11.25	11.51	492394	7389257.000
06/03/2011	11.55	11.89	11.47	11.77	418811	6395809.500
06/07/2011	11.69	11.88	11.62	11.83	405817	6256435.000
06/08/2011	11.90	11.90	11.80	11.85	384562	5957519.000
06/09/2011	11.74	11.92	11.47	11.47	255100	3865531.500
06/10/2011	11.47	11.48	11.24	11.37	128500	1904395.000
06/13/2011	11.12	11.53	11.12	11.47	295013	4376140.500
06/14/2011	11.35	11.74	11.35	11.61	211590	3201177.000
06/15/2011	11.71	11.71	11.33	11.44	140680	2110872.000
06/16/2011	11.31	11.31	10.84	10.91	476280	6907775.500
06/17/2011	10.71	11.08	10.50	10.51	444300	6251378.500
06/20/2011	10.58	10.58	9.95	10.11	470735	6309784.500
06/21/2011	10.16	10.24	9.99	10.23	729934	9684259.000
06/22/2011	10.28	10.28	10.01	10.08	430903	5708980.000
06/23/2011	10.08	10.58	10.03	10.41	778935	10570328.000
06/24/2011	10.55	10.97	10.54	10.65	1315233	18411444.000
06/27/2011	10.65	10.92	10.61	10.85	1503384	21193640.000
06/28/2011	10.87	10.90	10.67	10.87	508520	7153561.500
