300026 红日药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.32	7.52	7.32	7.47	550348	21342042.000
10/11/2010	7.49	7.94	7.44	7.87	1358479	54005420.000
10/12/2010	7.79	7.88	7.65	7.72	1111304	44899208.000
10/13/2010	7.72	7.86	7.61	7.76	1071034	43072088.000
10/14/2010	7.84	7.84	7.49	7.50	1243952	49357960.000
10/15/2010	7.36	7.54	7.31	7.34	747880	28834276.000
10/18/2010	7.39	7.39	7.10	7.26	685266	25648236.000
10/19/2010	7.29	8.00	7.29	8.00	2950895	120181736.000
10/20/2010	8.01	8.69	8.01	8.28	2683049	116628328.000
10/21/2010	8.32	8.53	8.18	8.43	1927506	84176016.000
10/22/2010	8.42	9.05	8.42	8.93	2289316	104645568.000
10/25/2010	8.93	9.07	8.68	8.87	2003525	91417488.000
10/26/2010	8.76	8.76	8.40	8.52	1654575	73200336.000
10/27/2010	8.57	9.33	8.57	8.75	1745048	81089016.000
10/28/2010	8.70	8.82	8.38	8.53	925058	40780116.000
10/29/2010	8.51	8.96	8.48	8.61	1295730	58698968.000
11/01/2010	8.65	9.27	8.65	9.19	2069183	96788136.000
11/02/2010	9.20	9.24	8.77	8.88	2262203	104513048.000
11/03/2010	8.73	8.92	8.56	8.73	1671679	75813104.000
11/04/2010	8.71	8.76	8.54	8.67	1136795	50754200.000
11/05/2010	8.68	8.87	8.62	8.75	1028365	46593552.000
11/08/2010	8.80	9.03	8.74	8.95	2297427	106536808.000
11/09/2010	8.96	9.38	8.82	9.37	2984817	141190240.000
11/10/2010	9.37	10.10	9.31	9.82	3355050	170497952.000
11/11/2010	9.76	9.92	9.57	9.63	2009654	101215736.000
11/12/2010	9.46	9.80	8.98	9.06	1864338	90019568.000
11/15/2010	9.06	9.65	9.06	9.65	2506658	121818696.000
11/16/2010	9.67	10.26	9.17	9.34	3450485	173779120.000
11/17/2010	9.25	9.33	8.52	8.64	2028875	94293392.000
11/18/2010	8.76	9.11	8.48	8.96	1483751	68092344.000
11/19/2010	8.98	9.39	8.91	9.36	1480197	70182400.000
11/22/2010	9.47	9.80	9.36	9.65	2086090	103513232.000
11/23/2010	9.64	9.65	9.27	9.64	1295176	63539380.000
11/24/2010	9.49	10.05	9.49	10.02	1858299	95117008.000
11/25/2010	10.05	10.16	9.63	9.83	1594517	81598584.000
11/26/2010	9.78	10.14	9.63	10.04	1504657	77079576.000
11/29/2010	10.03	10.39	9.94	10.25	1612485	85309944.000
11/30/2010	10.16	10.31	9.47	9.66	1674281	84480624.000
12/01/2010	9.71	9.78	9.53	9.71	677911	33844708.000
12/02/2010	9.72	9.76	9.42	9.45	1610202	80014144.000
12/03/2010	9.47	9.48	9.13	9.22	986197	47357176.000
12/06/2010	9.25	9.31	8.88	8.94	700387	32779590.000
12/07/2010	8.96	9.15	8.85	9.14	861013	40291444.000
12/08/2010	9.16	9.29	9.09	9.10	502439	23907494.000
12/09/2010	9.07	9.53	9.07	9.44	1581502	76450152.000
12/10/2010	9.39	9.67	9.31	9.65	912856	45132440.000
12/13/2010	9.73	9.82	9.60	9.73	1458883	73180968.000
12/14/2010	9.77	9.81	9.64	9.70	708226	35581744.000
12/15/2010	9.68	9.72	9.46	9.47	991963	48889144.000
12/16/2010	9.46	9.63	9.39	9.51	606825	29926262.000
12/17/2010	9.48	9.62	9.38	9.43	633784	30990724.000
12/20/2010	9.47	9.58	9.03	9.13	1125083	53909420.000
12/21/2010	9.21	9.29	9.08	9.24	466621	22230448.000
12/22/2010	9.24	9.34	9.13	9.14	449007	21374780.000
12/23/2010	9.11	9.24	9.00	9.04	502887	23796836.000
12/24/2010	9.04	9.09	8.91	8.95	299584	13912728.000
12/27/2010	8.92	9.05	8.48	8.58	814466	37250284.000
12/28/2010	8.58	8.61	8.30	8.31	551872	24101284.000
12/29/2010	8.34	8.54	8.27	8.54	1082805	46914808.000
12/30/2010	8.48	8.52	8.28	8.39	830599	36347296.000
12/31/2010	8.38	8.66	8.38	8.66	526040	23280880.000
01/04/2011	8.70	8.70	8.61	8.66	526734	23627388.000
01/05/2011	8.66	8.78	8.52	8.60	592227	26640204.000
01/06/2011	8.61	8.71	8.51	8.56	577787	25828430.000
01/07/2011	8.56	8.66	8.38	8.46	539720	23805690.000
01/10/2011	8.48	8.48	8.24	8.24	643391	27763834.000
01/11/2011	8.24	8.24	7.91	8.08	668849	27887074.000
01/12/2011	8.08	8.21	8.07	8.14	355361	15011372.000
01/13/2011	8.17	8.18	7.99	8.06	392206	16467879.000
01/17/2011	7.93	7.94	7.53	7.62	1002158	40238420.000
01/18/2011	7.53	7.78	7.53	7.71	188486	7544508.500
01/19/2011	7.77	7.87	7.69	7.87	306770	12392208.000
01/20/2011	7.89	7.97	7.59	7.63	310699	12462534.000
01/21/2011	7.63	7.75	7.55	7.59	277314	10999240.000
01/24/2011	7.61	7.81	7.49	7.65	395844	15797047.000
01/25/2011	7.59	7.63	7.45	7.56	261970	10258262.000
01/26/2011	7.55	7.77	7.55	7.75	184693	7381934.500
01/27/2011	7.63	7.99	7.63	7.91	457941	18622786.000
01/28/2011	7.90	8.04	7.85	8.01	476576	19761230.000
02/01/2011	8.08	8.08	7.93	8.00	270376	11247792.000
02/09/2011	7.99	8.06	7.79	7.81	306055	12496575.000
02/10/2011	7.84	8.08	7.78	8.07	457345	18991220.000
02/11/2011	8.04	8.21	8.03	8.15	652017	27532196.000
02/14/2011	8.20	8.21	8.07	8.17	760401	32151712.000
02/15/2011	8.18	8.56	8.15	8.46	1289053	56118328.000
02/16/2011	8.44	8.52	8.39	8.52	430861	18933622.000
02/17/2011	8.54	8.58	8.45	8.53	495019	21882668.000
02/18/2011	8.49	8.64	8.30	8.36	497878	21929740.000
02/21/2011	8.35	8.54	8.24	8.52	655889	28536772.000
02/22/2011	8.52	8.56	8.18	8.18	899729	38781496.000
02/23/2011	8.12	8.24	8.09	8.22	535595	22699322.000
02/24/2011	8.18	8.46	8.12	8.24	389524	16702702.000
02/25/2011	8.22	8.22	8.02	8.08	716002	30032124.000
02/28/2011	8.09	8.30	8.05	8.27	350088	14893056.000
03/01/2011	8.27	8.48	8.23	8.36	486921	21114574.000
03/02/2011	8.36	8.42	8.29	8.42	541408	23523222.000
03/03/2011	8.42	8.58	8.42	8.58	1044661	45991116.000
03/04/2011	8.52	8.57	8.40	8.51	462476	20324128.000
03/07/2011	8.52	8.58	8.31	8.33	908730	39576256.000
03/08/2011	8.34	8.34	8.16	8.22	885323	37754340.000
03/09/2011	8.26	8.28	8.06	8.11	804416	33898940.000
03/10/2011	8.11	8.24	8.09	8.13	473243	20065576.000
03/11/2011	8.13	8.19	8.07	8.12	545482	22982160.000
03/14/2011	8.11	8.20	8.05	8.16	1514256	64007796.000
03/15/2011	8.16	8.28	8.07	8.13	761645	32250834.000
03/16/2011	8.13	8.21	8.10	8.16	681705	28828780.000
03/17/2011	8.14	8.21	8.10	8.11	620385	26240950.000
03/18/2011	8.12	8.30	8.11	8.25	705171	30115266.000
03/21/2011	8.25	8.25	7.94	8.08	844129	35444884.000
03/22/2011	8.04	8.08	7.92	8.02	571654	23674788.000
03/23/2011	7.98	8.08	7.89	8.03	618597	25698956.000
03/24/2011	8.03	8.24	7.99	8.16	729557	30883160.000
03/25/2011	8.16	8.16	8.05	8.11	340048	14294557.000
03/28/2011	8.09	8.18	7.96	7.97	459511	19159380.000
03/29/2011	7.97	7.97	7.63	7.73	975499	39234412.000
03/30/2011	7.66	7.72	7.51	7.58	476334	18787412.000
03/31/2011	7.57	7.63	7.49	7.54	479725	18814112.000
04/01/2011	7.54	7.60	7.51	7.55	512092	20118084.000
04/06/2011	7.55	7.57	7.27	7.29	1000737	38510296.000
04/07/2011	7.29	7.41	7.24	7.39	723946	27492860.000
04/08/2011	7.37	7.63	7.34	7.58	608606	23828912.000
04/11/2011	7.61	7.64	7.50	7.53	514141	20238954.000
04/12/2011	7.52	7.64	7.40	7.42	345929	13507466.000
04/13/2011	7.46	7.59	7.37	7.56	408819	15966568.000
04/14/2011	7.56	7.60	7.45	7.52	474433	18497364.000
04/15/2011	7.60	7.66	7.49	7.61	891796	35236744.000
04/18/2011	7.64	7.69	7.51	7.65	843938	33441518.000
04/19/2011	7.61	7.94	7.60	7.90	1401490	56968240.000
04/20/2011	7.85	8.15	7.79	8.12	1246289	51947436.000
04/21/2011	8.08	8.44	8.07	8.09	1857735	79485184.000
04/22/2011	8.12	8.31	8.05	8.20	652133	27738396.000
04/25/2011	8.18	8.25	7.93	8.08	1071053	44999056.000
04/26/2011	7.97	8.14	7.85	7.86	485284	20053012.000
04/27/2011	7.95	7.99	7.69	7.73	422308	17156948.000
04/28/2011	7.72	7.82	7.53	7.53	498850	19804304.000
04/29/2011	7.53	7.72	7.50	7.68	371590	14776614.000
05/03/2011	7.67	7.99	7.62	7.94	429769	17517814.000
05/04/2011	7.91	8.06	7.81	8.06	581993	24031620.000
05/05/2011	8.06	8.30	8.03	8.12	1513819	64673264.000
05/06/2011	8.00	8.48	8.00	8.24	1057398	45857156.000
05/10/2011	8.36	8.38	8.09	8.28	564461	24245976.000
05/11/2011	8.28	8.28	8.09	8.18	444299	18876476.000
05/12/2011	8.19	8.33	8.14	8.18	275820	11792607.000
05/13/2011	8.15	8.22	8.02	8.12	401112	16841452.000
05/16/2011	8.28	8.28	7.97	8.09	300299	12611277.000
05/17/2011	8.11	8.12	8.01	8.09	151695	6368455.500
05/18/2011	8.07	8.28	8.07	8.15	473410	20183642.000
05/19/2011	8.16	8.34	8.05	8.17	569295	15995329.000
05/20/2011	8.13	8.21	7.95	8.06	659270	18185572.000
05/23/2011	7.92	8.00	7.60	7.75	698820	18641618.000
05/24/2011	7.65	8.03	7.65	7.98	508471	13755949.000
05/25/2011	7.95	7.95	7.58	7.59	412294	11057974.000
05/26/2011	7.55	8.08	7.55	7.63	281129	7421794.500
05/27/2011	7.63	7.63	7.37	7.49	333349	8602816.000
05/30/2011	7.45	7.63	7.34	7.47	215914	5584806.000
05/31/2011	7.54	7.57	7.39	7.56	165860	4278791.000
06/01/2011	7.60	7.69	7.55	7.63	202939	5331917.500
