300027 华谊兄弟 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.95	8.22	7.94	8.11	1880979	56724380.000
10/11/2010	8.03	8.11	7.83	7.95	2731626	81001976.000
10/12/2010	7.86	8.16	7.86	7.99	1979383	59392340.000
10/13/2010	8.01	8.23	7.96	8.18	2701582	81750632.000
10/14/2010	8.23	8.42	8.06	8.15	3084961	94877024.000
10/15/2010	8.16	8.17	7.75	7.83	3102375	92184192.000
10/18/2010	7.97	8.11	7.83	7.95	2684061	79974744.000
10/19/2010	7.99	8.74	7.87	8.55	5979844	188750528.000
10/20/2010	8.44	8.85	8.31	8.58	5873512	188509168.000
10/21/2010	8.54	8.55	8.31	8.39	2889396	90035304.000
10/22/2010	8.39	8.71	8.36	8.53	3728449	119280264.000
10/25/2010	8.47	8.68	8.39	8.55	4347874	137898784.000
10/26/2010	8.58	8.68	8.39	8.49	2976399	94383856.000
10/27/2010	8.50	8.64	8.28	8.28	3716358	117216832.000
10/28/2010	8.22	8.25	8.03	8.08	2657125	80541536.000
10/29/2010	8.08	8.44	8.08	8.24	3601099	111353992.000
11/01/2010	8.03	8.65	8.03	8.56	8369410	265035808.000
11/02/2010	8.50	8.50	7.98	8.12	11159049	338559264.000
11/03/2010	8.03	8.03	7.75	7.86	5089485	150211472.000
11/04/2010	7.83	7.97	7.81	7.92	3501479	103356080.000
11/05/2010	8.02	8.08	7.94	8.00	3869738	115981472.000
11/08/2010	8.07	8.17	7.99	8.13	4590487	138897280.000
11/09/2010	8.14	8.17	8.02	8.08	3897278	117390704.000
11/10/2010	8.08	8.39	8.02	8.30	6706477	206832208.000
11/11/2010	8.30	8.49	8.22	8.31	6945294	217007008.000
11/12/2010	8.28	8.30	7.81	7.84	6405438	192498368.000
11/15/2010	7.78	8.23	7.78	8.13	5231305	157827808.000
11/16/2010	8.15	8.41	7.96	7.98	9245906	283827392.000
11/17/2010	7.89	8.17	7.82	7.93	3362184	100416736.000
11/18/2010	7.78	7.99	7.78	7.85	3013534	88647632.000
11/19/2010	7.86	8.14	7.83	8.11	4133773	124074976.000
11/22/2010	8.10	8.64	8.06	8.37	10543323	330148160.000
11/23/2010	8.31	8.36	8.00	8.12	5308810	161125120.000
11/24/2010	8.06	8.36	8.06	8.36	5058739	156111760.000
11/25/2010	8.37	8.56	8.23	8.39	6817999	214077776.000
11/26/2010	8.36	8.58	8.33	8.48	7038299	222142336.000
11/29/2010	8.48	8.48	8.14	8.19	7526152	231018656.000
11/30/2010	8.21	8.21	7.64	7.78	9350846	274367040.000
12/01/2010	7.74	8.03	7.69	7.96	4191764	123739608.000
12/02/2010	8.06	8.11	7.91	8.00	3311438	99003816.000
12/03/2010	8.06	8.18	8.00	8.02	2850063	85875576.000
12/06/2010	8.01	8.11	7.74	7.80	3087688	90824040.000
12/07/2010	7.81	7.91	7.78	7.87	1663304	48827964.000
12/08/2010	8.06	8.28	8.06	8.20	5721306	174922528.000
12/09/2010	8.20	8.24	8.03	8.13	3214583	97880472.000
12/10/2010	8.03	8.31	8.01	8.21	4992802	153034752.000
12/13/2010	8.22	8.40	8.19	8.34	7092760	220476240.000
12/14/2010	8.31	8.49	8.21	8.43	7334438	229263360.000
12/15/2010	8.44	9.30	8.43	9.15	20858423	698836992.000
12/16/2010	8.97	9.14	8.86	8.91	9224515	309215040.000
12/17/2010	8.92	8.94	8.62	8.83	9520969	310906688.000
12/20/2010	8.86	9.19	8.50	9.03	10358934	344965312.000
12/21/2010	9.11	9.21	8.89	9.05	5637743	189422144.000
12/22/2010	9.14	9.14	8.71	8.76	5855717	192758624.000
12/23/2010	8.63	8.73	8.36	8.37	4828982	153328096.000
12/24/2010	8.32	8.53	8.08	8.33	2997509	92835160.000
12/27/2010	8.35	8.44	7.86	7.86	6283050	189156528.000
12/28/2010	7.84	7.84	7.60	7.67	3167638	91200920.000
12/29/2010	7.68	7.86	7.67	7.76	2925669	85071384.000
12/30/2010	7.78	7.78	7.58	7.71	2964177	84983840.000
12/31/2010	7.71	7.85	7.71	7.84	2537822	73938912.000
01/04/2011	7.86	8.00	7.76	7.97	4064105	119626456.000
01/05/2011	7.97	7.98	7.71	7.77	5144006	150511584.000
01/06/2011	7.74	7.83	7.50	7.54	6274367	178897488.000
