300028 金亚科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.12	10.48	10.12	10.40	1181813	18671458.000
10/11/2010	10.42	10.74	10.27	10.56	2006410	32202904.000
10/12/2010	10.56	10.68	10.40	10.61	1731349	28000690.000
10/13/2010	10.67	10.79	10.43	10.79	1801475	29092276.000
10/14/2010	10.78	10.86	10.50	10.50	1954904	31867204.000
10/15/2010	10.40	10.49	10.17	10.22	1794710	28162948.000
10/18/2010	10.30	10.33	9.84	10.07	1473935	22454362.000
10/19/2010	10.05	11.10	10.05	11.10	2897049	48222780.000
10/20/2010	11.86	12.08	11.28	11.34	7682936	136378736.000
10/21/2010	10.98	11.17	10.86	11.08	3265587	54806816.000
10/22/2010	11.08	11.80	10.96	11.29	3613000	62910324.000
10/25/2010	11.27	11.58	11.18	11.50	3142282	54723420.000
10/26/2010	11.47	11.47	11.05	11.34	2796743	47807520.000
10/27/2010	11.28	11.48	11.06	11.07	2201175	37657108.000
10/28/2010	11.02	11.14	10.96	11.14	1214109	20459794.000
10/29/2010	11.14	11.42	11.08	11.26	2628527	45293224.000
11/01/2010	11.30	11.68	11.30	11.58	4229316	74236664.000
11/02/2010	11.43	11.77	10.95	11.13	3855976	66842200.000
11/03/2010	11.01	11.14	10.82	10.86	1887766	31455010.000
11/04/2010	10.86	11.00	10.66	11.00	2662157	43759124.000
11/05/2010	11.12	11.12	10.87	11.04	2152850	36043096.000
11/08/2010	11.03	11.36	11.00	11.30	4126209	70704704.000
11/09/2010	11.30	11.39	11.22	11.35	3459256	59641416.000
11/10/2010	11.40	11.58	11.32	11.44	7819735	136724304.000
11/11/2010	11.52	11.74	11.26	11.26	6577797	115627856.000
11/12/2010	11.08	11.34	10.40	10.44	4325060	71629864.000
11/15/2010	10.45	10.95	10.45	10.92	4264236	69952368.000
11/16/2010	10.88	11.27	10.59	10.80	4474662	75277160.000
11/17/2010	10.91	11.27	10.74	10.82	4001306	67209904.000
11/18/2010	10.86	11.03	10.50	10.94	3220637	52814900.000
11/19/2010	10.98	11.48	10.87	11.45	10420738	178887216.000
11/22/2010	11.44	11.81	11.28	11.74	10520501	186236768.000
11/23/2010	11.71	11.71	11.07	11.43	6634248	114888392.000
11/24/2010	11.39	11.82	11.30	11.78	8389192	148379120.000
11/25/2010	11.92	12.07	11.52	11.56	7798647	139462752.000
11/26/2010	11.48	11.73	11.42	11.59	4506840	79548888.000
11/29/2010	11.58	11.98	11.50	11.84	6798289	122390240.000
11/30/2010	11.89	11.95	10.89	11.24	7000562	121290944.000
12/01/2010	11.22	11.28	11.03	11.06	2827337	47909496.000
12/02/2010	11.17	11.25	11.06	11.08	2556921	43448264.000
12/03/2010	11.08	11.18	10.72	10.88	2882115	47924848.000
12/06/2010	10.88	10.96	10.58	10.68	2074897	33948256.000
12/07/2010	10.62	10.93	10.43	10.88	4846903	78501424.000
12/08/2010	10.78	10.90	10.67	10.70	2443149	40141948.000
12/09/2010	10.70	10.70	10.54	10.54	1897383	30680146.000
12/10/2010	10.48	10.71	10.44	10.67	1539207	24895382.000
12/13/2010	10.66	11.00	10.65	10.95	3207245	53249000.000
12/14/2010	10.90	11.07	10.88	10.98	3052955	51097828.000
12/15/2010	11.02	11.35	11.01	11.18	5551791	94752584.000
12/16/2010	11.17	11.60	11.17	11.38	5857969	102180992.000
12/17/2010	11.38	11.55	11.14	11.28	2775718	47924812.000
12/20/2010	11.29	11.46	10.68	11.04	3318745	56110088.000
12/21/2010	11.12	11.35	10.98	11.31	2437686	41557792.000
12/22/2010	11.31	11.40	11.07	11.11	2092499	35653008.000
12/23/2010	11.08	11.18	10.75	10.81	1734236	28865342.000
12/24/2010	10.78	10.78	10.55	10.71	1349041	21986006.000
12/27/2010	10.82	10.85	10.38	10.46	2017535	32609838.000
12/28/2010	10.38	10.38	10.15	10.17	1454003	22746000.000
12/29/2010	10.15	10.38	10.15	10.36	976314	15351366.000
12/30/2010	10.41	10.41	10.16	10.27	989814	15573267.000
12/31/2010	10.28	10.52	10.25	10.49	1105684	17573668.000
01/04/2011	10.57	10.59	10.42	10.58	1432332	23013202.000
01/05/2011	10.49	10.69	10.42	10.60	2179274	34963484.000
01/06/2011	10.61	10.64	10.42	10.43	1154914	18474956.000
01/07/2011	10.44	10.50	10.32	10.37	1301934	20685978.000
01/10/2011	10.38	10.49	10.18	10.24	1223195	19321912.000
01/11/2011	10.40	10.58	10.20	10.25	2438688	38573652.000
01/12/2011	10.36	10.40	10.17	10.37	2651835	41505780.000
01/13/2011	10.52	10.52	10.28	10.31	1487772	23556046.000
01/14/2011	10.34	10.34	9.95	9.98	1921067	29443428.000
01/17/2011	9.91	9.98	9.14	9.15	3398072	49253172.000
01/18/2011	9.08	9.22	9.05	9.16	1102724	15441870.000
01/19/2011	9.25	9.30	9.17	9.29	1308416	18507184.000
01/20/2011	9.29	9.29	8.72	8.74	2078680	28621968.000
01/21/2011	8.60	8.90	8.60	8.82	1203345	16139851.000
01/24/2011	8.82	8.86	8.66	8.66	1080867	14461186.000
01/25/2011	8.68	8.78	8.56	8.62	861715	11373608.000
01/26/2011	8.62	8.88	8.62	8.80	768375	10334516.000
