300029 天龙光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	24.50	25.02	24.15	24.90	1202284	29871278.000
10/11/2010	24.90	24.95	23.81	23.97	1607922	39086244.000
10/12/2010	24.15	24.15	23.62	23.72	1305878	31398144.000
10/13/2010	23.65	24.25	23.38	24.16	1303989	31335934.000
10/14/2010	24.10	24.57	23.63	24.29	1959363	47653572.000
10/15/2010	24.15	24.55	24.10	24.24	1211506	29693420.000
10/18/2010	24.05	24.05	22.86	23.61	1864899	43889360.000
10/19/2010	23.74	25.24	23.25	24.65	3847802	95904768.000
10/20/2010	24.55	25.28	24.25	24.41	2559975	64125032.000
10/21/2010	24.38	24.70	23.97	24.70	1194318	29251090.000
10/22/2010	24.61	25.28	24.61	24.94	1285481	32421204.000
10/25/2010	24.94	26.05	24.94	25.75	2356087	61164868.000
10/26/2010	26.15	26.15	25.14	25.90	2003825	51712980.000
10/27/2010	25.77	25.77	24.83	24.85	2926617	74482416.000
10/28/2010	24.85	25.33	24.38	25.05	2018965	50520640.000
10/29/2010	25.05	26.84	25.05	26.34	4787397	126584888.000
11/01/2010	27.37	28.99	27.37	28.99	5299490	151821104.000
11/02/2010	28.93	29.61	27.78	27.86	3751949	108660600.000
11/03/2010	27.56	28.80	27.47	27.49	2202848	62578296.000
11/04/2010	27.95	28.33	27.05	28.33	2024387	56587364.000
11/05/2010	28.65	29.25	28.26	28.46	2572707	74475464.000
11/08/2010	28.85	30.45	28.46	30.23	4205121	123755624.000
11/09/2010	30.15	30.35	28.83	29.60	2698084	80271936.000
11/10/2010	29.73	31.04	29.35	30.36	2389568	73482744.000
11/11/2010	30.15	31.91	30.15	30.35	2597186	81636256.000
11/12/2010	30.34	30.90	28.15	28.36	2649127	78543232.000
11/15/2010	28.74	30.81	28.35	30.65	2276426	68187560.000
11/16/2010	30.25	32.23	29.55	30.15	2874522	89799720.000
11/17/2010	29.74	31.25	28.45	28.57	1654343	49435676.000
11/18/2010	28.94	29.73	28.08	29.53	1362684	39755064.000
11/19/2010	29.85	31.03	29.15	30.86	2787548	85072600.000
11/22/2010	30.80	33.05	30.42	31.33	3010691	97847560.000
11/23/2010	31.16	32.83	30.75	32.40	2484332	79556504.000
11/24/2010	32.42	33.25	32.03	32.71	1245756	41036932.000
11/25/2010	32.72	33.25	31.04	31.66	2384982	76757320.000
11/26/2010	31.37	31.93	30.58	31.05	1675580	52885932.000
11/29/2010	31.15	32.55	30.83	32.23	1696077	54441844.000
11/30/2010	32.55	33.13	30.86	32.68	3058170	98651144.000
12/01/2010	32.55	34.78	32.47	34.10	2812978	96397520.000
12/02/2010	34.00	34.66	33.47	33.76	2222502	76233992.000
12/03/2010	34.32	34.65	32.63	32.76	1994367	67611856.000
12/06/2010	32.25	33.11	31.63	31.80	1307363	42429408.000
12/07/2010	31.94	33.98	31.67	33.61	1269563	42040844.000
12/08/2010	33.65	35.24	31.87	32.55	4885830	165815168.000
12/09/2010	32.35	32.35	30.86	31.26	2373381	74872472.000
12/10/2010	31.50	31.99	30.93	31.65	1145249	36505296.000
12/13/2010	31.58	33.00	31.58	32.81	2179555	71804328.000
12/14/2010	32.91	34.02	32.76	33.20	1659543	55945288.000
12/15/2010	33.14	33.20	32.17	32.35	1458218	47662440.000
12/16/2010	32.33	33.95	32.24	33.20	1440631	48436328.000
12/17/2010	33.26	34.21	33.25	33.74	1177071	40024652.000
12/20/2010	34.05	34.21	31.65	32.05	2711931	88218912.000
12/21/2010	32.25	33.25	32.15	32.25	1468235	48232252.000
12/22/2010	32.13	32.13	30.05	30.23	3575248	109601496.000
12/23/2010	29.86	30.09	29.33	29.85	1399101	41980680.000
12/24/2010	29.74	30.41	28.47	28.91	1410858	41642016.000
12/27/2010	29.25	29.65	28.55	28.81	2466016	72061440.000
12/28/2010	28.27	28.35	27.50	27.67	7046124	197357360.000
12/29/2010	27.70	28.49	26.97	28.42	5671765	158548288.000
