300030 阳普医疗 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	6.14	6.33	6.10	6.32	615988	15618958.000
10/11/2010	6.37	6.38	6.17	6.27	716531	18249950.000
10/12/2010	6.24	6.37	6.14	6.26	578897	14782604.000
10/13/2010	6.17	6.37	6.16	6.34	611904	15599642.000
10/14/2010	6.35	6.43	6.23	6.32	776668	19997898.000
10/15/2010	6.27	6.36	6.14	6.18	637579	16204120.000
10/18/2010	6.14	6.14	5.87	6.00	991010	23964120.000
10/19/2010	6.01	6.50	5.97	6.38	2086856	53925388.000
10/20/2010	6.35	6.60	6.24	6.41	1772817	46443652.000
10/21/2010	6.39	6.43	6.24	6.41	838452	21560088.000
10/25/2010	6.54	6.67	6.49	6.61	1676193	44881696.000
10/26/2010	6.64	6.64	6.48	6.59	897701	23923472.000
10/27/2010	6.64	6.77	6.54	6.57	1024175	27773132.000
10/28/2010	6.54	6.62	6.48	6.61	617647	16491736.000
10/29/2010	6.63	6.78	6.57	6.76	1163202	31805946.000
11/01/2010	6.78	7.07	6.78	6.93	1520359	42959512.000
11/02/2010	6.93	6.98	6.62	6.73	1086381	29901430.000
11/03/2010	6.64	6.72	6.49	6.51	672261	17972456.000
11/04/2010	6.51	6.72	6.49	6.71	512655	13686396.000
11/05/2010	6.74	6.76	6.61	6.71	667836	18101538.000
11/08/2010	6.71	6.87	6.68	6.85	711030	19591022.000
11/09/2010	6.93	7.01	6.75	7.00	1085974	30425944.000
11/10/2010	7.01	7.14	6.93	7.04	1293771	37252368.000
11/11/2010	7.01	7.19	6.94	7.02	1295963	37347108.000
11/12/2010	7.02	7.06	6.68	6.79	1332957	37277308.000
11/15/2010	6.79	7.38	6.75	7.33	1473666	42841092.000
11/16/2010	7.23	7.63	6.99	7.24	1748452	52395008.000
11/17/2010	7.15	7.49	7.02	7.15	1253177	37179704.000
11/18/2010	7.22	7.55	7.21	7.55	1297285	38983732.000
11/19/2010	7.55	7.75	7.49	7.70	1334549	41400328.000
11/22/2010	7.69	8.00	7.64	7.90	1026760	32767472.000
11/23/2010	7.88	7.94	7.72	7.87	772477	24405532.000
11/24/2010	7.79	7.97	7.69	7.87	702273	22258190.000
11/25/2010	7.89	7.94	7.52	7.62	795093	24770554.000
11/26/2010	7.59	7.69	7.39	7.47	600607	18420992.000
11/29/2010	7.48	8.04	7.37	8.00	998986	31525210.000
11/30/2010	7.97	8.39	7.52	7.96	1179910	37920996.000
12/01/2010	7.99	8.07	7.67	7.92	346139	11047597.000
12/02/2010	7.92	8.03	7.82	7.87	467948	15020673.000
12/03/2010	7.79	7.98	7.79	7.83	570826	18243470.000
12/06/2010	7.83	7.94	7.54	7.62	390008	12143209.000
12/07/2010	7.47	7.78	7.47	7.69	183239	5693927.500
12/08/2010	7.74	7.78	7.62	7.77	569082	17850332.000
12/09/2010	7.70	7.76	7.59	7.64	243539	7552783.500
12/10/2010	7.68	7.72	7.44	7.71	165088	5107827.500
12/13/2010	7.64	8.07	7.64	7.93	290031	9333906.000
12/14/2010	7.84	8.07	7.84	7.96	231669	7491250.000
12/15/2010	8.00	8.24	7.82	7.97	559163	18261128.000
12/16/2010	7.97	7.99	7.83	7.90	383980	12309279.000
12/17/2010	7.90	8.05	7.89	7.95	287346	9234342.000
12/20/2010	7.90	8.01	7.67	7.77	465402	14733689.000
12/21/2010	7.78	7.78	7.67	7.72	194525	6087911.500
12/22/2010	7.76	7.76	7.42	7.43	556413	17062010.000
12/23/2010	7.43	7.63	7.34	7.34	476224	14413355.000
12/24/2010	7.30	7.43	6.99	6.99	414818	12160565.000
12/27/2010	7.04	7.39	7.04	7.06	588757	17223158.000
12/28/2010	6.92	7.34	6.92	7.30	1471956	42573872.000
12/29/2010	7.28	7.51	7.23	7.48	772709	23228090.000
12/30/2010	7.48	7.58	7.38	7.45	659634	19983670.000
12/31/2010	7.38	7.56	7.35	7.52	379273	11525816.000
01/04/2011	7.52	7.95	7.44	7.86	677145	21364784.000
01/05/2011	7.87	7.93	7.80	7.85	353001	11240477.000
01/06/2011	7.77	7.97	7.77	7.86	251276	8044501.500
01/07/2011	7.81	7.96	7.77	7.81	237240	7555385.000
01/10/2011	7.67	7.81	7.58	7.64	157818	4921629.000
01/11/2011	7.64	7.64	7.04	7.21	752326	22251272.000
01/12/2011	7.19	7.28	7.09	7.19	434209	12660505.000
01/13/2011	7.19	7.24	7.07	7.11	294722	8543074.000
01/14/2011	7.17	7.17	6.94	7.14	282657	8050637.500
01/18/2011	6.86	7.21	6.81	7.19	433976	12377495.000
01/19/2011	7.22	7.30	7.09	7.27	176650	5185393.500
01/20/2011	7.26	7.29	7.05	7.16	155278	4532797.000
01/21/2011	7.01	7.52	7.01	7.46	327333	9757474.000
01/24/2011	7.45	7.61	7.31	7.46	164540	4981189.500
01/25/2011	7.38	7.39	7.06	7.29	182059	5371250.000
01/26/2011	7.32	7.59	7.21	7.58	370199	11267510.000
01/27/2011	7.59	7.76	7.49	7.74	309999	9595161.000
01/28/2011	7.59	7.76	7.59	7.73	218427	6791672.500
01/31/2011	7.69	7.84	7.59	7.78	124197	3899188.750
02/01/2011	7.76	7.85	7.64	7.79	194036	6115798.000
02/09/2011	7.67	7.87	7.67	7.74	75800	2389986.750
02/10/2011	7.73	7.94	7.70	7.94	302082	9671818.000
02/11/2011	7.94	7.94	7.67	7.84	405205	12856763.000
02/14/2011	7.84	7.94	7.77	7.93	341183	10857428.000
02/15/2011	7.88	8.00	7.79	7.93	323244	10321404.000
02/16/2011	7.97	7.98	7.87	7.94	136210	4377206.500
02/17/2011	7.92	7.95	7.81	7.89	183763	5871090.000
02/18/2011	7.72	8.22	7.72	8.22	639619	21057762.000
02/21/2011	8.22	8.62	8.22	8.50	814740	28119688.000
