300031 宝通带业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	6.60	6.63	6.50	6.63	804338	16821980.000
10/11/2010	6.61	6.73	6.53	6.71	1366953	28582338.000
10/12/2010	6.72	6.95	6.67	6.77	1293334	27759714.000
10/13/2010	6.77	7.06	6.68	7.06	1765477	38181020.000
10/14/2010	7.13	7.13	6.78	6.80	1469563	32145828.000
10/15/2010	6.81	6.89	6.65	6.66	1207699	25782048.000
10/18/2010	6.62	6.62	6.35	6.50	1082029	22093764.000
10/19/2010	6.52	7.19	6.48	7.19	3706419	82784640.000
10/20/2010	6.95	7.49	6.93	7.24	4059157	93124192.000
10/21/2010	7.29	7.29	6.95	7.04	1865141	41528036.000
10/22/2010	7.06	7.58	7.06	7.33	2461866	57197132.000
10/25/2010	7.36	7.62	7.34	7.53	2621172	62123700.000
10/26/2010	7.48	7.48	7.21	7.31	2228761	51206948.000
10/28/2010	7.14	7.19	6.97	7.02	1648407	36698324.000
10/29/2010	7.05	7.41	7.05	7.33	1856862	42514784.000
11/01/2010	7.40	7.60	7.32	7.57	2737414	64803552.000
11/02/2010	7.59	7.60	7.23	7.23	2497554	57674816.000
11/03/2010	7.20	7.23	6.97	7.10	1205934	26893592.000
11/04/2010	6.98	7.19	6.98	7.17	952248	21262858.000
11/05/2010	7.13	7.51	7.13	7.47	1948447	45006832.000
11/08/2010	7.57	7.96	7.39	7.92	4380326	106481120.000
11/09/2010	7.94	8.08	7.75	7.84	3090983	76735776.000
11/10/2010	7.87	8.06	7.82	7.88	2035540	50935848.000
11/11/2010	7.83	7.99	7.68	7.70	1941830	47776792.000
11/12/2010	7.62	7.80	7.06	7.07	1907268	44279688.000
11/15/2010	7.00	7.46	7.00	7.42	1904560	43515804.000
11/16/2010	7.47	7.80	7.18	7.38	2092745	49425312.000
11/17/2010	7.30	7.69	7.22	7.42	2341017	55306788.000
11/18/2010	7.48	7.73	7.40	7.73	2073445	49504676.000
11/19/2010	7.82	8.03	7.63	7.92	2902728	71575528.000
11/22/2010	7.90	8.05	7.77	7.86	2518321	62668936.000
11/23/2010	7.82	7.84	7.49	7.83	1604553	38521864.000
11/24/2010	7.77	7.95	7.67	7.94	1748753	43121808.000
11/25/2010	7.93	7.94	7.63	7.79	1402942	34286904.000
11/26/2010	7.77	7.84	7.63	7.69	955195	23216598.000
11/29/2010	7.74	7.92	7.70	7.86	1269214	31186750.000
