300032 金龙机电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.94	9.05	8.85	9.00	1947289	36087620.000
10/11/2010	9.00	9.02	8.71	8.71	3047066	56055396.000
10/12/2010	8.85	9.31	8.81	9.29	3417356	64256612.000
10/13/2010	9.30	9.32	9.10	9.29	1861389	35331452.000
10/14/2010	9.30	9.45	9.06	9.07	2053919	39159312.000
10/15/2010	9.06	9.06	8.82	8.88	1790711	32995510.000
10/18/2010	8.95	9.14	8.71	9.13	1620238	29769822.000
10/19/2010	9.13	9.95	9.13	9.68	3446197	68181632.000
10/20/2010	9.50	9.84	9.40	9.53	2765686	54829004.000
10/21/2010	9.50	9.54	9.22	9.35	1632796	31594474.000
10/22/2010	9.47	9.69	9.38	9.48	1342449	26358884.000
10/25/2010	9.50	9.67	9.50	9.56	1747772	34574628.000
10/26/2010	9.58	9.65	9.36	9.44	1537172	29952422.000
10/27/2010	9.44	9.54	9.29	9.30	1414228	27469358.000
10/28/2010	9.25	9.25	8.95	9.12	2291937	43041620.000
10/29/2010	9.12	9.44	9.11	9.36	1983939	38164308.000
11/01/2010	9.40	9.79	9.38	9.66	3349267	66529552.000
11/02/2010	9.64	9.73	9.38	9.42	3058163	59914256.000
11/03/2010	9.42	9.42	9.14	9.17	2021047	38533604.000
11/04/2010	9.17	9.29	9.09	9.27	1169419	22215236.000
11/05/2010	9.33	9.39	9.26	9.35	1223086	23507990.000
11/08/2010	9.36	9.60	9.36	9.55	2045971	40132180.000
11/09/2010	9.55	9.65	9.52	9.64	2429115	47996796.000
11/10/2010	9.62	9.90	9.57	9.80	2948516	59493612.000
11/11/2010	9.79	9.93	9.64	9.66	2820534	56910928.000
11/12/2010	9.61	9.81	9.14	9.16	3067525	59935036.000
11/15/2010	9.31	10.10	9.31	10.10	2455817	50424544.000
11/16/2010	11.14	11.14	10.46	10.61	12077388	268748992.000
11/17/2010	10.85	11.66	10.54	11.14	10473654	236163760.000
11/18/2010	11.15	11.89	10.98	11.34	9119192	213082560.000
11/19/2010	11.20	12.45	11.10	12.29	8397839	205120496.000
11/22/2010	12.33	12.93	11.89	12.04	11332875	287004192.000
11/23/2010	12.15	12.78	11.70	12.55	6339569	159198160.000
11/24/2010	12.25	12.85	12.24	12.77	3725223	95575464.000
11/25/2010	12.70	12.75	12.15	12.34	3330089	84534920.000
11/26/2010	12.26	12.35	11.71	11.98	4524468	111380120.000
11/29/2010	11.95	12.59	11.82	12.39	3093820	77645384.000
11/30/2010	12.38	12.38	11.34	11.79	3250444	78941848.000
12/01/2010	11.63	12.04	11.63	11.69	1053619	25454318.000
12/02/2010	11.80	12.10	11.70	11.80	1291423	31440826.000
12/03/2010	11.81	11.88	11.15	11.36	1593607	37298940.000
12/06/2010	11.29	11.48	10.88	10.95	1484349	33699584.000
12/07/2010	10.95	11.33	10.80	11.27	1098784	25069518.000
12/08/2010	11.27	11.37	11.02	11.09	1090248	25119090.000
12/09/2010	11.04	11.28	10.93	11.10	1006800	22917310.000
12/10/2010	11.14	11.85	11.14	11.76	2403318	57014544.000
12/13/2010	11.81	12.35	11.68	12.04	2327686	57612536.000
12/14/2010	11.95	12.13	11.78	11.95	1277638	31131284.000
12/15/2010	11.93	12.14	11.89	11.99	1219969	29988474.000
12/16/2010	11.99	12.18	11.91	11.95	1226172	30260576.000
12/17/2010	11.96	12.10	11.78	12.08	901085	22074524.000
12/20/2010	12.08	12.08	11.45	11.71	1338739	32367750.000
12/21/2010	11.79	11.88	11.56	11.70	1135261	27178270.000
12/22/2010	11.71	11.73	11.33	11.35	962341	22758270.000
12/23/2010	11.36	11.58	11.21	11.22	703190	16517953.000
12/24/2010	11.28	11.47	10.55	10.70	1588910	35573456.000
12/27/2010	10.70	10.93	10.31	10.39	1051973	23193452.000
12/28/2010	10.39	10.75	10.18	10.55	1281127	27667700.000
12/29/2010	10.55	11.14	10.55	11.00	1045179	23537516.000
12/30/2010	11.04	11.15	10.81	10.96	750261	16958286.000
12/31/2010	11.00	11.18	10.91	11.13	539934	12301091.000
01/04/2011	11.08	11.16	10.81	11.14	1099825	24814884.000
01/05/2011	11.01	11.05	10.70	10.89	1007235	22495288.000
01/06/2011	10.80	10.93	10.60	10.62	813797	17910658.000
01/07/2011	10.53	10.84	10.43	10.57	625774	13698140.000
01/10/2011	10.70	10.76	10.16	10.20	753789	16221484.000
01/11/2011	10.10	10.19	9.57	9.70	2238456	44961340.000
01/12/2011	9.74	9.99	9.74	9.93	898249	18232670.000
01/13/2011	9.99	9.99	9.70	9.82	674030	13611547.000
01/14/2011	9.88	9.88	9.56	9.58	463458	9204760.000
01/17/2011	9.56	9.59	9.21	9.33	726454	13985914.000
01/18/2011	9.32	9.45	9.00	9.25	959767	18294362.000
01/19/2011	9.25	9.64	9.13	9.55	731867	14267322.000
01/20/2011	9.55	9.55	9.11	9.20	637585	12230815.000
01/21/2011	9.06	9.46	9.06	9.28	573500	11006932.000
01/24/2011	9.39	9.55	9.28	9.29	857550	16589147.000
01/25/2011	9.29	9.33	8.68	8.88	984183	18302164.000
01/26/2011	8.89	9.06	8.88	8.95	475750	8845706.000
01/27/2011	8.95	9.18	8.80	9.17	441013	8263495.000
01/28/2011	9.23	9.45	9.13	9.41	614034	11759652.000
01/31/2011	9.35	9.68	9.20	9.60	920781	18020420.000
02/01/2011	9.49	9.67	9.40	9.51	397199	7793364.000
02/09/2011	9.43	9.56	9.28	9.29	305280	5930984.000
02/10/2011	9.30	9.70	9.21	9.70	674822	13258138.000
02/11/2011	9.71	9.84	9.64	9.74	515169	10343255.000
02/14/2011	9.75	10.10	9.75	9.99	698313	14380408.000
02/15/2011	9.96	10.10	9.83	10.09	888457	18198812.000
02/16/2011	9.98	10.22	9.92	10.22	842767	17529942.000
02/17/2011	10.22	10.27	9.86	10.05	746956	15519469.000
02/18/2011	10.05	10.14	9.75	9.78	665364	13592027.000
02/21/2011	9.79	9.98	9.75	9.95	626133	12714160.000
02/22/2011	9.93	10.01	9.49	9.54	902260	18037584.000
02/23/2011	9.53	9.78	9.51	9.64	463721	9217189.000
02/24/2011	9.64	9.73	9.53	9.69	609812	12094993.000
02/25/2011	9.55	9.55	9.24	9.50	1013417	19739464.000
02/28/2011	9.49	9.77	9.36	9.77	951104	18734958.000
03/01/2011	9.75	10.00	9.68	9.76	846509	17144440.000
03/02/2011	9.73	9.92	9.61	9.88	730744	14691844.000
03/03/2011	9.89	9.99	9.68	9.71	798242	16136556.000
03/04/2011	9.71	9.85	9.62	9.73	426948	8552619.000
03/07/2011	9.82	9.82	9.64	9.71	698363	13961256.000
03/08/2011	9.76	10.71	9.73	10.65	3744453	80655616.000
03/09/2011	10.65	11.18	10.56	10.95	3607403	80538016.000
03/10/2011	11.05	11.61	10.75	11.30	4449219	103218464.000
03/11/2011	11.24	11.60	11.10	11.35	2714065	63307204.000
03/14/2011	11.25	11.70	11.25	11.50	2833569	66753468.000
03/15/2011	11.45	11.53	11.04	11.51	2399314	55513232.000
03/16/2011	11.45	12.13	11.45	11.91	2219071	53748924.000
03/17/2011	11.75	12.15	11.65	11.93	1808141	44165792.000
03/18/2011	11.93	12.19	11.84	12.01	1267320	31198762.000
03/21/2011	12.20	12.83	11.86	12.73	2507062	63540468.000
03/22/2011	12.70	12.70	12.16	12.22	1910995	48340268.000
03/23/2011	12.17	12.75	11.96	12.53	1218489	30856948.000
03/24/2011	12.40	12.64	12.35	12.38	804571	20483556.000
03/25/2011	12.48	12.70	12.22	12.59	943194	24086418.000
03/28/2011	12.59	13.08	12.57	12.87	1603982	41995304.000
03/29/2011	12.75	12.87	11.95	12.20	1681345	42977092.000
03/30/2011	12.41	12.45	11.98	12.15	1231575	30851496.000
03/31/2011	12.15	12.70	11.98	12.20	855096	21337528.000
04/01/2011	12.06	12.73	12.01	12.65	895178	22921256.000
04/06/2011	12.50	12.64	12.16	12.44	572076	14428334.000
04/07/2011	12.34	12.55	12.19	12.46	534578	13550828.000
04/08/2011	12.46	12.82	12.29	12.50	1015287	26237390.000
04/11/2011	12.50	13.28	12.50	13.09	1573343	41745792.000
04/12/2011	13.08	13.20	12.81	13.10	801774	21440854.000
04/13/2011	13.06	13.30	13.00	13.09	646766	17344558.000
04/14/2011	13.09	13.09	12.20	12.43	1581455	40672168.000
04/15/2011	12.44	12.73	12.04	12.65	1344885	33860168.000
04/18/2011	12.64	12.74	12.20	12.49	1915872	49068212.000
04/19/2011	12.45	12.45	12.08	12.20	1274816	31851732.000
04/20/2011	12.20	12.28	12.05	12.25	663632	16511383.000
04/21/2011	12.23	12.23	11.97	12.10	1091221	26966828.000
04/22/2011	12.20	12.75	12.20	12.71	1440832	36868916.000
04/25/2011	12.58	13.05	12.45	12.53	1357527	35216084.000
04/26/2011	12.53	12.53	12.09	12.17	628685	15732398.000
