300033 同花顺 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.62	16.44	15.62	16.17	1410719	46260812.000
10/11/2010	16.27	16.40	15.81	15.88	1237032	40249984.000
10/12/2010	15.81	16.17	15.78	16.09	822671	26836336.000
10/13/2010	16.06	16.35	15.72	16.32	1109197	35920584.000
10/14/2010	16.31	17.77	16.27	17.39	3539468	124558336.000
10/15/2010	17.32	17.87	16.92	17.74	2748795	97590984.000
10/18/2010	17.78	17.91	16.54	17.23	1611681	56132508.000
10/19/2010	16.95	18.97	16.95	18.82	4317927	161218528.000
10/20/2010	18.37	19.51	18.25	18.53	3482905	132905232.000
10/21/2010	18.49	18.71	17.78	17.91	1934098	70621400.000
10/22/2010	17.91	18.86	17.80	18.77	2145035	80404640.000
10/25/2010	18.86	19.44	18.86	19.10	2418139	93751296.000
10/26/2010	19.14	19.26	18.45	18.77	1570008	59715296.000
10/27/2010	18.78	19.26	18.07	18.17	1543344	58074924.000
10/28/2010	18.02	18.26	17.59	17.95	1116735	40600100.000
10/29/2010	18.09	19.02	17.94	18.92	2451605	93039672.000
11/01/2010	19.22	20.27	19.22	19.82	3320488	133326904.000
11/02/2010	20.07	20.27	19.52	19.93	2683551	108144848.000
11/03/2010	19.67	20.09	18.87	18.87	1600556	62899232.000
11/04/2010	18.89	19.21	18.53	18.96	1267376	48237604.000
11/05/2010	19.16	19.25	18.52	19.06	1164158	44431384.000
11/08/2010	18.79	19.56	18.79	19.54	1800395	70341784.000
11/09/2010	19.57	19.72	19.07	19.22	1437198	56089356.000
11/10/2010	19.14	20.07	19.09	19.80	1774240	70829608.000
11/11/2010	19.82	21.32	19.72	20.76	3509625	147303504.000
11/12/2010	20.77	21.26	19.27	19.28	2408512	98736616.000
11/15/2010	19.37	20.61	19.37	20.61	2277158	91960792.000
11/16/2010	20.71	20.71	19.16	19.51	2017244	81738536.000
11/17/2010	19.52	19.81	17.99	18.12	1382308	52708092.000
11/18/2010	18.13	18.76	17.68	18.22	1224331	44987116.000
11/19/2010	18.42	18.86	18.15	18.85	1891875	70878136.000
11/22/2010	18.67	19.77	18.59	19.45	2053718	80643792.000
11/23/2010	19.42	20.07	18.67	19.87	1990078	78248112.000
11/24/2010	19.77	21.26	19.45	21.17	2324010	96153296.000
11/25/2010	21.18	21.32	20.31	20.61	1452827	61095168.000
11/26/2010	20.76	21.01	20.07	20.78	1272841	53206320.000
11/29/2010	20.44	20.87	20.44	20.82	1054197	44191160.000
11/30/2010	20.65	20.90	19.27	19.54	1567083	63211520.000
12/01/2010	19.42	19.77	19.17	19.41	1068844	41986176.000
12/02/2010	19.76	19.92	19.38	19.38	734032	29222746.000
12/03/2010	19.42	19.67	18.97	19.03	932794	36202272.000
12/06/2010	19.16	19.18	18.77	18.77	646689	24835912.000
12/07/2010	19.02	19.66	18.52	19.47	612801	23962344.000
12/08/2010	19.32	19.71	18.84	19.18	782570	30429290.000
12/09/2010	18.90	19.41	18.77	18.86	639559	24700328.000
12/10/2010	18.95	19.52	18.86	19.26	583437	22734410.000
12/13/2010	19.52	20.15	19.37	19.90	1623992	65023752.000
12/14/2010	20.22	20.24	19.77	19.95	824010	33347362.000
12/15/2010	19.76	20.61	19.76	20.16	1583495	65077372.000
12/16/2010	20.15	21.57	20.15	21.07	2544442	108199320.000
12/17/2010	20.83	21.01	20.52	20.78	1139763	47793752.000
12/20/2010	20.81	21.01	19.27	19.67	1705457	68751752.000
12/21/2010	19.71	19.92	19.32	19.56	936399	37123208.000
12/22/2010	19.47	19.97	19.37	19.63	594157	23607456.000
12/23/2010	19.61	19.67	19.08	19.16	556603	21771888.000
12/24/2010	19.21	19.40	18.47	18.51	855511	32547274.000
12/28/2010	17.82	17.82	16.77	17.22	1314603	46143000.000
12/29/2010	17.20	17.43	16.77	17.43	851920	29463864.000
12/30/2010	17.43	17.43	16.76	17.04	862801	29796188.000
12/31/2010	17.06	17.52	17.06	17.52	677212	23768158.000
01/04/2011	17.76	17.87	17.37	17.75	649500	23178974.000
01/05/2011	17.72	17.81	17.42	17.46	692091	24673408.000
01/06/2011	17.37	17.52	16.76	16.89	1435415	49319880.000
01/07/2011	16.89	17.11	16.59	16.67	1156121	39452296.000
01/10/2011	16.61	16.81	15.82	15.82	1540882	50992744.000
01/11/2011	15.88	16.37	15.77	16.14	1191457	38883196.000
01/12/2011	16.21	16.50	15.82	16.24	635490	20923492.000
01/13/2011	16.42	16.53	16.22	16.27	688230	22808808.000
01/14/2011	16.27	16.27	15.82	15.84	525909	17019632.000
01/17/2011	15.84	15.84	15.27	15.35	467421	14678971.000
01/18/2011	15.33	15.51	15.29	15.37	346335	10813010.000
01/19/2011	15.76	15.86	15.39	15.74	523507	16503035.000
01/20/2011	15.74	15.77	14.72	14.95	611502	18900924.000
01/21/2011	14.95	15.05	14.52	14.85	998954	30020718.000
01/24/2011	14.90	15.18	14.60	14.77	707063	21307568.000
01/25/2011	14.97	14.97	14.17	14.26	587953	17100310.000
01/26/2011	14.12	14.47	14.12	14.29	948583	27624430.000
01/27/2011	14.26	14.52	14.23	14.49	774261	22639544.000
01/28/2011	14.50	14.96	14.42	14.84	843082	25284364.000
01/31/2011	14.77	14.92	14.55	14.91	816869	24433758.000
02/01/2011	14.91	15.02	14.78	15.01	471188	14262310.000
02/09/2011	14.92	15.07	14.77	14.87	588266	17832622.000
02/10/2011	14.91	15.52	14.89	15.46	787953	24517508.000
02/11/2011	15.46	15.71	15.29	15.55	646143	20395064.000
02/14/2011	15.71	17.02	15.55	16.67	1491426	48665416.000
02/15/2011	16.42	16.84	16.28	16.40	1286171	42999976.000
02/17/2011	16.57	16.76	16.07	16.22	1036395	34321688.000
02/18/2011	16.22	16.25	15.65	15.81	1184269	37988104.000
02/21/2011	15.72	15.99	15.52	15.96	1073820	34304040.000
02/22/2011	15.92	15.94	15.27	15.32	1144760	36129708.000
