300034 钢研高纳 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.73	10.03	9.73	9.88	1483215	40891900.000
10/11/2010	9.84	9.92	9.33	9.50	1739500	46408616.000
10/12/2010	9.44	9.83	9.39	9.77	1735390	46408532.000
10/13/2010	9.81	10.54	9.81	10.33	3644751	104121656.000
10/14/2010	10.37	10.37	9.96	10.17	2330125	65585912.000
10/15/2010	10.17	10.17	9.80	10.08	1786504	49749588.000
10/18/2010	10.05	10.07	9.54	9.77	1402910	37911276.000
10/19/2010	9.84	10.75	9.83	10.48	3294039	95697680.000
10/20/2010	10.30	10.90	10.29	10.36	2928753	85934304.000
10/21/2010	10.34	10.85	10.13	10.74	2235131	64967588.000
10/22/2010	10.73	11.77	10.52	11.32	3651385	113759328.000
10/25/2010	11.25	11.52	11.19	11.41	2145197	67505312.000
10/26/2010	11.33	11.73	11.01	11.53	2261077	70708616.000
10/27/2010	11.38	11.63	11.07	11.07	1518219	47758244.000
10/28/2010	10.93	11.11	10.83	10.92	1077985	32710056.000
10/29/2010	10.91	11.69	10.91	11.50	2228624	70583536.000
11/01/2010	11.44	12.38	11.37	12.19	2363669	79217272.000
11/02/2010	12.20	12.49	11.73	11.74	2338375	78291560.000
11/03/2010	11.52	11.74	11.00	11.04	1664512	52474380.000
11/04/2010	11.18	11.51	11.01	11.44	1356031	42194956.000
11/05/2010	11.52	11.74	11.14	11.33	1510678	47404368.000
11/09/2010	11.56	11.87	11.41	11.48	1634365	52541992.000
11/10/2010	11.48	11.70	11.33	11.62	904345	29003104.000
11/11/2010	11.50	11.78	11.23	11.26	1532448	49175556.000
11/12/2010	11.19	11.26	10.18	10.23	2398032	71028536.000
11/15/2010	10.51	10.77	10.30	10.77	1750654	51469584.000
11/16/2010	10.81	11.18	10.45	10.77	1948876	59020720.000
11/17/2010	10.57	11.11	10.52	10.83	1503960	45367572.000
11/18/2010	11.03	11.14	10.76	10.91	722343	21810476.000
11/19/2010	11.00	11.22	10.84	11.22	1068663	32747638.000
11/22/2010	11.22	11.51	11.11	11.28	1291116	40623996.000
11/23/2010	11.28	11.28	10.74	11.10	1135434	34399140.000
11/24/2010	11.03	11.30	10.82	11.26	1106173	34372976.000
11/25/2010	11.30	11.67	11.30	11.38	1428253	45425400.000
11/26/2010	11.44	11.89	11.34	11.70	1626952	52621404.000
11/29/2010	11.66	12.13	11.57	12.07	1724352	57084052.000
11/30/2010	12.07	12.08	11.22	11.62	1431143	45872360.000
12/01/2010	11.57	11.59	11.27	11.34	712788	22539252.000
12/02/2010	11.55	11.70	11.33	11.67	1202596	38343636.000
12/03/2010	11.67	11.72	11.00	11.15	843732	26422934.000
12/06/2010	10.97	11.19	10.76	10.93	548525	16653269.000
12/07/2010	10.97	11.22	10.79	11.15	478153	14589132.000
12/08/2010	11.01	11.41	11.00	11.23	465489	14512711.000
12/09/2010	11.19	11.58	11.07	11.26	831989	26296210.000
12/10/2010	11.33	11.78	11.28	11.56	906713	29056604.000
12/13/2010	11.59	12.41	11.59	12.12	1984491	66055180.000
12/14/2010	12.21	12.21	11.92	12.02	971409	32285452.000
12/15/2010	12.01	12.63	11.96	12.34	1703176	58557940.000
12/16/2010	12.23	12.84	12.12	12.33	1612343	55910996.000
12/17/2010	12.33	12.42	12.15	12.33	672423	22802874.000
12/20/2010	12.33	12.85	12.00	12.76	2222509	77176352.000
12/21/2010	12.72	13.04	12.52	13.04	1479101	52350348.000
12/22/2010	13.00	13.36	12.56	12.66	1496943	53515156.000
12/23/2010	12.34	12.67	12.34	12.36	883745	30559520.000
12/24/2010	12.19	12.30	11.82	11.96	833908	27732808.000
12/27/2010	11.93	12.26	11.39	11.56	1189164	39192752.000
12/28/2010	11.48	11.74	11.03	11.59	941455	29667176.000
12/29/2010	11.43	12.19	11.43	12.08	628606	20599878.000
12/30/2010	12.08	12.41	11.93	12.27	675096	22888212.000
12/31/2010	12.40	12.81	12.11	12.81	1942433	66760620.000
01/04/2011	12.83	12.85	12.60	12.71	1214937	42559684.000
01/05/2011	12.69	12.81	12.54	12.56	769659	26981104.000
01/06/2011	12.51	12.78	12.50	12.51	749116	26095142.000
01/07/2011	12.48	12.48	12.05	12.22	1026044	34795660.000
01/10/2011	12.07	12.28	11.91	11.93	886484	29628592.000
01/11/2011	11.85	12.00	11.69	11.93	426943	13970992.000
01/12/2011	11.93	12.15	11.91	12.15	567201	18937022.000
01/13/2011	12.21	12.29	11.94	11.94	520760	17385274.000
01/14/2011	11.92	11.93	11.41	11.50	501247	16059041.000
01/17/2011	11.39	11.49	10.77	10.77	779939	23890480.000
01/18/2011	10.76	10.89	10.68	10.85	295570	8864764.000
01/19/2011	10.84	11.10	10.77	11.06	320630	9753695.000
01/20/2011	11.00	11.16	10.48	10.48	513050	15389376.000
01/21/2011	10.41	10.73	10.30	10.50	442390	12897174.000
01/24/2011	10.52	10.76	10.31	10.44	298382	8755782.000
01/25/2011	10.41	10.53	10.09	10.40	316982	9060306.000
01/26/2011	10.44	10.70	10.33	10.66	257354	7545661.000
01/27/2011	10.63	10.84	10.45	10.84	373096	11116085.000
01/28/2011	10.85	10.92	10.74	10.82	281635	8486872.000
01/31/2011	10.89	11.10	10.74	10.99	428417	13011344.000
02/01/2011	11.00	11.07	10.88	11.00	202046	6142100.000
02/09/2011	10.85	10.96	10.56	10.58	361210	10766617.000
02/10/2011	10.58	10.99	10.49	10.95	360383	10765261.000
02/11/2011	10.91	11.37	10.91	11.26	657499	20438634.000
02/14/2011	11.26	11.46	11.20	11.37	566832	17821682.000
02/15/2011	11.40	11.54	11.30	11.37	522174	16517219.000
02/16/2011	11.37	11.59	11.31	11.59	510894	16226382.000
02/17/2011	11.60	11.70	11.41	11.67	492843	15776821.000
02/18/2011	11.60	11.90	11.56	11.77	518253	16863520.000
02/21/2011	11.75	12.21	11.66	12.15	731847	24320692.000
02/22/2011	12.15	12.46	11.67	11.69	992322	33207632.000
02/23/2011	11.56	11.97	11.56	11.96	507745	16650880.000
02/24/2011	12.06	12.50	11.52	11.71	851593	28201244.000
02/25/2011	11.63	11.77	11.42	11.48	552812	17673582.000
02/28/2011	11.48	11.57	11.29	11.52	817272	25868314.000
03/01/2011	11.54	11.54	11.31	11.39	912171	28798420.000
03/02/2011	11.39	11.46	11.21	11.33	438337	13715267.000
03/03/2011	11.31	11.40	11.07	11.08	543019	16926082.000
03/04/2011	11.10	11.15	10.76	11.08	780270	23642610.000
03/07/2011	11.04	11.29	11.01	11.24	1219053	37628924.000
03/08/2011	11.26	11.31	11.13	11.28	459306	14298533.000
03/09/2011	11.30	11.35	10.81	11.16	567458	17513880.000
03/10/2011	11.16	11.59	11.11	11.50	1241691	39377528.000
03/11/2011	11.45	11.68	11.37	11.64	734288	23416788.000
03/14/2011	11.56	11.69	11.44	11.55	670106	21387712.000
03/15/2011	11.59	11.63	11.07	11.18	905209	28215036.000
03/16/2011	11.17	11.55	11.11	11.52	875196	27325948.000
03/17/2011	11.63	12.22	11.45	11.53	2238409	73288528.000
03/18/2011	11.59	11.77	11.47	11.47	853580	27445508.000
03/21/2011	11.55	11.63	11.25	11.27	659219	20789580.000
03/22/2011	11.35	11.40	11.14	11.39	343854	10750633.000
03/23/2011	11.26	11.37	11.16	11.28	791953	24659424.000
03/24/2011	11.29	11.31	11.11	11.11	487383	15108904.000
03/25/2011	11.04	11.31	11.04	11.19	377128	11703670.000
03/28/2011	11.19	11.19	11.00	11.10	454321	13998722.000
03/29/2011	11.06	11.26	11.06	11.13	736425	22826358.000
03/30/2011	11.22	11.22	10.75	10.88	621474	18703286.000
03/31/2011	10.85	10.96	10.70	10.87	378134	11392280.000
04/01/2011	10.82	11.02	10.81	11.01	289564	8763187.000
04/06/2011	10.98	11.07	10.87	11.00	351275	10665602.000
04/08/2011	11.00	11.25	10.99	11.20	433766	13383762.000
04/11/2011	11.28	11.44	11.02	11.07	354322	10910920.000
04/12/2011	11.07	11.33	11.03	11.13	262514	8133896.500
04/13/2011	11.12	11.30	11.09	11.20	356973	11076947.000
04/14/2011	11.25	11.25	10.88	10.93	521991	15943073.000
04/15/2011	10.83	10.92	10.76	10.90	461678	13858724.000
04/18/2011	10.90	10.94	10.78	10.82	280738	8433722.000
04/19/2011	10.75	10.87	10.63	10.78	388803	11570091.000
04/20/2011	10.87	11.77	10.73	11.29	951326	29884954.000
04/21/2011	11.13	11.48	11.07	11.33	732179	22870628.000
04/22/2011	11.33	11.51	11.27	11.31	469594	14840964.000
04/25/2011	11.22	11.35	10.81	10.81	350743	10748736.000
04/26/2011	10.71	10.95	10.71	10.81	352109	10580681.000
04/27/2011	10.81	10.92	10.63	10.69	316417	9482942.000
04/28/2011	10.70	10.81	10.22	10.26	378220	10984728.000
04/29/2011	10.28	10.56	10.19	10.37	255352	7338318.000
05/03/2011	10.39	10.60	10.37	10.57	191449	5575980.500
05/04/2011	10.57	10.66	10.33	10.39	238419	6946386.000
05/05/2011	10.39	10.55	10.26	10.47	169207	4917630.000
05/06/2011	10.43	10.89	10.33	10.82	295600	8744264.000
05/09/2011	10.81	10.96	10.74	10.85	162832	4904311.000
05/10/2011	10.86	11.04	10.86	10.89	174707	5298491.000
05/11/2011	10.89	10.96	10.79	10.79	131323	3947561.250
05/12/2011	10.81	10.90	10.67	10.80	157271	4723462.500
05/13/2011	10.81	10.81	10.49	10.70	205609	6083142.000
05/16/2011	10.65	10.80	10.63	10.68	147049	4366492.500
05/17/2011	10.64	10.68	10.41	10.48	296175	8641571.000
05/18/2011	10.45	10.61	10.45	10.51	152400	4447747.000
05/19/2011	10.56	10.72	10.54	10.54	377211	11135377.000
05/20/2011	10.49	10.63	10.49	10.55	133740	3920516.000
05/23/2011	10.63	10.81	10.37	10.52	414497	12167529.000
05/24/2011	10.51	10.88	10.37	10.84	472127	13981320.000
05/25/2011	10.78	10.80	10.41	10.41	400701	11771725.000
05/26/2011	10.41	10.53	9.99	10.05	412141	6513127.500
05/27/2011	10.00	10.00	9.28	9.29	911925	13413652.000
05/30/2011	9.30	9.43	9.05	9.08	546199	7785868.000
05/31/2011	9.11	9.46	9.05	9.33	584989	8340925.500
06/01/2011	9.40	9.69	9.27	9.53	609131	8949760.000
06/02/2011	9.44	9.48	9.27	9.42	466251	6755614.000
06/03/2011	9.39	9.58	9.39	9.55	294130	4323552.000
06/07/2011	9.47	9.67	9.47	9.55	272743	4019852.250
06/08/2011	9.66	10.53	9.62	10.53	2550200	40650580.000
06/09/2011	10.50	10.63	10.05	10.07	1762660	28037236.000
06/10/2011	10.05	11.00	9.72	10.67	2490215	40083036.000
06/13/2011	10.60	11.37	10.40	10.80	2574974	43236016.000
06/14/2011	10.63	11.40	10.60	11.33	2518894	42817272.000
06/15/2011	11.27	11.47	10.97	10.99	2663192	45556816.000
06/16/2011	10.80	10.94	10.41	10.52	1329746	21839082.000
06/17/2011	10.52	11.53	10.37	11.15	3410247	58299344.000
06/20/2011	11.26	11.47	10.93	11.23	2477189	42654712.000
06/21/2011	11.15	11.32	10.83	11.27	1731797	29487508.000
06/22/2011	11.40	11.40	10.97	11.00	1442781	24619220.000
06/23/2011	11.06	11.32	10.88	11.12	1766357	30333052.000
06/24/2011	10.93	11.80	10.91	11.67	3588681	63522432.000
06/27/2011	11.41	12.01	11.41	11.85	3300586	59820196.000
06/28/2011	11.85	11.92	11.54	11.67	1954259	35060308.000
06/29/2011	11.67	11.85	11.40	11.46	1445376	25686952.000
06/30/2011	11.41	11.81	11.39	11.65	1488864	26640226.000
07/01/2011	11.67	11.77	11.39	11.41	1620659	28705114.000
07/04/2011	11.45	11.99	11.41	11.91	2426749	43601964.000
07/05/2011	11.88	12.07	11.77	11.91	1648063	30067826.000
07/06/2011	11.91	12.37	11.69	12.37	3239008	59395952.000
07/07/2011	12.30	12.37	11.73	11.81	3801272	69987792.000
07/08/2011	11.87	11.92	11.50	11.82	1280224	23032196.000
07/11/2011	11.73	12.00	11.47	11.99	2218217	39998328.000
07/12/2011	11.81	12.03	11.67	11.80	2118363	38609784.000
07/13/2011	11.89	12.20	11.74	12.07	2388854	44096208.000
07/14/2011	12.10	12.11	11.86	12.07	2144522	39464596.000
07/15/2011	11.92	12.09	11.71	11.97	2711307	49372480.000
07/18/2011	11.98	11.98	11.51	11.65	2716334	48732548.000
07/19/2011	11.55	11.59	11.27	11.39	1766949	30953030.000
07/20/2011	11.40	11.53	11.37	11.46	798107	14029440.000
07/21/2011	11.46	11.53	11.20	11.20	1199960	20795036.000
07/22/2011	11.25	11.37	11.13	11.29	751384	13009205.000
07/25/2011	11.27	11.56	10.92	11.07	1568590	27131752.000
07/26/2011	11.15	11.24	10.95	11.20	681339	11574628.000
07/27/2011	11.09	11.37	11.09	11.25	1084380	18758740.000
