300035 中科电气 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.31	8.55	8.31	8.46	1046871	23282464.000
10/11/2010	8.43	8.46	8.21	8.34	1513784	33126188.000
10/12/2010	8.35	9.08	8.34	9.00	2853413	66153284.000
10/13/2010	9.01	9.08	8.74	8.92	1558644	36406364.000
10/14/2010	8.99	9.07	8.55	8.57	1583627	36768928.000
10/15/2010	8.54	8.82	8.36	8.54	1444725	32596314.000
10/18/2010	8.54	8.58	7.95	8.21	1412967	30648688.000
10/19/2010	8.23	9.07	8.23	9.07	2206043	51289280.000
10/20/2010	9.18	9.68	8.93	9.03	3985269	97627384.000
10/21/2010	8.80	9.51	8.80	9.38	2095644	50264616.000
10/22/2010	9.37	9.70	9.25	9.29	1956643	48644700.000
10/25/2010	9.29	9.51	9.29	9.48	1949851	48332392.000
10/26/2010	9.50	9.50	9.09	9.23	1927936	46623096.000
10/27/2010	9.25	9.27	8.86	8.88	1637064	38936828.000
10/28/2010	8.86	9.03	8.82	8.97	974656	22912442.000
10/29/2010	8.93	9.33	8.93	9.21	1495995	36177576.000
11/01/2010	9.37	9.70	9.33	9.49	2669217	66878844.000
11/02/2010	9.45	9.64	9.14	9.21	2403840	59140728.000
11/03/2010	9.09	9.09	8.87	8.87	1242196	29336898.000
11/04/2010	8.90	9.07	8.88	9.05	744756	17561774.000
11/05/2010	9.09	9.33	8.99	9.33	1308741	31436688.000
11/08/2010	9.31	9.68	9.23	9.68	2085122	51923740.000
11/09/2010	9.70	9.72	9.37	9.51	1516695	37798432.000
11/10/2010	9.70	9.90	9.57	9.61	2316066	59081356.000
11/11/2010	9.60	9.83	9.45	9.46	2178236	55451276.000
11/12/2010	9.38	9.48	8.75	8.78	1931713	45980616.000
11/15/2010	8.86	9.27	8.75	9.26	1318222	31470066.000
11/16/2010	9.34	9.51	9.02	9.34	2578798	63154584.000
11/17/2010	9.39	9.83	9.33	9.49	3405989	85841240.000
11/18/2010	9.41	9.53	9.05	9.37	1848632	44888236.000
11/19/2010	9.37	9.71	9.30	9.70	2474369	61818132.000
11/22/2010	9.63	10.06	9.55	9.80	2919459	75328976.000
11/23/2010	9.87	9.90	9.37	9.63	1453704	36476056.000
11/24/2010	9.53	9.98	9.49	9.91	1822987	46645580.000
11/25/2010	9.98	10.04	9.56	9.70	1641447	41920032.000
11/26/2010	9.69	9.83	9.53	9.64	1164835	29570970.000
11/29/2010	9.64	9.76	9.44	9.68	1127417	28437530.000
11/30/2010	9.63	9.68	9.03	9.22	1427330	34826336.000
12/01/2010	9.21	9.30	9.14	9.18	685184	16595540.000
