300036 超图软件 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	22.01	22.01	21.64	21.84	356469	12610970.000
10/11/2010	22.04	22.04	20.89	21.01	672192	23199506.000
10/12/2010	21.09	21.34	20.88	21.03	707908	24069954.000
10/13/2010	20.85	20.90	19.93	20.31	2393626	78106384.000
10/14/2010	20.26	20.58	20.01	20.54	1415718	46402868.000
10/15/2010	20.61	20.61	19.99	20.33	707311	23215066.000
10/18/2010	20.09	20.22	18.90	19.34	871059	27214576.000
10/19/2010	19.64	20.89	19.38	20.81	1120425	37081576.000
10/20/2010	20.42	21.40	20.14	20.84	948005	32224080.000
10/21/2010	20.88	20.88	20.33	20.58	398803	13221743.000
10/22/2010	20.65	21.14	20.40	20.78	440595	14868634.000
10/25/2010	20.89	21.89	20.89	21.80	1038710	36414580.000
10/26/2010	21.78	21.90	21.33	21.50	592373	20679450.000
10/27/2010	21.34	21.71	21.03	21.43	757162	26295682.000
10/28/2010	21.26	21.56	20.96	21.42	413915	14270801.000
10/29/2010	21.41	22.14	21.37	21.86	602097	21358600.000
11/01/2010	21.90	23.52	21.90	22.93	1076958	39880460.000
11/02/2010	22.90	22.95	22.28	22.78	623427	22761160.000
11/03/2010	22.50	22.64	21.76	21.88	439273	15826830.000
11/04/2010	21.84	22.43	21.84	22.38	704905	25180392.000
11/05/2010	22.57	23.59	22.57	23.23	909540	33955572.000
11/08/2010	23.26	23.44	22.81	23.23	844017	31519504.000
11/09/2010	23.21	23.21	22.90	23.19	606452	22584748.000
11/10/2010	23.19	23.51	23.11	23.29	1237496	46485900.000
11/11/2010	23.27	23.46	22.83	22.83	1012507	38023492.000
11/12/2010	22.65	22.65	20.71	20.80	1104240	38803696.000
11/15/2010	20.84	21.63	20.84	21.61	614574	21043162.000
11/16/2010	21.64	21.96	21.03	21.13	554626	19354744.000
11/17/2010	21.13	21.88	20.98	21.11	329721	11385335.000
11/18/2010	21.21	21.59	20.73	21.15	455928	15493058.000
11/19/2010	21.18	22.03	21.18	22.03	695921	24232546.000
11/22/2010	22.33	23.19	22.31	22.53	1217644	44719828.000
11/23/2010	22.51	23.13	22.21	23.06	1073117	39248728.000
11/24/2010	22.91	23.35	22.76	23.25	803461	29952012.000
11/25/2010	23.26	23.76	22.84	23.16	858223	32287528.000
11/26/2010	22.99	23.44	22.50	22.71	1074657	39728132.000
11/29/2010	22.63	22.98	22.43	22.62	761258	28005726.000
11/30/2010	22.59	22.89	21.29	21.96	928645	33138430.000
12/01/2010	22.19	22.19	21.65	21.88	289358	10217414.000
12/02/2010	22.28	22.31	21.81	21.88	314592	11243262.000
