300037 新宙邦 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	25.24	26.34	24.94	25.51	1306693	55938036.000
10/11/2010	25.43	25.69	25.05	25.31	1209160	50775832.000
10/12/2010	25.23	25.74	24.94	24.99	953091	40083996.000
10/13/2010	25.01	25.18	24.44	25.03	1232397	50865892.000
10/14/2010	25.04	25.36	24.81	24.84	1211696	50340248.000
10/15/2010	24.69	25.50	24.06	24.15	1680053	68942392.000
10/18/2010	23.99	24.06	22.58	24.06	1590727	61511776.000
10/19/2010	24.06	26.49	23.88	25.99	1589637	67439160.000
10/20/2010	25.70	26.84	25.69	26.09	1744565	76223416.000
10/21/2010	25.86	26.47	25.51	25.82	904617	39006468.000
10/22/2010	26.21	26.68	25.84	26.17	828292	36087212.000
10/25/2010	26.26	27.37	26.26	27.21	1705564	76372064.000
10/26/2010	27.20	27.21	26.49	27.06	1747639	77640536.000
10/27/2010	26.68	26.88	26.16	26.56	1703281	74685008.000
10/28/2010	26.31	26.49	25.91	26.19	976645	42275832.000
10/29/2010	26.38	27.25	26.23	27.20	1892913	84303912.000
11/01/2010	27.28	28.80	27.28	28.28	1991470	93171824.000
11/02/2010	28.13	28.43	27.51	27.69	1563085	72332944.000
11/03/2010	27.34	27.47	26.01	26.25	1317999	58589716.000
11/04/2010	26.18	26.71	25.73	26.34	1493720	64654376.000
11/05/2010	26.72	26.86	26.28	26.63	902486	39781956.000
11/08/2010	26.69	27.44	26.69	27.16	1328647	59409904.000
11/09/2010	27.07	27.07	26.36	26.68	1414456	62410728.000
11/10/2010	26.76	27.81	26.69	27.68	1890835	85835272.000
11/11/2010	27.59	28.00	26.98	27.09	1602211	73452992.000
11/12/2010	26.99	27.56	25.03	25.20	1445143	62984528.000
11/15/2010	25.42	26.25	25.23	26.25	1121812	48133488.000
11/16/2010	26.44	27.43	25.76	26.88	1721464	76324152.000
11/17/2010	26.80	27.28	25.95	26.06	1338591	58970516.000
11/18/2010	26.11	26.50	25.69	26.30	694737	30059900.000
11/19/2010	26.50	27.94	26.41	27.84	1808507	82179736.000
11/22/2010	27.84	29.14	27.81	28.42	2735919	129115000.000
11/23/2010	28.43	28.96	27.82	28.92	1467779	69112296.000
11/24/2010	28.91	29.68	28.64	29.12	1958001	94551952.000
11/25/2010	29.34	29.61	28.13	28.49	1244626	59175548.000
11/26/2010	28.14	28.94	28.14	28.93	768895	36295920.000
11/29/2010	28.95	29.66	28.81	29.23	1042032	50424616.000
11/30/2010	29.06	29.27	27.19	27.69	1250473	57843796.000
12/01/2010	27.50	27.93	27.50	27.83	559184	25674596.000
12/02/2010	28.09	28.21	27.58	27.88	731071	33652912.000
12/03/2010	27.64	27.79	26.85	27.14	837193	37751820.000
12/06/2010	27.18	27.44	26.19	26.46	591858	26066448.000
12/07/2010	26.31	26.81	26.02	26.75	634425	27896166.000
12/08/2010	26.75	27.11	26.49	26.76	684153	30341286.000
12/09/2010	26.58	26.78	26.32	26.35	433350	19027660.000
12/10/2010	25.56	26.89	25.56	26.58	497996	21779428.000
