300038 梅泰诺 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.32	14.68	14.28	14.53	581787	12863949.000
10/11/2010	14.53	14.60	14.35	14.51	892368	19689664.000
10/12/2010	14.51	14.66	14.48	14.60	604386	13458639.000
10/13/2010	14.64	14.64	14.34	14.61	711913	15714672.000
10/14/2010	14.56	14.64	14.28	14.29	778719	17170058.000
10/15/2010	14.25	14.35	14.09	14.12	707003	15308179.000
10/18/2010	14.12	14.13	13.67	14.00	709389	15022104.000
10/19/2010	13.94	15.08	13.94	14.87	1743828	39326796.000
10/20/2010	14.66	15.15	14.62	14.71	1305771	29545742.000
10/21/2010	14.56	14.73	14.42	14.60	676602	14994838.000
10/22/2010	14.60	15.08	14.52	14.82	767041	17390730.000
10/25/2010	14.82	15.12	14.80	15.12	1165135	26700734.000
10/26/2010	15.10	15.14	14.82	14.93	752390	17123344.000
10/27/2010	14.94	15.12	14.86	14.89	862996	19798594.000
10/28/2010	14.86	14.86	14.38	14.55	1214599	26975322.000
10/29/2010	14.54	14.77	14.54	14.68	756102	16931032.000
11/01/2010	14.72	15.15	14.62	15.11	1883389	43183184.000
11/02/2010	15.22	15.24	14.85	14.88	1020188	23300474.000
11/03/2010	14.70	14.95	14.62	14.62	678506	15212798.000
11/04/2010	14.63	14.80	14.47	14.62	945686	21018618.000
11/05/2010	14.65	14.81	14.60	14.78	725727	16305602.000
11/08/2010	14.81	15.18	14.81	15.18	1377466	31595144.000
11/09/2010	15.14	15.24	14.98	15.20	1068676	24631168.000
11/10/2010	15.20	15.56	15.16	15.46	1552242	36503728.000
11/11/2010	15.40	15.73	15.29	15.30	1875655	44350620.000
11/12/2010	15.30	15.34	14.33	14.55	1323725	29934286.000
11/15/2010	14.64	15.21	14.62	15.16	1033530	23561862.000
11/16/2010	15.20	15.65	14.76	15.20	1877603	43730232.000
11/17/2010	15.06	15.61	15.02	15.26	1827272	42901788.000
11/18/2010	15.48	15.68	15.08	15.64	1789928	42138252.000
11/19/2010	15.60	16.00	15.51	15.98	2465595	59371964.000
11/22/2010	15.94	16.36	15.74	15.88	2968857	72941512.000
11/23/2010	15.76	15.76	15.20	15.68	1422169	33607092.000
11/24/2010	15.47	15.95	15.47	15.94	1357219	32628036.000
11/25/2010	16.06	16.06	15.62	15.66	1479830	35481044.000
11/26/2010	15.60	15.92	15.59	15.70	932144	22393260.000
11/29/2010	15.70	15.95	15.60	15.89	1124225	27005136.000
11/30/2010	15.89	16.00	15.10	15.28	1291746	30427474.000
12/01/2010	15.28	15.39	15.15	15.28	577842	13444867.000
12/02/2010	15.42	15.55	15.25	15.27	703368	16441735.000
12/03/2010	15.27	15.30	14.78	14.94	867880	19870750.000
12/06/2010	14.94	15.05	14.60	14.68	501010	11269142.000
12/07/2010	14.68	14.92	14.56	14.89	271686	6127744.000
12/08/2010	14.79	14.96	14.79	14.83	434957	9862636.000
12/09/2010	14.79	14.93	14.60	14.61	385408	8678191.000
12/10/2010	14.62	14.80	14.58	14.73	327307	7334796.500
12/13/2010	14.72	15.28	14.72	15.18	718115	16487267.000
12/14/2010	15.21	15.26	15.08	15.20	497941	11519355.000
12/15/2010	15.25	15.44	15.13	15.28	642955	14988909.000
12/16/2010	15.17	15.46	15.17	15.32	599345	14038376.000
12/17/2010	15.24	15.45	15.24	15.38	550951	12904496.000
12/20/2010	15.52	15.52	14.88	15.12	753951	17488426.000
12/21/2010	15.12	15.33	15.08	15.30	495980	11514894.000
12/23/2010	15.16	15.20	14.88	14.96	493441	11303858.000
12/24/2010	14.97	14.99	14.76	14.92	548198	12442338.000
12/27/2010	14.86	15.06	14.44	14.48	371838	8397492.000
12/28/2010	14.48	14.52	14.16	14.16	353472	7717460.000
12/29/2010	14.55	14.58	14.15	14.38	152526	3332335.500
12/30/2010	14.38	14.54	14.34	14.52	245961	5418844.500
12/31/2010	14.49	14.66	14.48	14.62	263132	5859185.500
01/04/2011	14.74	14.92	14.62	14.76	342169	7696966.500
01/05/2011	14.78	14.78	14.66	14.70	230170	5165753.000
01/06/2011	14.67	14.74	14.43	14.44	310598	6894845.500
01/07/2011	14.40	14.67	14.36	14.44	305833	6784424.000
01/10/2011	14.34	14.65	14.34	14.38	212586	4684246.500
01/11/2011	14.35	14.51	14.04	14.11	266371	5773041.000
01/12/2011	14.17	14.26	14.06	14.15	208741	4507630.500
01/13/2011	14.16	14.25	14.08	14.08	325850	7028915.000
01/14/2011	14.08	14.08	13.68	13.68	424350	8940528.000
01/17/2011	13.62	13.75	13.02	13.05	524979	10608422.000
01/18/2011	13.04	13.10	12.95	13.06	211699	4219436.000
01/19/2011	13.09	13.25	13.05	13.22	385350	7744711.500
01/20/2011	13.22	13.22	12.20	12.40	694978	13519592.000
01/21/2011	12.40	12.48	12.12	12.42	523594	9861700.000
01/24/2011	12.40	12.50	12.15	12.15	293340	5528661.000
01/25/2011	12.15	12.16	11.89	12.02	336837	6189187.500
01/26/2011	12.27	12.34	12.04	12.16	386910	7176147.500
01/27/2011	12.12	12.32	12.00	12.27	383805	7162231.000
01/28/2011	12.26	12.35	12.15	12.32	348737	6550502.500
01/31/2011	12.29	12.40	12.24	12.40	385510	7276819.000
02/01/2011	12.40	12.48	12.32	12.40	331402	6285043.500
02/09/2011	12.25	12.44	12.22	12.27	223349	4212857.500
02/10/2011	12.27	12.72	12.27	12.68	547318	10504887.000
02/11/2011	12.68	12.81	12.61	12.81	452704	8811556.000
02/14/2011	12.79	13.00	12.74	12.96	665125	13080236.000
