300039 上海凯宝 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.63	12.21	11.49	12.19	1243215	57038652.000
10/11/2010	12.27	12.40	11.33	11.83	1808392	82943840.000
10/12/2010	11.96	12.13	11.44	11.85	1340669	60674228.000
10/13/2010	11.59	12.12	11.58	11.86	1263137	57374116.000
10/14/2010	11.73	11.93	11.61	11.85	804160	36242224.000
10/15/2010	11.81	11.81	10.59	10.98	2884894	121478768.000
10/18/2010	10.87	11.34	10.10	10.96	2752608	113315560.000
10/19/2010	10.88	11.84	10.62	11.58	2344493	102514616.000
10/20/2010	11.46	11.71	11.13	11.58	2389344	105013808.000
10/21/2010	11.45	11.58	11.10	11.43	1384089	59888232.000
10/22/2010	11.39	12.04	11.21	11.99	1184918	53802564.000
10/25/2010	12.08	12.24	11.74	11.93	514175	23586324.000
10/26/2010	12.11	12.11	11.27	11.44	1936689	85380072.000
10/27/2010	11.44	12.05	11.40	11.41	1464747	65551884.000
10/28/2010	11.30	11.49	10.90	11.16	1443759	62390000.000
10/29/2010	11.31	11.63	11.16	11.63	1134448	49789464.000
11/01/2010	11.63	12.07	11.49	12.03	1202650	54674360.000
11/02/2010	11.91	11.99	11.52	11.80	1067966	48007360.000
11/03/2010	11.51	11.71	11.34	11.54	902286	39930360.000
11/04/2010	11.60	11.60	11.17	11.40	1375753	59750372.000
11/05/2010	11.44	11.60	11.24	11.46	1202409	52816772.000
11/08/2010	11.46	11.95	11.36	11.63	1548105	69528040.000
11/09/2010	11.63	12.34	11.60	12.13	1627889	74796672.000
11/10/2010	12.23	13.41	12.13	12.94	2175994	108133800.000
11/11/2010	12.74	13.42	12.74	12.77	1285877	64044228.000
11/12/2010	12.72	13.10	11.85	12.27	1422849	67300968.000
11/15/2010	12.28	12.93	12.05	12.88	1510968	72161248.000
11/16/2010	13.07	13.55	12.27	12.38	2178847	107873056.000
11/17/2010	12.38	12.50	11.44	11.83	1427702	65758548.000
11/18/2010	11.71	12.13	11.44	12.08	798095	36170280.000
11/19/2010	11.99	12.63	11.99	12.58	1471975	70122680.000
11/22/2010	12.75	13.24	12.41	13.10	1645549	81870352.000
11/23/2010	12.84	13.15	12.67	13.10	657341	32539122.000
11/24/2010	13.16	14.38	13.13	14.34	2156526	113539344.000
11/25/2010	14.19	14.91	13.81	14.03	1723346	93708920.000
11/26/2010	13.96	14.17	13.70	13.81	692690	36623392.000
11/29/2010	13.94	14.63	13.79	14.54	1300652	71307880.000
11/30/2010	14.64	14.71	13.73	14.25	869236	46824252.000
12/01/2010	14.27	14.27	13.89	14.16	566824	30221608.000
12/02/2010	14.19	14.30	13.96	14.26	465417	25063342.000
12/03/2010	14.26	14.48	13.60	13.69	934800	49004404.000
12/06/2010	13.66	13.79	12.72	13.38	1173257	59139336.000
12/07/2010	13.16	13.66	13.16	13.59	641939	33064172.000
12/08/2010	13.79	13.93	13.44	13.88	510042	26744490.000
12/09/2010	13.73	13.94	13.43	13.54	459348	23838418.000
12/10/2010	13.54	14.08	13.08	13.66	1137562	58315352.000
12/13/2010	13.64	14.21	13.64	14.04	1160296	61144584.000
12/14/2010	14.10	14.21	13.85	14.16	769795	40993608.000
12/15/2010	14.18	14.49	14.08	14.27	1054144	57142704.000
12/16/2010	14.28	14.30	13.94	14.13	839057	45118564.000
12/17/2010	13.92	14.27	13.92	14.12	255405	13684112.000
12/20/2010	14.13	14.13	13.47	13.74	848286	44402620.000
12/21/2010	13.58	13.66	13.08	13.44	946766	48474060.000
12/22/2010	13.38	13.49	13.24	13.34	298619	15193304.000
12/23/2010	13.16	13.45	13.10	13.30	591604	29915568.000
12/24/2010	13.24	13.24	12.86	12.88	293922	14552183.000
12/27/2010	12.73	13.10	12.20	12.46	357905	17491520.000
12/28/2010	12.41	12.43	11.91	12.22	337248	15664525.000
12/29/2010	12.54	12.54	12.09	12.26	865869	40464452.000
12/30/2010	12.12	12.27	11.66	12.27	751985	34579980.000
12/31/2010	12.13	12.96	12.13	12.41	2244226	108333192.000
01/04/2011	12.68	12.82	12.16	12.71	1181216	56410820.000
01/05/2011	12.63	12.63	12.27	12.54	987719	47266840.000
