300040 九洲电气 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.24	9.42	9.15	9.33	2051760	39032332.000
10/11/2010	9.43	9.50	9.11	9.35	2543692	48644932.000
10/12/2010	9.38	9.68	9.28	9.65	2629379	51302468.000
10/13/2010	9.68	9.81	9.51	9.80	2265951	44965372.000
10/14/2010	9.82	9.84	9.31	9.31	2034577	39942892.000
10/15/2010	9.22	9.37	8.97	9.04	2237509	41974936.000
10/18/2010	9.01	9.23	8.68	8.78	1663295	30242574.000
10/19/2010	8.69	9.68	8.68	9.68	3886554	75317416.000
10/20/2010	9.75	10.59	9.74	10.21	6198366	129288416.000
10/21/2010	10.03	10.10	9.75	9.87	2687759	54422408.000
10/22/2010	9.76	10.57	9.76	10.27	3244336	68393488.000
10/25/2010	10.54	10.75	10.25	10.72	3991551	85797528.000
10/26/2010	10.72	10.72	10.26	10.40	2925438	62359424.000
10/27/2010	10.29	10.49	9.91	10.00	2505914	52231640.000
10/28/2010	10.20	10.40	9.96	10.30	2120159	44072600.000
10/29/2010	10.45	10.69	10.30	10.43	2402171	51682304.000
11/01/2010	10.50	11.00	10.42	10.89	3625303	80132208.000
11/02/2010	10.89	11.14	10.50	10.52	3952464	87430264.000
11/03/2010	10.30	10.35	9.88	9.96	2494776	51413304.000
11/04/2010	9.86	10.09	9.81	10.09	1267134	25923932.000
11/05/2010	10.23	10.23	9.95	10.11	1568540	32304312.000
11/08/2010	10.14	11.11	10.12	11.00	3804804	82514528.000
11/09/2010	10.97	11.05	10.25	10.72	3428682	75384696.000
11/11/2010	10.70	11.35	10.61	10.80	4164893	94520032.000
11/12/2010	10.80	11.25	10.29	10.35	4124484	91444136.000
11/15/2010	10.51	11.41	9.95	11.41	4954392	110970872.000
11/16/2010	11.73	12.02	10.87	11.07	6467860	152178336.000
11/17/2010	10.75	11.49	10.66	11.00	4062284	92953856.000
11/18/2010	11.17	11.35	10.75	11.29	2669816	60772540.000
