300041 回天新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	24.07	24.18	23.56	24.13	508364	32046576.000
10/11/2010	24.22	24.22	23.09	23.66	385191	24048732.000
10/12/2010	23.48	23.70	22.90	23.64	468353	28813650.000
10/13/2010	23.49	23.50	23.21	23.48	195503	12061554.000
10/14/2010	23.48	24.06	22.93	23.40	301679	18788648.000
10/15/2010	23.11	23.57	22.35	22.39	561010	33820740.000
10/18/2010	22.15	22.36	21.22	22.07	660091	37555188.000
10/19/2010	22.07	23.48	21.96	23.09	666615	40531660.000
10/20/2010	22.39	23.43	22.38	23.35	657636	40108916.000
10/21/2010	23.08	23.16	22.36	22.71	331061	19895146.000
10/22/2010	22.69	24.03	22.43	24.01	563532	34877944.000
10/25/2010	23.95	25.18	23.72	24.93	1178702	76964936.000
10/26/2010	25.04	25.04	24.44	24.73	587737	38116316.000
10/27/2010	24.88	25.78	24.66	25.28	469670	31094084.000
10/28/2010	25.28	25.61	24.46	24.64	455249	29662056.000
10/29/2010	24.52	25.43	24.52	25.43	964026	63369848.000
11/01/2010	25.63	26.16	25.43	25.91	902190	61272712.000
11/02/2010	25.90	25.90	25.06	25.08	562209	37479872.000
11/03/2010	24.77	24.77	23.87	24.22	593083	37832760.000
11/04/2010	24.09	24.65	23.72	24.61	570348	36222796.000
11/05/2010	24.61	24.93	24.19	24.91	714497	46271292.000
11/08/2010	24.97	26.06	24.75	26.02	690819	46486816.000
11/09/2010	25.93	26.18	25.52	26.06	338028	23030466.000
11/10/2010	25.93	27.52	25.68	26.72	716467	50838732.000
11/11/2010	26.61	27.24	26.02	26.32	409032	28612340.000
11/12/2010	26.22	26.41	24.85	25.31	419067	28158792.000
11/15/2010	25.43	27.10	25.43	27.10	1180041	82774296.000
11/16/2010	27.23	27.73	25.46	26.02	910459	63820916.000
11/18/2010	25.43	25.92	24.85	25.73	441446	29447434.000
11/19/2010	25.54	26.94	25.54	26.94	538643	37136796.000
11/22/2010	27.08	27.73	26.68	27.43	1153461	82654776.000
11/23/2010	27.30	27.72	26.54	27.23	698875	49541536.000
11/24/2010	27.07	27.97	27.00	27.66	567754	41171736.000
11/25/2010	27.77	27.89	26.65	26.87	676359	48107044.000
11/26/2010	26.61	26.80	26.25	26.66	523274	36587176.000
11/29/2010	26.66	27.08	26.22	26.72	934138	65409096.000
11/30/2010	26.88	26.88	23.98	24.98	1569566	103382888.000
12/01/2010	24.66	24.96	24.34	24.61	798816	51850076.000
