300042 朗科科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.10	14.65	14.10	14.50	492411	14445021.000
10/11/2010	14.50	14.50	14.31	14.40	601751	17564958.000
10/12/2010	14.41	14.79	14.41	14.60	599877	17856994.000
10/13/2010	14.61	14.74	14.41	14.65	461062	13594251.000
10/14/2010	14.66	14.74	14.22	14.26	781659	22927498.000
10/15/2010	14.26	14.26	13.75	13.79	835326	23655404.000
10/18/2010	13.80	13.81	13.15	13.49	969120	26291578.000
10/19/2010	13.55	14.86	13.49	14.80	2130327	62518028.000
10/20/2010	14.65	15.18	14.50	14.62	1512329	45432656.000
10/21/2010	14.49	14.49	14.00	14.20	958019	27596692.000
10/22/2010	14.23	14.60	14.14	14.46	806413	23681046.000
10/25/2010	14.55	14.95	14.46	14.70	1111114	33236250.000
10/26/2010	14.74	14.88	14.38	14.57	808369	23810162.000
10/27/2010	14.58	14.99	14.30	14.64	891507	26665850.000
10/28/2010	14.62	14.78	14.47	14.77	701888	20847976.000
10/29/2010	14.77	15.24	14.77	15.15	1438500	43973636.000
11/01/2010	15.05	15.49	15.00	15.40	1414185	43936716.000
11/02/2010	15.45	15.54	14.80	14.80	1434093	43739672.000
11/03/2010	14.65	14.79	14.40	14.42	682231	20186158.000
11/04/2010	14.32	14.75	14.32	14.59	553916	16294659.000
11/05/2010	14.75	14.83	14.62	14.75	608036	18109452.000
11/08/2010	14.78	15.18	14.75	15.14	920672	28073136.000
11/09/2010	15.13	15.25	15.00	15.20	862043	26470334.000
11/10/2010	15.21	15.64	15.21	15.45	1168926	36709680.000
11/11/2010	15.40	15.75	15.36	15.41	1235450	39002600.000
11/12/2010	15.39	15.39	14.47	14.49	1164490	35236676.000
11/15/2010	14.58	15.17	14.57	15.17	924157	27981188.000
11/16/2010	15.17	15.79	14.98	15.48	1579915	49387212.000
11/17/2010	15.45	16.26	15.40	15.75	2083635	66872300.000
11/18/2010	15.65	16.14	15.34	16.14	1629064	52182512.000
11/19/2010	16.24	16.51	15.95	16.48	1948691	64166976.000
11/22/2010	16.34	17.20	16.30	16.89	2209779	74838016.000
11/23/2010	16.88	16.88	16.16	16.58	1270907	42377832.000
11/24/2010	16.44	16.80	16.21	16.60	1368022	45621836.000
11/25/2010	16.56	16.78	16.06	16.26	1323586	43693448.000
11/26/2010	16.26	16.63	16.11	16.50	1082840	36091416.000
