300043 互动娱乐 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	4.79	4.90	4.74	4.89	466823	13989780.000
10/11/2010	4.90	4.93	4.80	4.83	243370	7294749.500
10/12/2010	4.80	4.86	4.78	4.81	257409	7667949.000
10/13/2010	4.81	4.82	4.64	4.74	551309	16036804.000
10/14/2010	4.74	4.74	4.63	4.64	466575	13484764.000
10/15/2010	4.62	4.69	4.59	4.61	438992	12646753.000
10/18/2010	4.61	4.68	4.39	4.63	687902	19251056.000
10/19/2010	4.63	4.99	4.62	4.89	1227676	37024400.000
10/20/2010	4.71	5.00	4.71	4.83	736501	22172182.000
10/21/2010	4.83	4.92	4.68	4.68	505772	14945189.000
10/22/2010	4.69	4.89	4.68	4.87	850930	25521612.000
10/25/2010	4.88	4.94	4.68	4.91	778577	23561676.000
10/26/2010	4.98	5.09	4.94	5.05	1049472	32660932.000
10/27/2010	5.08	5.34	5.07	5.15	1111487	35938160.000
10/28/2010	5.21	5.24	5.08	5.13	495656	15728771.000
10/29/2010	5.18	5.39	5.15	5.18	851879	27769796.000
11/01/2010	5.26	5.39	5.20	5.35	759668	24938252.000
11/02/2010	5.35	5.37	5.14	5.20	697647	22583844.000
11/03/2010	5.09	5.14	4.91	4.94	1259694	38684416.000
11/04/2010	4.95	5.19	4.94	5.19	880909	27737164.000
11/05/2010	5.41	5.73	5.41	5.72	2548032	88138192.000
11/08/2010	5.73	6.11	5.73	6.02	1940126	70708712.000
11/09/2010	6.02	6.03	5.80	5.99	915460	33428718.000
11/10/2010	5.91	5.99	5.84	5.95	563886	20599296.000
11/11/2010	5.95	6.26	5.92	6.04	851011	32075022.000
11/12/2010	5.94	5.99	5.43	5.68	964465	34438436.000
11/15/2010	5.69	5.98	5.69	5.91	856199	30986484.000
11/16/2010	5.93	6.16	5.81	5.93	783775	28880034.000
11/17/2010	5.85	5.90	5.69	5.70	582593	20775188.000
11/18/2010	5.69	5.83	5.69	5.76	600885	21331612.000
11/19/2010	5.84	6.07	5.83	5.99	728140	26689784.000
11/22/2010	6.01	6.22	5.99	6.20	748988	28150586.000
11/23/2010	6.18	6.18	5.97	6.12	429335	16109006.000
11/24/2010	6.11	6.34	6.10	6.34	711238	27129556.000
11/25/2010	6.34	6.37	6.01	6.16	850685	32191804.000
11/26/2010	6.10	6.14	6.04	6.08	270348	10116687.000
11/29/2010	6.06	6.21	6.06	6.21	468661	17759370.000
11/30/2010	6.21	6.21	5.68	6.09	1009859	36897116.000
12/01/2010	6.01	6.06	5.84	5.90	294828	10771496.000
12/02/2010	5.91	6.04	5.91	6.01	352363	12989071.000
12/03/2010	5.96	6.04	5.87	6.00	199416	7315770.000
12/06/2010	5.94	6.02	5.86	5.92	260483	9469374.000
12/07/2010	5.92	6.03	5.85	6.03	241195	8874569.000
12/08/2010	6.03	6.09	5.95	6.02	169013	6252546.000
12/09/2010	6.02	6.02	5.90	5.98	136056	4991603.000
12/10/2010	5.91	6.11	5.88	6.10	151575	5616185.500
