300044 赛为智能 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.30	13.82	13.25	13.28	896431	26547194.000
10/11/2010	13.18	13.18	11.94	12.17	2859050	77855560.000
10/12/2010	11.98	12.06	11.56	11.69	1579811	41361576.000
10/13/2010	11.71	11.89	11.18	11.87	2246999	57187908.000
10/14/2010	11.93	11.93	11.25	11.46	1180062	30378080.000
10/15/2010	11.30	11.63	10.96	11.21	1568419	39316412.000
10/18/2010	11.19	11.19	10.58	11.07	898120	21681202.000
10/19/2010	11.07	11.92	11.03	11.84	1605337	41712056.000
10/20/2010	11.69	12.28	11.48	11.81	2139020	56663336.000
10/21/2010	11.81	12.16	11.79	11.91	1027623	27204906.000
10/22/2010	11.92	12.30	11.91	12.03	1166397	31316460.000
10/26/2010	12.48	12.59	11.84	11.91	1354786	36330912.000
10/27/2010	11.85	12.16	11.62	11.71	1125914	29529790.000
10/28/2010	11.76	11.83	11.40	11.63	954334	24491460.000
10/29/2010	11.53	12.16	11.39	12.07	1877829	50077324.000
11/01/2010	12.16	12.47	12.07	12.38	2555458	69737432.000
11/02/2010	12.34	13.16	12.28	12.73	2235587	62759972.000
11/03/2010	12.50	12.52	11.93	11.96	1437028	38909676.000
11/04/2010	11.95	12.13	11.64	11.88	1452748	37984944.000
11/05/2010	11.93	12.30	11.85	12.04	1094982	29254980.000
11/08/2010	12.04	12.84	11.89	12.66	1884963	51996632.000
11/09/2010	12.81	13.75	12.75	13.58	4017749	117963248.000
11/10/2010	13.89	14.43	13.30	13.83	3427106	105377120.000
11/11/2010	13.85	14.29	13.46	13.48	2831938	87605208.000
11/12/2010	13.38	13.53	12.16	12.21	2401715	68204408.000
11/15/2010	12.38	13.11	12.16	13.04	1442316	40542132.000
11/16/2010	13.03	13.36	12.26	12.43	1502214	42567820.000
11/17/2010	12.22	12.71	11.80	11.85	1302202	35494516.000
11/18/2010	11.87	12.16	11.62	12.10	998615	26419884.000
11/19/2010	12.11	12.59	11.94	12.59	1348125	36727324.000
11/22/2010	12.42	13.18	12.42	12.79	1658482	47284940.000
11/23/2010	12.75	13.07	12.39	12.98	1114494	31331936.000
11/24/2010	12.76	13.34	12.75	13.32	1588060	46579664.000
11/25/2010	13.32	13.62	12.89	13.03	1651863	48384428.000
11/26/2010	13.03	13.12	12.80	12.98	1061068	30537946.000
11/29/2010	12.84	13.62	12.76	13.62	2037913	60153672.000
11/30/2010	13.39	13.60	12.56	12.97	1599959	46354528.000
12/01/2010	12.84	13.06	12.62	12.98	746435	21208760.000
12/02/2010	13.07	13.29	12.75	12.79	691422	20004220.000
12/03/2010	12.70	12.84	12.30	12.37	774457	21480864.000
12/06/2010	12.55	12.55	11.80	11.88	915416	24499358.000
12/07/2010	11.89	12.10	11.65	12.03	406564	10817287.000
12/08/2010	12.03	12.56	12.01	12.29	814419	22346916.000
12/09/2010	12.29	12.80	11.98	12.62	1123258	31420968.000
12/10/2010	12.67	13.00	12.61	12.71	1136773	32217966.000
12/13/2010	12.68	13.29	12.68	13.28	1278206	37193864.000
12/14/2010	13.28	13.90	13.03	13.89	2354068	71127792.000
12/15/2010	13.83	14.13	13.58	13.68	1433993	44067496.000
12/16/2010	13.70	14.18	13.59	14.10	1067109	33052982.000
12/17/2010	13.92	14.81	13.89	14.75	1851322	59890992.000
12/20/2010	14.80	15.65	14.21	15.03	1746399	58078908.000
12/21/2010	15.03	15.64	14.80	14.98	1520425	51342416.000
12/22/2010	14.66	15.16	14.52	14.73	1081973	35203424.000
12/23/2010	14.74	15.33	14.15	14.29	1050248	33673244.000
12/24/2010	14.29	14.29	13.58	13.98	624291	19197372.000
12/27/2010	13.96	14.17	12.98	13.39	825908	25008318.000
12/28/2010	12.96	13.43	12.84	12.98	403317	11614737.000
12/29/2010	13.07	13.80	12.91	13.79	517551	15420110.000
12/30/2010	13.77	13.97	13.65	13.84	283855	8711117.000
12/31/2010	13.78	13.96	13.61	13.82	524041	15983237.000
01/04/2011	13.98	14.25	13.12	13.18	1681256	50055196.000
01/05/2011	13.18	13.53	13.12	13.34	1404013	41626280.000
01/06/2011	13.25	13.25	12.62	12.82	1772601	50425156.000
01/07/2011	12.73	12.98	12.55	12.84	755905	21488762.000
01/10/2011	12.79	13.01	12.35	12.51	752975	21252798.000
01/11/2011	12.35	12.53	12.04	12.29	514193	13958653.000
01/12/2011	12.34	12.39	11.98	12.16	1011345	27315042.000
01/13/2011	12.29	12.37	12.16	12.37	497270	13556588.000
01/14/2011	12.39	12.39	11.84	11.87	649924	17240762.000
01/17/2011	11.71	11.80	10.67	10.67	1331093	32406568.000
01/18/2011	10.67	10.67	10.45	10.61	271016	6374044.000
01/19/2011	10.62	11.15	10.57	10.97	648515	15710880.000
01/20/2011	10.97	10.98	10.07	10.11	796614	18585476.000
01/21/2011	10.03	10.34	9.76	10.12	857882	19275272.000
01/24/2011	10.22	10.33	9.48	9.65	752021	16537490.000
01/25/2011	9.58	9.67	9.32	9.66	740173	15573423.000
01/26/2011	9.63	9.93	9.53	9.93	499738	10890096.000
01/27/2011	9.88	10.30	9.70	10.13	581195	12982628.000
01/28/2011	10.12	10.23	9.98	10.14	441837	9960303.000
01/31/2011	10.14	10.31	9.80	10.21	1479259	33043486.000
02/01/2011	10.09	10.30	10.06	10.21	798390	18092134.000
02/09/2011	9.98	10.40	9.98	10.23	573778	13105249.000
02/10/2011	10.32	10.56	10.13	10.50	675498	15641970.000
