300045 华力创通 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.08	9.18	9.02	9.08	697779	25795950.000
10/11/2010	9.05	9.13	8.89	8.97	882706	32225236.000
10/12/2010	8.88	9.14	8.88	8.94	713492	26117396.000
10/13/2010	8.94	8.98	8.72	8.87	585309	21121106.000
10/14/2010	8.93	9.09	8.74	8.77	584421	21154568.000
10/15/2010	8.75	8.97	8.61	8.67	602299	21493606.000
10/18/2010	8.64	8.67	8.42	8.55	455301	15827338.000
10/19/2010	8.64	9.22	8.57	9.08	1108840	40929248.000
10/20/2010	8.99	9.32	8.84	9.04	1011429	37568340.000
10/21/2010	8.99	9.34	8.97	9.19	906203	34031972.000
10/22/2010	9.25	9.44	9.17	9.19	744346	28153930.000
10/25/2010	9.25	9.67	9.14	9.39	1268191	48730788.000
10/26/2010	9.39	9.54	9.14	9.18	946902	35831880.000
10/27/2010	9.14	9.18	8.89	9.18	1322297	48747304.000
10/28/2010	9.12	9.22	9.08	9.19	516587	19199484.000
10/29/2010	9.21	9.59	9.19	9.54	1102524	42423428.000
11/01/2010	9.55	9.99	9.55	9.92	1529493	61135836.000
11/02/2010	9.88	9.89	9.47	9.52	1354946	53395820.000
11/03/2010	9.35	9.50	9.07	9.11	1077922	40540528.000
11/04/2010	9.12	9.28	9.04	9.26	755863	28143770.000
11/05/2010	9.30	9.41	9.18	9.39	860843	32466100.000
11/08/2010	9.37	9.62	9.36	9.52	676805	26136600.000
11/09/2010	9.47	9.64	9.47	9.57	629344	24460228.000
11/10/2010	9.57	9.80	9.47	9.66	628347	24780376.000
11/11/2010	9.69	9.91	9.48	9.52	1009236	40140932.000
11/12/2010	9.55	9.67	9.07	9.22	1092967	41472440.000
11/15/2010	9.41	10.15	9.41	10.15	2311682	93468432.000
11/16/2010	10.34	10.34	9.69	9.82	2147952	87557416.000
11/17/2010	9.60	9.88	9.37	9.46	874044	34374528.000
11/18/2010	9.47	9.97	9.38	9.97	1013867	40171328.000
11/19/2010	9.94	10.34	9.90	10.26	1158448	47651436.000
11/22/2010	10.28	10.64	10.20	10.47	1478179	62616116.000
11/23/2010	10.39	10.94	10.31	10.87	1693532	73011360.000
11/24/2010	10.89	10.99	10.67	10.85	979213	43234216.000
11/25/2010	10.97	11.00	10.49	10.76	1207078	52638172.000
11/26/2010	10.71	10.81	10.56	10.80	678177	29440734.000
11/29/2010	10.74	11.42	10.69	11.31	1351361	60949184.000
11/30/2010	11.27	11.37	10.57	10.80	1284185	56457996.000
12/01/2010	10.79	11.08	10.72	10.89	552139	24482700.000
12/02/2010	10.97	10.97	10.57	10.57	786696	34257508.000
12/03/2010	10.54	10.66	10.28	10.41	523228	22125474.000
12/06/2010	10.37	10.50	10.09	10.17	570330	23723230.000
12/07/2010	10.19	10.44	10.04	10.39	410270	17171322.000
12/08/2010	10.37	10.53	10.34	10.42	439449	18603798.000
12/09/2010	10.34	10.40	9.97	9.97	521900	21558528.000
12/10/2010	9.98	10.14	9.92	10.09	825861	33652644.000
12/13/2010	10.11	10.59	10.11	10.54	651953	27646348.000
12/14/2010	10.54	10.83	10.54	10.72	547820	23789564.000
12/15/2010	10.73	10.79	10.55	10.59	355422	15319274.000
12/16/2010	10.59	10.75	10.59	10.63	296019	12840591.000
12/17/2010	10.60	10.97	10.60	10.90	566270	24844818.000
12/20/2010	10.96	11.29	10.72	11.01	1078933	48327220.000
12/21/2010	10.97	11.03	10.74	10.87	414467	18368808.000
12/22/2010	10.87	11.06	10.81	11.02	352624	15644688.000
12/23/2010	10.97	11.01	10.49	10.51	558675	24161272.000
12/24/2010	10.49	10.49	10.05	10.21	351758	14586859.000
12/27/2010	10.34	10.34	9.87	9.90	344288	14134189.000
12/28/2010	9.84	9.98	9.76	9.87	237512	9505910.000
12/29/2010	9.87	10.01	9.84	10.01	310619	12572779.000
12/30/2010	9.92	10.07	9.92	10.02	151020	6136218.000
12/31/2010	10.00	10.31	10.00	10.17	308199	12658240.000
01/04/2011	10.22	10.33	10.15	10.29	269247	11198510.000
01/05/2011	10.29	10.49	10.29	10.44	285181	12011933.000
01/06/2011	10.44	10.48	10.19	10.23	353304	14759450.000
01/07/2011	10.19	10.27	10.03	10.07	245719	10142337.000
01/10/2011	10.16	10.16	9.55	9.61	319560	12789268.000
01/11/2011	9.61	9.61	9.31	9.37	423568	16196227.000
01/12/2011	9.41	9.53	9.34	9.51	173735	6679222.000
01/13/2011	9.55	9.79	9.55	9.72	217282	8566536.000
01/14/2011	9.73	9.73	9.42	9.47	175893	6792793.500
01/17/2011	9.37	9.49	9.24	9.28	154740	5903814.500
01/18/2011	9.32	9.51	9.22	9.41	96557	3669992.250
01/19/2011	9.48	9.58	9.38	9.56	117171	4527559.500
01/20/2011	9.57	9.72	9.39	9.45	256327	9988895.000
01/21/2011	9.38	9.65	9.38	9.59	220778	8604163.000
01/25/2011	9.33	9.33	8.82	8.85	327389	11934111.000
01/26/2011	8.89	9.06	8.74	9.05	146891	5382441.000
01/27/2011	8.99	9.24	8.99	9.15	145418	5419761.000
01/28/2011	8.84	9.23	8.81	9.16	128125	4745817.500
01/31/2011	9.14	9.19	9.08	9.16	150022	5574600.000
02/01/2011	9.14	9.24	9.09	9.11	112511	4178225.500
02/09/2011	9.09	9.24	9.00	9.00	227750	8421497.000
02/10/2011	9.06	9.34	9.02	9.28	286176	10718382.000
02/11/2011	9.34	9.50	9.34	9.44	192761	7403892.000
02/14/2011	9.42	9.56	9.34	9.55	439050	16907272.000
02/15/2011	10.52	10.52	10.52	10.52	398897	17040880.000
02/16/2011	10.95	11.34	10.70	11.09	2368618	104967184.000
02/17/2011	11.12	11.81	10.84	11.34	1982200	90887008.000
02/18/2011	11.31	11.88	11.29	11.34	1495133	70267416.000
02/21/2011	11.39	11.67	11.11	11.52	1094493	50490880.000
02/22/2011	12.22	12.68	11.96	12.56	4107985	210301488.000
02/23/2011	12.42	12.79	12.22	12.55	2134849	108267304.000
02/24/2011	12.47	12.47	11.72	11.81	2025894	98296152.000
02/25/2011	11.72	11.87	11.54	11.71	1007794	47923148.000
02/28/2011	11.81	12.06	11.59	11.94	852752	41146620.000
03/01/2011	11.94	11.99	11.51	11.54	1023928	48608268.000
03/02/2011	11.47	11.54	11.14	11.32	1040868	47710404.000
