300046 台基股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	18.62	19.23	18.61	19.05	555653	22949026.000
10/11/2010	18.79	18.89	17.86	18.08	1339751	53657888.000
10/12/2010	18.06	18.30	17.65	17.83	925386	36380552.000
10/13/2010	17.79	18.17	17.71	18.06	609239	23839416.000
10/14/2010	17.96	18.15	17.64	17.76	500036	19627568.000
10/15/2010	17.76	17.90	17.19	17.30	854856	32870688.000
10/18/2010	17.30	17.30	16.64	17.18	818008	30447776.000
10/19/2010	17.29	18.75	17.21	18.51	1641068	65384192.000
10/20/2010	18.09	18.80	18.09	18.30	1013486	40803144.000
10/21/2010	18.25	18.34	17.81	18.22	437823	17319382.000
10/22/2010	18.18	18.70	18.16	18.58	641626	25947660.000
10/25/2010	18.56	19.10	18.55	18.92	951118	39166712.000
10/26/2010	18.81	19.04	18.18	18.36	845498	34094304.000
10/27/2010	18.23	19.53	18.23	19.05	1589753	66181488.000
10/28/2010	19.08	19.90	19.08	19.61	1205632	51256140.000
10/29/2010	19.56	20.12	19.30	19.65	1478962	63461768.000
11/01/2010	19.95	21.79	19.95	21.50	2252260	102962800.000
11/02/2010	21.50	22.65	21.30	21.30	2212730	104235104.000
11/03/2010	20.86	21.28	20.35	20.38	1055987	47265652.000
11/04/2010	20.39	21.11	20.39	20.76	924263	41347872.000
11/05/2010	20.91	21.14	20.56	20.89	605255	27283798.000
11/08/2010	20.91	21.79	20.91	21.50	693281	32181832.000
11/09/2010	22.25	23.00	21.83	22.05	1314910	63081184.000
11/10/2010	22.25	22.74	21.94	22.60	1078376	51910060.000
11/11/2010	22.50	23.55	21.84	21.85	1297496	63871780.000
11/12/2010	21.80	22.35	20.37	20.40	1560066	71330952.000
11/15/2010	20.53	21.98	20.53	21.94	879658	40240740.000
11/16/2010	21.85	22.70	20.86	21.11	1211197	57268104.000
11/17/2010	20.95	21.70	20.56	20.70	620704	28400450.000
11/18/2010	21.05	21.24	20.65	21.16	689320	31176698.000
11/19/2010	21.34	23.23	21.11	22.81	1323730	63478332.000
11/22/2010	22.81	24.09	22.81	23.62	1682100	85037160.000
11/23/2010	23.60	24.04	22.80	23.93	840898	42189540.000
11/24/2010	23.61	24.42	23.22	23.95	1253377	63873848.000
11/25/2010	23.95	24.14	23.42	23.46	1102548	55749152.000
11/26/2010	23.30	23.70	23.10	23.45	574929	28897456.000
11/29/2010	23.63	24.80	23.23	24.37	1028790	53310936.000
11/30/2010	24.55	24.79	23.15	23.45	1269327	64433112.000
12/01/2010	23.43	24.45	23.31	24.35	721983	37028684.000
12/02/2010	24.55	24.95	24.10	24.11	603150	31723774.000
12/03/2010	24.05	24.05	23.13	23.30	917073	45969280.000
12/06/2010	23.11	23.45	22.13	22.23	895402	43632960.000
12/07/2010	22.17	22.95	22.05	22.88	470638	22871232.000
12/08/2010	22.85	22.97	22.42	22.48	338759	16551817.000
12/09/2010	22.31	22.70	22.31	22.35	226114	10930040.000
12/10/2010	22.34	23.20	22.05	23.04	423045	20683824.000
12/13/2010	23.05	24.04	23.05	23.79	542830	27588230.000
12/14/2010	23.80	23.90	23.55	23.86	542218	27536190.000
12/15/2010	23.86	24.20	23.65	23.74	490766	25151582.000
12/16/2010	23.80	24.23	23.65	24.17	707032	36400968.000
12/17/2010	23.95	24.80	23.95	24.43	531971	27805528.000
