300047 天源迪科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.68	8.74	8.62	8.71	390816	10645173.000
10/11/2010	8.71	8.76	8.59	8.64	586615	15958896.000
10/12/2010	8.64	8.80	8.53	8.55	516797	14022741.000
10/13/2010	8.55	8.65	8.42	8.57	542905	14496516.000
10/14/2010	8.58	8.78	8.49	8.51	538834	14469554.000
10/15/2010	8.47	8.55	8.12	8.25	1648827	42474400.000
10/18/2010	8.25	8.25	7.81	8.07	1809377	45247164.000
10/19/2010	8.07	8.62	8.00	8.38	3256669	85312792.000
10/20/2010	8.25	8.51	8.22	8.33	1387889	36289696.000
10/21/2010	8.35	8.35	8.14	8.26	667680	17233960.000
10/22/2010	8.26	8.49	8.26	8.28	1372906	36061728.000
10/25/2010	8.30	8.53	8.30	8.48	1176596	31232712.000
10/26/2010	8.53	8.60	8.41	8.51	893024	23740902.000
10/27/2010	8.50	8.67	8.46	8.67	1329199	35764184.000
10/28/2010	8.57	8.85	8.54	8.83	1776196	48176352.000
10/29/2010	9.00	9.33	9.00	9.11	2823082	81014056.000
11/01/2010	9.24	9.52	9.15	9.40	2373921	69509776.000
11/02/2010	9.40	9.51	9.23	9.31	1830443	53479592.000
11/03/2010	9.22	9.24	8.95	8.99	1147088	32539584.000
11/04/2010	8.98	9.08	8.87	9.02	792151	22241858.000
11/05/2010	9.15	9.27	9.05	9.15	990679	28384472.000
11/08/2010	9.22	9.65	9.21	9.65	1386136	40912852.000
11/09/2010	9.70	9.93	9.53	9.75	1320618	40193568.000
11/10/2010	9.77	10.08	9.62	9.72	1446092	44400644.000
11/11/2010	9.72	10.02	9.68	9.68	1747889	53866736.000
11/12/2010	9.59	9.90	9.12	9.13	1899621	56157716.000
11/15/2010	9.29	9.78	9.19	9.77	1539173	45669416.000
11/16/2010	9.78	10.21	9.57	9.78	2920592	90356568.000
11/17/2010	9.64	9.87	9.28	9.56	1585352	47743304.000
11/18/2010	9.61	9.95	9.58	9.93	1625911	49717188.000
11/19/2010	9.95	10.34	9.88	10.32	1942183	61272676.000
11/22/2010	10.27	10.65	10.18	10.58	2265422	73802752.000
11/23/2010	10.58	10.64	10.22	10.60	1778426	57815508.000
11/24/2010	10.46	10.67	10.43	10.57	1267280	41564592.000
11/25/2010	10.58	10.82	10.24	10.40	1402782	45793508.000
11/26/2010	10.45	10.51	10.26	10.33	1116849	36080732.000
11/29/2010	10.35	10.54	10.26	10.50	1064280	34488524.000
11/30/2010	10.50	10.55	9.87	10.28	1880023	59585156.000
12/01/2010	10.22	10.31	9.99	10.06	864056	27273814.000
12/02/2010	10.18	10.23	10.02	10.02	737248	23234826.000
12/03/2010	10.05	10.20	9.87	9.95	925752	28749818.000
12/06/2010	9.94	10.01	9.73	9.89	855709	26190658.000
12/07/2010	9.84	10.03	9.75	10.01	510705	15793334.000
12/08/2010	10.00	10.18	9.95	10.06	470970	14798412.000
12/09/2010	10.00	10.04	9.78	9.81	449850	13869441.000
12/10/2010	9.78	10.03	9.78	10.03	343831	10615675.000
12/13/2010	10.05	10.34	9.88	10.31	831238	26524388.000
