300048 合康变频 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.82	13.25	12.82	13.15	1064709	40185960.000
10/11/2010	13.48	13.48	12.82	13.04	1326475	49824676.000
10/12/2010	13.05	13.10	12.84	13.07	897274	33776608.000
10/13/2010	13.07	13.10	12.61	12.96	1341817	49823920.000
10/14/2010	13.15	13.65	13.14	13.36	2504991	97322704.000
10/15/2010	13.47	13.67	13.14	13.53	2678386	104526992.000
10/18/2010	13.52	13.52	12.82	13.21	929316	35303504.000
10/19/2010	13.32	14.58	13.31	14.18	2488452	101863704.000
10/20/2010	13.91	14.92	13.89	14.28	2483820	104255832.000
10/21/2010	14.55	14.68	14.28	14.48	1125647	46958356.000
10/22/2010	14.57	15.28	14.50	14.99	1661097	72172440.000
10/25/2010	14.96	16.15	14.88	15.53	2330960	104741032.000
10/26/2010	15.36	15.57	14.89	15.11	1640269	71633616.000
10/27/2010	15.21	15.32	14.96	15.32	1043902	45584844.000
10/28/2010	15.28	15.80	15.21	15.67	854390	38335852.000
10/29/2010	15.65	16.15	15.64	16.13	1135598	52316784.000
11/01/2010	16.00	17.37	15.93	17.19	1253082	61252072.000
11/02/2010	17.19	17.26	16.46	16.54	1021303	49505324.000
11/03/2010	16.43	16.70	15.82	15.97	1095612	51068616.000
11/04/2010	16.00	16.52	15.82	16.05	835003	38584424.000
11/05/2010	16.18	16.40	15.64	16.31	1279115	58661308.000
11/08/2010	16.39	17.99	16.32	17.75	1496613	74482872.000
11/09/2010	17.78	18.43	17.43	17.78	2588642	133768576.000
11/10/2010	17.78	18.49	17.58	18.07	1205811	62735044.000
11/11/2010	18.07	19.07	17.79	18.50	1000469	53389772.000
11/12/2010	18.35	18.97	17.57	18.14	1548211	81199696.000
11/15/2010	18.11	19.10	17.55	19.01	1047978	56001084.000
11/16/2010	19.01	19.98	18.50	19.28	2062749	114871936.000
11/17/2010	19.00	19.39	18.14	18.14	1724850	91789592.000
11/18/2010	18.16	18.49	17.53	18.48	924953	48454780.000
11/19/2010	18.51	19.39	18.50	19.00	1182001	63952208.000
11/22/2010	19.20	20.28	18.54	19.51	963303	54492936.000
11/24/2010	19.21	20.21	19.01	20.05	574367	32711064.000
11/25/2010	20.06	20.41	19.58	19.65	482473	27226496.000
11/26/2010	19.65	19.92	19.39	19.91	329254	18612284.000
11/29/2010	19.91	20.28	19.61	20.23	392430	22523412.000
11/30/2010	20.20	20.29	18.45	18.71	828974	45570028.000
12/01/2010	19.73	20.62	19.73	20.62	2086052	122150112.000
12/02/2010	20.81	22.49	20.62	21.39	2124081	130307592.000
12/03/2010	21.32	21.71	20.38	21.71	862484	51566284.000
12/06/2010	21.71	21.78	20.25	20.98	939200	55862696.000
12/07/2010	20.69	21.45	20.33	21.30	821379	49669396.000
12/08/2010	21.00	21.46	20.64	21.00	738077	44180148.000
12/09/2010	21.00	21.00	20.34	20.35	293668	17201038.000
12/10/2010	20.29	21.46	19.93	20.89	309215	18498280.000
12/13/2010	21.10	22.06	20.93	21.85	1358927	83609584.000
12/14/2010	22.07	22.07	21.36	21.74	442047	27562800.000
12/15/2010	21.53	22.21	21.53	22.00	600736	37567604.000
12/16/2010	21.89	22.78	21.89	22.39	502425	32168424.000
12/17/2010	22.42	22.71	22.21	22.39	415997	26679844.000
12/20/2010	22.53	22.84	22.07	22.50	394645	25384932.000
12/21/2010	22.50	24.79	22.50	23.51	534361	36262152.000
12/22/2010	23.50	23.50	21.67	21.71	1278553	81159952.000
12/23/2010	21.89	22.27	20.28	20.29	1813992	107482960.000
12/24/2010	20.43	20.44	19.33	19.73	930783	52651840.000
12/27/2010	19.73	20.03	19.04	19.09	871119	48589016.000
12/28/2010	19.12	19.32	18.57	19.25	491238	26767260.000
12/29/2010	19.31	20.28	19.21	19.93	1171731	66532020.000
12/30/2010	19.97	20.59	19.75	20.39	1443754	84035360.000
12/31/2010	20.53	21.32	20.43	21.19	1029012	61286760.000
01/04/2011	21.31	21.71	20.40	20.74	1040169	61521268.000
01/05/2011	20.60	20.85	20.13	20.19	883354	51717416.000
01/06/2011	20.40	20.60	20.22	20.59	673778	39409136.000
01/07/2011	20.58	20.77	20.29	20.69	548240	32248720.000
01/10/2011	20.52	20.63	19.57	19.92	596190	33968028.000
01/11/2011	19.63	19.68	18.50	18.64	1382463	75659712.000
01/12/2011	18.64	19.69	18.36	18.83	570519	30649224.000
01/13/2011	19.17	19.20	18.00	18.14	806221	42794648.000
01/14/2011	17.97	18.14	17.38	17.45	913893	45895792.000
01/17/2011	19.24	19.24	17.96	18.14	7390534	394267520.000
01/18/2011	17.43	17.49	16.86	16.98	3100316	152670128.000
01/19/2011	17.07	18.24	16.89	18.17	4018360	203861312.000
01/20/2011	18.03	19.81	17.96	19.00	4199902	228038176.000
01/21/2011	18.69	19.45	18.32	19.31	3128067	169514496.000
01/24/2011	19.31	19.31	17.59	17.64	2648416	138673120.000
01/25/2011	17.52	17.60	16.18	17.03	1600317	77345040.000
01/26/2011	17.00	18.19	16.74	17.43	1719074	87281344.000
01/27/2011	17.10	18.14	17.10	18.14	1164449	59543800.000
01/28/2011	18.17	18.83	18.16	18.50	1372234	72765912.000
01/31/2011	18.36	18.44	18.08	18.31	1032787	54072688.000
02/01/2011	18.33	18.45	17.63	17.92	1065994	54615292.000
02/09/2011	17.71	18.20	17.64	17.95	658565	33860388.000
02/10/2011	17.95	19.30	17.71	19.23	1708338	91859352.000
02/11/2011	19.21	19.71	19.04	19.44	1811858	100327296.000
02/14/2011	19.46	20.24	19.20	19.74	1658815	93482336.000
02/15/2011	19.71	20.02	19.57	19.74	1128249	63733604.000
02/16/2011	19.73	21.06	19.62	20.90	2016787	118545464.000
02/17/2011	20.75	21.09	20.50	20.78	1325104	78560816.000
02/18/2011	20.53	20.88	19.76	19.80	1918563	110756832.000
02/21/2011	19.86	21.45	19.86	21.32	1910438	113771864.000
02/22/2011	21.32	21.32	20.10	20.45	2020588	118660696.000
02/24/2011	21.10	21.10	19.15	19.64	3092598	177019968.000
02/25/2011	19.40	20.10	19.34	19.68	1501654	84627224.000
02/28/2011	19.81	20.00	19.57	19.77	1246619	70377176.000
03/01/2011	19.78	19.88	18.85	19.03	3698038	203431152.000
03/02/2011	18.84	18.98	18.60	18.89	1414508	76015048.000
03/03/2011	18.85	19.03	18.00	18.14	1582989	83308928.000
03/04/2011	18.14	18.49	18.09	18.43	893339	47015400.000
03/07/2011	18.54	19.03	18.30	18.49	1935809	103347152.000
03/08/2011	18.68	19.10	18.56	19.01	1734936	93809920.000
03/09/2011	19.10	19.55	18.71	19.51	1972623	108317904.000
03/10/2011	19.52	19.77	19.25	19.34	1676070	93686464.000
03/11/2011	19.32	20.12	19.11	19.78	2603969	146768848.000
03/14/2011	19.57	20.03	19.34	19.99	1573911	88736168.000
03/15/2011	19.95	20.00	18.96	19.31	1534814	84926248.000
03/17/2011	19.31	20.06	19.14	19.38	1798096	101288144.000
03/18/2011	19.52	19.85	18.82	19.00	1100777	60201232.000
03/21/2011	18.92	19.08	18.41	18.51	1200046	64058916.000
03/22/2011	18.84	18.84	18.14	18.15	1317701	69421312.000
03/23/2011	18.23	19.32	18.23	19.30	1890858	102205872.000
03/24/2011	19.21	19.64	19.14	19.48	1375637	76473872.000
03/25/2011	19.57	19.60	18.88	18.88	1430686	78259384.000
03/28/2011	18.98	19.04	17.87	17.89	2869115	74277368.000
03/29/2011	17.89	18.06	16.76	16.96	3253079	79813032.000
03/30/2011	16.80	17.21	16.69	16.81	1758910	42695116.000
03/31/2011	16.85	17.64	16.85	17.07	2263193	55817892.000
04/01/2011	17.00	17.33	16.16	16.76	2371455	56321684.000
04/06/2011	16.58	16.79	16.01	16.21	2194671	50983020.000
04/07/2011	16.21	16.56	16.09	16.49	1571268	36729404.000
04/08/2011	16.50	16.86	16.26	16.81	1855795	44126160.000
04/11/2011	16.81	16.87	16.17	16.23	2227627	52074060.000
04/12/2011	16.09	16.40	15.86	16.01	1400474	32298076.000
04/13/2011	15.94	16.57	15.81	16.44	1659848	38848116.000
04/14/2011	16.44	16.51	16.09	16.14	1470037	34075844.000
04/15/2011	16.14	16.19	15.79	15.96	1125891	25698098.000
04/18/2011	15.99	16.14	15.73	15.99	834889	19124264.000
04/19/2011	15.99	15.99	15.11	15.32	2316552	51008884.000
04/20/2011	15.33	15.76	15.23	15.74	1595708	35622732.000
04/21/2011	15.74	15.87	15.41	15.45	1624135	36213952.000
04/22/2011	15.46	15.61	15.07	15.12	1981880	43193216.000
04/25/2011	15.13	15.29	14.81	14.84	1090244	23290326.000
04/26/2011	14.84	15.28	14.73	15.19	1129802	24350592.000
04/27/2011	14.88	15.19	14.37	14.41	1620971	34164880.000
04/28/2011	14.59	14.62	14.23	14.37	1259122	25956140.000
04/29/2011	14.37	14.65	14.31	14.51	642400	13312148.000
05/03/2011	14.51	14.51	13.99	14.12	1867306	37721180.000
05/04/2011	14.03	14.30	13.80	13.81	1363542	27392378.000
05/05/2011	13.77	14.03	13.64	13.84	1012013	20136964.000
05/06/2011	13.67	13.99	13.60	13.87	997962	19753384.000
05/09/2011	13.95	14.37	13.94	14.17	1235034	25152050.000
05/10/2011	14.17	14.18	13.95	14.12	905600	18256880.000
05/11/2011	14.16	14.20	13.89	13.98	812318	16357356.000
05/12/2011	13.98	13.98	13.39	13.39	1218111	23901920.000
05/13/2011	13.31	13.51	12.87	13.24	1406563	26618546.000
05/16/2011	13.17	13.35	13.04	13.06	860795	16288393.000
05/17/2011	13.09	13.19	12.76	13.07	699920	13063372.000
05/18/2011	13.09	13.48	12.96	13.32	1003785	19105920.000
05/19/2011	13.36	13.65	13.23	13.34	1072160	20696328.000
05/20/2011	13.40	13.40	12.96	13.03	908802	17116154.000
05/23/2011	12.87	13.03	12.77	12.79	902141	16701915.000
05/24/2011	12.87	13.91	12.54	13.67	2344237	45158064.000
05/25/2011	13.51	13.84	13.29	13.33	1636853	31900680.000
05/26/2011	13.41	13.60	12.94	12.94	859374	16380854.000
05/27/2011	12.99	13.72	12.95	13.38	2318171	44662352.000
05/30/2011	13.39	14.64	13.27	14.24	4507917	91209512.000
05/31/2011	14.24	14.54	13.88	14.36	2936740	59848572.000
06/01/2011	14.37	14.41	13.99	14.34	2066790	42102996.000
06/02/2011	14.01	14.14	13.69	14.00	1760461	35219728.000
06/03/2011	14.00	14.56	13.93	14.29	1899342	39067676.000
06/07/2011	14.30	14.30	13.98	14.19	1157119	23409072.000
06/08/2011	14.19	14.19	13.74	13.87	1468693	29229636.000
06/09/2011	13.84	13.99	13.44	13.46	1299320	25427540.000
06/10/2011	13.36	13.41	12.96	13.31	1261102	23787342.000
06/13/2011	13.18	13.51	12.97	13.35	914078	17451978.000
06/14/2011	13.43	13.57	13.31	13.49	864763	16754755.000
06/15/2011	13.38	13.56	13.11	13.11	1030314	19726620.000
06/16/2011	13.06	13.26	12.97	13.09	598288	11223290.000
06/17/2011	13.09	13.14	12.81	12.91	505817	9407007.000
