300049 福瑞股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	18.35	18.89	18.35	18.62	609650	15196712.000
10/11/2010	18.51	18.78	17.38	17.46	2522687	59815928.000
10/12/2010	17.46	17.73	17.16	17.39	1583313	37124408.000
10/13/2010	17.49	18.18	17.49	18.17	1900352	45221336.000
10/14/2010	18.30	18.31	17.58	18.24	1556626	37383552.000
10/15/2010	18.05	18.16	17.55	18.08	1094819	26210806.000
10/18/2010	17.99	17.99	17.47	17.76	650978	15424126.000
10/19/2010	17.74	19.16	17.55	18.69	1862626	46395796.000
10/20/2010	18.36	19.30	18.35	18.76	1648302	41588740.000
10/21/2010	18.78	18.85	18.32	18.66	971918	24172528.000
10/22/2010	18.74	19.28	18.70	18.88	1324187	33597176.000
10/25/2010	19.01	19.22	18.93	19.07	1051725	26773388.000
10/26/2010	19.35	19.84	19.20	19.67	1870764	48730856.000
10/27/2010	19.70	20.08	19.38	19.60	1394324	36618064.000
10/28/2010	19.55	19.72	19.20	19.72	1465603	37994532.000
10/29/2010	20.05	20.07	19.57	19.74	1738984	45860064.000
11/01/2010	19.77	20.23	19.62	20.05	1977001	52924428.000
11/02/2010	20.05	20.22	19.08	19.38	1771106	46077644.000
11/03/2010	19.16	19.36	18.78	18.94	864394	22024572.000
11/04/2010	18.94	19.20	18.45	18.95	946505	23710874.000
11/05/2010	19.11	19.22	18.73	18.99	773686	19531568.000
11/08/2010	19.20	19.69	19.08	19.62	1477560	38317176.000
11/09/2010	19.63	20.12	19.39	20.10	1752950	46214200.000
11/10/2010	20.20	20.68	20.02	20.12	1900887	51697632.000
11/11/2010	20.09	20.45	19.77	19.82	1389004	37357020.000
11/12/2010	19.85	19.94	18.32	18.35	1301425	33192080.000
11/15/2010	18.51	19.24	18.32	19.12	1158446	29132850.000
11/16/2010	19.14	19.85	18.58	18.95	1570054	40717732.000
11/17/2010	18.35	19.16	18.35	18.47	700890	17546592.000
11/18/2010	18.82	18.82	18.32	18.58	519949	12887579.000
11/19/2010	18.62	19.38	18.62	19.36	941792	23895226.000
11/22/2010	19.35	19.89	19.24	19.74	1608675	42260976.000
11/23/2010	19.58	19.84	19.12	19.82	1143277	29877508.000
11/24/2010	19.70	21.32	19.47	21.30	4362198	119456296.000
11/25/2010	21.35	22.38	20.94	20.97	4445839	127990864.000
11/26/2010	21.01	21.32	20.75	21.12	1785619	50136496.000
11/29/2010	21.12	21.88	21.12	21.35	1742367	49738808.000
11/30/2010	21.35	21.47	19.39	20.25	1878820	51002092.000
12/01/2010	20.23	20.46	19.92	20.28	862417	23221846.000
12/02/2010	20.58	20.58	20.02	20.16	645661	17460706.000
12/03/2010	20.16	20.16	19.47	19.50	771267	20306264.000
12/06/2010	19.41	19.75	18.70	18.85	723851	18477642.000
12/07/2010	18.85	19.24	18.63	19.14	389812	9910377.000
12/08/2010	19.10	19.51	18.98	19.44	507369	13023515.000
12/09/2010	19.28	19.28	18.70	19.20	595573	15183214.000
12/10/2010	18.92	19.48	18.73	19.43	454387	11689466.000
12/13/2010	19.68	20.15	19.44	20.06	958196	25523580.000
