300050 世纪鼎利 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	30.19	30.98	29.39	30.43	1452177	88481032.000
10/11/2010	30.48	30.48	28.87	29.24	2408355	143905520.000
10/12/2010	29.41	30.08	29.34	29.88	1483504	89364168.000
10/13/2010	29.81	30.41	29.33	30.40	1315033	79261840.000
10/14/2010	30.94	32.35	30.94	31.16	2464599	157371712.000
10/15/2010	31.04	31.09	29.39	30.00	2030091	124152616.000
10/18/2010	29.69	30.00	28.48	29.24	1463744	85459464.000
10/19/2010	29.26	32.20	29.26	32.06	2618621	166271728.000
10/20/2010	31.64	33.20	30.95	33.04	3215680	210502272.000
10/21/2010	32.99	32.99	31.73	32.08	1092874	70926632.000
10/22/2010	31.69	32.73	31.69	32.14	1301282	84931512.000
10/25/2010	32.14	33.08	32.14	32.70	1290513	85123576.000
10/26/2010	32.88	33.19	32.14	32.62	1469156	96717264.000
10/27/2010	32.53	32.59	31.40	31.45	1752180	113012624.000
10/28/2010	31.24	31.79	31.14	31.49	939952	59920160.000
10/29/2010	31.61	32.47	31.61	32.43	1652488	107783216.000
11/01/2010	32.89	35.25	32.89	34.64	3069441	212151136.000
11/02/2010	34.74	34.79	32.71	32.74	2466273	167609408.000
11/03/2010	32.64	32.64	31.69	32.07	1348761	87760992.000
11/04/2010	32.03	32.39	31.89	32.31	936093	60901824.000
11/05/2010	32.54	32.89	32.14	32.39	1057997	69261384.000
11/08/2010	32.54	33.89	32.54	33.74	1454495	98333480.000
11/09/2010	33.79	35.89	33.14	35.00	2866013	201749392.000
11/10/2010	34.68	36.39	34.68	35.94	1760374	127702712.000
11/11/2010	35.64	36.49	35.08	35.21	1891127	136882800.000
11/15/2010	33.44	36.63	33.19	36.63	2493001	176247216.000
11/16/2010	36.68	37.93	34.08	34.64	2585409	188107600.000
11/17/2010	34.14	35.29	32.80	32.88	1160226	79640488.000
11/18/2010	33.19	33.89	32.49	33.25	961712	64200684.000
11/19/2010	33.54	34.71	33.23	34.67	1362530	94020824.000
11/22/2010	34.63	36.45	34.24	36.14	1899656	137459968.000
11/23/2010	35.64	36.64	35.36	36.56	2058253	150104528.000
11/24/2010	36.14	37.06	35.97	36.69	1426536	105532208.000
11/25/2010	36.79	37.53	35.49	35.89	1991531	147013888.000
11/26/2010	35.65	36.36	35.39	35.99	995857	72179216.000
11/29/2010	35.83	37.25	35.40	36.94	1440942	106244600.000
11/30/2010	36.70	37.09	34.14	35.36	1219150	87010728.000
12/01/2010	35.34	36.39	35.15	36.04	851398	61883284.000
12/02/2010	36.26	36.78	35.66	36.04	881417	64298444.000
12/03/2010	36.05	36.33	35.05	35.14	836537	60034088.000
12/06/2010	35.14	35.43	33.54	34.19	900183	62343360.000
12/07/2010	34.13	34.72	33.54	34.65	515581	35770132.000
12/08/2010	34.64	35.94	34.44	35.77	952369	68408368.000
12/09/2010	35.44	36.07	35.10	35.14	563145	40549728.000
12/10/2010	34.89	37.05	34.89	36.89	1620155	119552080.000
12/13/2010	36.89	39.08	36.81	38.62	1477295	114317976.000
12/14/2010	38.65	38.65	38.04	38.59	1163405	90128376.000
12/15/2010	38.62	39.12	37.66	37.74	770015	59281984.000
12/16/2010	37.58	38.14	37.14	37.31	893592	68128640.000
12/17/2010	37.49	37.89	36.98	37.85	783483	59147632.000
12/20/2010	38.09	38.32	36.15	37.10	987620	73760288.000
12/21/2010	36.94	37.58	36.79	37.21	472754	35500216.000
12/22/2010	37.32	37.32	35.96	36.17	921577	67725696.000
12/23/2010	36.04	36.04	35.08	35.53	670031	47926344.000
12/24/2010	35.23	35.24	33.59	33.99	664319	46074320.000
12/27/2010	33.99	34.59	32.63	32.64	564132	38521964.000
12/28/2010	32.49	32.91	31.67	31.99	548695	35634164.000
12/30/2010	32.54	32.60	31.50	31.82	1233081	79690768.000
12/31/2010	31.89	33.63	31.79	33.36	1254312	82241512.000
01/04/2011	33.43	34.04	33.14	33.79	923666	62974252.000
01/05/2011	33.63	35.14	33.19	35.04	1788454	125239488.000
01/06/2011	35.03	35.40	33.98	34.23	829531	58121392.000
01/07/2011	34.24	34.79	34.07	34.48	378594	26316174.000
01/10/2011	34.24	34.24	33.04	33.08	581740	39426592.000
01/11/2011	32.94	32.94	31.49	32.04	949345	61246032.000
01/12/2011	32.05	32.64	31.64	32.24	415195	26932914.000
01/13/2011	32.54	32.54	31.33	31.39	933147	59875792.000
01/14/2011	32.53	32.87	31.40	32.21	1923601	124776608.000
01/17/2011	31.76	32.98	31.43	31.54	1487469	96884312.000
01/18/2011	31.54	31.63	30.59	30.84	602366	37629500.000
01/19/2011	30.89	32.38	30.66	32.14	775849	50059188.000
01/20/2011	32.07	32.64	31.64	31.69	1047598	68286032.000
01/21/2011	31.54	32.38	31.24	31.76	612149	39314520.000
01/24/2011	31.94	32.43	30.57	30.63	615804	39156808.000
01/25/2011	30.54	30.54	29.08	29.37	800875	47727704.000
01/26/2011	29.25	30.28	29.25	30.11	469533	28406478.000
01/27/2011	29.89	30.79	29.76	30.64	373320	22996810.000
01/28/2011	30.65	31.14	30.49	31.14	432042	26947506.000
01/31/2011	30.84	31.63	30.84	31.63	325241	20656806.000
02/01/2011	31.68	31.86	31.35	31.82	303629	19447872.000
02/09/2011	31.54	31.79	30.93	30.93	330543	20953242.000
02/10/2011	31.19	32.44	30.93	32.39	572341	36907372.000
02/11/2011	32.39	32.76	32.15	32.37	509622	33451970.000
02/14/2011	32.74	34.05	32.74	33.56	819720	55716792.000
02/15/2011	33.58	33.64	33.04	33.19	683175	45979016.000
02/16/2011	33.39	34.67	33.19	34.65	1133949	78321208.000
02/17/2011	35.24	36.54	34.99	35.35	2365129	172032880.000
02/18/2011	35.41	36.79	35.14	35.79	1486823	108545256.000
