300051 三五互联 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.69	5.94	5.59	5.91	1211293	28886738.000
10/11/2010	5.93	5.93	5.73	5.76	1064201	25482516.000
10/12/2010	5.78	5.93	5.73	5.80	931551	22468436.000
10/13/2010	5.82	5.90	5.79	5.90	881022	21224046.000
10/14/2010	5.87	6.01	5.76	5.78	1175165	28589796.000
10/15/2010	5.71	5.76	5.51	5.56	1266284	29366806.000
10/18/2010	5.49	5.67	5.45	5.67	798191	18274952.000
10/19/2010	5.66	6.19	5.63	6.10	1822053	45114980.000
10/20/2010	5.98	6.31	5.89	6.11	1723544	43487464.000
10/21/2010	6.06	6.06	5.88	5.94	736553	18139948.000
10/22/2010	5.94	6.17	5.94	6.06	954320	23906790.000
10/25/2010	6.21	6.47	6.21	6.46	2197682	57949948.000
10/26/2010	6.51	6.51	6.27	6.34	1173706	30564236.000
10/27/2010	6.34	6.38	6.14	6.14	1226079	31466534.000
10/28/2010	6.13	6.19	6.03	6.08	685333	17233678.000
10/29/2010	6.09	6.27	6.09	6.26	1099066	28092658.000
11/01/2010	6.26	6.45	6.26	6.39	1719856	45179680.000
11/02/2010	6.37	6.38	6.18	6.18	1468672	37857684.000
11/03/2010	6.08	6.17	5.99	5.99	774366	19396238.000
11/04/2010	5.96	6.04	5.94	6.02	767113	18934610.000
11/05/2010	6.06	6.19	6.02	6.08	642523	16080044.000
11/08/2010	6.10	6.27	6.06	6.26	1264471	32277808.000
11/09/2010	6.28	6.36	6.15	6.36	1688293	43582616.000
11/10/2010	6.34	6.52	6.27	6.41	1799123	47567544.000
11/11/2010	6.37	6.50	6.21	6.22	1551353	40842248.000
11/12/2010	6.26	6.41	5.81	5.86	1472438	37086908.000
11/15/2010	6.05	6.19	5.85	6.14	1038167	25863058.000
11/16/2010	6.14	6.31	5.95	6.09	1372188	34950152.000
11/17/2010	6.03	6.15	5.81	5.88	847422	20903270.000
11/18/2010	5.91	6.00	5.85	5.95	503156	12290850.000
11/19/2010	5.98	6.23	5.92	6.23	1277561	32189602.000
11/22/2010	6.22	6.44	6.17	6.34	2049114	53619532.000
11/23/2010	6.41	6.58	6.31	6.54	3006660	80072272.000
11/24/2010	6.44	6.63	6.36	6.63	2432338	65082172.000
11/25/2010	6.68	6.68	6.44	6.44	1823373	48793292.000
11/26/2010	6.44	6.61	6.40	6.47	1441471	38662612.000
11/29/2010	6.47	6.55	6.40	6.49	993074	26414468.000
11/30/2010	6.49	6.50	6.01	6.17	1207419	30990174.000
12/01/2010	6.16	6.23	6.07	6.19	528225	13414865.000
12/02/2010	6.21	6.30	6.17	6.21	670691	17222208.000
12/03/2010	6.21	6.27	6.09	6.18	511335	12993978.000
12/06/2010	6.19	6.23	5.91	5.95	746319	18530564.000
12/07/2010	5.94	6.06	5.94	6.05	471426	11694459.000
12/08/2010	6.03	6.12	6.00	6.09	487095	12182961.000
12/09/2010	6.10	6.10	6.02	6.05	427277	10670038.000
12/10/2010	6.04	6.30	5.99	6.29	1048497	26787826.000
12/13/2010	6.34	6.56	6.34	6.47	1911964	50805440.000
12/14/2010	6.45	6.49	6.37	6.46	1185547	31331650.000
12/15/2010	6.44	6.51	6.38	6.43	1073373	28478946.000
12/16/2010	6.41	7.09	6.41	7.09	2398710	68578776.000
12/17/2010	7.31	7.66	7.26	7.41	6704726	204034432.000
12/20/2010	7.26	7.40	6.91	7.16	3091715	91104560.000
12/21/2010	7.09	7.30	7.03	7.12	1921106	56236700.000
12/22/2010	7.13	7.17	6.84	6.99	1814908	52248028.000
12/23/2010	6.90	6.95	6.66	6.69	1355294	38089980.000
12/24/2010	6.66	6.66	6.46	6.61	1107312	29856046.000
12/27/2010	6.54	6.75	6.31	6.31	1111590	30038354.000
12/28/2010	6.25	6.39	6.20	6.29	896241	23292084.000
12/29/2010	6.25	6.45	6.25	6.39	869316	22798098.000
12/30/2010	6.40	6.50	6.31	6.47	831561	21877860.000
12/31/2010	6.46	6.53	6.35	6.52	1142515	30377028.000
01/04/2011	6.53	6.66	6.45	6.66	1109666	29929982.000
01/05/2011	6.66	6.77	6.57	6.60	1235642	33826628.000
01/06/2011	6.56	6.62	6.37	6.38	882753	23406418.000
01/07/2011	6.43	6.49	6.29	6.37	794797	20879878.000
01/10/2011	6.32	6.37	6.10	6.10	805988	20693438.000
01/11/2011	6.08	6.12	5.86	5.90	961543	23511566.000
01/12/2011	5.98	6.00	5.81	5.96	649487	15855785.000
01/13/2011	6.03	6.04	5.96	5.98	564800	13958511.000
01/14/2011	5.96	5.96	5.76	5.78	455830	10992506.000
01/17/2011	5.89	6.31	5.89	6.09	2055926	51846228.000
01/18/2011	5.94	5.96	5.78	5.81	908055	21931654.000
01/19/2011	5.81	5.94	5.74	5.94	690950	16696220.000
01/20/2011	5.94	5.94	5.65	5.67	679371	16268727.000
01/21/2011	5.55	5.71	5.55	5.60	454232	10582270.000
01/24/2011	5.57	5.75	5.57	5.61	454247	10619021.000
01/25/2011	5.59	5.70	5.59	5.69	266748	6219919.000
01/26/2011	5.69	5.80	5.69	5.76	301911	7189995.000
01/27/2011	5.76	5.81	5.62	5.81	491086	11653900.000
