300052 中青宝 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.15	10.35	10.04	10.24	798307	16581432.000
10/11/2010	10.25	10.34	10.02	10.12	1306091	26892434.000
10/12/2010	10.08	10.25	10.02	10.15	983989	20316452.000
10/13/2010	10.12	10.44	10.06	10.41	1433049	29843024.000
10/14/2010	10.37	10.50	10.02	10.05	1098939	22929596.000
10/15/2010	10.03	10.23	9.84	10.00	1097083	22354530.000
10/18/2010	10.00	10.00	9.48	9.73	1244105	24426172.000
10/19/2010	9.72	10.57	9.65	10.45	2327281	48529208.000
10/20/2010	10.33	10.80	10.23	10.41	2120862	45396956.000
10/21/2010	10.36	10.36	10.10	10.32	1017577	21130936.000
10/22/2010	10.34	10.75	10.30	10.54	1331354	28619832.000
10/25/2010	10.57	10.71	10.49	10.67	1906294	41159652.000
10/26/2010	10.67	10.70	10.33	10.42	1625090	34452328.000
10/27/2010	10.42	10.57	10.31	10.33	1240528	26249770.000
10/28/2010	10.33	10.52	10.18	10.33	917027	19200694.000
10/29/2010	10.38	10.71	10.37	10.61	1792066	38497644.000
11/01/2010	10.69	11.07	10.61	10.97	2385172	52963800.000
11/02/2010	10.99	11.05	10.55	10.59	2163952	47172000.000
11/03/2010	10.53	10.57	10.12	10.12	1498590	31428636.000
11/04/2010	10.07	10.32	10.07	10.32	871846	18162946.000
11/05/2010	10.40	10.47	10.30	10.46	920429	19459446.000
11/08/2010	10.52	10.76	10.47	10.72	1415899	30738934.000
11/09/2010	10.77	10.86	10.56	10.86	1788443	38984148.000
11/10/2010	10.83	11.37	10.83	11.34	3772670	85750216.000
11/11/2010	11.43	11.55	11.13	11.13	3193062	73348376.000
11/12/2010	10.90	11.22	10.39	10.40	2215694	48620300.000
11/15/2010	10.43	11.36	10.43	11.28	2331285	51635116.000
11/16/2010	11.24	11.51	10.84	11.03	2951789	67459648.000
11/17/2010	10.98	12.03	10.73	11.50	5235919	122339584.000
11/18/2010	11.48	11.81	11.17	11.57	3248101	75692448.000
11/19/2010	11.50	11.93	11.33	11.85	6248912	148248064.000
11/22/2010	11.80	12.11	11.53	11.58	6875097	165584544.000
11/23/2010	11.43	11.52	11.03	11.36	3890928	88725360.000
11/24/2010	11.27	11.57	11.18	11.55	2558346	59398964.000
11/25/2010	11.64	11.77	11.15	11.24	3318385	76720744.000
11/26/2010	11.23	11.48	11.08	11.31	1986284	45552856.000
11/29/2010	11.23	11.62	11.16	11.57	2555180	59407520.000
11/30/2010	11.53	11.57	10.78	11.01	2981714	67088204.000
12/01/2010	10.92	11.04	10.85	10.91	1291864	28651570.000
12/02/2010	11.08	11.10	10.90	10.92	1141740	25496984.000
12/03/2010	10.93	11.08	10.67	10.75	1273900	28048362.000
12/06/2010	10.81	10.81	10.28	10.45	1478456	31467464.000
12/07/2010	10.40	10.59	10.28	10.51	806118	17190824.000
12/08/2010	10.46	10.59	10.38	10.44	755152	16142277.000
