300053 欧比特 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.89	11.95	11.75	11.92	618468	14796445.000
10/11/2010	11.90	12.03	11.70	11.76	900815	21452714.000
10/12/2010	11.75	11.95	11.59	11.65	784964	18624114.000
10/13/2010	11.65	11.89	11.43	11.86	973049	22714396.000
10/14/2010	11.89	11.93	11.51	11.56	977639	23068978.000
10/15/2010	11.54	11.69	11.20	11.20	866511	19966352.000
10/18/2010	10.95	11.38	10.95	11.29	632555	14213972.000
10/19/2010	11.40	12.13	11.29	11.90	2056573	49464140.000
10/20/2010	11.70	12.40	11.70	12.03	1613921	39547612.000
10/21/2010	11.90	12.12	11.83	12.04	901197	21757006.000
10/22/2010	11.95	12.32	11.91	12.05	619401	15173685.000
10/25/2010	12.05	12.52	12.05	12.38	980361	24467140.000
10/26/2010	12.34	12.50	12.15	12.43	884360	21920972.000
10/27/2010	12.33	12.64	12.19	12.22	722780	18078184.000
10/28/2010	12.44	12.45	12.15	12.33	851774	21073152.000
10/29/2010	12.46	12.88	12.45	12.86	2005135	51365524.000
11/01/2010	12.89	13.54	12.81	13.33	2212852	59215648.000
11/02/2010	13.34	13.38	12.61	12.63	2401443	62650624.000
11/03/2010	12.47	12.60	12.11	12.12	1622443	40299704.000
11/04/2010	12.18	12.40	12.18	12.40	1150742	28530684.000
11/05/2010	12.65	12.65	12.38	12.46	1117070	28130144.000
11/08/2010	12.56	13.09	12.56	12.97	1385972	36019708.000
11/09/2010	13.03	13.14	12.87	13.08	1269375	33281512.000
11/10/2010	12.95	13.34	12.94	13.09	1612774	42914044.000
11/11/2010	13.06	13.50	13.05	13.19	2307967	61954524.000
11/12/2010	13.10	13.34	12.40	12.44	1718947	44727120.000
11/15/2010	12.68	13.24	12.53	13.15	1535833	39925360.000
11/16/2010	13.23	13.50	12.65	12.95	2412763	64116284.000
11/17/2010	12.87	13.49	12.68	13.14	2774268	74103152.000
11/18/2010	13.20	13.35	12.75	13.33	1902214	50049136.000
11/19/2010	13.38	14.05	13.23	14.05	3810119	105458792.000
11/22/2010	14.05	14.65	13.73	13.89	3798585	108706032.000
11/23/2010	13.81	14.15	13.40	14.12	2590736	71800648.000
11/24/2010	13.94	14.34	13.93	14.26	1931311	55023028.000
11/25/2010	14.37	14.37	13.70	13.84	2179754	61392892.000
11/26/2010	13.79	14.00	13.66	13.76	1059432	29512668.000
11/29/2010	13.76	14.18	13.68	14.03	1421401	39920672.000
11/30/2010	14.00	14.02	12.81	13.44	2041394	55270184.000
12/01/2010	13.43	13.47	13.05	13.10	946480	25223260.000
12/02/2010	13.27	13.40	13.09	13.10	1030872	27466768.000
12/03/2010	13.12	13.26	12.86	12.95	796210	20917916.000
12/06/2010	12.96	13.00	12.68	12.81	603929	15578689.000
12/07/2010	12.79	13.14	12.68	13.06	517588	13548029.000
12/08/2010	12.99	13.18	12.74	12.75	788983	20585350.000
12/09/2010	12.75	12.95	12.70	12.77	592342	15300084.000
12/10/2010	12.75	13.11	12.73	13.05	1235055	32341580.000
12/13/2010	13.10	13.64	13.08	13.47	1841957	49865964.000
12/14/2010	13.60	13.60	13.41	13.50	884678	24043316.000
12/15/2010	13.52	13.62	13.40	13.48	782685	21279982.000
12/16/2010	13.48	13.82	13.45	13.69	1483177	40921108.000
12/17/2010	13.80	13.84	13.58	13.75	1113120	30733776.000
12/20/2010	13.80	13.80	13.06	13.40	1275702	34546280.000
12/21/2010	13.45	13.50	13.24	13.29	968943	26055386.000
12/22/2010	13.28	13.29	12.96	13.08	1047946	27635708.000
12/23/2010	13.06	13.08	12.82	12.89	767691	20035930.000
12/24/2010	12.80	12.99	12.55	12.56	800590	20527370.000
12/27/2010	12.70	12.75	12.23	12.26	588726	14850063.000
12/28/2010	12.24	12.45	12.00	12.28	667055	16433635.000
12/29/2010	12.30	12.59	12.23	12.55	458627	11484842.000
12/30/2010	12.62	12.72	12.43	12.64	425072	10755128.000
12/31/2010	12.53	12.97	12.46	12.95	841891	21776466.000
01/04/2011	13.04	13.32	12.91	13.08	1324137	35046996.000
01/05/2011	13.10	13.21	12.98	13.06	557900	14690927.000
01/06/2011	13.06	13.20	12.96	13.08	602019	15891220.000
01/07/2011	13.08	13.15	12.81	12.82	815208	21194976.000
01/10/2011	12.80	13.00	12.50	12.50	617235	15892332.000
01/11/2011	12.50	12.50	12.01	12.11	618013	15216848.000
01/12/2011	12.11	12.48	12.05	12.26	601661	14771926.000
01/13/2011	12.38	12.40	12.10	12.10	472367	11642464.000
01/14/2011	12.10	12.15	11.73	11.83	465081	11109730.000
01/17/2011	11.89	12.00	11.38	11.42	561418	13174682.000
01/18/2011	11.45	11.62	11.30	11.59	217709	5058021.500
01/19/2011	11.59	11.83	11.58	11.83	320711	7578818.500
01/20/2011	11.76	11.82	11.40	11.45	313503	7307637.000
01/21/2011	11.40	11.61	11.40	11.48	373875	8671336.000
01/24/2011	11.48	11.55	11.00	11.04	314258	7137013.500
01/25/2011	11.01	11.06	10.69	10.82	276517	6011431.500
01/26/2011	10.79	11.03	10.70	11.02	297839	6564192.500
01/27/2011	11.02	11.09	10.80	11.03	426646	9462180.000
01/28/2011	11.04	11.14	10.99	11.10	318248	7112282.500
01/31/2011	11.16	11.20	10.96	11.17	319340	7141589.000
02/01/2011	11.10	11.22	11.08	11.09	313170	7040965.000
02/09/2011	10.91	11.13	10.69	10.86	267963	5948479.000
02/10/2011	11.00	11.50	10.99	11.47	911640	20820698.000
02/11/2011	11.43	11.88	11.43	11.61	799532	18838826.000
02/14/2011	11.61	12.00	11.61	11.75	628946	14986219.000
02/15/2011	11.75	11.88	11.64	11.66	542463	12834154.000
02/16/2011	11.64	11.95	11.64	11.91	608840	14503002.000
02/17/2011	11.91	12.14	11.80	12.05	588630	14189191.000
02/18/2011	12.05	12.08	11.80	11.84	576720	13823784.000
02/21/2011	11.80	12.03	11.75	12.03	428877	10329261.000
02/22/2011	12.03	12.14	11.63	11.65	600285	14292364.000
02/23/2011	11.63	11.77	11.58	11.76	616880	14538864.000
02/24/2011	11.79	11.80	11.67	11.72	693439	16404245.000
02/25/2011	11.74	11.95	11.74	11.86	614986	14658033.000
02/28/2011	11.88	11.99	11.55	11.63	1338390	31539646.000
03/01/2011	11.69	11.73	11.50	11.55	839394	19654424.000
03/02/2011	11.55	11.60	11.35	11.55	629176	14547489.000
03/03/2011	11.55	11.64	11.48	11.51	421310	9805736.000
03/04/2011	11.59	11.59	11.28	11.55	548878	12636329.000
