300054 鼎龙股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.46	7.74	7.38	7.67	489124	26079002.000
10/11/2010	7.67	7.92	7.61	7.71	694558	37887160.000
10/12/2010	7.61	7.75	7.54	7.61	361736	19458078.000
10/13/2010	7.61	7.67	7.12	7.38	632151	32482056.000
10/14/2010	7.38	7.69	7.34	7.44	556329	29497530.000
10/15/2010	7.39	7.77	7.39	7.65	518007	27567492.000
10/18/2010	7.61	7.96	7.47	7.86	854280	46325564.000
10/19/2010	7.86	8.59	7.84	8.21	1171056	67592720.000
10/20/2010	8.16	8.54	7.98	8.24	1146624	65741728.000
10/21/2010	8.15	8.24	8.06	8.16	256894	14644883.000
10/22/2010	8.23	8.45	8.21	8.35	419635	24485748.000
10/25/2010	8.44	8.90	8.35	8.79	549943	33342242.000
10/26/2010	8.61	8.66	8.15	8.33	723191	42031276.000
10/27/2010	8.30	8.57	8.15	8.28	471635	27533628.000
10/28/2010	8.13	8.32	8.13	8.28	196290	11272030.000
10/29/2010	8.19	8.77	8.18	8.75	881816	52885252.000
11/01/2010	8.82	9.34	8.82	9.11	737643	47034876.000
11/02/2010	9.11	9.32	8.68	8.71	454284	28573252.000
11/03/2010	8.53	8.89	8.45	8.89	353001	21411652.000
11/04/2010	8.67	8.96	8.67	8.89	304250	18851924.000
11/05/2010	8.89	9.26	8.89	8.98	470389	29793924.000
11/08/2010	8.99	9.21	8.90	8.96	268503	16898304.000
11/09/2010	8.90	9.16	8.82	9.13	270700	16880196.000
11/10/2010	9.05	9.47	8.97	9.30	263396	17063724.000
11/11/2010	9.12	9.58	9.12	9.27	256131	16760672.000
11/12/2010	9.26	9.78	8.60	8.80	582986	37715256.000
11/15/2010	8.84	9.49	8.84	9.47	390705	25160482.000
11/16/2010	9.50	10.06	9.41	9.68	983421	65983728.000
11/17/2010	9.50	10.23	9.45	9.75	1263200	87165800.000
11/18/2010	9.59	10.08	9.54	9.99	432888	29416522.000
11/19/2010	10.11	10.78	10.03	10.75	682359	49233176.000
11/22/2010	10.79	11.34	10.60	11.04	699789	52788924.000
11/23/2010	10.90	11.27	10.60	11.27	494099	37116376.000
11/24/2010	11.23	11.63	11.14	11.18	521944	41030320.000
11/25/2010	11.05	11.23	10.63	10.67	687041	51793300.000
11/26/2010	10.67	11.04	10.60	10.97	341859	25724104.000
11/29/2010	10.97	11.00	10.76	10.82	283166	21298016.000
11/30/2010	10.89	10.90	9.71	10.48	712122	50364956.000
12/01/2010	10.05	10.73	9.99	10.57	593772	42575808.000
12/02/2010	10.60	10.75	10.16	10.36	382839	27444648.000
12/03/2010	10.15	10.34	9.87	9.94	278708	19455124.000
12/06/2010	9.94	10.17	9.69	9.80	263980	18206118.000
12/07/2010	9.80	10.30	9.69	10.08	400302	27960438.000
12/08/2010	10.07	10.43	9.96	10.22	373083	26586478.000
12/09/2010	10.21	10.37	9.93	10.03	197197	13919916.000
12/10/2010	9.96	10.50	9.94	10.39	461106	33094058.000
12/13/2010	10.55	10.82	10.38	10.73	240519	17838462.000
12/14/2010	10.73	11.10	10.73	10.85	265276	20116090.000
12/15/2010	10.85	10.85	10.53	10.60	201111	14822006.000
12/16/2010	10.60	10.72	10.36	10.38	224426	16417609.000
12/17/2010	10.38	10.38	10.01	10.07	713445	50044316.000
12/20/2010	10.07	10.23	9.04	9.37	2120361	138339104.000
12/21/2010	9.21	9.51	9.21	9.43	633169	41191812.000
12/23/2010	9.31	9.33	9.05	9.05	671761	42897772.000
12/24/2010	8.94	9.04	8.69	8.81	938388	57734644.000
12/27/2010	8.89	9.04	8.67	8.69	349195	21511536.000
12/28/2010	8.64	8.75	8.58	8.70	229605	13877673.000
12/29/2010	8.68	8.93	8.68	8.88	232913	14337449.000
12/30/2010	8.87	9.09	8.77	9.07	338534	21168008.000
12/31/2010	9.07	9.35	9.02	9.35	395678	25283040.000
01/04/2011	9.33	9.33	8.99	9.15	618930	39232988.000
01/05/2011	9.13	9.13	8.75	8.81	590305	36647412.000
01/06/2011	8.79	8.98	8.63	8.74	352734	21654798.000
01/07/2011	8.73	8.81	8.56	8.59	527701	31859736.000
01/10/2011	8.53	8.53	8.24	8.27	572875	33593944.000
01/11/2011	8.30	8.40	7.86	7.94	525703	29712744.000
01/12/2011	7.95	8.15	7.94	8.15	393465	22076674.000
01/13/2011	8.17	8.58	8.16	8.57	741945	43783480.000
01/14/2011	8.53	8.53	7.86	7.91	622021	35386016.000
01/17/2011	7.83	7.98	7.49	7.58	409576	22129476.000
01/18/2011	7.57	7.92	7.49	7.83	318215	17358738.000
01/19/2011	7.86	7.99	7.73	7.83	397950	21794396.000
01/20/2011	7.83	7.83	7.38	7.41	484903	25680626.000
01/21/2011	7.36	7.41	6.97	7.01	817414	40943012.000
01/24/2011	7.11	7.41	7.06	7.17	952947	48457324.000
01/25/2011	7.17	7.26	6.75	6.93	578614	27943640.000
01/26/2011	6.92	7.11	6.90	7.02	362595	17876070.000
01/27/2011	6.97	7.16	6.84	7.12	301400	14877409.000
01/28/2011	7.13	7.13	6.92	7.08	440773	21694240.000
01/31/2011	7.07	7.22	7.01	7.17	775961	38871088.000
02/01/2011	7.20	7.21	6.94	7.07	497106	24488828.000
02/09/2011	6.97	7.19	6.97	7.03	287688	14321395.000
02/10/2011	7.04	7.44	6.93	7.38	898178	45442152.000
02/11/2011	7.41	7.48	7.31	7.37	782661	40705996.000
02/14/2011	7.46	7.63	7.40	7.58	929070	48638404.000
02/15/2011	7.58	7.63	7.47	7.51	794647	41926292.000
02/16/2011	7.46	7.67	7.44	7.64	668579	35392916.000
02/17/2011	7.71	7.71	7.52	7.60	614039	32684960.000
02/18/2011	7.56	7.57	7.41	7.45	598533	31308212.000
02/21/2011	7.41	7.60	7.38	7.57	669471	35154752.000
02/22/2011	7.57	7.84	7.49	7.63	905853	48633796.000
02/23/2011	7.59	7.94	7.51	7.94	1054944	57799864.000
02/24/2011	7.95	8.08	7.69	7.87	743845	40969048.000
02/25/2011	7.83	7.87	7.64	7.70	706160	38132892.000
02/28/2011	7.74	7.75	7.48	7.58	467863	24756182.000
03/01/2011	7.58	7.62	7.49	7.53	550242	29097050.000
03/02/2011	7.53	7.56	7.38	7.53	473348	24775840.000
03/03/2011	7.49	7.55	7.30	7.30	356446	18609262.000
03/04/2011	7.27	7.38	7.22	7.35	206634	10578619.000
03/07/2011	7.34	7.49	7.31	7.40	341715	17666726.000
03/08/2011	7.43	7.43	7.27	7.40	276196	14265425.000
03/09/2011	7.41	7.64	7.36	7.58	557583	29445104.000
03/10/2011	7.60	7.87	7.56	7.78	1212769	66094652.000
03/11/2011	7.73	8.02	7.73	7.93	1140803	63265092.000
03/14/2011	8.43	8.50	8.17	8.30	1657246	96312088.000
03/15/2011	8.28	8.64	8.01	8.62	1140757	65848724.000
03/16/2011	8.61	8.78	8.45	8.64	1199406	72001856.000
03/17/2011	8.66	8.66	8.29	8.47	619445	36649088.000
03/18/2011	8.47	8.58	8.24	8.45	547194	32030810.000
03/21/2011	8.48	8.48	8.13	8.14	298109	17126366.000
03/22/2011	8.15	8.38	7.93	8.35	415999	23651598.000
03/23/2011	8.30	8.33	8.11	8.18	224597	12875314.000
03/24/2011	8.19	8.26	8.11	8.13	198858	11357670.000
03/25/2011	8.17	8.17	7.99	8.04	379698	21306194.000
03/28/2011	8.04	8.05	7.67	7.74	607870	33295068.000
03/29/2011	7.74	7.74	7.30	7.50	587649	30689008.000
03/30/2011	7.50	7.71	7.43	7.60	351017	18596844.000
03/31/2011	7.59	7.67	7.35	7.43	257922	13456359.000
04/01/2011	7.38	7.59	7.38	7.52	130829	6882168.000
04/06/2011	7.52	7.56	7.41	7.53	346041	18145328.000
04/07/2011	7.53	7.72	7.53	7.69	241713	12982330.000
04/08/2011	7.68	8.00	7.59	7.93	414544	22780772.000
04/11/2011	7.93	7.94	7.68	7.69	475421	25807430.000
04/12/2011	7.56	7.63	7.12	7.26	983343	50702580.000
04/13/2011	7.25	7.43	7.15	7.41	297413	15328773.000
04/14/2011	7.47	7.47	7.23	7.32	284030	14660315.000
04/15/2011	7.27	7.41	7.27	7.38	120484	6211459.500
04/18/2011	7.41	7.83	7.41	7.83	721583	38476572.000
04/19/2011	7.81	8.14	7.67	8.14	871603	48554496.000
04/20/2011	8.15	8.20	7.89	7.97	279956	15693844.000
04/21/2011	7.97	8.08	7.57	7.70	348791	19245696.000
04/22/2011	7.79	7.82	7.49	7.62	364489	19383378.000
04/25/2011	7.49	7.66	7.34	7.39	363430	18967798.000
04/26/2011	7.39	7.39	6.88	7.02	839498	41292244.000
04/27/2011	7.01	7.08	6.85	6.93	326604	15901436.000
04/28/2011	7.08	7.10	6.66	6.67	629696	29875244.000
04/29/2011	6.67	6.75	6.61	6.74	246264	11561242.000
05/03/2011	6.82	6.82	6.67	6.69	338736	15972944.000
05/04/2011	6.67	6.69	6.50	6.50	313558	14579267.000
05/05/2011	6.45	6.60	6.45	6.56	191021	8794645.000
05/06/2011	6.54	6.84	6.41	6.84	363009	16979610.000
05/09/2011	6.84	6.91	6.67	6.72	322194	15332172.000
05/10/2011	6.72	6.75	6.55	6.61	252559	11742240.000
05/11/2011	6.62	6.63	6.47	6.50	198853	9138566.000
05/12/2011	6.47	6.59	6.41	6.55	160404	7389682.000
05/13/2011	6.55	6.64	6.53	6.63	140638	6522224.500
05/16/2011	6.64	6.83	6.63	6.73	517282	24673020.000
05/17/2011	6.82	6.89	6.60	6.64	116366	5473543.500
05/18/2011	6.54	6.73	6.54	6.67	128446	6034223.000
05/19/2011	6.75	6.76	6.61	6.67	60570	2843699.500
05/20/2011	6.64	6.76	6.56	6.73	339336	16017190.000
05/23/2011	6.72	6.73	6.57	6.58	292086	13625932.000
05/24/2011	6.38	7.26	6.38	6.87	463445	22444610.000
05/25/2011	6.84	6.85	6.55	6.71	249331	11763428.000
05/26/2011	6.69	6.85	6.69	6.78	188301	8962373.000
05/27/2011	6.78	6.90	6.50	6.86	643872	30304692.000
05/31/2011	6.86	7.04	6.83	6.95	500627	24317532.000
06/01/2011	6.97	7.33	6.97	7.26	714024	36097840.000
06/02/2011	7.24	7.33	7.02	7.23	547495	27542588.000
06/03/2011	7.15	7.35	7.15	7.33	459352	23500556.000
06/07/2011	7.20	7.35	7.04	7.26	352371	17872062.000
