300055 万邦达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	44.40	46.00	44.10	44.40	783640	71394280.000
10/11/2010	44.30	44.30	39.92	39.95	1747638	145508080.000
10/12/2010	39.90	42.05	39.55	41.65	887146	73752952.000
10/13/2010	41.40	42.98	40.45	41.72	534317	44825324.000
10/14/2010	42.05	42.55	40.05	42.24	546428	46144108.000
10/15/2010	41.55	43.70	41.42	43.70	929571	80724752.000
10/18/2010	43.56	47.20	43.56	45.20	1510500	139316352.000
10/19/2010	45.80	48.10	44.58	47.90	1218816	115470872.000
10/20/2010	47.05	49.05	45.44	47.00	1280467	121099576.000
10/21/2010	47.00	47.05	45.88	46.55	309888	29011816.000
10/22/2010	46.15	47.15	45.61	46.04	655809	61482852.000
10/25/2010	46.00	47.04	45.60	46.42	694461	65198648.000
10/26/2010	46.35	46.89	45.46	46.51	376482	35108624.000
10/27/2010	46.55	49.16	45.83	48.78	617388	60073100.000
10/28/2010	47.05	50.05	45.55	50.05	967564	94813360.000
10/29/2010	49.55	51.60	48.64	51.55	440806	45168232.000
11/01/2010	51.30	55.15	51.30	53.06	556118	60216292.000
11/02/2010	52.30	53.30	49.55	51.85	558586	58490336.000
11/03/2010	51.37	52.31	50.58	51.30	149119	15503157.000
11/04/2010	51.15	53.24	51.15	53.15	297862	31450426.000
11/05/2010	55.05	55.05	52.72	53.65	379971	40784504.000
11/08/2010	54.05	57.29	53.32	57.15	604625	67842920.000
11/09/2010	56.95	59.71	56.95	59.54	698731	82763144.000
11/10/2010	60.55	62.05	58.79	62.05	697616	84790808.000
11/11/2010	63.05	67.05	63.05	63.88	738077	96303640.000
11/12/2010	62.55	65.05	62.55	64.58	825633	106174640.000
11/15/2010	64.58	68.30	63.85	68.25	514811	68842712.000
11/16/2010	68.45	71.38	67.60	69.50	679943	95269936.000
11/17/2010	68.85	71.05	62.51	62.51	813530	105289328.000
11/18/2010	61.75	65.99	59.55	61.40	651347	80406272.000
11/19/2010	61.40	64.55	60.81	64.05	782420	98881248.000
11/22/2010	64.04	67.55	62.05	67.54	452503	59663392.000
11/23/2010	68.18	68.54	65.14	68.54	821994	110027288.000
11/24/2010	67.85	70.23	66.70	69.50	295279	41120796.000
11/25/2010	69.05	69.80	67.05	67.21	282495	38783056.000
11/26/2010	67.05	67.25	61.83	65.99	1174120	153149312.000
11/29/2010	64.06	66.29	64.06	65.30	343187	45083048.000
11/30/2010	64.70	66.53	63.19	66.49	338734	44090612.000
12/01/2010	66.49	68.80	65.56	68.80	241484	32694424.000
12/02/2010	68.81	69.75	67.81	69.55	238964	33120812.000
12/03/2010	68.91	70.49	68.69	70.03	180139	25294444.000
12/06/2010	70.06	70.38	66.30	69.45	231797	31798652.000
12/07/2010	67.88	74.55	67.88	73.80	289920	42247300.000
12/08/2010	73.10	74.55	71.58	72.20	375156	55318032.000
12/09/2010	72.06	72.60	67.65	69.15	327779	45724800.000
12/10/2010	67.94	69.35	67.54	69.03	106106	14682758.000
12/13/2010	69.31	71.05	68.73	70.03	386959	54142780.000
12/14/2010	70.05	70.31	68.55	69.55	359826	50341276.000
12/15/2010	69.84	70.04	68.56	69.11	223140	31123184.000
12/16/2010	68.81	69.55	67.80	69.11	197641	27462114.000
12/17/2010	68.18	71.30	68.15	71.30	262419	37159496.000
12/20/2010	71.85	72.05	69.05	69.55	96299	13610166.000
12/21/2010	69.56	71.38	68.55	69.05	169380	23560506.000
12/22/2010	69.50	70.30	68.55	69.55	190570	26669906.000
12/23/2010	69.55	69.97	66.80	69.05	191655	26546604.000
12/24/2010	68.06	69.55	66.28	69.55	165741	22719064.000
12/27/2010	68.55	69.95	66.64	69.45	145249	20208514.000
12/28/2010	68.99	69.85	63.62	68.90	282079	38537404.000
12/29/2010	67.83	69.50	67.05	68.89	104811	14512093.000
12/30/2010	68.07	68.80	67.55	67.55	85179	11672940.000
12/31/2010	67.59	68.35	66.06	67.20	279220	37775312.000
01/04/2011	67.05	67.75	64.58	66.80	290064	38455124.000
01/05/2011	66.80	66.80	62.56	63.56	586995	75482488.000
01/06/2011	63.24	66.04	62.58	64.05	280448	36051764.000
01/07/2011	64.49	65.75	61.55	61.55	387769	49491848.000
01/10/2011	62.53	62.55	59.55	61.55	449679	55350464.000
01/11/2011	60.13	61.55	60.13	61.42	92350	11298121.000
01/12/2011	61.05	61.88	59.66	60.08	159625	19428774.000
01/13/2011	60.68	62.55	59.86	62.54	175641	21753644.000
01/14/2011	62.49	64.34	61.94	62.60	58219	7406361.500
01/17/2011	62.11	63.04	58.55	61.49	185868	22671290.000
01/18/2011	60.56	63.05	58.72	60.80	86554	10496777.000
01/19/2011	60.29	61.80	59.55	61.11	115908	14182971.000
01/20/2011	61.05	61.05	58.55	60.80	99270	11993581.000
01/21/2011	59.89	61.04	59.89	60.30	198276	24140360.000
01/24/2011	59.75	60.54	54.31	58.90	383142	45410668.000
01/25/2011	57.97	58.30	54.56	58.25	275904	31512882.000
01/26/2011	59.05	59.05	56.78	58.99	61283	7229464.000
