300056 三维丝 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.28	13.69	13.28	13.63	267134	10701562.000
10/11/2010	13.57	13.59	12.56	12.82	959477	36963828.000
10/12/2010	12.68	12.93	12.58	12.73	851771	32165162.000
10/13/2010	12.66	12.92	12.66	12.76	494315	18689254.000
10/14/2010	12.83	13.17	12.78	12.82	571927	21927242.000
10/15/2010	12.60	12.83	12.12	12.30	838546	30859106.000
10/18/2010	12.20	12.21	11.66	11.99	534610	18838626.000
10/19/2010	12.00	12.83	11.96	12.72	574284	21387222.000
10/20/2010	12.63	13.33	12.45	13.05	812009	31278992.000
10/21/2010	13.04	13.04	12.58	12.83	242458	9121946.000
10/22/2010	12.83	13.39	12.80	13.18	482866	18829968.000
10/25/2010	13.49	13.70	13.12	13.35	377454	14960326.000
10/26/2010	13.32	13.54	12.91	13.15	267661	10350104.000
10/27/2010	13.29	13.29	13.10	13.16	334143	13013417.000
10/28/2010	13.11	13.11	12.55	12.84	422282	15866298.000
10/29/2010	12.78	13.34	12.78	13.10	347237	13430241.000
11/01/2010	13.15	14.36	13.15	13.87	609117	24798748.000
11/02/2010	13.90	14.12	13.57	13.58	554281	22383436.000
11/03/2010	13.43	13.56	13.04	13.39	426923	16763138.000
11/04/2010	13.30	13.52	13.17	13.35	266187	10432511.000
11/05/2010	13.57	14.68	13.50	14.44	1121097	46926320.000
11/09/2010	14.61	15.31	14.22	14.57	1414289	61121148.000
11/10/2010	14.57	14.57	14.23	14.49	1171726	49527388.000
11/11/2010	14.43	15.11	14.33	14.54	1047594	45591256.000
11/12/2010	14.45	14.78	13.51	13.63	1062682	44455636.000
11/15/2010	13.84	14.61	13.58	14.49	558045	23348360.000
11/16/2010	14.53	14.69	13.57	13.82	605210	25400244.000
11/17/2010	13.41	14.01	13.39	13.39	412528	16654528.000
11/18/2010	13.91	13.91	13.43	13.61	133758	5363502.000
11/19/2010	13.87	14.49	13.62	14.49	444566	18370324.000
11/22/2010	14.28	14.97	14.28	14.96	1071648	46900692.000
11/23/2010	15.02	15.42	14.72	15.13	1012192	44900436.000
11/24/2010	14.99	15.41	14.91	15.34	669068	29920680.000
11/25/2010	15.41	15.41	14.26	15.16	633419	27969746.000
11/26/2010	15.06	15.13	14.63	15.05	347960	15334868.000
11/29/2010	15.11	15.11	14.75	15.11	424438	18672076.000
11/30/2010	15.13	15.13	14.12	14.90	543630	23249602.000
12/01/2010	14.60	14.75	14.38	14.74	142453	6121149.500
12/02/2010	14.78	14.82	14.50	14.54	165004	7111499.000
12/03/2010	14.37	14.67	14.20	14.24	186289	7867402.000
12/06/2010	14.47	14.47	13.88	14.14	166696	6926531.500
12/07/2010	13.92	14.29	13.85	14.27	263714	10967517.000
12/08/2010	14.12	14.47	13.97	14.10	191428	7982201.500
12/09/2010	14.01	14.09	13.53	13.56	188630	7666487.500
12/10/2010	13.50	13.84	13.39	13.76	288821	11608448.000
12/13/2010	14.11	14.41	13.76	14.24	461603	19290776.000
12/14/2010	14.25	14.43	14.02	14.43	380226	15969458.000
12/15/2010	14.57	14.57	14.08	14.16	199762	8399735.000
12/16/2010	14.18	14.76	14.18	14.76	701636	30151042.000
12/17/2010	14.67	14.75	14.43	14.74	373655	15990574.000
12/20/2010	14.71	14.88	13.91	14.24	439967	18513954.000
12/21/2010	14.27	14.40	14.04	14.31	161277	6782172.500
12/22/2010	14.38	14.38	13.98	13.98	182340	7597276.500
12/23/2010	13.86	14.16	13.75	13.77	173798	7124176.000
12/24/2010	13.76	13.76	13.46	13.50	204400	8187016.500
12/27/2010	13.84	13.87	12.86	12.88	217347	8509264.000
12/28/2010	12.77	12.91	12.61	12.73	208581	7839722.500
12/29/2010	12.79	12.93	12.50	12.92	205371	7697359.500
12/30/2010	12.84	12.84	12.53	12.70	369173	13793231.000
12/31/2010	12.68	12.91	12.59	12.91	300493	11358666.000
01/04/2011	12.97	13.08	12.73	13.03	304874	11639966.000
01/05/2011	13.03	13.14	12.89	13.08	234062	9020240.000
01/06/2011	13.08	13.46	13.08	13.24	395765	15504809.000
01/07/2011	13.27	13.27	13.08	13.22	265222	10301407.000
01/10/2011	13.43	13.43	12.99	13.05	334508	12913904.000
01/11/2011	13.04	13.27	13.01	13.11	135975	5239230.500
01/12/2011	13.03	13.21	13.03	13.11	66325	2568150.000
01/13/2011	13.11	13.21	12.98	13.08	165957	6402905.000
01/14/2011	13.07	13.07	12.70	12.87	218890	8290221.000
01/17/2011	12.96	12.96	12.04	12.29	131200	4803401.000
01/18/2011	12.18	12.61	12.07	12.38	201800	7289264.500
01/19/2011	12.35	12.52	12.19	12.38	146365	5369783.000
01/20/2011	12.35	12.37	11.83	11.90	88904	3196694.250
01/21/2011	11.84	12.08	11.84	11.88	67672	2383781.000
01/24/2011	11.90	12.05	11.35	11.42	152657	5227674.000
01/25/2011	11.41	11.41	11.13	11.16	106959	3554739.750
01/26/2011	11.44	11.44	10.82	11.13	264600	8720075.000
01/27/2011	11.09	11.44	10.90	11.44	308799	10180895.000
01/28/2011	11.38	11.48	11.14	11.48	167149	5607615.500
01/31/2011	11.41	11.48	11.25	11.48	123392	4152833.250
02/01/2011	11.48	11.62	11.44	11.55	151034	5159014.500
02/09/2011	11.51	11.60	11.24	11.32	111259	3770192.000
02/10/2011	11.34	11.84	11.12	11.82	335665	11434920.000
02/11/2011	11.76	12.01	11.66	11.97	433071	15140395.000
02/14/2011	11.86	12.22	11.86	12.16	251243	8965100.000
02/15/2011	12.11	12.24	12.04	12.07	179591	6459087.000
02/16/2011	11.90	12.24	11.90	12.18	124267	4458195.500
02/17/2011	12.11	12.28	12.04	12.20	186929	6699172.000
02/18/2011	12.14	12.35	12.13	12.30	456089	16487211.000
02/21/2011	12.07	12.52	12.07	12.51	620681	22604830.000
02/22/2011	12.48	12.48	12.00	12.01	486015	17469012.000
02/23/2011	11.88	12.13	11.68	11.79	421683	14770415.000
02/24/2011	11.73	11.90	11.60	11.80	287557	9998701.000
02/25/2011	11.76	11.76	11.58	11.62	540573	18650942.000
02/28/2011	11.64	11.93	11.55	11.87	370655	12915932.000
03/01/2011	11.86	12.28	11.83	12.17	406966	14598871.000
03/02/2011	12.06	12.13	11.92	12.02	143661	5097184.500
03/03/2011	12.04	12.23	11.87	11.95	200854	7160475.500
03/04/2011	11.86	11.96	11.78	11.86	101600	3563971.000
03/07/2011	11.90	12.16	11.86	12.02	181387	6438903.500
03/08/2011	12.03	12.17	11.95	12.10	178608	6349711.500
03/09/2011	12.12	12.16	11.99	12.00	185469	6596187.000
03/10/2011	11.99	12.23	11.98	12.18	286927	10277223.000
03/11/2011	12.11	12.32	12.08	12.20	317699	11437185.000
03/14/2011	12.18	12.54	12.11	12.53	579071	21275336.000
03/15/2011	12.49	12.55	11.97	12.24	351910	12813392.000
03/16/2011	12.03	12.26	12.03	12.18	227560	8189521.500
03/17/2011	12.17	12.17	11.69	11.79	229380	8056698.000
03/18/2011	11.93	11.93	11.66	11.79	157670	5479985.500
03/21/2011	11.79	11.79	11.48	11.60	152519	5225013.500
03/22/2011	11.65	11.65	11.50	11.55	171114	5857041.500
03/23/2011	11.55	11.74	11.49	11.72	222367	7624522.000
03/24/2011	11.81	11.86	11.69	11.71	123732	4308468.500
03/25/2011	11.76	11.76	11.56	11.62	175569	6036312.000
03/28/2011	11.61	11.75	11.27	11.31	317553	10804756.000
03/29/2011	11.21	11.34	10.86	10.91	378060	12462783.000
03/30/2011	10.91	10.94	10.16	10.79	463279	14815832.000
03/31/2011	10.74	10.86	10.68	10.80	327063	10464364.000
04/01/2011	10.84	10.87	10.75	10.85	368382	11804822.000
04/06/2011	10.86	10.91	10.37	10.37	337145	10531972.000
04/07/2011	10.38	10.58	10.29	10.41	176100	5442508.000
04/08/2011	10.41	10.49	10.33	10.43	350845	10856467.000
04/11/2011	10.49	10.52	10.23	10.23	384815	11861471.000
04/12/2011	10.22	10.30	10.11	10.18	247200	7501468.000
04/13/2011	10.18	11.23	10.13	11.23	561825	17954148.000
04/14/2011	11.36	11.44	10.83	11.20	512484	17110724.000
04/15/2011	11.20	11.20	10.80	10.85	232550	7509071.000
04/18/2011	10.79	11.03	10.72	10.88	190796	6130364.000
04/19/2011	10.79	10.95	10.53	10.53	223659	7042494.000
04/20/2011	10.62	10.63	10.27	10.40	248673	7689314.500
04/21/2011	10.43	10.61	10.41	10.54	237168	7384123.000
04/22/2011	10.54	11.08	10.54	10.72	297314	9558560.000
04/25/2011	10.72	10.95	10.62	10.68	203091	6489503.500
04/26/2011	10.51	10.78	10.45	10.57	131539	4123384.000
04/27/2011	10.75	10.75	9.87	9.95	142830	4372442.000
04/28/2011	10.07	10.21	9.84	9.85	201839	5988315.000
04/29/2011	9.82	10.02	9.71	10.01	58558	1724301.375
05/03/2011	10.13	11.01	9.92	10.69	286733	8906438.000
05/04/2011	10.58	10.58	10.31	10.40	105106	3257058.000
05/05/2011	10.29	10.77	10.29	10.55	82768	2599034.500
05/06/2011	10.68	10.79	10.37	10.68	170680	5401422.500
05/09/2011	10.61	10.77	10.48	10.54	269243	8491098.000
05/10/2011	10.54	10.64	10.42	10.43	131627	4090501.750
05/11/2011	10.50	10.57	10.36	10.37	175715	5429508.500
05/12/2011	10.37	10.37	10.03	10.05	149203	4503493.000
05/13/2011	10.02	10.27	10.02	10.24	100536	3045525.000
05/16/2011	10.19	10.43	10.19	10.24	228500	6999346.500
05/17/2011	10.16	10.28	10.03	10.16	137955	4161194.250
05/18/2011	10.08	10.23	10.06	10.14	85850	2579234.500
05/19/2011	10.16	10.22	10.08	10.08	85736	2583758.750
05/20/2011	10.03	10.09	9.82	9.97	143950	4269786.000
05/23/2011	9.92	10.09	9.78	9.79	134070	3963315.000
05/24/2011	9.91	10.51	9.50	10.26	255937	7640211.500
05/25/2011	10.26	10.26	9.99	9.99	117932	3543059.250
05/27/2011	10.02	10.02	9.68	9.78	100870	2933437.750
05/30/2011	9.82	10.09	9.68	9.76	80220	2349823.750
05/31/2011	9.78	10.02	9.71	9.98	75297	2206492.750
06/01/2011	9.98	10.08	9.88	10.07	87192	2599139.750
06/03/2011	10.07	10.29	9.91	10.19	157443	4733190.000
06/07/2011	10.34	10.34	10.18	10.23	152895	4668815.000
06/08/2011	10.23	10.30	10.06	10.23	70484	2129728.500
06/09/2011	10.21	10.32	10.02	10.06	85833	2589274.750
06/10/2011	10.06	10.06	9.83	9.99	102847	2992156.000
06/13/2011	10.08	10.08	9.73	10.02	50059	1466214.750
06/14/2011	9.89	10.19	9.89	10.17	54809	1625623.500
06/15/2011	10.22	10.68	10.10	10.34	372321	11424095.000
06/16/2011	10.40	10.49	10.23	10.34	113775	3449874.500
06/17/2011	10.46	10.48	10.18	10.23	154003	4644480.500
06/20/2011	10.23	10.44	10.20	10.26	127190	3825170.500
06/21/2011	10.27	10.41	9.91	10.18	127820	3792975.000
06/22/2011	10.23	10.23	9.95	10.15	63509	1869851.875
06/23/2011	9.98	10.40	9.96	10.38	168571	5081972.500
06/24/2011	10.38	10.56	10.30	10.51	295516	9073337.000
06/27/2011	10.50	10.65	10.48	10.51	248670	7687822.500
06/28/2011	10.46	10.84	10.43	10.69	185074	5763599.500
06/29/2011	10.58	10.77	10.46	10.59	175523	5474151.500
06/30/2011	10.59	10.70	10.48	10.61	230743	7175229.500
07/01/2011	10.72	10.72	10.57	10.61	203063	6316675.000
07/04/2011	10.72	10.79	10.60	10.75	352061	11029473.000
07/05/2011	10.75	11.03	10.75	10.80	339863	10807824.000
07/06/2011	10.80	10.80	10.49	10.80	224486	7037170.000
07/07/2011	10.79	10.95	10.62	10.90	651218	20663602.000
07/08/2011	10.89	10.98	10.76	10.79	209566	6664008.500
07/11/2011	10.70	10.77	10.62	10.75	267939	8395456.000
07/12/2011	10.62	10.68	10.42	10.44	254533	7872755.500
07/13/2011	10.41	10.66	10.28	10.66	386901	11942460.000
07/14/2011	10.65	11.02	10.58	11.01	633439	20036356.000
07/15/2011	11.02	11.12	10.90	11.03	504633	16285499.000
07/18/2011	11.09	11.38	10.93	11.01	371747	12104839.000
07/19/2011	10.94	10.96	10.75	10.77	310014	9836829.000
07/20/2011	10.96	11.08	10.84	11.02	359435	11557398.000
07/21/2011	10.85	11.12	10.82	10.87	243358	7821817.500
07/22/2011	10.87	10.90	10.74	10.79	326941	10356494.000
07/25/2011	10.62	10.77	10.17	10.26	255786	7852213.000
07/26/2011	10.23	10.27	9.88	10.05	186337	5497509.500
07/27/2011	10.03	10.24	9.97	10.22	353481	10537637.000
07/28/2011	10.17	10.32	10.12	10.19	141409	4225972.500
07/29/2011	10.22	10.29	10.11	10.23	145954	4368999.000
08/01/2011	10.16	10.34	10.16	10.26	201072	6052651.000
08/02/2011	10.18	10.20	9.88	10.16	340730	9980678.000
08/03/2011	10.06	10.50	9.99	10.37	275729	8333841.500
08/04/2011	10.37	10.54	10.19	10.23	224613	6816922.000
08/05/2011	10.09	10.09	9.78	9.90	285307	8312636.000
08/08/2011	9.66	9.92	9.19	9.45	609266	17108240.000
08/09/2011	9.20	9.53	9.12	9.39	458937	12593832.000
08/10/2011	9.54	9.60	9.20	9.26	598224	16536143.000
08/11/2011	9.08	9.42	8.91	9.36	565107	15319768.000
08/12/2011	9.42	9.58	9.42	9.53	435127	12139890.000
08/15/2011	9.56	9.75	9.56	9.66	371099	10526086.000
08/16/2011	9.61	9.73	9.54	9.62	301131	8505883.000
08/17/2011	9.55	10.19	9.55	9.97	687991	20155858.000
08/18/2011	9.89	10.01	9.57	9.69	243459	6984897.000
08/19/2011	9.50	9.74	9.41	9.71	257034	7218819.000
08/22/2011	9.75	9.90	9.65	9.81	375639	10806444.000
08/23/2011	9.87	10.15	9.83	10.13	478369	14074727.000
08/24/2011	9.97	10.12	9.88	9.92	779645	22857794.000
08/25/2011	9.95	9.98	9.64	9.86	633665	18233756.000
08/26/2011	9.92	10.05	9.84	9.96	431033	12596367.000
08/29/2011	9.99	9.99	9.64	9.81	757359	21741578.000
08/30/2011	9.83	9.84	9.50	9.51	484788	13802179.000
08/31/2011	9.57	9.64	9.38	9.50	239436	6668858.500
09/01/2011	9.50	9.56	9.34	9.42	200076	5543076.500
09/02/2011	9.40	9.46	9.31	9.35	139800	3844315.250
09/05/2011	9.22	9.24	8.95	8.98	335871	8944624.000
09/06/2011	8.95	9.04	8.81	8.95	441346	11543102.000
09/07/2011	8.93	9.09	8.93	9.07	213366	5659362.000
09/08/2011	9.13	9.41	9.00	9.03	325017	8807006.000
09/09/2011	9.11	9.19	8.84	8.90	239406	6294821.500
09/13/2011	8.81	8.81	8.63	8.64	237222	6059918.500
09/14/2011	8.74	8.75	8.54	8.72	123123	3142990.750
09/15/2011	8.72	8.99	8.72	8.91	216545	5663856.500
09/16/2011	8.94	9.08	8.85	8.91	142384	3734397.000
09/19/2011	8.87	8.87	8.67	8.69	77999	2004002.125
09/20/2011	8.60	8.75	8.57	8.67	255620	6516711.500
09/21/2011	8.59	8.91	8.57	8.89	354509	9147312.000
09/22/2011	8.84	8.97	8.61	8.61	360190	9381081.000
09/23/2011	8.50	8.50	8.31	8.45	221763	5481758.000
09/26/2011	8.41	8.49	8.15	8.23	235010	5728223.500
09/27/2011	8.25	8.35	8.18	8.30	134945	3276205.750
