300057 万顺股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/05/2010	10.75	10.75	10.75	10.75	115326	2540631.750
11/08/2010	11.85	11.85	11.85	11.85	312236	7565478.500
11/09/2010	13.05	13.05	11.85	12.23	8980383	226170192.000
11/10/2010	12.23	12.49	11.79	12.07	4051940	101091000.000
11/11/2010	12.07	12.33	11.66	11.67	4104930	100869952.000
11/12/2010	11.67	11.67	10.76	10.78	3833468	87570528.000
11/15/2010	10.96	11.46	10.76	11.28	2539914	57926004.000
11/16/2010	11.29	11.42	10.25	10.71	1964561	44356944.000
11/17/2010	10.71	10.92	10.58	10.83	3035213	66824712.000
11/18/2010	10.91	11.27	10.88	11.01	1189223	26961366.000
11/19/2010	10.93	11.43	10.93	11.43	1726489	39526196.000
11/22/2010	11.28	12.42	11.28	12.13	4108377	100963928.000
11/23/2010	12.13	12.58	12.05	12.43	5626469	141687952.000
11/24/2010	12.43	12.88	12.13	12.73	4392425	112856168.000
11/25/2010	12.73	13.02	12.33	12.73	2874750	74149144.000
11/26/2010	12.72	12.81	12.53	12.63	1880762	48756952.000
11/29/2010	12.61	12.73	12.08	12.41	2085132	53079260.000
11/30/2010	12.14	12.40	11.93	12.18	2035973	50655456.000
12/01/2010	12.20	12.93	12.11	12.76	2105350	54369048.000
12/02/2010	12.73	13.24	12.73	13.03	2317518	62004020.000
12/03/2010	12.77	13.13	12.61	13.13	1658474	43472812.000
12/06/2010	13.24	13.31	12.67	12.78	1179387	30990236.000
12/07/2010	12.78	12.79	12.16	12.58	1046729	26629360.000
12/08/2010	12.66	12.66	12.30	12.42	674159	17196244.000
12/09/2010	12.52	12.66	12.20	12.52	898401	23032572.000
12/10/2010	12.33	13.34	12.33	13.18	3151433	84572480.000
12/13/2010	13.33	14.18	13.23	14.04	3290029	93196296.000
12/14/2010	14.19	14.45	13.72	14.03	3120523	90122040.000
12/15/2010	13.88	14.17	13.73	14.05	1105526	31542870.000
12/16/2010	14.02	14.39	13.88	14.11	1422496	41194260.000
12/17/2010	14.04	14.23	13.88	14.16	1000953	28759694.000
12/20/2010	14.16	14.33	13.73	14.23	1680214	48254992.000
12/21/2010	14.24	14.48	14.08	14.31	1488084	43423792.000
12/22/2010	14.33	14.98	14.11	14.29	2140074	63654216.000
