300058 蓝色光标 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	4.72	4.77	4.66	4.68	694419	20563800.000
10/11/2010	4.68	4.68	4.44	4.49	1318888	37849356.000
10/12/2010	4.52	4.52	4.43	4.43	856643	24232706.000
10/13/2010	4.43	4.63	4.38	4.63	1623910	46052068.000
10/14/2010	4.60	4.66	4.48	4.49	576244	16629484.000
10/15/2010	4.45	4.54	4.45	4.52	726941	20675138.000
10/18/2010	4.52	4.58	4.18	4.57	924803	25337980.000
10/19/2010	4.57	4.93	4.44	4.86	872393	26402962.000
10/20/2010	4.74	5.03	4.74	4.83	692254	21341328.000
10/21/2010	4.78	4.93	4.76	4.83	589121	17931444.000
10/22/2010	4.83	5.22	4.83	5.10	1199873	38079424.000
10/25/2010	5.18	5.41	5.10	5.31	981793	32575088.000
10/26/2010	5.30	5.33	5.06	5.14	862604	27730414.000
10/27/2010	5.14	5.20	5.00	5.05	852351	27055664.000
10/28/2010	5.00	5.36	5.00	5.35	944395	30941492.000
10/29/2010	5.35	5.55	5.29	5.52	983425	33583096.000
11/01/2010	5.55	5.85	5.52	5.55	1041833	37048400.000
11/02/2010	5.53	5.60	5.36	5.40	910344	30987188.000
11/03/2010	5.36	5.56	5.22	5.44	688938	23067622.000
11/04/2010	5.44	5.48	5.36	5.45	362020	12299851.000
11/05/2010	5.37	5.75	5.37	5.70	766353	26820094.000
11/08/2010	5.73	6.10	5.73	5.97	977637	36107856.000
11/09/2010	5.95	6.04	5.83	5.91	659269	24288150.000
11/10/2010	5.92	6.24	5.87	6.10	592117	22446526.000
11/11/2010	6.08	6.17	5.85	5.86	822457	31002394.000
11/12/2010	5.83	5.88	5.38	5.56	1034522	36350176.000
11/15/2010	5.60	5.90	5.57	5.89	659759	23479022.000
11/16/2010	5.88	5.97	5.45	5.60	936035	33512566.000
11/17/2010	5.49	5.57	5.22	5.25	651192	21803386.000
11/19/2010	5.48	5.80	5.43	5.80	1387474	49537832.000
11/22/2010	5.90	6.25	5.85	6.08	1922063	72353016.000
11/23/2010	5.98	6.47	5.85	6.36	2022518	78356832.000
11/24/2010	6.30	6.43	6.19	6.35	1070521	42129360.000
11/25/2010	6.46	6.47	6.08	6.22	1100089	42796020.000
11/26/2010	6.13	6.29	6.08	6.19	598032	22990848.000
11/29/2010	6.19	6.52	6.11	6.30	935842	36871556.000
11/30/2010	6.30	6.43	5.86	6.02	1129114	42554492.000
