300059 东方财富 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.35	5.49	5.33	5.43	688676	32704386.000
10/11/2010	5.44	5.52	5.40	5.46	1076942	51534928.000
10/12/2010	5.46	5.64	5.44	5.51	796646	38641616.000
10/13/2010	5.51	5.55	5.40	5.55	1003038	47946624.000
10/14/2010	5.55	5.76	5.52	5.62	1775744	88078456.000
10/15/2010	5.54	5.58	5.42	5.51	1303597	62640976.000
10/18/2010	5.45	5.50	5.27	5.39	984172	46157800.000
10/19/2010	5.37	5.93	5.37	5.93	2860321	144606832.000
10/20/2010	6.12	6.27	5.94	6.04	4345659	231518560.000
10/21/2010	6.03	6.03	5.71	5.83	1996603	102537624.000
10/22/2010	5.80	6.08	5.79	5.92	1881317	98113192.000
10/25/2010	5.92	6.06	5.92	6.02	1909329	100198000.000
10/26/2010	6.05	6.05	5.82	5.91	1503813	77622344.000
10/27/2010	5.90	5.98	5.82	5.85	881611	45403832.000
10/28/2010	5.84	5.90	5.80	5.88	867533	44435704.000
10/29/2010	5.92	6.25	5.90	6.06	2220183	118331528.000
11/01/2010	6.12	6.28	6.04	6.14	2353214	126621232.000
11/02/2010	6.52	6.76	6.31	6.76	6673787	382208928.000
11/03/2010	6.64	6.81	6.38	6.38	3265783	186919888.000
11/04/2010	6.44	6.59	6.36	6.49	2017680	113934904.000
11/05/2010	6.53	6.71	6.42	6.63	1901078	108965768.000
11/08/2010	6.72	6.72	6.59	6.62	1649378	95632720.000
11/09/2010	6.62	6.70	6.46	6.49	1492293	85544920.000
11/10/2010	6.52	6.70	6.41	6.64	1624573	93853480.000
11/11/2010	6.63	6.91	6.52	6.74	2291073	135015984.000
11/12/2010	6.67	6.81	6.29	6.30	1998194	114397584.000
11/15/2010	6.37	6.63	6.29	6.63	1812503	102782616.000
11/16/2010	6.63	6.86	6.35	6.40	1883463	108955640.000
11/17/2010	6.30	6.41	5.94	6.00	1493363	80312472.000
11/18/2010	6.03	6.12	5.99	6.08	744292	39355108.000
11/19/2010	6.10	6.23	6.04	6.23	1123687	60305272.000
11/22/2010	6.25	6.51	6.23	6.38	1619324	90430432.000
11/23/2010	6.35	6.35	6.06	6.27	1238804	67024828.000
11/24/2010	6.15	6.50	6.15	6.44	976593	54455532.000
11/25/2010	6.52	6.58	6.37	6.49	1304608	73915144.000
11/26/2010	6.49	6.72	6.41	6.60	1643429	94728232.000
11/29/2010	6.60	6.66	6.38	6.51	1020835	57819068.000
11/30/2010	6.51	6.55	6.04	6.19	1421555	77214184.000
12/01/2010	6.18	6.18	6.03	6.07	908349	48390884.000
12/02/2010	6.16	6.17	6.09	6.11	582507	31203920.000
