300061 康耐特 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.34	8.55	8.34	8.50	262411	5708208.500
10/11/2010	8.54	8.54	8.38	8.43	503220	10872019.000
10/12/2010	8.39	8.54	8.39	8.52	450570	9811489.000
10/13/2010	8.52	8.67	8.42	8.67	530651	11643751.000
10/14/2010	8.67	8.73	8.34	8.67	752362	16549757.000
10/15/2010	8.65	8.65	8.42	8.58	261374	5706374.500
10/18/2010	8.50	8.89	8.20	8.56	409163	8793811.000
10/19/2010	8.50	9.20	8.50	9.10	1237873	28742136.000
10/20/2010	8.96	9.32	8.75	9.18	935182	21921538.000
10/21/2010	9.20	9.44	8.85	9.01	386416	8912954.000
10/22/2010	9.02	9.28	8.98	9.07	351800	8229589.500
10/25/2010	9.07	9.15	8.99	9.12	824942	19244996.000
10/26/2010	9.05	9.16	8.86	8.93	755465	17361054.000
10/27/2010	8.93	9.02	8.88	8.95	418410	9604068.000
10/28/2010	8.99	8.99	8.86	8.96	313169	7165976.500
10/29/2010	8.89	9.15	8.63	9.03	689778	16015614.000
11/01/2010	9.05	9.31	9.01	9.24	752307	17730380.000
11/02/2010	9.23	9.23	8.89	8.97	643822	14961390.000
11/03/2010	8.82	9.00	8.82	8.86	294184	6719837.500
11/04/2010	8.93	8.96	8.87	8.96	259892	5938659.500
11/05/2010	8.99	9.04	8.90	8.96	305520	7013007.500
11/08/2010	8.98	9.15	8.97	9.15	440997	10300423.000
11/09/2010	9.17	9.25	9.06	9.24	584931	13744091.000
11/10/2010	9.25	9.46	9.17	9.37	660910	15897619.000
11/11/2010	9.31	9.51	9.24	9.28	625519	15052208.000
11/12/2010	9.24	9.29	8.35	8.62	674700	15548274.000
11/15/2010	8.69	9.08	8.63	9.06	544816	12383335.000
11/16/2010	9.06	9.35	8.73	8.88	561655	13007377.000
11/17/2010	8.88	9.03	8.79	8.83	315474	7211112.000
11/18/2010	8.84	9.00	8.84	8.99	247616	5671436.000
11/19/2010	8.99	9.36	8.99	9.29	859571	20325458.000
11/22/2010	9.30	10.06	9.22	9.63	1450021	36019736.000
11/23/2010	9.63	9.75	9.36	9.74	738336	18040090.000
11/24/2010	9.71	9.81	9.57	9.78	832770	20748212.000
11/25/2010	9.74	9.87	9.50	9.55	736542	18145876.000
11/26/2010	9.47	9.66	9.47	9.54	328560	8062698.500
11/29/2010	9.57	9.75	9.48	9.69	538882	13259497.000
11/30/2010	9.69	9.69	8.97	9.28	654440	15563158.000
12/01/2010	9.26	9.37	9.18	9.29	224504	5352164.500
12/02/2010	9.38	9.51	9.30	9.43	273900	6609382.000
12/03/2010	9.41	9.48	9.03	9.29	354748	8398331.000
12/06/2010	9.10	9.36	8.97	9.03	450936	10490453.000
12/07/2010	9.08	9.20	8.89	9.14	201948	4705170.000
12/08/2010	9.14	9.18	9.08	9.10	138862	3247426.000
12/09/2010	8.98	9.07	8.96	9.02	256353	5917824.000
12/10/2010	9.02	9.16	9.02	9.14	257250	6012156.500
12/13/2010	9.20	9.44	9.15	9.40	801107	19192676.000
12/14/2010	9.36	9.48	9.29	9.40	437038	10508444.000
12/15/2010	9.40	9.47	9.31	9.41	448690	10812827.000
12/16/2010	9.38	9.52	9.38	9.42	446770	10840896.000
12/17/2010	9.42	9.57	9.40	9.55	512792	12467373.000
12/20/2010	9.57	9.63	9.03	9.36	545435	13128547.000
12/21/2010	9.30	9.49	9.30	9.47	304576	7361731.500
12/22/2010	9.54	9.54	9.32	9.36	298332	7215445.500
12/23/2010	9.36	9.43	9.23	9.23	234416	5589985.000
12/24/2010	9.16	9.26	9.09	9.16	364049	8560923.000
12/27/2010	9.17	9.28	8.82	8.89	256600	5945937.500
12/28/2010	8.89	8.89	8.66	8.71	237197	5309451.500
12/29/2010	8.71	9.40	8.71	9.01	196111	4456695.000
12/30/2010	9.01	9.09	8.85	9.00	127102	2927904.500
12/31/2010	9.05	9.20	8.97	9.12	189302	4424147.000
01/04/2011	9.16	9.23	9.15	9.18	268413	6329331.000
01/05/2011	9.20	9.75	9.13	9.42	1682133	40185944.000
01/06/2011	9.29	9.36	9.18	9.23	509897	12128595.000
01/07/2011	9.16	9.25	8.99	9.09	231700	5443318.000
01/10/2011	9.13	9.13	8.77	8.84	262100	6027267.000
01/11/2011	8.84	8.89	8.72	8.87	199418	4500570.500
01/12/2011	8.84	8.96	8.78	8.96	139800	3181210.000
01/13/2011	8.93	9.02	8.86	8.86	110600	2529429.000
01/14/2011	8.75	8.88	8.68	8.77	157588	3527704.500
01/17/2011	8.72	8.77	8.19	8.26	207777	4501436.500
01/18/2011	8.27	8.32	8.20	8.25	104492	2213940.000
01/19/2011	8.22	8.43	8.22	8.41	103444	2210259.250
01/20/2011	8.40	8.45	8.11	8.11	142801	3026586.250
01/21/2011	7.91	8.17	7.91	8.09	244699	5038196.500
01/24/2011	7.99	8.09	7.72	7.75	223300	4493991.000
01/25/2011	7.71	7.83	7.71	7.74	108095	2145578.500
01/26/2011	7.75	7.99	7.75	7.95	114231	2313810.250
01/27/2011	7.84	8.11	7.81	8.03	166951	3414527.250
01/28/2011	7.92	8.18	7.92	8.07	129421	2665476.000
01/31/2011	7.98	8.19	7.98	8.17	98587	2051722.000
02/01/2011	8.05	8.21	8.05	8.17	80151	1678861.625
02/09/2011	8.38	8.38	8.07	8.07	188282	3968328.250
02/10/2011	8.00	8.25	7.93	8.23	191480	4005704.250
02/11/2011	8.23	8.35	8.21	8.30	325222	6890190.500
02/14/2011	8.29	8.45	8.23	8.44	321626	6886005.500
02/15/2011	8.37	8.58	8.35	8.35	295410	6381743.000
02/16/2011	8.42	8.42	8.29	8.42	371113	7973035.000
02/17/2011	8.43	8.50	8.36	8.41	280600	6060653.500
02/18/2011	8.38	8.46	8.29	8.38	241181	5163128.000
02/21/2011	8.25	8.50	8.25	8.45	269352	5815316.000
02/22/2011	8.42	8.48	8.20	8.29	379559	8085650.000
02/23/2011	8.20	8.35	8.16	8.29	276912	5864104.500
02/24/2011	8.27	8.38	8.26	8.34	261765	5591294.500
02/25/2011	8.42	8.42	8.30	8.34	181661	3888881.250
02/28/2011	8.34	8.46	8.27	8.44	247109	5302482.000
03/01/2011	8.39	8.52	8.39	8.52	317580	6896015.000
03/02/2011	8.49	8.50	8.32	8.46	293684	6346344.500
03/03/2011	8.42	8.48	8.32	8.32	274502	5911544.500
03/04/2011	8.29	8.38	8.29	8.35	238106	5086942.000
03/07/2011	8.35	8.36	8.29	8.34	497101	10603951.000
03/08/2011	8.31	8.34	8.27	8.32	376564	8017340.500
03/09/2011	8.30	8.39	8.29	8.36	490172	10501223.000
03/10/2011	8.19	8.28	8.10	8.16	863022	18131860.000
03/11/2011	8.18	8.25	8.15	8.16	427869	8997960.000
03/14/2011	8.15	8.23	8.11	8.21	468229	9824390.000
03/15/2011	8.19	8.21	7.93	8.07	421233	8707174.000
03/16/2011	8.07	8.14	8.03	8.13	487562	10124171.000
03/17/2011	8.07	8.32	7.93	8.20	714300	15034521.000
03/18/2011	8.03	8.39	8.03	8.14	278328	5835122.500
03/21/2011	8.10	8.21	8.07	8.14	145800	3036905.500
03/22/2011	8.09	8.18	8.05	8.11	178463	3709159.000
03/23/2011	8.06	8.21	8.06	8.21	277218	5796675.500
03/24/2011	8.21	8.23	8.14	8.18	189392	3971920.000
03/25/2011	8.15	8.21	8.12	8.17	183988	3857571.000
03/28/2011	8.19	8.23	8.08	8.11	264310	5526541.000
03/29/2011	8.06	8.11	7.88	7.90	344711	7040303.000
03/30/2011	7.89	7.97	7.76	7.84	203611	4098202.750
03/31/2011	7.84	7.91	7.80	7.88	191822	3874079.500
04/01/2011	7.93	7.93	7.84	7.93	107909	2183690.000
04/06/2011	7.93	7.93	7.82	7.91	119961	2421637.250
04/07/2011	7.91	7.91	7.83	7.88	159900	3224864.500
04/08/2011	7.87	7.94	7.84	7.93	181791	3684371.250
04/11/2011	7.92	8.18	7.86	7.99	323499	6593374.500
04/12/2011	8.00	8.03	7.91	8.03	290238	5928441.000
04/13/2011	8.03	8.03	7.93	7.99	304375	6218014.500
04/14/2011	7.99	8.02	7.94	7.95	149110	3049458.250
04/15/2011	7.95	8.00	7.88	7.89	120200	2441110.000
04/18/2011	7.89	7.89	7.78	7.83	311407	6238579.500
04/19/2011	7.80	7.80	7.71	7.75	166923	3315722.750
04/20/2011	7.74	7.81	7.74	7.81	138297	2758614.750
04/21/2011	7.83	7.86	7.76	7.83	183860	3678294.500
04/22/2011	7.80	7.80	7.64	7.70	210800	4186180.000
04/25/2011	7.72	7.72	7.46	7.56	197907	3860243.750
04/26/2011	7.43	7.54	7.38	7.43	125741	2402340.250
04/28/2011	7.43	7.43	7.13	7.13	213749	3961582.250
04/29/2011	7.21	7.21	7.10	7.21	102701	1886739.250
05/03/2011	7.17	7.24	7.17	7.23	93251	1725447.875
05/04/2011	7.23	7.25	6.98	7.11	81400	1493104.000
05/05/2011	7.02	7.14	7.02	7.11	119890	2187113.250
05/06/2011	7.13	7.19	7.04	7.13	71018	1298701.500
05/09/2011	7.14	7.21	7.14	7.20	75913	1400596.625
05/10/2011	7.14	7.20	7.13	7.18	79607	1460077.250
05/11/2011	7.21	7.21	7.13	7.17	80790	1486242.000
05/12/2011	7.14	7.32	7.14	7.18	165431	3054562.000
05/13/2011	7.21	7.27	7.15	7.27	151039	2793061.500
05/16/2011	7.29	7.32	7.20	7.23	93700	1747016.000
05/17/2011	7.20	7.26	7.15	7.18	67801	1249454.375
05/18/2011	7.14	7.19	7.09	7.14	132505	2426195.750
05/19/2011	7.15	7.21	7.13	7.21	139145	2563529.750
05/20/2011	7.13	7.18	7.07	7.13	100751	1837503.500
05/23/2011	7.21	7.21	6.68	6.68	140100	2472333.000
05/24/2011	6.93	6.96	6.63	6.92	159968	2808194.000
05/25/2011	6.86	6.92	6.79	6.79	126089	2212847.500
05/26/2011	6.79	6.84	6.73	6.74	51891	899862.000
05/27/2011	6.74	6.82	6.70	6.78	116902	2027369.125
05/30/2011	6.79	6.95	6.72	6.87	134618	2373670.750
05/31/2011	6.94	6.95	6.83	6.95	103965	1837401.375
06/01/2011	6.89	6.99	6.88	6.96	72102	1282814.625
06/02/2011	6.90	6.90	6.76	6.86	119049	2078612.000
06/03/2011	6.85	6.98	6.85	6.90	67399	1195184.250
06/07/2011	6.93	6.94	6.87	6.91	46000	816888.000
06/08/2011	6.87	6.87	6.71	6.82	167162	2900268.750
06/09/2011	6.78	6.82	6.71	6.71	141650	2457035.000
06/10/2011	6.72	6.76	6.61	6.69	99800	1706927.000
06/13/2011	6.61	6.71	6.61	6.70	115300	1977794.000
06/14/2011	6.70	6.78	6.70	6.75	105580	1827237.875
06/15/2011	6.70	6.77	6.67	6.70	66200	1142420.000
06/16/2011	6.74	6.74	6.62	6.62	45905	784265.875
06/17/2011	6.61	6.63	6.45	6.45	78201	1315143.875
06/20/2011	6.48	6.48	6.31	6.34	70499	1153216.750
06/21/2011	6.36	6.49	6.34	6.39	176920	2912267.500
06/22/2011	6.45	6.45	6.36	6.37	52740	863350.375
06/23/2011	6.32	6.54	6.27	6.52	324463	5387890.500
06/24/2011	6.45	6.67	6.45	6.67	198776	3356854.500
06/27/2011	7.01	7.01	6.70	6.72	190750	3310470.750
06/28/2011	6.71	6.73	6.58	6.70	194709	3323342.750
06/29/2011	6.70	6.74	6.63	6.63	105400	1805194.000
06/30/2011	6.55	6.74	6.55	6.71	118600	2036474.000
07/01/2011	6.75	6.87	6.70	6.80	640056	11091549.000
07/04/2011	6.78	6.92	6.75	6.88	513100	8996532.000
07/05/2011	6.87	6.90	6.82	6.85	167585	2945573.750
07/06/2011	6.82	6.91	6.82	6.91	193956	3416271.000
07/07/2011	6.89	7.00	6.85	6.90	372713	6630220.000
07/08/2011	6.87	6.92	6.79	6.81	241410	4232590.500
07/11/2011	6.80	6.89	6.74	6.84	229612	4010491.000
07/12/2011	6.79	6.83	6.72	6.77	245523	4261926.000
07/13/2011	6.79	6.91	6.77	6.90	235358	4132476.000
07/14/2011	6.86	7.09	6.86	7.09	482329	8672106.000
07/15/2011	7.03	7.21	7.03	7.15	566463	10344279.000
07/18/2011	7.19	7.20	7.03	7.07	376656	6849310.500
07/19/2011	7.02	7.03	6.91	6.93	273315	4878092.500
07/20/2011	6.98	7.02	6.90	6.95	204352	3642449.000
07/21/2011	6.95	7.02	6.90	6.91	155221	2763355.250
07/22/2011	6.97	7.01	6.93	7.00	123771	2213087.000
07/25/2011	6.98	6.98	6.65	6.67	236078	4098843.500
07/26/2011	6.63	6.70	6.55	6.61	125649	2129785.750
07/27/2011	6.55	6.73	6.52	6.73	141780	2424894.500
07/28/2011	6.66	6.72	6.58	6.68	144800	2466694.000
07/29/2011	6.69	6.71	6.59	6.64	123906	2113539.000
08/01/2011	6.64	6.73	6.62	6.71	100956	1733858.750
08/02/2011	6.65	7.04	6.51	7.03	689429	12176902.000
08/03/2011	6.96	7.16	6.84	7.04	781466	14152211.000
08/04/2011	6.98	7.09	6.86	6.93	329980	5889710.000
08/05/2011	6.78	6.79	6.65	6.70	290570	5013654.500
08/08/2011	6.63	6.63	6.14	6.39	507688	8283331.000
08/09/2011	6.16	6.38	6.09	6.31	302322	4841398.000
08/10/2011	6.36	6.48	6.36	6.43	558393	9212283.000
08/11/2011	6.28	6.59	6.24	6.54	419446	6992697.000
08/12/2011	6.55	6.85	6.53	6.80	517671	8859613.000
08/15/2011	6.68	6.90	6.65	6.90	723186	12601535.000
08/16/2011	6.84	7.01	6.70	6.90	721545	12649094.000
08/17/2011	7.00	7.00	6.78	6.90	580372	10254032.000
08/18/2011	6.80	6.91	6.71	6.88	664446	11640565.000
08/19/2011	6.75	6.99	6.63	6.99	924226	16139707.000
08/22/2011	6.91	7.15	6.89	7.10	975037	17486076.000
08/23/2011	7.04	7.12	6.98	7.12	883824	16011425.000
08/24/2011	7.12	7.23	6.98	7.01	833492	15271975.000
08/25/2011	6.94	7.03	6.84	7.00	568102	10116731.000
08/26/2011	6.98	7.08	6.94	7.05	399097	7182645.500
08/29/2011	7.05	7.11	6.99	6.99	357426	6460724.500
08/30/2011	6.99	7.01	6.87	6.87	369905	6580944.500
08/31/2011	6.82	6.90	6.78	6.88	292875	5139164.500
09/01/2011	6.90	6.95	6.79	6.82	265328	4678785.000
09/02/2011	6.80	6.85	6.55	6.68	218100	3746156.500
09/05/2011	6.57	6.67	6.40	6.55	245792	4104791.500
09/06/2011	6.46	6.52	6.40	6.49	105799	1756938.125
09/07/2011	6.61	6.69	6.52	6.69	174614	2953318.250
09/08/2011	6.68	6.78	6.57	6.57	174044	2973235.000
09/09/2011	6.63	6.63	6.51	6.60	154041	2600012.500
09/13/2011	6.47	7.02	6.45	6.70	430737	7471640.500
09/14/2011	6.77	6.81	6.25	6.69	310466	5267142.000
09/15/2011	6.63	6.71	6.63	6.66	126374	2165549.000
09/16/2011	6.77	6.77	6.63	6.64	108793	1865098.125
09/19/2011	6.63	6.64	6.43	6.48	74150	1241214.000
09/20/2011	6.49	6.57	6.46	6.54	82105	1370756.875
09/21/2011	6.57	6.74	6.50	6.71	150100	2558712.000
09/22/2011	6.65	6.69	6.53	6.54	146329	2474745.500
09/23/2011	6.47	6.53	6.43	6.47	115294	1913632.750
09/26/2011	6.43	6.57	6.36	6.38	103130	1710815.875
09/27/2011	6.52	6.54	6.39	6.42	49653	818828.875
09/28/2011	6.43	6.48	6.27	6.27	87750	1432290.000
09/29/2011	6.31	6.31	6.02	6.08	232501	3667206.500
09/30/2011	6.14	6.19	5.99	6.16	146992	2284302.500
10/10/2011	6.12	6.21	6.12	6.16	136519	2156418.000
10/11/2011	6.28	6.31	6.09	6.20	247451	3934177.500
10/12/2011	6.09	6.40	6.09	6.35	296982	4769102.000
10/13/2011	6.32	6.44	6.29	6.36	197452	3234223.250
10/14/2011	6.30	6.39	6.29	6.33	116290	1889052.750
10/17/2011	6.25	6.49	6.25	6.45	291533	4776450.000
10/18/2011	6.29	6.41	6.21	6.35	161400	2613703.500
10/19/2011	6.33	6.33	6.16	6.21	137850	2206827.000
10/20/2011	6.16	6.16	5.99	5.99	344352	5320013.000
10/21/2011	6.02	6.02	5.84	5.90	134086	2032663.125
10/24/2011	5.96	5.96	5.76	5.94	134217	2020667.000
10/25/2011	5.96	6.06	5.90	6.06	201265	3096719.000
10/26/2011	6.04	6.27	6.04	6.25	622650	9837694.000
10/27/2011	6.24	6.34	6.20	6.20	382569	6180196.500
10/28/2011	6.33	6.41	6.20	6.39	425883	6881583.500
10/31/2011	6.28	6.55	6.28	6.51	654724	10875555.000
11/01/2011	6.43	6.54	6.40	6.47	159997	2658036.500
11/02/2011	6.39	6.61	6.33	6.61	340721	5682372.000
11/03/2011	6.63	6.67	6.50	6.50	637330	10768193.000
11/04/2011	6.46	6.59	6.46	6.55	318567	5344339.500
11/07/2011	6.61	6.63	6.47	6.53	228971	3842985.500
11/08/2011	6.53	6.56	6.44	6.45	173259	2885691.250
