300062 中能电气 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.31	13.09	12.31	13.05	858784	22498126.000
10/11/2010	13.07	13.75	13.07	13.52	952925	26305358.000
10/12/2010	13.49	13.88	13.30	13.69	666031	18636146.000
10/13/2010	13.55	14.01	13.35	13.85	680958	19100474.000
10/14/2010	13.90	14.15	13.72	13.72	766032	21928604.000
10/15/2010	13.71	14.06	13.44	13.90	740188	20892064.000
10/18/2010	13.90	14.09	13.74	13.92	662025	18868046.000
10/19/2010	13.85	14.88	13.81	14.50	1773275	52609192.000
10/20/2010	14.20	14.90	14.15	14.50	883525	26239146.000
10/21/2010	14.49	14.52	13.90	14.25	528097	15367314.000
10/22/2010	14.39	14.47	14.03	14.26	585029	17098088.000
10/25/2010	14.33	14.69	14.33	14.57	501761	14937257.000
10/26/2010	14.58	14.65	14.16	14.42	569744	16767033.000
10/27/2010	14.27	14.49	14.15	14.39	468043	13728872.000
10/28/2010	14.21	14.42	14.00	14.29	455486	13221840.000
10/29/2010	14.29	15.50	14.21	15.07	909044	27850294.000
11/01/2010	15.19	16.62	15.19	16.62	733235	24316202.000
11/02/2010	17.15	18.31	17.14	17.65	2304471	83962032.000
11/03/2010	17.27	17.90	17.26	17.70	863084	30901222.000
11/04/2010	17.85	18.09	17.30	17.87	719667	26191656.000
11/05/2010	18.04	18.53	17.72	17.89	689615	25427032.000
11/08/2010	18.35	18.36	17.90	18.15	553835	20469990.000
11/09/2010	18.13	18.13	17.55	17.60	757694	27439328.000
11/10/2010	17.60	17.89	17.51	17.65	573329	20685702.000
11/11/2010	17.51	18.70	17.51	18.16	1266770	46865936.000
11/15/2010	17.15	17.85	17.05	17.80	1092218	39080836.000
11/16/2010	18.00	18.65	17.36	17.98	960082	35204476.000
11/17/2010	17.80	18.35	17.50	17.56	656457	24017706.000
11/18/2010	17.81	18.15	16.66	17.48	593927	21114278.000
11/19/2010	17.45	18.14	17.34	18.14	742993	26983476.000
11/22/2010	18.13	19.40	17.90	18.90	1625005	62646032.000
11/23/2010	19.03	19.03	18.09	18.55	933994	35156492.000
11/24/2010	18.20	19.62	18.20	19.50	776760	30067708.000
11/25/2010	19.50	20.40	18.94	19.49	754328	30314810.000
11/26/2010	19.62	19.84	19.26	19.58	374085	14909819.000
11/29/2010	19.58	19.90	19.15	19.49	341888	13505443.000
11/30/2010	19.65	19.65	18.15	19.19	679733	26160992.000
12/01/2010	19.00	19.39	18.65	18.90	278700	10782946.000
12/02/2010	18.98	19.20	18.60	18.65	287381	11004966.000
12/03/2010	18.77	18.77	18.26	18.29	234342	8803405.000
12/06/2010	18.53	18.65	18.21	18.39	168328	6316529.000
12/08/2010	19.65	20.02	18.92	19.12	644283	25538208.000
12/09/2010	19.15	19.30	18.85	19.18	397405	15470793.000
12/10/2010	19.05	19.89	19.04	19.63	517457	20600878.000
12/13/2010	19.64	20.29	19.64	20.00	545710	22252906.000
12/14/2010	20.05	20.09	19.80	19.90	284132	11534460.000
12/15/2010	19.90	19.94	19.24	19.35	395355	15664316.000
12/16/2010	19.15	20.40	19.15	20.11	410137	16588292.000
12/17/2010	20.04	20.38	19.74	20.09	283745	11607276.000
12/20/2010	20.15	20.29	19.30	19.37	469457	18802564.000
12/21/2010	19.40	19.60	19.25	19.38	266361	10516977.000
12/22/2010	19.53	19.53	19.00	19.10	251712	9820960.000
12/23/2010	19.10	19.48	18.90	19.10	220240	8598387.000
12/24/2010	19.10	19.14	18.40	18.54	301591	11547094.000
12/27/2010	18.40	18.90	17.15	17.73	246357	9091345.000
12/28/2010	17.35	17.89	17.35	17.60	219728	7875325.000
12/29/2010	17.65	17.73	17.40	17.73	127022	4546712.500
12/30/2010	17.73	17.90	17.44	17.65	107652	3864266.250
12/31/2010	17.52	18.90	17.52	18.54	207197	7786464.500
01/04/2011	18.59	18.89	18.25	18.62	269506	10246534.000
01/05/2011	18.44	18.82	18.40	18.64	265192	10068289.000
01/06/2011	18.90	19.13	18.55	18.65	154281	5887864.000
01/07/2011	18.65	18.90	18.25	18.34	449253	16941936.000
01/10/2011	18.20	18.32	17.25	17.38	471760	17100870.000
01/11/2011	17.21	17.54	16.90	16.91	200570	6987015.500
01/12/2011	17.29	17.29	16.92	16.98	94707	3290137.750
01/13/2011	16.98	17.23	16.44	16.63	406205	13883391.000
01/14/2011	16.76	16.76	16.40	16.64	112950	3815723.500
01/17/2011	16.66	16.76	15.50	15.77	315672	10221845.000
01/18/2011	15.57	15.74	15.19	15.73	135102	4287578.000
01/19/2011	15.35	15.88	15.35	15.75	189052	6068703.500
01/20/2011	15.66	16.02	15.44	15.67	189352	6080246.500
01/21/2011	15.48	15.86	15.48	15.69	79887	2558232.750
01/24/2011	15.75	16.03	15.55	15.69	137749	4456298.500
01/25/2011	15.69	15.79	14.92	15.18	133148	4161290.000
01/27/2011	15.41	15.62	14.91	15.56	147890	4642230.000
01/28/2011	15.62	15.95	15.55	15.79	98433	3161636.250
01/31/2011	14.95	15.98	14.95	15.80	106335	3407967.000
02/01/2011	15.97	16.19	15.71	16.00	97510	3176844.250
02/09/2011	15.95	16.13	15.73	15.92	128190	4168025.250
02/10/2011	16.11	16.29	15.85	16.28	91394	3001454.500
02/11/2011	16.34	16.93	16.34	16.63	171895	5869931.000
02/14/2011	16.63	16.92	16.15	16.59	752299	25186912.000
02/15/2011	16.37	16.48	16.20	16.33	485449	16192733.000
02/16/2011	16.30	16.69	16.20	16.64	288927	9692677.000
02/17/2011	16.70	16.75	16.40	16.67	257417	8700205.000
02/18/2011	16.75	16.85	16.44	16.68	275245	9376135.000
02/21/2011	16.54	16.85	16.54	16.82	239976	8209353.500
02/22/2011	16.82	16.96	16.56	16.57	320230	10956972.000
02/23/2011	16.70	17.03	16.45	17.03	331183	11360468.000
02/24/2011	16.95	17.65	16.84	17.15	380922	13379588.000
02/25/2011	16.87	17.12	16.64	16.78	324647	11101554.000
02/28/2011	17.00	17.00	16.50	16.55	275770	9400406.000
03/01/2011	16.69	16.69	16.40	16.55	199703	6745773.500
03/02/2011	16.62	16.63	16.38	16.40	217700	7318127.000
03/03/2011	16.55	16.55	16.05	16.05	252499	8398367.000
03/04/2011	16.20	16.20	15.78	15.96	148300	4817951.500
03/07/2011	16.11	16.13	15.75	15.89	240125	7802292.000
03/08/2011	16.04	16.82	15.90	16.82	272515	9071921.000
03/09/2011	16.82	16.82	16.53	16.56	232800	7897620.500
03/10/2011	16.56	16.72	16.22	16.53	136270	4607483.500
03/11/2011	16.45	16.58	16.22	16.48	126673	4252940.500
03/14/2011	16.48	16.49	16.19	16.19	223455	7426784.500
03/15/2011	16.34	16.37	15.59	15.65	313195	10180603.000
03/16/2011	15.66	16.04	15.66	15.80	160600	5198444.000
03/17/2011	15.68	15.85	15.67	15.71	140989	4541081.500
03/18/2011	16.00	16.00	15.76	15.95	124612	4051357.000
03/21/2011	15.94	15.95	15.67	15.75	83926	2711772.750
03/22/2011	15.85	15.86	15.69	15.77	125018	4028497.250
03/23/2011	15.86	16.24	15.72	16.14	115184	3768595.000
03/24/2011	16.15	16.30	15.85	15.91	95500	3132007.000
03/25/2011	15.77	16.09	15.77	15.99	61791	2017295.250
03/28/2011	16.13	16.30	15.90	15.90	133290	4367078.500
03/29/2011	15.76	15.89	15.09	15.12	388700	12251575.000
