300063 天龙集团 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.98	8.18	7.91	8.10	336191	8390664.000
10/11/2010	8.09	8.18	8.03	8.12	490419	12263272.000
10/12/2010	8.12	8.28	8.08	8.15	367094	9287054.000
10/13/2010	8.18	8.20	8.08	8.19	384497	9679307.000
10/14/2010	8.19	8.29	8.09	8.10	449965	11372882.000
10/15/2010	8.10	8.13	7.92	7.95	526675	13060510.000
10/18/2010	7.87	7.89	7.76	7.84	484007	11699929.000
10/19/2010	7.84	8.42	7.84	8.35	1300103	33308972.000
10/20/2010	8.23	8.58	8.12	8.30	986450	25570858.000
10/21/2010	8.21	8.32	8.17	8.28	402979	10262608.000
10/22/2010	8.28	8.50	8.28	8.35	522915	13558968.000
10/25/2010	8.37	8.58	8.35	8.52	640182	16785594.000
10/26/2010	8.52	8.54	8.42	8.47	579416	15138033.000
10/27/2010	8.48	8.54	8.35	8.35	495902	12968383.000
10/28/2010	8.35	8.40	8.25	8.39	589026	15141366.000
10/29/2010	8.40	8.68	8.40	8.61	1071607	28504802.000
11/01/2010	8.71	8.92	8.59	8.87	1196240	32545406.000
11/02/2010	8.88	8.99	8.42	8.65	1086600	29488140.000
11/03/2010	8.65	8.72	8.50	8.50	465250	12357445.000
11/04/2010	8.50	8.65	8.42	8.56	413138	10857937.000
11/05/2010	8.62	8.65	8.51	8.64	782686	20706284.000
11/08/2010	8.64	8.88	8.58	8.87	904585	24548312.000
11/09/2010	8.92	8.94	8.79	8.87	754782	20617914.000
11/10/2010	8.87	9.02	8.87	8.97	868048	24019094.000
11/11/2010	8.98	9.20	8.92	8.95	1199217	33510602.000
11/12/2010	8.90	8.98	8.32	8.35	1178837	31442298.000
11/15/2010	8.42	8.74	8.42	8.74	758709	20112112.000
11/16/2010	8.74	9.03	8.43	8.55	1285112	34905480.000
11/17/2010	8.47	8.71	8.42	8.55	678752	17976656.000
11/18/2010	8.61	8.83	8.59	8.81	704310	18988290.000
11/19/2010	8.85	9.08	8.79	9.08	1382060	38217360.000
11/22/2010	9.07	9.34	9.00	9.04	1801054	51083232.000
11/23/2010	9.01	9.22	8.85	9.21	1061509	29504608.000
11/24/2010	9.18	9.34	9.12	9.29	1104262	31509858.000
11/25/2010	9.45	9.48	9.09	9.12	1135397	32307752.000
11/26/2010	9.11	9.29	9.08	9.25	734822	20830870.000
11/29/2010	9.25	9.43	9.17	9.40	956011	27476158.000
11/30/2010	9.38	9.40	8.82	9.03	991897	27741260.000
12/01/2010	9.04	9.14	8.99	9.05	434442	12139821.000
12/02/2010	9.13	9.18	9.04	9.05	539714	15133965.000
12/03/2010	9.02	9.08	8.85	8.88	476899	13142677.000
12/06/2010	8.89	8.95	8.65	8.70	357061	9675799.000
12/07/2010	8.70	8.91	8.59	8.89	382030	10340845.000
12/08/2010	8.83	8.94	8.75	8.78	256326	6992524.000
12/09/2010	8.81	8.81	8.62	8.66	306649	8225717.000
12/10/2010	8.59	8.80	8.59	8.77	193694	5209893.000
12/13/2010	8.77	9.03	8.77	9.03	527007	14571682.000
12/14/2010	8.97	9.18	8.97	9.09	445855	12496725.000
12/15/2010	9.09	9.16	9.02	9.02	459037	12868181.000
12/16/2010	9.02	9.19	8.99	9.14	444240	12489074.000
12/17/2010	9.09	9.31	9.09	9.27	576954	16404752.000
12/20/2010	9.28	9.39	8.98	9.15	776940	21970282.000
12/21/2010	9.15	9.23	9.06	9.19	436771	12337814.000
12/22/2010	9.21	9.25	9.11	9.16	352367	9967663.000
12/23/2010	9.11	9.18	8.94	8.95	501983	13971592.000
12/24/2010	8.78	8.90	8.68	8.80	336303	9109250.000
12/27/2010	8.85	8.93	8.55	8.57	389265	10520452.000
12/28/2010	8.54	8.55	8.38	8.42	340033	8868099.000
12/29/2010	8.50	8.54	8.40	8.54	156218	4091458.500
12/30/2010	8.54	8.69	8.48	8.57	216749	5744271.000
12/31/2010	8.67	8.70	8.58	8.66	202589	5402804.500
01/04/2011	8.70	8.82	8.59	8.82	390111	10509759.000
01/05/2011	8.74	8.86	8.73	8.80	256778	6974094.000
01/06/2011	8.81	8.84	8.66	8.68	255655	6869737.500
01/07/2011	8.66	8.77	8.65	8.67	194490	5221906.000
01/11/2011	8.49	8.49	8.35	8.41	322950	8375097.000
01/12/2011	8.38	8.48	8.38	8.46	140187	3650116.250
01/13/2011	8.49	8.52	8.42	8.46	125801	3284120.000
01/14/2011	8.51	8.51	8.18	8.21	256800	6568734.000
01/17/2011	8.10	8.21	7.89	7.90	218381	5428692.500
01/18/2011	7.88	8.00	7.85	7.95	122782	3009182.000
01/19/2011	7.92	8.12	7.89	8.11	96018	2386083.250
01/20/2011	8.05	8.11	7.85	7.86	106130	2617536.250
01/21/2011	7.82	7.98	7.82	7.90	123919	3030280.000
01/24/2011	7.90	7.95	7.72	7.74	169450	4094666.500
01/25/2011	7.76	7.91	7.65	7.74	95550	2289689.000
01/26/2011	7.74	7.87	7.72	7.86	133762	3236229.750
01/27/2011	7.79	7.94	7.73	7.88	206573	5009205.000
01/28/2011	7.87	7.96	7.83	7.96	124389	3036754.250
01/31/2011	7.98	8.03	7.90	8.00	152952	3775959.750
02/01/2011	7.95	8.02	7.94	7.95	120851	2977764.500
02/09/2011	7.92	7.97	7.79	7.80	233366	5686093.000
02/10/2011	7.80	8.04	7.80	8.03	218172	5376269.000
02/11/2011	8.04	8.15	8.03	8.11	190670	4764178.500
02/14/2011	8.11	8.23	8.09	8.22	258479	6531334.000
02/15/2011	8.17	8.21	8.05	8.09	612224	15383395.000
02/16/2011	8.08	8.16	8.04	8.16	398769	10000440.000
02/17/2011	8.17	8.20	8.08	8.15	372741	9371162.000
02/18/2011	8.15	8.18	8.08	8.15	327405	8241728.500
02/21/2011	8.18	8.27	8.12	8.24	331441	8408892.000
02/22/2011	8.26	8.26	8.00	8.00	406270	10182592.000
02/23/2011	8.00	8.08	7.99	8.08	273461	6799702.500
02/24/2011	8.03	8.12	8.02	8.12	216833	5421993.500
02/25/2011	8.09	8.12	8.04	8.09	188173	4702901.500
02/28/2011	8.09	8.18	8.06	8.16	207169	5205148.500
03/01/2011	8.17	8.24	8.08	8.16	401895	10142206.000
03/02/2011	8.13	8.15	8.05	8.11	183710	4593799.500
03/03/2011	8.09	8.12	7.92	7.96	368310	9135116.000
03/04/2011	7.96	8.01	7.92	7.99	245505	6040370.000
03/07/2011	8.04	8.05	7.97	8.03	304968	7552079.000
03/08/2011	8.03	8.22	8.01	8.20	543649	13653093.000
03/09/2011	8.15	8.20	8.09	8.12	242999	6103902.000
03/10/2011	8.12	8.33	8.12	8.20	523857	13340470.000
03/11/2011	8.20	8.27	8.10	8.18	341219	8663477.000
03/14/2011	8.18	8.28	8.18	8.28	624104	15878768.000
03/15/2011	8.28	8.28	7.94	8.17	461389	11615061.000
03/16/2011	8.18	8.22	8.15	8.19	351414	8890740.000
03/17/2011	8.08	8.14	8.01	8.05	313601	7831051.500
03/18/2011	8.13	8.23	8.04	8.17	310359	7820030.000
03/21/2011	8.15	8.22	8.10	8.21	197559	4994938.000
03/22/2011	8.17	8.23	8.12	8.21	178949	4525028.500
03/23/2011	8.21	8.33	8.17	8.32	564250	14422092.000
03/24/2011	8.32	8.38	8.28	8.34	364461	9396245.000
03/25/2011	8.32	8.44	8.31	8.35	455406	11775422.000
03/28/2011	8.36	8.52	8.36	8.48	976113	25518250.000
03/29/2011	8.08	8.08	7.78	7.82	1554355	38099296.000
03/30/2011	7.81	7.81	7.60	7.74	705782	16772516.000
03/31/2011	7.72	7.81	7.63	7.63	343852	8199198.500
04/01/2011	7.59	7.68	7.59	7.66	301098	7121511.000
04/06/2011	7.66	7.67	7.45	7.49	499320	11610520.000
04/07/2011	7.48	7.56	7.45	7.55	630911	14654039.000
04/08/2011	7.52	7.63	7.50	7.61	445739	10469085.000
04/11/2011	7.61	7.64	7.47	7.48	285960	6676944.000
04/12/2011	7.48	7.53	7.46	7.50	229839	5336790.000
04/13/2011	7.51	7.58	7.50	7.57	239650	5603613.500
04/14/2011	7.55	7.58	7.51	7.53	261190	6105790.000
04/15/2011	7.55	7.60	7.49	7.52	206719	4829889.000
04/18/2011	7.35	7.44	7.22	7.24	816132	18422612.000
04/20/2011	7.17	7.21	7.13	7.19	477700	10627394.000
04/21/2011	7.17	7.27	7.16	7.24	397273	8882898.000
04/22/2011	7.24	7.28	7.14	7.16	328056	7314602.000
04/25/2011	7.15	7.15	6.90	6.92	619970	13443902.000
04/26/2011	6.93	6.93	6.64	6.65	563883	11848601.000
04/27/2011	6.65	6.70	6.42	6.48	624004	12717005.000
04/28/2011	6.49	6.49	6.30	6.31	539214	10750078.000
04/29/2011	6.34	6.40	6.28	6.38	357253	6945024.000
05/03/2011	6.38	6.43	6.30	6.42	282937	5543014.500
05/04/2011	6.40	6.41	6.25	6.29	237702	4611114.500
05/05/2011	6.30	6.37	6.27	6.32	309007	6005605.500
05/06/2011	6.28	6.35	6.25	6.30	226679	4386549.000
05/09/2011	6.30	6.41	6.30	6.38	250619	4908868.500
05/10/2011	6.35	6.41	6.33	6.41	177960	3483900.250
05/11/2011	6.41	6.43	6.32	6.39	174769	3426694.750
05/13/2011	6.26	6.33	6.12	6.25	397935	7586424.000
05/16/2011	6.27	6.27	6.18	6.21	146200	2803010.000
05/17/2011	6.19	6.26	6.15	6.21	167149	3181286.500
05/18/2011	6.21	6.24	6.17	6.23	96669	1844645.875
05/19/2011	6.25	6.25	6.17	6.18	103800	1979871.000
05/20/2011	6.15	6.19	6.10	6.12	159283	3006872.750
05/23/2011	6.08	6.08	5.82	5.83	363601	6587046.000
05/24/2011	5.78	6.08	5.70	5.96	411702	7509588.500
05/25/2011	5.95	5.95	5.79	5.80	208977	3770805.500
05/26/2011	5.90	5.91	5.76	5.78	83010	1486398.875
05/27/2011	5.74	5.83	5.68	5.70	191710	3391860.000
05/30/2011	5.63	5.85	5.60	5.78	217933	3881023.000
05/31/2011	5.82	5.90	5.73	5.89	249598	4471784.500
06/01/2011	5.90	5.92	5.86	5.89	204949	3712087.000
06/02/2011	5.85	5.85	5.69	5.75	109846	1939431.375
06/03/2011	5.74	5.89	5.74	5.86	133012	2391483.500
06/07/2011	5.85	5.92	5.85	5.87	142890	2584268.500
06/08/2011	5.90	5.91	5.74	5.90	193270	3471129.000
06/09/2011	5.88	5.89	5.73	5.78	133600	2385849.500
