300064 豫金刚石 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	6.27	6.39	6.24	6.32	2240506	58101192.000
10/12/2010	6.33	6.33	6.09	6.14	1940542	49284640.000
10/13/2010	6.13	6.34	6.09	6.29	1592503	40481152.000
10/14/2010	6.29	6.52	6.24	6.31	2795347	73268576.000
10/15/2010	6.18	6.31	6.03	6.22	2241501	56671400.000
10/18/2010	6.22	6.26	6.02	6.07	2715629	68141512.000
10/19/2010	6.06	6.50	6.06	6.40	2160573	56289576.000
10/20/2010	6.27	6.84	6.24	6.61	3207606	87451192.000
10/21/2010	6.62	6.71	6.49	6.69	1410383	37930228.000
10/22/2010	6.69	6.99	6.67	6.94	2145720	60101304.000
10/25/2010	6.96	7.54	6.95	7.29	4300686	128192816.000
10/26/2010	7.29	7.49	7.13	7.43	2800160	84136320.000
10/27/2010	7.44	7.53	7.26	7.31	1866413	56123692.000
10/28/2010	7.33	7.33	7.04	7.22	1759141	51271588.000
10/29/2010	7.72	7.95	7.72	7.95	1413970	45764080.000
11/01/2010	8.76	8.76	8.47	8.76	5044211	179640464.000
11/02/2010	9.03	9.04	8.25	8.34	4427455	158252800.000
11/03/2010	8.13	8.98	8.13	8.51	3059496	107576864.000
11/04/2010	8.40	8.97	8.35	8.93	2617247	92710896.000
11/05/2010	8.99	9.09	8.69	8.82	1958581	70484808.000
11/08/2010	8.84	9.64	8.84	9.09	2470261	92992768.000
11/09/2010	8.99	9.06	8.79	8.95	1297270	47110788.000
11/10/2010	8.84	9.24	8.81	9.06	1559467	57468892.000
11/11/2010	8.96	9.62	8.96	9.17	1472603	55994904.000
11/12/2010	9.17	9.59	8.43	8.62	2662007	97209464.000
11/15/2010	8.68	9.09	8.47	9.07	2025716	72443752.000
11/16/2010	9.03	9.42	8.71	8.81	2308016	85663640.000
11/17/2010	8.64	8.91	7.97	8.04	2017279	69249696.000
11/18/2010	8.09	8.34	7.93	8.23	926037	30727536.000
11/19/2010	8.33	8.77	8.10	8.74	1959359	68500448.000
11/22/2010	8.68	9.24	8.59	8.98	3990223	146670064.000
11/23/2010	8.94	9.16	8.69	8.86	1829536	66119424.000
11/24/2010	8.76	9.23	8.76	9.23	1791685	66285516.000
11/25/2010	9.29	9.42	8.99	9.07	2523028	94199336.000
11/26/2010	9.06	9.22	8.80	9.22	1408425	51289752.000
11/29/2010	9.27	10.14	9.27	9.84	3611711	143175776.000
11/30/2010	9.76	9.83	8.92	9.49	2711457	103466680.000
12/01/2010	9.34	9.47	9.22	9.42	1419884	54018812.000
12/02/2010	9.49	9.84	9.34	9.42	2054854	79781920.000
12/03/2010	9.34	9.48	8.92	9.26	965382	36556112.000
12/06/2010	9.29	9.30	8.60	8.92	1715690	61821812.000
12/07/2010	8.74	9.09	8.69	9.06	1088575	39589616.000
12/08/2010	9.02	9.21	8.86	9.03	896709	33163560.000
12/09/2010	9.12	9.23	8.91	9.02	1109642	40962296.000
12/10/2010	9.01	9.28	8.97	9.21	1289251	48265888.000
12/13/2010	9.39	10.15	9.31	10.15	4269843	173133376.000
12/14/2010	10.19	10.59	10.00	10.04	3461166	143796256.000
12/15/2010	9.85	10.34	9.84	9.98	2387280	97266600.000
12/16/2010	9.85	10.17	9.85	9.99	1313322	53434476.000
12/17/2010	9.97	10.08	9.67	9.77	1525522	60927172.000
12/20/2010	9.77	9.89	9.34	9.60	1813317	70949848.000
12/21/2010	9.63	9.79	9.50	9.67	873389	34301728.000
12/22/2010	9.67	9.78	9.50	9.60	924152	36230092.000
12/23/2010	9.54	9.59	9.26	9.27	1213759	46193976.000
12/24/2010	9.22	9.25	8.77	8.86	1664946	60529752.000
12/27/2010	8.84	9.06	8.30	8.54	1466331	52085436.000
12/28/2010	8.40	8.74	8.22	8.64	1099247	38103560.000
12/29/2010	8.72	8.72	8.49	8.71	656459	23084500.000
12/30/2010	8.66	8.81	8.51	8.63	985850	35024388.000
12/31/2010	8.62	9.14	8.62	9.05	1332746	48719352.000
01/04/2011	9.21	9.21	8.97	9.11	841398	31075666.000
01/05/2011	9.11	9.11	8.92	9.02	751291	27512796.000
01/06/2011	9.05	9.22	8.80	9.22	801148	29272676.000
01/07/2011	9.09	9.60	9.09	9.54	1964289	75181520.000
01/10/2011	9.62	9.63	9.10	9.27	1717906	65439792.000
01/11/2011	9.10	9.29	9.00	9.24	1265786	47149052.000
01/12/2011	9.31	9.34	9.10	9.26	746890	27961262.000
01/13/2011	9.27	9.32	8.85	9.08	1064801	39268232.000
01/14/2011	9.04	9.14	8.87	8.97	418678	15340011.000
01/17/2011	8.86	8.89	8.34	8.34	1216251	42243248.000
01/18/2011	8.22	8.42	7.84	7.94	1691039	55749288.000
01/19/2011	7.92	8.44	7.92	8.40	931240	31209372.000
01/20/2011	8.39	8.68	8.09	8.32	1537498	52414176.000
01/21/2011	8.22	8.54	8.05	8.51	1498174	50301272.000
01/24/2011	8.41	8.57	8.22	8.49	1189550	41007812.000
01/25/2011	8.36	8.47	8.07	8.42	1216844	40775104.000
01/26/2011	8.29	8.54	8.29	8.47	205904	7075816.000
01/27/2011	8.47	8.74	8.34	8.63	624725	21852848.000
01/28/2011	9.11	9.11	8.59	8.77	382713	13642031.000
01/31/2011	8.50	8.89	8.50	8.84	409070	14630951.000
02/01/2011	8.79	8.87	8.72	8.81	528679	18899898.000
02/09/2011	8.84	8.91	8.72	8.72	324258	11663106.000
02/10/2011	8.72	8.94	8.61	8.94	550566	19793904.000
02/11/2011	8.94	9.17	8.84	9.03	591303	21756852.000
02/14/2011	9.05	9.42	9.05	9.27	935801	35473788.000
02/16/2011	9.35	9.56	9.22	9.44	952232	36242372.000
02/17/2011	9.44	9.71	9.35	9.70	1303059	50841880.000
02/18/2011	9.76	10.26	9.62	9.69	1796617	72172432.000
02/21/2011	9.60	10.02	9.59	9.84	1024792	40830132.000
02/22/2011	9.79	9.79	9.41	9.54	1609939	62408208.000
02/23/2011	9.54	10.23	9.41	10.17	1653349	66522336.000
02/24/2011	10.19	10.46	9.69	9.92	2644139	106764408.000
02/28/2011	10.01	10.41	9.66	9.97	2407269	98235056.000
