300065 海兰信 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.56	9.83	9.56	9.77	244495	9148653.000
10/11/2010	9.78	9.84	9.66	9.75	354903	13313562.000
10/12/2010	9.69	9.90	9.69	9.78	275773	10405254.000
10/13/2010	9.66	9.77	9.51	9.69	271145	10051572.000
10/14/2010	9.69	9.79	9.45	9.46	406902	15070359.000
10/15/2010	9.40	9.45	9.14	9.16	701146	24993154.000
10/18/2010	9.14	9.14	8.68	8.90	865174	29339826.000
10/19/2010	8.90	9.66	8.85	9.47	1328767	47937236.000
10/20/2010	9.30	9.74	9.30	9.54	935817	34360264.000
10/21/2010	9.51	9.51	9.29	9.38	450531	16272210.000
10/22/2010	9.35	9.71	9.35	9.60	574948	21208208.000
10/25/2010	9.75	10.02	9.74	9.96	958554	36537084.000
10/26/2010	9.98	10.05	9.79	9.90	618717	23552396.000
10/27/2010	9.90	10.14	9.87	9.93	604980	23282848.000
10/28/2010	9.85	10.03	9.79	9.85	601057	22818560.000
10/29/2010	9.97	10.72	9.97	10.55	1622886	65420904.000
11/01/2010	10.67	11.61	10.67	11.61	2192725	95585416.000
11/02/2010	11.95	12.21	11.21	11.33	1774615	79466608.000
11/03/2010	11.06	11.33	10.85	10.90	956219	40426092.000
11/04/2010	10.89	11.45	10.81	11.45	869974	37248960.000
11/05/2010	11.61	12.50	11.45	12.24	1551560	70996928.000
11/08/2010	12.24	12.43	11.95	12.24	995048	46319688.000
11/09/2010	12.48	12.98	12.20	12.20	1357225	65612608.000
11/10/2010	12.22	12.58	12.13	12.38	832755	39405728.000
11/11/2010	12.29	13.01	12.29	12.38	1238875	60560244.000
11/12/2010	12.38	12.51	11.24	11.35	1706387	77003688.000
11/15/2010	11.34	11.99	11.34	11.99	1010873	45563844.000
11/16/2010	12.00	12.66	11.90	12.24	1335151	63461612.000
11/17/2010	12.14	12.76	11.91	12.16	905293	43255116.000
11/18/2010	12.35	12.49	11.90	12.10	475087	21988894.000
11/19/2010	12.11	12.75	12.06	12.74	842800	40570492.000
11/22/2010	12.82	13.34	12.82	13.16	934374	46988476.000
11/23/2010	12.95	13.56	12.95	13.42	702731	35797340.000
11/24/2010	13.30	13.82	13.19	13.49	777781	40081180.000
11/25/2010	13.62	13.62	12.98	13.21	612706	31146018.000
11/26/2010	13.16	13.39	13.03	13.23	355657	18006380.000
11/29/2010	13.23	13.45	12.88	13.24	532283	26781438.000
11/30/2010	13.11	13.24	12.24	12.67	698313	33818104.000
12/01/2010	12.58	12.77	12.32	12.64	463035	22265184.000
