300066 三川股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.80	9.02	8.76	8.96	376795	16709987.000
10/11/2010	8.99	8.99	8.81	8.94	415087	18335960.000
10/12/2010	8.94	9.12	8.91	8.97	412672	18509746.000
10/13/2010	8.97	9.05	8.88	9.04	383919	17110220.000
10/14/2010	9.06	9.18	8.95	8.96	481361	21701500.000
10/15/2010	8.97	8.97	8.76	8.92	433446	19054186.000
10/18/2010	8.85	8.86	8.60	8.82	433148	18748832.000
10/19/2010	8.80	9.65	8.74	9.44	1131453	52372964.000
10/20/2010	9.16	9.59	9.16	9.40	903369	42257952.000
10/21/2010	9.40	9.45	9.15	9.21	525491	24031594.000
10/22/2010	9.32	9.58	9.23	9.35	663087	30964288.000
10/25/2010	9.36	9.56	9.27	9.54	700786	33046572.000
10/26/2010	9.81	10.51	9.81	9.93	1321760	65538404.000
10/27/2010	9.82	9.93	9.66	9.67	825757	40054632.000
10/28/2010	9.65	9.92	9.64	9.89	648973	31449518.000
10/29/2010	9.91	10.20	9.90	10.05	1100033	54813900.000
11/01/2010	10.20	10.61	10.11	10.54	1515804	78584568.000
11/02/2010	10.55	10.61	10.09	10.09	1314796	67003732.000
11/03/2010	10.02	10.07	9.75	9.78	775920	37959096.000
11/04/2010	9.80	9.97	9.72	9.97	444476	21684658.000
11/05/2010	10.09	10.09	9.89	10.04	654787	32411492.000
11/08/2010	10.02	10.44	9.96	10.39	936002	47543608.000
11/09/2010	10.40	10.51	10.30	10.43	812325	41807972.000
11/10/2010	10.44	10.79	10.30	10.72	1212705	64098964.000
11/11/2010	10.70	10.92	10.41	10.45	1255121	66660848.000
11/12/2010	10.47	10.67	9.74	9.92	1259027	63892476.000
11/15/2010	9.97	10.94	9.97	10.94	1544890	80680280.000
11/16/2010	11.09	11.73	10.76	11.09	2877442	161080112.000
11/17/2010	10.93	11.40	10.82	10.97	1857220	102904112.000
11/18/2010	11.12	11.30	10.61	11.13	1196824	64731928.000
11/19/2010	11.14	11.88	11.14	11.82	1986301	113882280.000
11/22/2010	11.82	12.30	11.57	11.80	1743532	103050840.000
11/23/2010	11.72	12.49	11.49	12.43	1382442	81198840.000
11/24/2010	12.26	12.75	12.23	12.54	1176548	72583528.000
11/25/2010	12.56	12.57	11.97	12.18	1257857	76018856.000
11/26/2010	12.11	12.49	11.91	12.18	1101973	66346156.000
11/29/2010	12.06	12.99	12.06	12.82	1185577	73057392.000
11/30/2010	12.90	12.90	11.53	12.30	1464064	88232504.000
12/01/2010	12.09	12.31	11.88	12.03	636318	37905772.000
12/02/2010	12.26	12.30	11.88	11.90	707022	42081472.000
12/03/2010	11.85	11.97	11.50	11.65	658936	37948984.000
12/06/2010	11.65	11.73	11.12	11.18	840952	46970396.000
12/07/2010	11.14	11.59	11.09	11.55	580022	32654110.000
12/08/2010	11.49	11.69	11.45	11.51	405625	23142906.000
12/09/2010	11.47	11.57	11.24	11.24	385998	21636352.000
12/10/2010	11.23	11.63	11.15	11.58	442857	25107362.000
12/13/2010	11.73	12.15	11.63	12.04	714404	42119080.000
12/14/2010	12.05	12.17	11.92	12.01	483357	28688150.000
12/16/2010	11.90	12.54	11.89	12.36	843202	51262936.000
12/17/2010	12.31	12.49	12.28	12.40	452012	27534424.000
12/20/2010	12.40	12.46	11.70	12.03	858202	51085620.000
12/21/2010	12.09	12.13	11.83	11.94	481005	28402860.000
12/22/2010	11.97	12.18	11.91	11.94	416073	24710772.000
12/23/2010	11.95	12.01	11.50	11.51	533754	30678364.000
12/24/2010	11.42	11.42	11.11	11.14	473018	26181358.000
12/27/2010	11.19	11.41	10.72	10.80	468377	25637236.000
12/28/2010	10.74	11.11	10.73	10.95	322038	17384070.000
12/29/2010	10.95	11.31	10.93	11.26	289065	15906089.000
12/30/2010	11.16	11.39	11.15	11.28	192434	10708196.000
12/31/2010	11.34	11.54	11.34	11.49	291361	16498678.000
01/04/2011	11.55	11.68	11.41	11.64	402988	23044844.000
01/05/2011	11.55	11.64	11.40	11.50	362339	20566412.000
01/06/2011	11.42	11.54	11.31	11.35	254067	14351831.000
01/10/2011	11.23	11.23	10.72	10.74	517238	27928848.000
01/11/2011	10.72	10.74	10.43	10.59	305599	15969714.000
01/12/2011	10.59	10.83	10.59	10.75	191952	10154241.000
01/13/2011	10.76	11.04	10.76	10.91	198614	10706234.000
01/14/2011	10.82	10.83	10.47	10.52	227439	11889878.000
01/17/2011	10.41	10.55	10.12	10.14	301474	15317317.000
01/18/2011	10.10	10.20	10.01	10.05	216640	10827361.000
01/19/2011	10.09	10.29	10.01	10.21	173130	8749034.000
01/20/2011	10.23	10.36	9.95	9.99	255440	12878157.000
01/21/2011	9.84	10.16	9.84	10.04	161699	8030161.500
01/24/2011	10.40	10.44	9.99	10.00	306862	15546599.000
01/25/2011	9.92	10.04	9.59	9.72	260220	12531805.000
01/26/2011	9.80	10.02	9.76	9.90	156040	7655922.500
01/27/2011	9.89	10.09	9.76	10.03	170203	8398294.000
01/28/2011	10.05	10.23	10.02	10.23	190531	9559530.000
01/31/2011	10.24	10.51	10.24	10.34	267767	13795963.000
02/01/2011	10.26	10.44	10.21	10.30	145154	7384305.500
02/09/2011	10.10	10.26	10.05	10.11	156211	7845104.000
02/10/2011	10.15	10.46	10.01	10.46	259221	13270136.000
02/11/2011	10.44	10.57	10.44	10.55	249896	12999314.000
02/14/2011	10.57	10.69	10.49	10.66	341911	17935796.000
02/15/2011	10.57	10.82	10.57	10.64	322331	17063170.000
02/16/2011	10.69	11.21	10.64	11.21	592986	32384232.000
02/17/2011	11.23	11.45	11.14	11.23	492982	27449124.000
02/18/2011	11.22	11.30	11.02	11.03	381899	21009926.000
02/21/2011	10.95	11.30	10.93	11.30	311600	17200974.000
02/22/2011	11.30	11.50	10.82	10.84	416658	22797794.000
02/23/2011	10.84	11.13	10.83	11.03	268048	14550272.000
02/24/2011	10.94	11.22	10.93	11.11	267351	14638926.000
02/25/2011	10.93	11.08	10.68	10.72	507220	27102010.000
02/28/2011	10.74	10.81	10.59	10.71	315200	16645701.000
03/01/2011	10.78	10.86	10.72	10.76	231311	12311349.000
03/02/2011	10.77	10.77	10.49	10.54	371843	19407914.000
03/03/2011	10.61	10.61	10.16	10.24	410928	21119476.000
03/04/2011	10.18	10.41	10.18	10.39	187120	9534370.000
03/07/2011	10.40	10.50	10.39	10.42	305314	15749833.000
03/08/2011	10.50	10.62	10.38	10.62	294414	15257129.000
03/09/2011	10.65	10.65	10.43	10.55	269788	14004037.000
03/10/2011	10.54	10.71	10.44	10.62	399843	21021098.000
03/11/2011	10.62	10.87	10.59	10.76	417856	22239262.000
03/14/2011	10.76	10.93	10.68	10.88	297914	15977147.000
03/15/2011	10.89	10.91	10.54	10.69	306367	16187893.000
03/16/2011	10.72	10.84	10.70	10.80	194138	10328869.000
03/17/2011	10.72	10.78	10.46	10.46	275330	14446658.000
03/18/2011	10.57	10.59	10.46	10.52	112889	5881062.000
03/21/2011	10.53	10.59	10.36	10.43	146960	7588648.500
03/22/2011	10.45	10.45	10.29	10.36	226040	11574274.000
03/23/2011	10.34	10.54	10.34	10.53	181310	9396630.000
03/24/2011	10.55	10.78	10.54	10.66	290619	15371864.000
03/25/2011	10.68	10.77	10.57	10.70	334359	17699962.000
03/28/2011	10.75	10.92	10.71	10.86	713254	38195008.000
03/29/2011	10.68	10.68	10.16	10.16	1002271	51061372.000
03/30/2011	10.10	10.15	9.73	9.73	499506	24502162.000
03/31/2011	9.80	9.92	9.71	9.76	327847	15904144.000
04/01/2011	9.84	9.87	9.76	9.87	207858	10115235.000
04/06/2011	9.89	9.89	9.65	9.72	212684	10293507.000
04/07/2011	9.70	9.88	9.70	9.87	178259	8669101.000
04/08/2011	9.87	10.07	9.84	10.05	200294	9910310.000
04/11/2011	10.05	10.09	9.86	9.89	198722	9782707.000
04/12/2011	9.89	9.92	9.76	9.76	144880	7054310.500
04/13/2011	9.73	9.95	9.73	9.94	162351	7936321.000
04/14/2011	9.90	9.95	9.79	9.82	143214	6981248.000
04/15/2011	9.82	9.88	9.74	9.84	133306	6463456.000
04/18/2011	9.74	9.85	9.73	9.76	160238	7779587.000
04/20/2011	9.84	9.84	9.56	9.78	273309	13090042.000
04/21/2011	9.74	9.84	9.69	9.79	185470	8973354.000
04/22/2011	9.73	9.73	9.40	9.40	467700	22093156.000
04/25/2011	9.47	9.47	8.97	8.99	385567	17551186.000
04/26/2011	8.99	9.16	8.94	9.11	214489	9630856.000
04/27/2011	9.11	9.17	8.94	8.95	184225	8290748.500
04/28/2011	8.93	8.99	8.52	8.58	204188	8866500.000
04/29/2011	8.59	8.59	8.30	8.39	361656	7493711.000
05/03/2011	8.18	8.54	8.18	8.43	190725	3954440.000
05/04/2011	8.43	8.65	8.24	8.28	259952	5433881.000
05/05/2011	8.28	8.42	8.19	8.25	126050	2586828.750
05/06/2011	8.25	8.32	8.18	8.31	187714	3830182.500
05/09/2011	8.36	8.51	8.23	8.44	303277	6275860.500
05/10/2011	8.44	8.50	8.33	8.45	195561	4051842.250
05/11/2011	8.45	8.46	8.32	8.34	212541	4399827.500
05/12/2011	8.38	8.38	8.05	8.09	311121	6299507.000
05/13/2011	8.18	8.18	7.91	8.11	313291	6241223.500
05/16/2011	8.11	8.11	7.93	7.93	220068	4348543.000
05/17/2011	7.93	7.93	7.67	7.80	328416	6336722.500
05/18/2011	7.76	7.86	7.68	7.80	188343	3626389.250
